#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed
NR3279--MA0523.1.TCF7L2	chr19	40685304	40685317	+	0.000	0.000	Merged-chr19-40685337-3
NR4433--MA1421.1.TCF7L1	chr4	111440462	111440473	-	0.000	0.000	Merged-chr4-111440477-13
NR1593--MA1421.1.TCF7L1	chr13	17536562	17536573	-	0.000	0.000	Merged-chr13-17536592-6
NR2900--MA1421.1.TCF7L1	chr17	57167169	57167180	+	0.000	0.000	Merged-chr17-57167239-24
NR2540--MA0523.1.TCF7L2	chr16	33698642	33698655	-	0.000	0.000	Merged-chr16-33698486-38
NR4991--MA0769.1.Tcf7	chr5	146757475	146757486	-	0.000	0.000	Merged-chr5-146757539-9
NR844--MA1421.1.TCF7L1	chr10	128664019	128664030	-	0.000	0.000	Merged-chr10-128663895-18
NR4434--MA0523.1.TCF7L2	chr4	111440460	111440473	-	0.000	0.000	Merged-chr4-111440477-13
NR1400--MA0769.1.Tcf7	chr12	93227048	93227059	-	0.000	0.000	Merged-chr12-93227052-12
NR4990--MA1421.1.TCF7L1	chr5	146757475	146757486	-	0.000	0.000	Merged-chr5-146757539-9
NR2708--MA0523.1.TCF7L2	chr16	93914436	93914449	-	0.000	0.000	Merged-chr16-93914368-18
NR3435--MA1421.1.TCF7L1	chr2	32834858	32834869	-	0.000	0.000	Merged-chr2-32834738-24
NR4900--MA1421.1.TCF7L1	chr5	113591787	113591798	-	0.000	0.000	Merged-chr5-113591973-17
NR1473--MA0523.1.TCF7L2	chr12	108811305	108811318	+	0.000	0.000	Merged-chr12-108811310-19
NR5087--MA1421.1.TCF7L1	chr6	38326944	38326955	-	0.000	0.000	Merged-chr6-38326792-31
NR1782--MA0523.1.TCF7L2	chr13	101756833	101756846	-	0.000	0.000	Merged-chr13-101756830-17
NR845--MA0769.1.Tcf7	chr10	128664019	128664030	-	0.000	0.000	Merged-chr10-128663895-18
NR2541--MA0769.1.Tcf7	chr16	33698644	33698655	-	0.000	0.000	Merged-chr16-33698486-38
NR1399--MA0523.1.TCF7L2	chr12	93227046	93227059	-	0.000	0.000	Merged-chr12-93227052-12
NR2201--MA0769.1.Tcf7	chr14	120572590	120572601	-	0.000	0.000	Merged-chr14-120572441-59
NR4882--MA0523.1.TCF7L2	chr5	107554476	107554489	-	0.000	0.000	Merged-chr5-107554534-24
NR3278--MA1421.1.TCF7L1	chr19	40685304	40685315	+	0.000	0.000	Merged-chr19-40685337-3
NR2709--MA0769.1.Tcf7	chr16	93914438	93914449	-	0.000	0.000	Merged-chr16-93914368-18
NR2200--MA1421.1.TCF7L1	chr14	120572590	120572601	-	0.000	0.000	Merged-chr14-120572441-59
NR6577--MA0769.1.Tcf7	chrX	107225047	107225058	+	0.000	0.000	Merged-chrX-107224998-8
NR1139--MA1421.1.TCF7L1	chr11	109765143	109765154	+	0.000	0.000	Merged-chr11-109765179-3
NR2160--MA0769.1.Tcf7	chr14	103363339	103363350	-	0.000	0.000	Merged-chr14-103363341-36
NR3799--MA0523.1.TCF7L2	chr2	164868652	164868665	+	0.000	0.000	Merged-chr2-164868622-33
NR1092--MA0523.1.TCF7L2	chr11	98925360	98925373	-	0.000	0.000	Merged-chr11-98925291-3
NR1093--MA0769.1.Tcf7	chr11	98925362	98925373	-	0.000	0.000	Merged-chr11-98925291-3
NR6189--MA1421.1.TCF7L1	chr9	44582611	44582622	+	0.000	0.000	Merged-chr9-44582588-15
NR4130--MA0769.1.Tcf7	chr3	132575213	132575224	+	0.000	0.000	Merged-chr3-132575270-5
NR2901--MA0769.1.Tcf7	chr17	57167169	57167180	+	0.000	0.000	Merged-chr17-57167239-24
NR4884--MA0769.1.Tcf7	chr5	107554478	107554489	-	0.000	0.000	Merged-chr5-107554534-24
NR5637--MA0523.1.TCF7L2	chr7	101555788	101555801	-	0.000	0.000	Merged-chr7-101555691-65
NR2269--MA0523.1.TCF7L2	chr15	34096448	34096461	-	0.000	0.000	Merged-chr15-34096594-23
NR4129--MA0523.1.TCF7L2	chr3	132575213	132575226	+	0.000	0.000	Merged-chr3-132575270-5
NR3280--MA0769.1.Tcf7	chr19	40685304	40685315	+	0.000	0.000	Merged-chr19-40685337-3
NR643--MA0523.1.TCF7L2	chr10	79925532	79925545	-	0.000	0.000	Merged-chr10-79925589-24
NR1261--MA1421.1.TCF7L1	chr12	35154372	35154383	+	0.000	0.000	Merged-chr12-35154438-11
NR4435--MA0769.1.Tcf7	chr4	111440462	111440473	-	0.000	0.000	Merged-chr4-111440477-13
NR6150--MA0523.1.TCF7L2	chr9	20983425	20983438	-	0.000	0.000	Merged-chr9-20983328-26
NR1398--MA1421.1.TCF7L1	chr12	93227048	93227059	-	0.000	0.000	Merged-chr12-93227052-12
NR1140--MA0769.1.Tcf7	chr11	109765143	109765154	+	0.000	0.000	Merged-chr11-109765179-3
NR3437--MA0769.1.Tcf7	chr2	32834858	32834869	-	0.000	0.000	Merged-chr2-32834738-24
NR3436--MA0523.1.TCF7L2	chr2	32834856	32834869	-	0.000	0.000	Merged-chr2-32834738-24
NR4885--MA0769.1.Tcf7	chr5	107554485	107554496	-	0.000	0.000	Merged-chr5-107554534-24
NR27--MA1421.1.TCF7L1	chr1	36162999	36163010	+	0.000	0.000	Merged-chr1-36162898-20
NR4883--MA0523.1.TCF7L2	chr5	107554483	107554496	-	0.000	0.000	Merged-chr5-107554534-24
NR6247--MA1421.1.TCF7L1	chr9	64793317	64793328	-	0.000	0.000	Merged-chr9-64793163-21
NR4881--MA1421.1.TCF7L1	chr5	107554478	107554489	-	0.000	0.000	Merged-chr5-107554534-24
NR3085--MA1421.1.TCF7L1	chr18	62720180	62720191	-	0.000	0.000	Merged-chr18-62720076-43
NR792--MA0769.1.Tcf7	chr10	117959677	117959688	+	0.000	0.000	Merged-chr10-117959672-9
NR3798--MA1421.1.TCF7L1	chr2	164868652	164868663	+	0.000	0.000	Merged-chr2-164868622-33
NR5638--MA0769.1.Tcf7	chr7	101555790	101555801	-	0.000	0.000	Merged-chr7-101555691-65
NR3755--MA1421.1.TCF7L1	chr2	152810410	152810421	+	0.000	0.000	Merged-chr2-152810370-23
NR3574--MA1421.1.TCF7L1	chr2	90528495	90528506	+	0.000	0.000	Merged-chr2-90528384-23
