#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_up.bed
NR358--MA0463.1.Bcl6	chr11	57912017	57912030	+	0.000	0.000	Merged-chr11-57911963-18
NR1794--MA0731.1.BCL6B	chr6	31088367	31088383	-	0.000	0.000	Merged-chr6-31088452-52
NR1506--MA0463.1.Bcl6	chr4	63928366	63928379	-	0.000	0.000	Merged-chr4-63928441-11
NR1793--MA0463.1.Bcl6	chr6	31088367	31088380	-	0.000	0.000	Merged-chr6-31088452-52
NR1547--MA0463.1.Bcl6	chr4	107006366	107006379	-	0.000	0.000	Merged-chr4-107006366-21
NR291--MA0731.1.BCL6B	chr10	93985650	93985666	+	0.000	0.000	Merged-chr10-93985650-27
NR1181--MA0731.1.BCL6B	chr2	79005093	79005109	-	0.000	0.000	Merged-chr2-79004997-23
NR968--MA0731.1.BCL6B	chr17	86323625	86323641	-	0.000	0.000	Merged-chr17-86323453-65
NR374--MA0463.1.Bcl6	chr11	71996080	71996093	-	0.000	0.000	Merged-chr11-71996185-51
NR1844--MA0463.1.Bcl6	chr6	88939542	88939555	+	0.000	0.000	Merged-chr6-88939617-36
NR2146--MA0463.1.Bcl6	chr8	72285484	72285497	+	0.000	0.000	Merged-chr8-72285397-19
NR729--MA0463.1.Bcl6	chr14	103850544	103850557	+	0.000	0.000	Merged-chr14-103850623-36
NR1894--MA0463.1.Bcl6	chr6	127103099	127103112	+	0.000	0.000	Merged-chr6-127103000-20
NR1442--MA0463.1.Bcl6	chr3	152886882	152886895	+	0.000	0.000	Merged-chr3-152886887-20
NR2310--MA0731.1.BCL6B	chr9	118361240	118361256	+	0.000	0.000	Merged-chr9-118361138-26
NR1241--MA0463.1.Bcl6	chr2	144198942	144198955	+	0.000	0.000	Merged-chr2-144198804-26
NR667--MA0463.1.Bcl6	chr14	54165193	54165206	+	0.000	0.000	Merged-chr14-54165125-24
NR706--MA0731.1.BCL6B	chr14	73290157	73290173	+	0.000	0.000	Merged-chr14-73290096-39
NR914--MA0463.1.Bcl6	chr17	12165427	12165440	+	0.000	0.000	Merged-chr17-12165459-54
NR950--MA0463.1.Bcl6	chr17	57126000	57126013	-	0.000	0.000	Merged-chr17-57126152-41
NR149--MA0463.1.Bcl6	chr1	160054533	160054546	+	0.000	0.000	Merged-chr1-160054348-51
NR1874--MA0463.1.Bcl6	chr6	115946797	115946810	+	0.000	0.000	Merged-chr6-115946621-13
NR2180--MA0731.1.BCL6B	chr8	107503458	107503474	-	0.000	0.000	Merged-chr8-107503641-5
NR2116--MA0731.1.BCL6B	chr8	25264248	25264264	-	0.000	0.000	Merged-chr8-25264436-22
NR2096--MA0463.1.Bcl6	chr7	140193006	140193019	-	0.000	0.000	Merged-chr7-140193008-50
NR1333--MA0463.1.Bcl6	chr3	79210354	79210367	+	0.000	0.000	Merged-chr3-79210417-27
NR683--MA0463.1.Bcl6	chr14	65393682	65393695	-	0.000	0.000	Merged-chr14-65393664-9
NR308--MA0731.1.BCL6B	chr10	111478964	111478980	-	0.000	0.000	Merged-chr10-111478939-8
NR560--MA0463.1.Bcl6	chr13	44469934	44469947	-	0.000	0.000	Merged-chr13-44469890-10
NR668--MA0463.1.Bcl6	chr14	55025778	55025791	+	0.000	0.000	Merged-chr14-55025661-27
NR1014--MA0463.1.Bcl6	chr18	67290582	67290595	+	0.000	0.000	Merged-chr18-67290612-3
NR1225--MA0731.1.BCL6B	chr2	125735759	125735775	-	0.000	0.000	Merged-chr2-125735684-57
NR1377--MA0463.1.Bcl6	chr3	108718084	108718097	+	0.000	0.000	Merged-chr3-108718262-42
NR1180--MA0463.1.Bcl6	chr2	79005096	79005109	+	0.000	0.000	Merged-chr2-79004997-23
NR154--MA0463.1.Bcl6	chr1	162565200	162565213	-	0.000	0.000	Merged-chr1-162565187-22
NR1164--MA0731.1.BCL6B	chr2	59441660	59441676	-	0.000	0.000	Merged-chr2-59441702-10
NR492--MA0731.1.BCL6B	chr12	94115005	94115021	-	0.000	0.000	Merged-chr12-94114920-18
NR1828--MA0731.1.BCL6B	chr6	67127941	67127957	+	0.000	0.000	Merged-chr6-67128007-16
NR885--MA0731.1.BCL6B	chr16	76323590	76323606	-	0.000	0.000	Merged-chr16-76323771-64
NR986--MA0731.1.BCL6B	chr18	32880671	32880687	+	0.000	0.000	Merged-chr18-32880667-46
NR1692--MA0463.1.Bcl6	chr5	92624742	92624755	+	0.000	0.000	Merged-chr5-92624653-16
NR1903--MA0463.1.Bcl6	chr6	133986387	133986400	+	0.000	0.000	Merged-chr6-133986314-22
NR1074--MA0731.1.BCL6B	chr19	40300154	40300170	+	0.000	0.000	Merged-chr19-40300210-18
NR394--MA0731.1.BCL6B	chr11	97404287	97404303	-	0.000	0.000	Merged-chr11-97404114-1
NR251--MA0731.1.BCL6B	chr10	68054566	68054582	-	0.000	0.000	Merged-chr10-68054504-48
NR1211--MA0463.1.Bcl6	chr2	117374347	117374360	-	0.000	0.000	Merged-chr2-117374468-47
NR799--MA0463.1.Bcl6	chr15	81859149	81859162	-	0.000	0.000	Merged-chr15-81858977-32
NR1431--MA0731.1.BCL6B	chr3	148419638	148419654	-	0.000	0.000	Merged-chr3-148419698-33
NR383--MA0463.1.Bcl6	chr11	79698485	79698498	+	0.000	0.000	Merged-chr11-79698290-25
NR1275--MA0463.1.Bcl6	chr2	170355027	170355040	-	0.000	0.000	Merged-chr2-170355131-22
NR612--MA0463.1.Bcl6	chr13	104287242	104287255	-	0.000	0.000	Merged-chr13-104287389-4
NR1867--MA0463.1.Bcl6	chr6	108318376	108318389	-	0.000	0.000	Merged-chr6-108318445-25
NR1312--MA0463.1.Bcl6	chr3	52732081	52732094	-	0.000	0.000	Merged-chr3-52732187-17
NR2210--MA0463.1.Bcl6	chr9	5623462	5623475	-	0.000	0.000	Merged-chr9-5623590-21
NR1320--MA0731.1.BCL6B	chr3	63609872	63609888	-	0.000	0.000	Merged-chr3-63609909-22
NR2309--MA0463.1.Bcl6	chr9	117910900	117910913	-	0.000	0.000	Merged-chr9-117910970-21
NR2260--MA0463.1.Bcl6	chr9	78074163	78074176	-	0.000	0.000	Merged-chr9-78074095-46
NR928--MA0463.1.Bcl6	chr17	29304584	29304597	-	0.000	0.000	Merged-chr17-29304449-24
NR1059--MA0463.1.Bcl6	chr19	14668773	14668786	-	0.000	0.000	Merged-chr19-14668781-26
NR1155--MA0731.1.BCL6B	chr2	53102298	53102314	+	0.000	0.000	Merged-chr2-53102302-39
NR2199--MA0463.1.Bcl6	chr8	123051768	123051781	-	0.000	0.000	Merged-chr8-123051694-23
NR151--MA0463.1.Bcl6	chr1	160307338	160307351	-	0.000	0.000	Merged-chr1-160307254-61
