#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed
NR1583--MA0508.2.PRDM1	chr5	63943450	63943459	+	0.000	0.000	Merged-chr5-63943362-36
NR454--MA0508.2.PRDM1	chr12	36624184	36624193	-	0.000	0.000	Merged-chr12-36624085-4
NR433--MA0508.2.PRDM1	chr11	115463806	115463815	+	0.000	0.000	Merged-chr11-115463666-29
NR84--MA0508.2.PRDM1	chr1	136568853	136568862	-	0.000	0.000	Merged-chr1-136568866-12
NR1859--MA0508.2.PRDM1	chr7	39650917	39650926	+	0.000	0.000	Merged-chr7-39650740-5
NR664--MA0508.2.PRDM1	chr13	117390284	117390293	+	0.000	0.000	Merged-chr13-117390259-3
NR901--MA0508.2.PRDM1	chr16	96061193	96061202	-	0.000	0.000	Merged-chr16-96061094-16
NR425--MA0508.2.PRDM1	chr11	107539186	107539195	+	0.000	0.000	Merged-chr11-107539158-14
NR263--MA0508.2.PRDM1	chr10	77609845	77609854	-	0.000	0.000	Merged-chr10-77609801-14
NR133--MA0508.2.PRDM1	chr1	167212486	167212495	-	0.000	0.000	Merged-chr1-167212500-30
NR1023--MA0508.2.PRDM1	chr18	68190173	68190182	-	0.000	0.000	Merged-chr18-68190088-51
NR494--MA0508.2.PRDM1	chr12	98213918	98213927	+	0.000	0.000	Merged-chr12-98213891-9
NR622--MA0508.2.PRDM1	chr13	95427598	95427607	-	0.000	0.000	Merged-chr13-95427714-10
NR669--MA0508.2.PRDM1	chr13	119120442	119120451	+	0.000	0.000	Merged-chr13-119120490-1
NR364--MA0508.2.PRDM1	chr11	54161018	54161027	-	0.000	0.000	Merged-chr11-54161145-7
NR887--MA0508.2.PRDM1	chr16	87625582	87625591	+	0.000	0.000	Merged-chr16-87625520-13
NR1429--MA0508.2.PRDM1	chr4	11095661	11095670	-	0.000	0.000	Merged-chr4-11095738-16
NR1015--MA0508.2.PRDM1	chr18	61479915	61479924	+	0.000	0.000	Merged-chr18-61480035-15
NR377--MA0508.2.PRDM1	chr11	71230780	71230789	+	0.000	0.000	Merged-chr11-71230864-28
NR919--MA0508.2.PRDM1	chr17	26551377	26551386	+	0.000	0.000	Merged-chr17-26551311-33
NR505--MA0508.2.PRDM1	chr12	110381461	110381470	-	0.000	0.000	Merged-chr12-110381552-59
NR200--MA0508.2.PRDM1	chr10	12607463	12607472	+	0.000	0.000	Merged-chr10-12607451-15
NR1137--MA0508.2.PRDM1	chr2	21223067	21223076	+	0.000	0.000	Merged-chr2-21222970-39
NR2053--MA0508.2.PRDM1	chr9	7509854	7509863	-	0.000	0.000	Merged-chr9-7510063-49
NR194--MA0508.2.PRDM1	chr10	4357669	4357678	-	0.000	0.000	Merged-chr10-4357640-28
NR988--MA0508.2.PRDM1	chr18	13787159	13787168	+	0.000	0.000	Merged-chr18-13787099-71
NR845--MA0508.2.PRDM1	chr16	25970372	25970381	+	0.000	0.000	Merged-chr16-25970446-35
NR1259--MA0508.2.PRDM1	chr2	158136068	158136077	-	0.000	0.000	Merged-chr2-158136037-2
NR301--MA0508.2.PRDM1	chr10	115331040	115331049	+	0.000	0.000	Merged-chr10-115330938-3
NR2045--MA0508.2.PRDM1	chr8	128433663	128433672	-	0.000	0.000	Merged-chr8-128433570-8
NR109--MA0508.2.PRDM1	chr1	152084876	152084885	-	0.000	0.000	Merged-chr1-152084822-56
NR152--MA0508.2.PRDM1	chr1	179578866	179578875	+	0.000	0.000	Merged-chr1-179578897-31
NR1932--MA0508.2.PRDM1	chr7	115430369	115430378	-	0.000	0.000	Merged-chr7-115430253-20
NR436--MA0508.2.PRDM1	chr11	118731816	118731825	-	0.000	0.000	Merged-chr11-118731916-25
NR383--MA0508.2.PRDM1	chr11	74973510	74973519	+	0.000	0.000	Merged-chr11-74973432-13
NR144--MA0508.2.PRDM1	chr1	173624273	173624282	+	0.000	0.000	Merged-chr1-173624382-21
NR396--MA0508.2.PRDM1	chr11	84252631	84252640	+	0.000	0.000	Merged-chr11-84252620-21
NR157--MA0508.2.PRDM1	chr1	182100571	182100580	+	0.000	0.000	Merged-chr1-182100503-13
NR1491--MA0508.2.PRDM1	chr4	118449834	118449843	-	0.000	0.000	Merged-chr4-118449765-23
NR149--MA0508.2.PRDM1	chr1	177667227	177667236	-	0.000	0.000	Merged-chr1-177667213-17
NR2194--MA0508.2.PRDM1	chrX	105721306	105721315	+	0.000	0.000	Merged-chrX-105721364-12
NR1863--MA0508.2.PRDM1	chr7	44344860	44344869	+	0.000	0.000	Merged-chr7-44344765-20
NR115--MA0508.2.PRDM1	chr1	160006268	160006277	+	0.000	0.000	Merged-chr1-160006258-20
NR1972--MA0508.2.PRDM1	chr8	8334599	8334608	-	0.000	0.000	Merged-chr8-8334812-71
NR1210--MA0508.2.PRDM1	chr2	117352885	117352894	+	0.000	0.000	Merged-chr2-117352784-31
NR2173--MA0508.2.PRDM1	chrX	42366006	42366015	+	0.000	0.000	Merged-chrX-42366064-18
NR1855--MA0508.2.PRDM1	chr7	34918665	34918674	+	0.000	0.000	Merged-chr7-34918703-8
NR1441--MA0508.2.PRDM1	chr4	35004666	35004675	+	0.000	0.000	Merged-chr4-35004721-11
