#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_up.bed
NR725--MA0508.2.PRDM1	chr15	9567530	9567539	+	0.000	0.000	Merged-chr15-9567519-26
NR1118--MA0508.2.PRDM1	chr2	44354957	44354966	-	0.000	0.000	Merged-chr2-44354925-23
NR890--MA0508.2.PRDM1	chr17	26572246	26572255	-	0.000	0.000	Merged-chr17-26572396-49
NR685--MA0508.2.PRDM1	chr14	74918627	74918636	-	0.000	0.000	Merged-chr14-74918775-39
NR412--MA0508.2.PRDM1	chr12	8659992	8660001	-	0.000	0.000	Merged-chr12-8659979-34
NR1078--MA0508.2.PRDM1	chr19	55792951	55792960	+	0.000	0.000	Merged-chr19-55792789-50
NR255--MA0508.2.PRDM1	chr10	94021281	94021290	+	0.000	0.000	Merged-chr10-94021256-59
NR473--MA0508.2.PRDM1	chr12	101053592	101053601	-	0.000	0.000	Merged-chr12-101053641-9
NR1429--MA0508.2.PRDM1	chr3	148844485	148844494	-	0.000	0.000	Merged-chr3-148844306-23
NR200--MA0508.2.PRDM1	chr10	26879203	26879212	+	0.000	0.000	Merged-chr10-26879299-36
NR160--MA0508.2.PRDM1	chr1	191609756	191609765	-	0.000	0.000	Merged-chr1-191609738-30
NR18--MA0508.2.PRDM1	chr1	60017118	60017127	-	0.000	0.000	Merged-chr1-60017133-4
NR688--MA0508.2.PRDM1	chr14	76188298	76188307	+	0.000	0.000	Merged-chr14-76188312-28
NR449--MA0508.2.PRDM1	chr12	79522671	79522680	+	0.000	0.000	Merged-chr12-79522633-19
NR829--MA0508.2.PRDM1	chr16	52132955	52132964	-	0.000	0.000	Merged-chr16-52133067-26
NR808--MA0508.2.PRDM1	chr16	27350333	27350342	-	0.000	0.000	Merged-chr16-27350365-12
NR1850--MA0508.2.PRDM1	chr7	16001783	16001792	-	0.000	0.000	Merged-chr7-16001989-41
NR768--MA0508.2.PRDM1	chr15	95885123	95885132	+	0.000	0.000	Merged-chr15-95885143-33
NR1191--MA0508.2.PRDM1	chr2	117089713	117089722	-	0.000	0.000	Merged-chr2-117089625-28
NR1821--MA0508.2.PRDM1	chr6	136683929	136683938	+	0.000	0.000	Merged-chr6-136683885-26
NR1311--MA0508.2.PRDM1	chr3	59222492	59222501	-	0.000	0.000	Merged-chr3-59222464-17
NR910--MA0508.2.PRDM1	chr17	45703389	45703398	-	0.000	0.000	Merged-chr17-45703436-19
NR189--MA0508.2.PRDM1	chr10	17828041	17828050	-	0.000	0.000	Merged-chr10-17827922-26
NR1316--MA0508.2.PRDM1	chr3	65858203	65858212	+	0.000	0.000	Merged-chr3-65858192-18
NR2136--MA0508.2.PRDM1	chr9	105485492	105485501	-	0.000	0.000	Merged-chr9-105485406-20
NR1133--MA0508.2.PRDM1	chr2	60080213	60080222	+	0.000	0.000	Merged-chr2-60080152-7
NR1927--MA0508.2.PRDM1	chr7	119842263	119842272	-	0.000	0.000	Merged-chr7-119842164-15
NR2096--MA0508.2.PRDM1	chr9	69467470	69467479	-	0.000	0.000	Merged-chr9-69467550-22
NR1614--MA0508.2.PRDM1	chr5	53994860	53994869	+	0.000	0.000	Merged-chr5-53994753-10
NR1200--MA0508.2.PRDM1	chr2	124634787	124634796	-	0.000	0.000	Merged-chr2-124634585-20
NR1749--MA0508.2.PRDM1	chr6	94646499	94646508	-	0.000	0.000	Merged-chr6-94646597-32
NR1205--MA0508.2.PRDM1	chr2	128477568	128477577	-	0.000	0.000	Merged-chr2-128477483-12
NR1728--MA0508.2.PRDM1	chr6	65564421	65564430	-	0.000	0.000	Merged-chr6-65564422-101
NR1043--MA0508.2.PRDM1	chr19	23523817	23523826	+	0.000	0.000	Merged-chr19-23523973-15
NR1295--MA0508.2.PRDM1	chr3	32417918	32417927	-	0.000	0.000	Merged-chr3-32417870-35
NR804--MA0508.2.PRDM1	chr16	24836748	24836757	-	0.000	0.000	Merged-chr16-24836747-26
NR1579--MA0508.2.PRDM1	chr4	148998272	148998281	-	0.000	0.000	Merged-chr4-148998288-20
NR764--MA0508.2.PRDM1	chr15	94565076	94565085	-	0.000	0.000	Merged-chr15-94565077-32
NR1287--MA0508.2.PRDM1	chr3	18243930	18243939	-	0.000	0.000	Merged-chr3-18243680-52
NR1558--MA0508.2.PRDM1	chr4	136031644	136031653	+	0.000	0.000	Merged-chr4-136031447-41
NR1048--MA0508.2.PRDM1	chr19	30924284	30924293	-	0.000	0.000	Merged-chr19-30924347-34
