#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed
NR725--MA0508.2.PRDM1	chr14	73175902	73175911	+	0.000	0.000	Merged-chr14-73175814-32
NR1615--MA0508.2.PRDM1	chr5	45790404	45790413	-	0.000	0.000	Merged-chr5-45790409-20
NR760--MA0508.2.PRDM1	chr14	118109989	118109998	+	0.000	0.000	Merged-chr14-118109992-14
NR393--MA0508.2.PRDM1	chr11	80498186	80498195	-	0.000	0.000	Merged-chr11-80498094-2
NR839--MA0508.2.PRDM1	chr16	11285845	11285854	-	0.000	0.000	Merged-chr16-11286053-13
NR1315--MA0508.2.PRDM1	chr3	55659874	55659883	-	0.000	0.000	Merged-chr3-55660012-44
NR460--MA0508.2.PRDM1	chr12	33220845	33220854	-	0.000	0.000	Merged-chr12-33220672-27
NR526--MA0508.2.PRDM1	chr12	110389527	110389536	+	0.000	0.000	Merged-chr12-110389691-32
NR26--MA0508.2.PRDM1	chr1	52274472	52274481	+	0.000	0.000	Merged-chr1-52274408-12
NR574--MA0508.2.PRDM1	chr13	29522759	29522768	-	0.000	0.000	Merged-chr13-29522774-10
NR478--MA0508.2.PRDM1	chr12	70995479	70995488	+	0.000	0.000	Merged-chr12-70995410-19
NR606--MA0508.2.PRDM1	chr13	83649954	83649963	+	0.000	0.000	Merged-chr13-83649966-15
NR18--MA0508.2.PRDM1	chr1	40190066	40190075	-	0.000	0.000	Merged-chr1-40190206-19
NR1980--MA0508.2.PRDM1	chr7	113263266	113263275	+	0.000	0.000	Merged-chr7-113263148-32
NR1916--MA0508.2.PRDM1	chr7	44344854	44344863	+	0.000	0.000	Merged-chr7-44344765-20
NR1332--MA0508.2.PRDM1	chr3	84570664	84570673	-	0.000	0.000	Merged-chr3-84570776-21
NR2109--MA0508.2.PRDM1	chr9	7576796	7576805	-	0.000	0.000	Merged-chr9-7576753-19
NR107--MA0508.2.PRDM1	chr1	151125200	151125209	+	0.000	0.000	Merged-chr1-151125310-30
NR1441--MA0508.2.PRDM1	chr3	155235619	155235628	-	0.000	0.000	Merged-chr3-155235663-12
NR359--MA0508.2.PRDM1	chr11	40718501	40718510	-	0.000	0.000	Merged-chr11-40718408-12
NR1616--MA0508.2.PRDM1	chr5	46445963	46445972	+	0.000	0.000	Merged-chr5-46445949-13
NR1813--MA0508.2.PRDM1	chr6	114777928	114777937	-	0.000	0.000	Merged-chr6-114777982-17
NR992--MA0508.2.PRDM1	chr17	86041012	86041021	-	0.000	0.000	Merged-chr17-86040828-28
NR1011--MA0508.2.PRDM1	chr18	40308109	40308118	-	0.000	0.000	Merged-chr18-40308184-41
NR1351--MA0508.2.PRDM1	chr3	97948830	97948839	-	0.000	0.000	Merged-chr3-97948797-28
NR1757--MA0508.2.PRDM1	chr6	70103465	70103474	-	0.000	0.000	Merged-chr6-70103466-27
NR942--MA0508.2.PRDM1	chr17	31011636	31011645	-	0.000	0.000	Merged-chr17-31011806-34
NR1165--MA0508.2.PRDM1	chr2	57833151	57833160	+	0.000	0.000	Merged-chr2-57833187-31
NR1069--MA0508.2.PRDM1	chr19	11464977	11464986	-	0.000	0.000	Merged-chr19-11464953-24
NR33--MA0508.2.PRDM1	chr1	62986438	62986447	-	0.000	0.000	Merged-chr1-62986538-11
NR220--MA0508.2.PRDM1	chr10	43783360	43783369	-	0.000	0.000	Merged-chr10-43783399-14
NR573--MA0508.2.PRDM1	chr13	28502176	28502185	+	0.000	0.000	Merged-chr13-28502397-49
NR443--MA0508.2.PRDM1	chr12	15930301	15930310	-	0.000	0.000	Merged-chr12-15930360-26
NR204--MA0508.2.PRDM1	chr10	24111283	24111292	+	0.000	0.000	Merged-chr10-24111264-14
NR1197--MA0508.2.PRDM1	chr2	91078435	91078444	+	0.000	0.000	Merged-chr2-91078502-21
NR706--MA0508.2.PRDM1	chr14	58968109	58968118	+	0.000	0.000	Merged-chr14-58968106-10
NR796--MA0508.2.PRDM1	chr15	53474281	53474290	-	0.000	0.000	Merged-chr15-53474355-25
NR2092--MA0508.2.PRDM1	chr8	116617438	116617447	-	0.000	0.000	Merged-chr8-116617441-19
NR299--MA0508.2.PRDM1	chr10	111912369	111912378	+	0.000	0.000	Merged-chr10-111912286-27
NR1870--MA0508.2.PRDM1	chr6	145285860	145285869	+	0.000	0.000	Merged-chr6-145285757-35
NR897--MA0508.2.PRDM1	chr16	76901191	76901200	+	0.000	0.000	Merged-chr16-76901209-11
NR244--MA0508.2.PRDM1	chr10	67698037	67698046	-	0.000	0.000	Merged-chr10-67697981-39
NR515--MA0508.2.PRDM1	chr12	99946277	99946286	-	0.000	0.000	Merged-chr12-99946342-2
NR1501--MA0508.2.PRDM1	chr4	87859433	87859442	+	0.000	0.000	Merged-chr4-87859378-14
NR616--MA0508.2.PRDM1	chr13	92671879	92671888	-	0.000	0.000	Merged-chr13-92671922-24
