#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR5981--MA0523.1.TCF7L2	chr3	152127434	152127447	+	0.000	0.000	Merged-chr3-152127515-20
NR3296--MA0523.1.TCF7L2	chr15	94235388	94235401	-	0.000	0.000	Merged-chr15-94235397-15
NR7121--MA0769.1.Tcf7	chr6	37617598	37617609	+	0.000	0.000	Merged-chr6-37617601-15
NR8032--MA1421.1.TCF7L1	chr7	128669094	128669105	-	0.000	0.000	Merged-chr7-128669075-5
NR6255--MA0769.1.Tcf7	chr4	88122427	88122438	+	0.000	0.000	Merged-chr4-88122493-27
NR817--MA0523.1.TCF7L2	chr10	25918280	25918293	+	0.000	0.000	Merged-chr10-25918351-16
NR1813--MA0769.1.Tcf7	chr12	53024928	53024939	-	0.000	0.000	Merged-chr12-53024873-19
NR8705--MA0523.1.TCF7L2	chr9	65084567	65084580	-	0.000	0.000	Merged-chr9-65084631-10
NR5501--MA0769.1.Tcf7	chr3	59277951	59277962	+	0.000	0.000	Merged-chr3-59277984-20
NR3666--MA0769.1.Tcf7	chr16	91413339	91413350	+	0.000	0.000	Merged-chr16-91413429-37
NR1043--MA0769.1.Tcf7	chr10	83591075	83591086	+	0.000	0.000	Merged-chr10-83590901-21
NR5410--MA0523.1.TCF7L2	chr3	15194479	15194492	-	0.000	0.000	Merged-chr3-15194521-11
NR5434--MA1421.1.TCF7L1	chr3	28318055	28318066	-	0.000	0.000	Merged-chr3-28318064-9
NR2438--MA0523.1.TCF7L2	chr13	92639029	92639042	-	0.000	0.000	Merged-chr13-92639220-17
NR2491--MA1421.1.TCF7L1	chr13	103357027	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR2254--MA0769.1.Tcf7	chr13	44210324	44210335	+	0.000	0.000	Merged-chr13-44210381-13
NR1793--MA0523.1.TCF7L2	chr12	41337046	41337059	-	0.000	0.000	Merged-chr12-41336902-7
NR6600--MA0523.1.TCF7L2	chr5	36140747	36140760	+	0.000	0.000	Merged-chr5-36140594-4,Merged-chr5-36140888-1
NR5215--MA1421.1.TCF7L1	chr2	150130342	150130353	+	0.000	0.000	Merged-chr2-150130462-1
NR4099--MA0523.1.TCF7L2	chr18	38584793	38584806	-	0.000	0.000	Merged-chr18-38584729-14
NR393--MA0769.1.Tcf7	chr1	134332984	134332995	+	0.000	0.000	Merged-chr1-134332992-10
NR7673--MA0523.1.TCF7L2	chr7	19202621	19202634	-	0.000	0.000	Merged-chr7-19202544-28
