#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR4876--MA0035.3.Gata1	chr3	60565492	60565502	-	0.000	0.000	Merged-chr3-60565389-13
NR3701--MA0037.3.GATA3	chr18	46448741	46448748	+	0.000	0.000	Merged-chr18-46448750-18
NR3155--MA0482.1.Gata4	chr16	57319937	57319947	-	0.000	0.000	Merged-chr16-57319907-20
NR7124--MA0035.3.Gata1	chr8	8685731	8685741	-	0.000	0.000	Merged-chr8-8685770-4
NR7469--MA1104.1.GATA6	chr9	7576784	7576796	+	0.000	0.000	Merged-chr9-7576753-19
NR2343--MA0766.1.GATA5	chr14	31401017	31401024	+	0.000	0.000	Merged-chr14-31401139-16
NR6248--MA0037.3.GATA3	chr6	49354721	49354728	-	0.000	0.000	Merged-chr6-49354722-8
NR4839--MA0037.3.GATA3	chr3	37738511	37738518	+	0.000	0.000	Merged-chr3-37738517-40
NR1507--MA0482.1.Gata4	chr12	40427688	40427698	-	0.000	0.000	Merged-chr12-40427719-34
NR3281--MA1104.1.GATA6	chr16	92307631	92307643	+	0.000	0.000	Merged-chr16-92307633-7
NR854--MA0036.3.GATA2	chr10	80827013	80827023	-	0.000	0.000	Merged-chr10-80827107-1
NR5484--MA1104.1.GATA6	chr4	88275646	88275658	-	0.000	0.000	Merged-chr4-88275744-16
NR363--MA1104.1.GATA6	chr1	133571484	133571496	+	0.000	0.000	Merged-chr1-133571423-3
NR3217--MA1104.1.GATA6	chr16	66086700	66086712	-	0.000	0.000	Merged-chr16-66086640-17
NR2293--MA0036.3.GATA2	chr14	19979554	19979564	-	0.000	0.000	Merged-chr14-19979538-4
NR986--MA0766.1.GATA5	chr10	117377488	117377495	-	0.000	0.000	Merged-chr10-117377577-5
NR7904--MA0140.2.GATA1::TAL1	chr9	119255026	119255043	+	0.000	0.000	Merged-chr9-119254891-26
NR5032--MA0482.1.Gata4	chr3	115704680	115704690	-	0.000	0.000	Merged-chr3-115704719-34
NR7259--MA0035.3.Gata1	chr8	69168492	69168502	-	0.000	0.000	Merged-chr8-69168549-18
NR1348--MA0035.3.Gata1	chr11	100545860	100545870	+	0.000	0.000	Merged-chr11-100545700-39
NR2749--MA0766.1.GATA5	chr15	36440115	36440122	+	0.000	0.000	Merged-chr15-36440213-15
NR2012--MA0035.3.Gata1	chr13	63548593	63548603	-	0.000	0.000	Merged-chr13-63548573-9
NR4810--MA0482.1.Gata4	chr3	27067360	27067370	+	0.000	0.000	Merged-chr3-27067455-6
NR6742--MA0482.1.Gata4	chr7	19093680	19093690	+	0.000	0.000	Merged-chr7-19093740-100
NR5297--MA0482.1.Gata4	chr4	11404221	11404231	+	0.000	0.000	Merged-chr4-11404244-13
NR7980--MA0037.3.GATA3	chrX	135962558	135962565	+	0.000	0.000	Merged-chrX-135962489-11
NR5822--MA0140.2.GATA1::TAL1	chr5	32767952	32767969	-	0.000	0.000	Merged-chr5-32768073-31
NR5700--MA0037.3.GATA3	chr4	148638466	148638473	+	0.000	0.000	Merged-chr4-148638535-16
