#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-log2fc-1_up.bed
NR1126--MA0508.2.PRDM1	chr18	68969006	68969015	+	0.000	0.000	Merged-chr18-68968994-3
NR1506--MA0508.2.PRDM1	chr3	108781689	108781698	+	0.000	0.000	Merged-chr3-108781707-12
NR1758--MA0508.2.PRDM1	chr4	149914600	149914609	+	0.000	0.000	Merged-chr4-149914394-27
NR1519--MA0508.2.PRDM1	chr3	121105080	121105089	-	0.000	0.000	Merged-chr3-121105161-35
NR1105--MA0508.2.PRDM1	chr18	55681661	55681670	-	0.000	0.000	Merged-chr18-55681578-17
NR1466--MA0508.2.PRDM1	chr3	81339656	81339665	-	0.000	0.000	Merged-chr3-81339811-7
NR84--MA0508.2.PRDM1	chr1	106866849	106866858	-	0.000	0.000	Merged-chr1-106866899-32
NR542--MA0508.2.PRDM1	chr12	107016932	107016941	-	0.000	0.000	Merged-chr12-107016974-8
NR794--MA0508.2.PRDM1	chr14	79234765	79234774	-	0.000	0.000	Merged-chr14-79234697-12
NR922--MA0508.2.PRDM1	chr16	21836808	21836817	+	0.000	0.000	Merged-chr16-21836791-13
NR1607--MA0508.2.PRDM1	chr4	14921998	14922007	+	0.000	0.000	Merged-chr4-14922203-28
NR1859--MA0508.2.PRDM1	chr5	100896485	100896494	-	0.000	0.000	Merged-chr5-100896571-13
NR2252--MA0508.2.PRDM1	chr8	33892341	33892350	-	0.000	0.000	Merged-chr8-33892285-10
NR425--MA0508.2.PRDM1	chr11	97905575	97905584	+	0.000	0.000	Merged-chr11-97905718-19
NR1044--MA0508.2.PRDM1	chr17	65740403	65740412	-	0.000	0.000	Merged-chr17-65740416-17
NR2340--MA0508.2.PRDM1	chr8	128077461	128077470	+	0.000	0.000	Merged-chr8-128077358-1
NR481--MA0508.2.PRDM1	chr12	52615855	52615864	-	0.000	0.000	Merged-chr12-52615986-19
NR1166--MA0508.2.PRDM1	chr19	16172897	16172906	-	0.000	0.000	Merged-chr19-16172957-13
NR1437--MA0508.2.PRDM1	chr3	52523068	52523077	-	0.000	0.000	Merged-chr3-52523173-17
NR133--MA0508.2.PRDM1	chr1	156206230	156206239	+	0.000	0.000	Merged-chr1-156206326-26
NR927--MA0508.2.PRDM1	chr16	25250333	25250342	+	0.000	0.000	Merged-chr16-25250353-21
NR255--MA0508.2.PRDM1	chr10	60000174	60000183	+	0.000	0.000	Merged-chr10-60000232-10
NR364--MA0508.2.PRDM1	chr11	32000055	32000064	-	0.000	0.000	Merged-chr11-32000120-91
NR473--MA0508.2.PRDM1	chr12	33389132	33389141	-	0.000	0.000	Merged-chr12-33389022-18
NR486--MA0508.2.PRDM1	chr12	53032943	53032952	-	0.000	0.000	Merged-chr12-53032976-31
NR2202--MA0508.2.PRDM1	chr7	126467317	126467326	+	0.000	0.000	Merged-chr7-126467456-1
NR104--MA0508.2.PRDM1	chr1	127732844	127732853	+	0.000	0.000	Merged-chr1-127732945-24
NR2420--MA0508.2.PRDM1	chr9	80869992	80870001	-	0.000	0.000	Merged-chr9-80870053-3
NR26--MA0508.2.PRDM1	chr1	37310048	37310057	+	0.000	0.000	Merged-chr1-37310125-13
NR290--MA0508.2.PRDM1	chr10	86794991	86795000	+	0.000	0.000	Merged-chr10-86794881-42
NR627--MA0508.2.PRDM1	chr13	52617344	52617353	-	0.000	0.000	Merged-chr13-52617361-10
NR117--MA0508.2.PRDM1	chr1	138952323	138952332	+	0.000	0.000	Merged-chr1-138952405-35
NR369--MA0508.2.PRDM1	chr11	34101846	34101855	+	0.000	0.000	Merged-chr11-34101959-21
NR2271--MA0508.2.PRDM1	chr8	53630825	53630834	-	0.000	0.000	Merged-chr8-53630787-29
NR1940--MA0508.2.PRDM1	chr6	52991365	52991374	+	0.000	0.000	Merged-chr6-52991289-8
NR2032--MA0508.2.PRDM1	chr6	119159780	119159789	-	0.000	0.000	Merged-chr6-119159656-11
NR173--MA0508.2.PRDM1	chr1	176939833	176939842	-	0.000	0.000	Merged-chr1-176939939-16
NR2250--MA0508.2.PRDM1	chr8	25132731	25132740	+	0.000	0.000	Merged-chr8-25132757-32
NR728--MA0508.2.PRDM1	chr14	12307795	12307804	-	0.000	0.000	Merged-chr14-12307905-40
NR707--MA0508.2.PRDM1	chr13	112447339	112447348	-	0.000	0.000	Merged-chr13-112447320-26
NR2133--MA0508.2.PRDM1	chr7	76047974	76047983	+	0.000	0.000	Merged-chr7-76048040-27
NR2308--MA0508.2.PRDM1	chr8	101687071	101687080	-	0.000	0.000	Merged-chr8-101687261-3
NR1783--MA0508.2.PRDM1	chr5	34822677	34822686	-	0.000	0.000	Merged-chr5-34822830-22
NR2080--MA0508.2.PRDM1	chr6	146072170	146072179	+	0.000	0.000	Merged-chr6-146072064-12
NR1924--MA0508.2.PRDM1	chr6	30592156	30592165	+	0.000	0.000	Merged-chr6-30592201-27
NR2221--MA0508.2.PRDM1	chr7	138848443	138848452	+	0.000	0.000	Merged-chr7-138848569-2
NR157--MA0508.2.PRDM1	chr1	169919420	169919429	+	0.000	0.000	Merged-chr1-169919458-18
NR428--MA0508.2.PRDM1	chr11	99116171	99116180	+	0.000	0.000	Merged-chr11-99116157-23
NR1871--MA0508.2.PRDM1	chr5	113994108	113994117	-	0.000	0.000	Merged-chr5-113994160-2
NR2505--MA0508.2.PRDM1	chrX	159199720	159199729	+	0.000	0.000	Merged-chrX-159199808-53
NR1903--MA0508.2.PRDM1	chr5	149017746	149017755	+	0.000	0.000	Merged-chr5-149017827-20
NR388--MA0508.2.PRDM1	chr11	72843226	72843235	+	0.000	0.000	Merged-chr11-72843194-9
NR2194--MA0508.2.PRDM1	chr7	122932333	122932342	-	0.000	0.000	Merged-chr7-122932357-26
NR258--MA0508.2.PRDM1	chr10	61658069	61658078	+	0.000	0.000	Merged-chr10-61658061-29
NR2335--MA0508.2.PRDM1	chr8	126699471	126699480	+	0.000	0.000	Merged-chr8-126699390-72
NR476--MA0508.2.PRDM1	chr12	41770112	41770121	+	0.000	0.000	Merged-chr12-41770163-15
NR128--MA0508.2.PRDM1	chr1	152053499	152053508	-	0.000	0.000	Merged-chr1-152053412-31
NR237--MA0508.2.PRDM1	chr10	40479336	40479345	-	0.000	0.000	Merged-chr10-40479489-48
NR508--MA0508.2.PRDM1	chr12	82171162	82171171	+	0.000	0.000	Merged-chr12-82171094-10
NR1571--MA0508.2.PRDM1	chr3	148336316	148336325	+	0.000	0.000	Merged-chr3-148336244-12
NR2348--MA0508.2.PRDM1	chr9	7576796	7576805	-	0.000	0.000	Merged-chr9-7576753-19
NR1951--MA0508.2.PRDM1	chr6	59363440	59363449	+	0.000	0.000	Merged-chr6-59363496-31
NR2186--MA0508.2.PRDM1	chr7	115661830	115661839	-	0.000	0.000	Merged-chr7-115661856-1
NR2109--MA0508.2.PRDM1	chr7	49451000	49451009	+	0.000	0.000	Merged-chr7-49451105-18
