#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed
NR1504--MA0684.1.RUNX3	chr10	130434433	130434442	+	0.000	0.000	Merged-chr10-130434426-5
NR3592--MA0511.2.RUNX2	chr14	67911799	67911807	+	0.000	0.000	Merged-chr14-67911920-26
NR4733--MA0002.2.RUNX1	chr17	25867732	25867742	+	0.000	0.000	Merged-chr17-25867746-11
NR10931--MA0511.2.RUNX2	chr9	115299298	115299306	+	0.000	0.000	Merged-chr9-115299283-20
NR3145--MA0002.2.RUNX1	chr13	98684463	98684473	-	0.000	0.000	Merged-chr13-98684546-11
NR10613--MA0684.1.RUNX3	chr9	69065961	69065970	-	0.000	0.000	Merged-chr9-69066025-13
NR3002--MA0002.2.RUNX1	chr13	73955715	73955725	+	0.000	0.000	Merged-chr13-73955669-7
NR432--MA0002.2.RUNX1	chr1	125487532	125487542	-	0.000	0.000	Merged-chr1-125487640-13
NR4971--MA0684.1.RUNX3	chr17	73810290	73810299	-	0.000	0.000	Merged-chr17-73810198-2
NR1944--MA0511.2.RUNX2	chr11	89145626	89145634	-	0.000	0.000	Merged-chr11-89145462-12
NR7756--MA0002.2.RUNX1	chr4	149664190	149664200	-	0.000	0.000	Merged-chr4-149664202-47
NR1451--MA0684.1.RUNX3	chr10	121382803	121382812	-	0.000	0.000	Merged-chr10-121382753-17
NR4680--MA0002.2.RUNX1	chr17	12351830	12351840	+	0.000	0.000	Merged-chr17-12351777-16
NR7408--MA0002.2.RUNX1	chr4	88088935	88088945	+	0.000	0.000	Merged-chr4-88088936-18
NR6760--MA0684.1.RUNX3	chr3	86837546	86837555	-	0.000	0.000	Merged-chr3-86837478-31
NR3777--MA0002.2.RUNX1	chr14	123163086	123163096	-	0.000	0.000	Merged-chr14-123163033-38
NR6740--MA0002.2.RUNX1	chr3	84093124	84093134	-	0.000	0.000	Merged-chr3-84093112-19
NR7180--MA0002.2.RUNX1	chr3	157803385	157803395	+	0.000	0.000	Merged-chr3-157803404-34
NR7517--MA0002.2.RUNX1	chr4	108371652	108371662	-	0.000	0.000	Merged-chr4-108371608-19
NR5295--MA0002.2.RUNX1	chr18	66441215	66441225	-	0.000	0.000	Merged-chr18-66441212-1
NR445--MA0002.2.RUNX1	chr1	127651301	127651311	-	0.000	0.000	Merged-chr1-127651305-2
NR96--MA0002.2.RUNX1	chr1	40470100	40470110	+	0.000	0.000	Merged-chr1-40470075-45
NR10212--MA0684.1.RUNX3	chr8	114879898	114879907	-	0.000	0.000	Merged-chr8-114879936-19
NR1735--MA0684.1.RUNX3	chr11	54226764	54226773	+	0.000	0.000	Merged-chr11-54226871-4
NR9035--MA0002.2.RUNX1	chr6	130288355	130288365	-	0.000	0.000	Merged-chr6-130288327-19
NR4964--MA0002.2.RUNX1	chr17	73514140	73514150	+	0.000	0.000	Merged-chr17-73514079-25
NR1987--MA0684.1.RUNX3	chr11	97129169	97129178	-	0.000	0.000	Merged-chr11-97129027-2
NR3124--MA0002.2.RUNX1	chr13	95913142	95913152	+	0.000	0.000	Merged-chr13-95913173-23
NR10587--MA0002.2.RUNX1	chr9	63785571	63785581	-	0.000	0.000	Merged-chr9-63785726-16
NR5599--MA0684.1.RUNX3	chr19	40300140	40300149	+	0.000	0.000	Merged-chr19-40300210-18
NR7292--MA0511.2.RUNX2	chr4	47300828	47300836	-	0.000	0.000	Merged-chr4-47300829-7
NR3319--MA0684.1.RUNX3	chr13	119657288	119657297	+	0.000	0.000	Merged-chr13-119657260-10
NR3376--MA0002.2.RUNX1	chr14	21654029	21654039	-	0.000	0.000	Merged-chr14-21654080-31
NR4950--MA0684.1.RUNX3	chr17	71192225	71192234	+	0.000	0.000	Merged-chr17-71192022-46
NR7070--MA0684.1.RUNX3	chr3	142281331	142281340	+	0.000	0.000	Merged-chr3-142281213-32
NR2251--MA0002.2.RUNX1	chr12	32285284	32285294	-	0.000	0.000	Merged-chr12-32285209-18
NR3233--MA0002.2.RUNX1	chr13	108303436	108303446	+	0.000	0.000	Merged-chr13-108303499-73
NR934--MA0002.2.RUNX1	chr10	13970471	13970481	+	0.000	0.000	Merged-chr10-13970545-12
NR1348--MA0002.2.RUNX1	chr10	111213766	111213776	+	0.000	0.000	Merged-chr10-111213770-2
NR9001--MA0002.2.RUNX1	chr6	127302987	127302997	-	0.000	0.000	Merged-chr6-127302896-25
NR10652--MA0511.2.RUNX2	chr9	71848614	71848622	-	0.000	0.000	Merged-chr9-71848464-7
NR10923--MA0511.2.RUNX2	chr9	113924517	113924525	+	0.000	0.000	Merged-chr9-113924509-5
NR8099--MA0684.1.RUNX3	chr5	92624630	92624639	-	0.000	0.000	Merged-chr5-92624653-16
NR65--MA0511.2.RUNX2	chr1	36883849	36883857	+	0.000	0.000	Merged-chr1-36883943-16
NR10077--MA0002.2.RUNX1	chr8	81572864	81572874	-	0.000	0.000	Merged-chr8-81572647-16
NR4139--MA0684.1.RUNX3	chr15	100265823	100265832	+	0.000	0.000	Merged-chr15-100265875-19
NR11207--MA0684.1.RUNX3	chrX	164318752	164318761	+	0.000	0.000	Merged-chrX-164318746-35
NR7053--MA0511.2.RUNX2	chr3	141690927	141690935	+	0.000	0.000	Merged-chr3-141690828-16
NR7324--MA0511.2.RUNX2	chr4	58050835	58050843	-	0.000	0.000	Merged-chr4-58050773-31
NR6--MA0511.2.RUNX2	chr1	7147198	7147206	+	0.000	0.000	Merged-chr1-7147128-26
NR4563--MA0002.2.RUNX1	chr16	91562219	91562229	+	0.000	0.000	Merged-chr16-91562152-19
NR8380--MA0002.2.RUNX1	chr5	140838991	140839001	-	0.000	0.000	Merged-chr5-140838792-15
NR8922--MA0002.2.RUNX1	chr6	119451208	119451218	-	0.000	0.000	Merged-chr6-119451010-23
NR7211--MA0684.1.RUNX3	chr4	11077683	11077692	+	0.000	0.000	Merged-chr4-11077783-17
NR4943--MA0002.2.RUNX1	chr17	65817915	65817925	+	0.000	0.000	Merged-chr17-65817855-23
NR903--MA0511.2.RUNX2	chr10	4977487	4977495	-	0.000	0.000	Merged-chr10-4977529-37
NR5449--MA0002.2.RUNX1	chr19	6304990	6305000	+	0.000	0.000	Merged-chr19-6305008-11
NR8760--MA0002.2.RUNX1	chr6	88939627	88939637	+	0.000	0.000	Merged-chr6-88939617-36
NR1569--MA0511.2.RUNX2	chr11	16952288	16952296	+	0.000	0.000	Merged-chr11-16952284-5
NR2600--MA0511.2.RUNX2	chr12	108601020	108601028	-	0.000	0.000	Merged-chr12-108601181-28
NR10218--MA0002.2.RUNX1	chr8	115408663	115408673	-	0.000	0.000	Merged-chr8-115408581-14
NR7509--MA0002.2.RUNX1	chr4	107093068	107093078	+	0.000	0.000	Merged-chr4-107093201-1
NR642--MA0002.2.RUNX1	chr1	162748945	162748955	+	0.000	0.000	Merged-chr1-162748962-1
NR10360--MA0511.2.RUNX2	chr8	128577441	128577449	-	0.000	0.000	Merged-chr8-128577516-12
NR10902--MA0511.2.RUNX2	chr9	111143603	111143611	-	0.000	0.000	Merged-chr9-111143629-7
NR1012--MA0511.2.RUNX2	chr10	40163495	40163503	-	0.000	0.000	Merged-chr10-40163524-42
NR5415--MA0002.2.RUNX1	chr18	84419106	84419116	-	0.000	0.000	Merged-chr18-84419143-8
NR9027--MA0002.2.RUNX1	chr6	130103006	130103016	-	0.000	0.000	Merged-chr6-130103023-31
NR7076--MA0002.2.RUNX1	chr3	142892308	142892318	-	0.000	0.000	Merged-chr3-142892335-19
NR1806--MA0511.2.RUNX2	chr11	67580585	67580593	+	0.000	0.000	Merged-chr11-67580687-16
NR5001--MA0002.2.RUNX1	chr17	80441972	80441982	+	0.000	0.000	Merged-chr17-80441791-30
NR8921--MA0684.1.RUNX3	chr6	119408840	119408849	-	0.000	0.000	Merged-chr6-119408748-28
NR480--MA0002.2.RUNX1	chr1	132618078	132618088	+	0.000	0.000	Merged-chr1-132618127-11
NR1042--MA0684.1.RUNX3	chr10	53374375	53374384	+	0.000	0.000	Merged-chr10-53374413-9
