#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_up.bed
NR22--MA0731.1.BCL6B	chr1	53843227	53843243	+	0.000	0.000	Merged-chr1-53843171-20
NR1999--MA0463.1.Bcl6	chr9	43784218	43784231	+	0.000	0.000	Merged-chr9-43784156-3
NR376--MA0731.1.BCL6B	chr11	110911232	110911248	-	0.000	0.000	Merged-chr11-110911126-2
NR1431--MA0463.1.Bcl6	chr4	120959634	120959647	+	0.000	0.000	Merged-chr4-120959527-5
NR329--MA0731.1.BCL6B	chr11	64047672	64047688	+	0.000	0.000	Merged-chr11-64047597-23
NR1452--MA0463.1.Bcl6	chr4	138259675	138259688	+	0.000	0.000	Merged-chr4-138259629-9
NR1573--MA0731.1.BCL6B	chr5	124022443	124022459	+	0.000	0.000	Merged-chr5-124022476-27
NR1063--MA0731.1.BCL6B	chr2	53102298	53102314	+	0.000	0.000	Merged-chr2-53102302-39
NR1727--MA0731.1.BCL6B	chr6	140801177	140801193	-	0.000	0.000	Merged-chr6-140801246-11
NR1788--MA0731.1.BCL6B	chr7	64228657	64228673	+	0.000	0.000	Merged-chr7-64228536-6
NR1908--MA0463.1.Bcl6	chr8	46753129	46753142	+	0.000	0.000	Merged-chr8-46753180-8
NR212--MA0463.1.Bcl6	chr10	42220590	42220603	-	0.000	0.000	Merged-chr10-42220589-14
NR1602--MA0463.1.Bcl6	chr5	143485210	143485223	-	0.000	0.000	Merged-chr5-143485209-17
NR1909--MA0731.1.BCL6B	chr8	46753126	46753142	-	0.000	0.000	Merged-chr8-46753180-8
NR43--MA0463.1.Bcl6	chr1	82787570	82787583	+	0.000	0.000	Merged-chr1-82787603-20
NR1244--MA0463.1.Bcl6	chr3	86961080	86961093	+	0.000	0.000	Merged-chr3-86961231-31
NR1392--MA0463.1.Bcl6	chr4	82365045	82365058	+	0.000	0.000	Merged-chr4-82365199-20
NR565--MA0463.1.Bcl6	chr13	102085952	102085965	-	0.000	0.000	Merged-chr13-102085968-1
NR2015--MA0463.1.Bcl6	chr9	53452368	53452381	-	0.000	0.000	Merged-chr9-53452460-4
NR1683--MA0463.1.Bcl6	chr6	108512120	108512133	+	0.000	0.000	Merged-chr6-108512233-21
