#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-log2fc-1_dn.bed
NR315--MA0768.1.LEF1	chr10	91138668	91138682	-	0.000	0.000	Merged-chr10-91138476-30
NR2682--MA0768.1.LEF1	chr9	96754565	96754579	+	0.000	0.000	Merged-chr9-96754558-43
NR1136--MA0768.1.LEF1	chr17	47269649	47269663	-	0.000	0.000	Merged-chr17-47269600-53
NR486--MA0768.1.LEF1	chr12	32895228	32895242	+	0.000	0.000	Merged-chr12-32895351-16
NR276--MA0768.1.LEF1	chr10	61306349	61306363	+	0.000	0.000	Merged-chr10-61306308-35
NR1289--MA0768.1.LEF1	chr18	82607534	82607548	+	0.000	0.000	Merged-chr18-82607647-23
NR2528--MA0768.1.LEF1	chr8	83779698	83779712	-	0.000	0.000	Merged-chr8-83779707-23
NR2103--MA0768.1.LEF1	chr5	120831141	120831155	+	0.000	0.000	Merged-chr5-120831228-43
NR2121--MA0768.1.LEF1	chr5	137857125	137857139	+	0.000	0.000	Merged-chr5-137857044-20
NR2448--MA0768.1.LEF1	chr7	135605122	135605136	+	0.000	0.000	Merged-chr7-135605308-40
NR802--MA0768.1.LEF1	chr14	59087406	59087420	+	0.000	0.000	Merged-chr14-59087274-14
NR1888--MA0768.1.LEF1	chr4	88010644	88010658	-	0.000	0.000	Merged-chr4-88010715-29
NR352--MA0768.1.LEF1	chr10	118096407	118096421	-	0.000	0.000	Merged-chr10-118096400-51
NR828--MA0768.1.LEF1	chr14	78687933	78687947	-	0.000	0.000	Merged-chr14-78687892-42
NR1550--MA0768.1.LEF1	chr2	127923292	127923306	-	0.000	0.000	Merged-chr2-127923410-36
NR1340--MA0768.1.LEF1	chr19	40665894	40665908	-	0.000	0.000	Merged-chr19-40666029-20
NR1032--MA0768.1.LEF1	chr16	49772876	49772890	+	0.000	0.000	Merged-chr16-49772867-33
NR252--MA0768.1.LEF1	chr10	44700354	44700368	-	0.000	0.000	Merged-chr10-44700385-25
NR2695--MA0768.1.LEF1	chr9	108146578	108146592	-	0.000	0.000	Merged-chr9-108146589-26
NR364--MA0768.1.LEF1	chr10	127225942	127225956	-	0.000	0.000	Merged-chr10-127225928-35
NR588--MA0768.1.LEF1	chr12	115868867	115868881	-	0.000	0.000	Merged-chr12-115868903-27
NR378--MA0768.1.LEF1	chr11	5506082	5506096	+	0.000	0.000	Merged-chr11-5506116-24
NR415--MA0768.1.LEF1	chr11	73094444	73094458	+	0.000	0.000	Merged-chr11-73094317-1
NR1903--MA0768.1.LEF1	chr4	101176525	101176539	+	0.000	0.000	Merged-chr4-101176356-14
NR241--MA0768.1.LEF1	chr10	28564335	28564349	-	0.000	0.000	Merged-chr10-28564478-17
NR1305--MA0768.1.LEF1	chr19	10698522	10698536	-	0.000	0.000	Merged-chr19-10698600-31
NR5--MA0768.1.LEF1	chr1	13559596	13559610	+	0.000	0.000	Merged-chr1-13559747-54
NR1001--MA0768.1.LEF1	chr16	29978013	29978027	+	0.000	0.000	Merged-chr16-29977874-22
NR463--MA0768.1.LEF1	chr11	117848737	117848751	-	0.000	0.000	Merged-chr11-117848914-89
NR132--MA0768.1.LEF1	chr1	143466098	143466112	+	0.000	0.000	Merged-chr1-143466091-51
NR477--MA0768.1.LEF1	chr12	21472605	21472619	-	0.000	0.000	Merged-chr12-21472738-21
NR1102--MA0768.1.LEF1	chr17	12727941	12727955	+	0.000	0.000	Merged-chr17-12727995-27
NR1009--MA0768.1.LEF1	chr16	33053356	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR2242--MA0768.1.LEF1	chr6	100841657	100841671	-	0.000	0.000	Merged-chr6-100841733-15
NR2512--MA0768.1.LEF1	chr8	72291253	72291267	+	0.000	0.000	Merged-chr8-72291225-23
NR1669--MA0768.1.LEF1	chr3	60469294	60469308	-	0.000	0.000	Merged-chr3-60469129-75
NR286--MA0768.1.LEF1	chr10	70181036	70181050	-	0.000	0.000	Merged-chr10-70181073-91
NR2533--MA0768.1.LEF1	chr8	88771555	88771569	-	0.000	0.000	Merged-chr8-88771445-24
NR896--MA0768.1.LEF1	chr15	31440134	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR798--MA0768.1.LEF1	chr14	54578411	54578425	+	0.000	0.000	Merged-chr14-54578277-39
NR1941--MA0768.1.LEF1	chr4	138089686	138089700	+	0.000	0.000	Merged-chr4-138089649-31
NR485--MA0768.1.LEF1	chr12	32099792	32099806	+	0.000	0.000	Merged-chr12-32099741-8
NR1745--MA0768.1.LEF1	chr3	116652211	116652225	+	0.000	0.000	Merged-chr3-116652176-28
NR2143--MA0768.1.LEF1	chr6	5147853	5147867	+	0.000	0.000	Merged-chr6-5148035-17
NR918--MA0768.1.LEF1	chr15	52753837	52753851	+	0.000	0.000	Merged-chr15-52753697-52
NR1725--MA0768.1.LEF1	chr3	101224537	101224551	-	0.000	0.000	Merged-chr3-101224387-31
NR2730--MA0768.1.LEF1	chrX	20772011	20772025	-	0.000	0.000	Merged-chrX-20771944-57
NR1873--MA0768.1.LEF1	chr4	59214806	59214820	-	0.000	0.000	Merged-chr4-59214886-25
