#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR158--MA0690.1.TBX21	chr1	191520000	191520009	+	0.000	0.000	Merged-chr1-191519897-26
NR1872--MA0690.1.TBX21	chr8	79534598	79534607	+	0.000	0.000	Merged-chr8-79534488-18
NR1110--MA0690.1.TBX21	chr2	169398756	169398765	-	0.000	0.000	Merged-chr2-169398588-9
NR1755--MA0690.1.TBX21	chr7	115218901	115218910	+	0.000	0.000	Merged-chr7-115218920-27
NR1070--MA0690.1.TBX21	chr2	117541615	117541624	-	0.000	0.000	Merged-chr2-117541730-22
NR1721--MA0690.1.TBX21	chr7	84149056	84149065	-	0.000	0.000	Merged-chr7-84149073-24
NR1516--MA0690.1.TBX21	chr5	150458016	150458025	+	0.000	0.000	Merged-chr5-150458118-21
NR1843--MA0690.1.TBX21	chr8	34692846	34692855	+	0.000	0.000	Merged-chr8-34692786-9
NR1952--MA0690.1.TBX21	chr9	64341400	64341409	+	0.000	0.000	Merged-chr9-64341408-1
NR1585--MA0690.1.TBX21	chr6	90984328	90984337	+	0.000	0.000	Merged-chr6-90984346-4
NR1694--MA0690.1.TBX21	chr7	57532479	57532488	+	0.000	0.000	Merged-chr7-57532677-1
NR911--MA0690.1.TBX21	chr18	86601952	86601961	-	0.000	0.000	Merged-chr18-86601765-23
NR762--MA0690.1.TBX21	chr16	95243106	95243115	-	0.000	0.000	Merged-chr16-95243231-1
NR502--MA0690.1.TBX21	chr13	95742509	95742518	+	0.000	0.000	Merged-chr13-95742219-17
NR611--MA0690.1.TBX21	chr14	103363151	103363160	+	0.000	0.000	Merged-chr14-103363341-36
NR1277--MA0690.1.TBX21	chr4	32869035	32869044	-	0.000	0.000	Merged-chr4-32869066-16
NR23--MA0690.1.TBX21	chr1	46912658	46912667	+	0.000	0.000	Merged-chr1-46912759-14
NR1399--MA0690.1.TBX21	chr5	27995453	27995462	+	0.000	0.000	Merged-chr5-27995403-19
NR1474--MA0690.1.TBX21	chr5	118590818	118590827	+	0.000	0.000	Merged-chr5-118590932-25
NR800--MA0690.1.TBX21	chr17	47923034	47923043	-	0.000	0.000	Merged-chr17-47922947-16
NR162--MA0690.1.TBX21	chr1	193285698	193285707	-	0.000	0.000	Merged-chr1-193285975-30
NR956--MA0690.1.TBX21	chr19	58051189	58051198	+	0.000	0.000	Merged-chr19-58051277-2
NR446--MA0690.1.TBX21	chr13	41345832	41345841	+	0.000	0.000	Merged-chr13-41345949-16
NR839--MA0690.1.TBX21	chr17	93158864	93158873	+	0.000	0.000	Merged-chr17-93158612-24
NR372--MA0690.1.TBX21	chr12	40427693	40427702	-	0.000	0.000	Merged-chr12-40427719-34
NR895--MA0690.1.TBX21	chr18	80642663	80642672	+	0.000	0.000	Merged-chr18-80642669-13
NR818--MA0690.1.TBX21	chr17	70942722	70942731	+	0.000	0.000	Merged-chr17-70942808-10
NR744--MA0690.1.TBX21	chr16	64796853	64796862	+	0.000	0.000	Merged-chr16-64796887-9
NR369--MA0690.1.TBX21	chr12	33220643	33220652	+	0.000	0.000	Merged-chr12-33220672-27
NR1097--MA0690.1.TBX21	chr2	153466939	153466948	+	0.000	0.000	Merged-chr2-153466855-4
NR444--MA0690.1.TBX21	chr13	35841997	35842006	+	0.000	0.000	Merged-chr13-35841945-14
NR837--MA0690.1.TBX21	chr17	88701105	88701114	+	0.000	0.000	Merged-chr17-88701095-28
NR218--MA0690.1.TBX21	chr10	61560030	61560039	+	0.000	0.000	Merged-chr10-61559785-43
NR199--MA0690.1.TBX21	chr10	42633406	42633415	+	0.000	0.000	Merged-chr10-42633342-1
NR144--MA0690.1.TBX21	chr1	177676766	177676775	-	0.000	0.000	Merged-chr1-177676690-44
NR667--MA0690.1.TBX21	chr15	64249418	64249427	+	0.000	0.000	Merged-chr15-64249418-10
NR388--MA0690.1.TBX21	chr12	84877011	84877020	-	0.000	0.000	Merged-chr12-84876943-28
NR128--MA0690.1.TBX21	chr1	164990068	164990077	+	0.000	0.000	Merged-chr1-164989943-18
NR1680--MA0690.1.TBX21	chr7	24467977	24467986	+	0.000	0.000	Merged-chr7-24468111-23
NR1998--MA0690.1.TBX21	chr9	112185873	112185882	-	0.000	0.000	Merged-chr9-112185998-1
NR64--MA0690.1.TBX21	chr1	91912320	91912329	-	0.000	0.000	Merged-chr1-91912376-2
NR1284--MA0690.1.TBX21	chr4	41064425	41064434	+	0.000	0.000	Merged-chr4-41064306-11
NR1011--MA0690.1.TBX21	chr2	51588219	51588228	-	0.000	0.000	Merged-chr2-51588305-7
NR591--MA0690.1.TBX21	chr14	73472648	73472657	-	0.000	0.000	Merged-chr14-73472602-8
NR1590--MA0690.1.TBX21	chr6	94636273	94636282	+	0.000	0.000	Merged-chr6-94636290-6
NR22--MA0690.1.TBX21	chr1	43767976	43767985	+	0.000	0.000	Merged-chr1-43767994-5
NR841--MA0690.1.TBX21	chr18	11967343	11967352	+	0.000	0.000	Merged-chr18-11967276-33
NR1234--MA0690.1.TBX21	chr3	146173282	146173291	-	0.000	0.000	Merged-chr3-146173193-9
NR1160--MA0690.1.TBX21	chr3	61344351	61344360	-	0.000	0.000	Merged-chr3-61344207-16
NR716--MA0690.1.TBX21	chr16	38549714	38549723	-	0.000	0.000	Merged-chr16-38549784-1
NR1335--MA0690.1.TBX21	chr4	120044820	120044829	-	0.000	0.000	Merged-chr4-120044912-16
NR62--MA0690.1.TBX21	chr1	89646887	89646896	+	0.000	0.000	Merged-chr1-89646801-35
NR900--MA0690.1.TBX21	chr18	83227613	83227622	-	0.000	0.000	Merged-chr18-83227458-1
NR881--MA0690.1.TBX21	chr18	64743604	64743613	+	0.000	0.000	Merged-chr18-64743530-7
NR1319--MA0690.1.TBX21	chr4	99100056	99100065	+	0.000	0.000	Merged-chr4-99100196-17
NR852--MA0690.1.TBX21	chr18	32902640	32902649	+	0.000	0.000	Merged-chr18-32902700-12
NR59--MA0690.1.TBX21	chr1	85958280	85958289	+	0.000	0.000	Merged-chr1-85958439-33
NR1279--MA0690.1.TBX21	chr4	33466681	33466690	+	0.000	0.000	Merged-chr4-33466683-10
NR722--MA0690.1.TBX21	chr16	44497277	44497286	+	0.000	0.000	Merged-chr16-44497186-22
NR212--MA0690.1.TBX21	chr10	58480315	58480324	-	0.000	0.000	Merged-chr10-58480234-23
NR193--MA0690.1.TBX21	chr10	39625408	39625417	-	0.000	0.000	Merged-chr10-39625592-31
NR321--MA0690.1.TBX21	chr11	78818162	78818171	-	0.000	0.000	Merged-chr11-78818098-1
NR38--MA0690.1.TBX21	chr1	61136375	61136384	-	0.000	0.000	Merged-chr1-61136351-1
NR552--MA0690.1.TBX21	chr14	18671050	18671059	-	0.000	0.000	Merged-chr14-18670985-9
NR618--MA0690.1.TBX21	chr14	118109994	118110003	-	0.000	0.000	Merged-chr14-118109992-14
NR661--MA0690.1.TBX21	chr15	54919522	54919531	-	0.000	0.000	Merged-chr15-54919372-1
NR979--MA0690.1.TBX21	chr2	25095323	25095332	+	0.000	0.000	Merged-chr2-25095278-14
NR836--MA0690.1.TBX21	chr17	88701067	88701076	+	0.000	0.000	Merged-chr17-88701095-28
NR217--MA0690.1.TBX21	chr10	60189923	60189932	-	0.000	0.000	Merged-chr10-60189958-4
NR666--MA0690.1.TBX21	chr15	64174601	64174610	-	0.000	0.000	Merged-chr15-64174654-18
NR78--MA0690.1.TBX21	chr1	120162063	120162072	+	0.000	0.000	Merged-chr1-120162199-15
NR196--MA0690.1.TBX21	chr10	40479339	40479348	+	0.000	0.000	Merged-chr10-40479489-48
NR1424--MA0690.1.TBX21	chr5	66000769	66000778	-	0.000	0.000	Merged-chr5-66000786-6
NR2039--MA0690.1.TBX21	chrX	93368368	93368377	-	0.000	0.000	Merged-chrX-93368471-14
NR1634--MA0690.1.TBX21	chr6	127365547	127365556	+	0.000	0.000	Merged-chr6-127365482-29
