#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR2499--MA0140.2.GATA1::TAL1	chr15	12588890	12588907	+	0.000	0.000	Merged-chr15-12588856-30
NR607--MA0035.3.Gata1	chr1	189841524	189841534	-	0.000	0.000	Merged-chr1-189841407-2
NR2652--MA0035.3.Gata1	chr15	96778480	96778490	+	0.000	0.000	Merged-chr15-96778537-47
NR7130--MA0037.3.GATA3	chrX	107421595	107421602	+	0.000	0.000	Merged-chrX-107421546-18
NR2936--MA0035.3.Gata1	chr17	5798686	5798696	-	0.000	0.000	Merged-chr17-5798527-14
NR4191--MA0036.3.GATA2	chr2	163131099	163131109	+	0.000	0.000	Merged-chr2-163131105-39
NR4528--MA0036.3.GATA2	chr3	127759488	127759498	+	0.000	0.000	Merged-chr3-127759429-25
NR6623--MA0035.3.Gata1	chr8	126824495	126824505	+	0.000	0.000	Merged-chr8-126824669-18
NR1459--MA0482.1.Gata4	chr12	14086786	14086796	+	0.000	0.000	Merged-chr12-14086767-28
NR6102--MA0482.1.Gata4	chr7	89841971	89841981	-	0.000	0.000	Merged-chr7-89842093-31
NR4267--MA0140.2.GATA1::TAL1	chr2	180656823	180656840	-	0.000	0.000	Merged-chr2-180656918-1
NR2650--MA1104.1.GATA6	chr15	96778479	96778491	-	0.000	0.000	Merged-chr15-96778537-47
NR4805--MA0140.2.GATA1::TAL1	chr4	53370874	53370891	-	0.000	0.000	Merged-chr4-53370792-1
NR4794--MA0036.3.GATA2	chr4	40183011	40183021	+	0.000	0.000	Merged-chr4-40183077-21
NR1864--MA0035.3.Gata1	chr13	44089107	44089117	+	0.000	0.000	Merged-chr13-44088979-30
NR6447--MA0482.1.Gata4	chr8	84813345	84813355	-	0.000	0.000	Merged-chr8-84813219-19
NR4082--MA0482.1.Gata4	chr2	138245648	138245658	-	0.000	0.000	Merged-chr2-138245729-1
NR1298--MA0037.3.GATA3	chr11	98487790	98487797	+	0.000	0.000	Merged-chr11-98487809-30
NR4085--MA0035.3.Gata1	chr2	138245637	138245647	-	0.000	0.000	Merged-chr2-138245729-1
NR1859--MA0140.2.GATA1::TAL1	chr13	43191942	43191959	+	0.000	0.000	Merged-chr13-43191968-21
NR4879--MA0140.2.GATA1::TAL1	chr4	102955514	102955531	-	0.000	0.000	Merged-chr4-102955684-33
NR1617--MA0036.3.GATA2	chr12	97269745	97269755	+	0.000	0.000	Merged-chr12-97269671-1
NR5920--MA0766.1.GATA5	chr7	19086251	19086258	+	0.000	0.000	Merged-chr7-19086207-16
NR6448--MA1104.1.GATA6	chr8	84813345	84813357	+	0.000	0.000	Merged-chr8-84813219-19
NR4083--MA1104.1.GATA6	chr2	138245636	138245648	+	0.000	0.000	Merged-chr2-138245729-1
NR1858--MA0766.1.GATA5	chr13	43191941	43191948	-	0.000	0.000	Merged-chr13-43191968-21
NR2649--MA0482.1.Gata4	chr15	96778481	96778491	+	0.000	0.000	Merged-chr15-96778537-47
NR3998--MA0036.3.GATA2	chr2	106985120	106985130	+	0.000	0.000	Merged-chr2-106985167-21
NR41--MA0766.1.GATA5	chr1	39954905	39954912	+	0.000	0.000	Merged-chr1-39954782-26
NR1458--MA0037.3.GATA3	chr12	14086786	14086793	-	0.000	0.000	Merged-chr12-14086767-28
NR1484--MA0482.1.Gata4	chr12	32183055	32183065	+	0.000	0.000	Merged-chr12-32183013-17
NR3791--MA0766.1.GATA5	chr2	38927191	38927198	+	0.000	0.000	Merged-chr2-38927385-1
NR6044--MA0482.1.Gata4	chr7	78583901	78583911	-	0.000	0.000	Merged-chr7-78583930-15
NR5407--MA0766.1.GATA5	chr5	149392281	149392288	+	0.000	0.000	Merged-chr5-149392157-30
NR4529--MA0035.3.Gata1	chr3	127759488	127759498	+	0.000	0.000	Merged-chr3-127759429-25
NR1461--MA0036.3.GATA2	chr12	14086785	14086795	+	0.000	0.000	Merged-chr12-14086767-28
NR3911--MA0140.2.GATA1::TAL1	chr2	83659998	83660015	-	0.000	0.000	Merged-chr2-83659972-2
NR3788--MA0482.1.Gata4	chr2	38927188	38927198	-	0.000	0.000	Merged-chr2-38927385-1
NR5065--MA0036.3.GATA2	chr4	155091241	155091251	-	0.000	0.000	Merged-chr4-155091102-19
NR1485--MA1104.1.GATA6	chr12	32183053	32183065	-	0.000	0.000	Merged-chr12-32183013-17
NR6446--MA0037.3.GATA3	chr8	84813348	84813355	+	0.000	0.000	Merged-chr8-84813219-19
NR4527--MA1104.1.GATA6	chr3	127759487	127759499	-	0.000	0.000	Merged-chr3-127759429-25
NR1989--MA0036.3.GATA2	chr13	89965600	89965610	+	0.000	0.000	Merged-chr13-89965778-3
NR5512--MA0035.3.Gata1	chr6	59315104	59315114	-	0.000	0.000	Merged-chr6-59315196-15
NR6045--MA1104.1.GATA6	chr7	78583901	78583913	+	0.000	0.000	Merged-chr7-78583930-15
NR4530--MA0140.2.GATA1::TAL1	chr3	127759490	127759507	+	0.000	0.000	Merged-chr3-127759429-25
NR5219--MA0036.3.GATA2	chr5	90742163	90742173	+	0.000	0.000	Merged-chr5-90742238-22
NR5220--MA0035.3.Gata1	chr5	90742163	90742173	+	0.000	0.000	Merged-chr5-90742238-22
NR3138--MA0036.3.GATA2	chr17	73096653	73096663	-	0.000	0.000	Merged-chr17-73096591-8
NR3789--MA1104.1.GATA6	chr2	38927188	38927200	+	0.000	0.000	Merged-chr2-38927385-1
NR1300--MA1104.1.GATA6	chr11	98487787	98487799	+	0.000	0.000	Merged-chr11-98487809-30
NR5408--MA0035.3.Gata1	chr5	149392279	149392289	-	0.000	0.000	Merged-chr5-149392157-30
NR3618--MA0140.2.GATA1::TAL1	chr19	44078411	44078428	+	0.000	0.000	Merged-chr19-44078434-18
NR5510--MA1104.1.GATA6	chr6	59315103	59315115	+	0.000	0.000	Merged-chr6-59315196-15
NR40--MA1104.1.GATA6	chr1	39954902	39954914	+	0.000	0.000	Merged-chr1-39954782-26
NR4192--MA0140.2.GATA1::TAL1	chr2	163131101	163131118	+	0.000	0.000	Merged-chr2-163131105-39
NR5090--MA1104.1.GATA6	chr5	20792369	20792381	+	0.000	0.000	Merged-chr5-20792282-29
NR5147--MA0766.1.GATA5	chr5	37147598	37147605	-	0.000	0.000	Merged-chr5-37147664-17
NR1615--MA0482.1.Gata4	chr12	97269746	97269756	+	0.000	0.000	Merged-chr12-97269671-1
NR6042--MA0140.2.GATA1::TAL1	chr7	78451915	78451932	-	0.000	0.000	Merged-chr7-78451897-56
NR2935--MA0035.3.Gata1	chr17	5798609	5798619	-	0.000	0.000	Merged-chr17-5798527-14
NR7014--MA0036.3.GATA2	chr9	112174908	112174918	-	0.000	0.000	Merged-chr9-112174843-101
NR1483--MA0037.3.GATA3	chr12	32183055	32183062	-	0.000	0.000	Merged-chr12-32183013-17
NR5557--MA0035.3.Gata1	chr6	88189800	88189810	-	0.000	0.000	Merged-chr6-88189765-31
NR6043--MA0037.3.GATA3	chr7	78583904	78583911	+	0.000	0.000	Merged-chr7-78583930-15
NR2651--MA0036.3.GATA2	chr15	96778480	96778490	+	0.000	0.000	Merged-chr15-96778537-47
NR5409--MA0140.2.GATA1::TAL1	chr5	149392270	149392287	-	0.000	0.000	Merged-chr5-149392157-30
NR3787--MA0037.3.GATA3	chr2	38927191	38927198	+	0.000	0.000	Merged-chr2-38927385-1
NR1616--MA1104.1.GATA6	chr12	97269744	97269756	-	0.000	0.000	Merged-chr12-97269671-1
NR5148--MA0035.3.Gata1	chr5	37147597	37147607	+	0.000	0.000	Merged-chr5-37147664-17
NR4665--MA0482.1.Gata4	chr3	145663520	145663530	-	0.000	0.000	Merged-chr3-145663343-1
NR3790--MA0036.3.GATA2	chr2	38927189	38927199	-	0.000	0.000	Merged-chr2-38927385-1
NR6803--MA0140.2.GATA1::TAL1	chr9	75424569	75424586	-	0.000	0.000	Merged-chr9-75424594-10
NR1422--MA0140.2.GATA1::TAL1	chr11	116018323	116018340	+	0.000	0.000	Merged-chr11-116018279-9
NR4190--MA0482.1.Gata4	chr2	163131100	163131110	+	0.000	0.000	Merged-chr2-163131105-39
NR5509--MA0482.1.Gata4	chr6	59315103	59315113	-	0.000	0.000	Merged-chr6-59315196-15
NR39--MA0482.1.Gata4	chr1	39954902	39954912	-	0.000	0.000	Merged-chr1-39954782-26
NR5217--MA0482.1.Gata4	chr5	90742164	90742174	+	0.000	0.000	Merged-chr5-90742238-22
NR3552--MA0140.2.GATA1::TAL1	chr19	21629142	21629159	-	0.000	0.000	Merged-chr19-21629200-14
NR6622--MA0482.1.Gata4	chr8	126824496	126824506	+	0.000	0.000	Merged-chr8-126824669-18
NR6449--MA0036.3.GATA2	chr8	84813346	84813356	-	0.000	0.000	Merged-chr8-84813219-19
NR4084--MA0036.3.GATA2	chr2	138245649	138245659	-	0.000	0.000	Merged-chr2-138245729-1
NR1614--MA0037.3.GATA3	chr12	97269746	97269753	-	0.000	0.000	Merged-chr12-97269671-1
NR5218--MA1104.1.GATA6	chr5	90742162	90742174	-	0.000	0.000	Merged-chr5-90742238-22
NR4000--MA0035.3.Gata1	chr2	106985120	106985130	+	0.000	0.000	Merged-chr2-106985167-21
NR3140--MA0035.3.Gata1	chr17	73096653	73096663	-	0.000	0.000	Merged-chr17-73096591-8
NR3137--MA0037.3.GATA3	chr17	73096655	73096662	+	0.000	0.000	Merged-chr17-73096591-8
NR1805--MA0036.3.GATA2	chr13	24655005	24655015	-	0.000	0.000	Merged-chr13-24655048-11
NR3999--MA0766.1.GATA5	chr2	106985121	106985128	-	0.000	0.000	Merged-chr2-106985167-21
NR5919--MA0036.3.GATA2	chr7	19086249	19086259	-	0.000	0.000	Merged-chr7-19086207-16
NR1951--MA0482.1.Gata4	chr13	81690699	81690709	-	0.000	0.000	Merged-chr13-81690701-7
NR1954--MA0035.3.Gata1	chr13	81690700	81690710	-	0.000	0.000	Merged-chr13-81690701-7
