#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed
NR152--MA0463.1.Bcl6	chr1	175672120	175672133	-	0.000	0.000	Merged-chr1-175671979-22
NR2048--MA0731.1.BCL6B	chr9	75209477	75209493	+	0.000	0.000	Merged-chr9-75209368-16
NR30--MA0731.1.BCL6B	chr1	69498973	69498989	+	0.000	0.000	Merged-chr1-69499196-51
NR38--MA0463.1.Bcl6	chr1	80855201	80855214	+	0.000	0.000	Merged-chr1-80855392-26
NR724--MA0731.1.BCL6B	chr15	9435904	9435920	-	0.000	0.000	Merged-chr15-9435954-24
NR1924--MA0463.1.Bcl6	chr8	46747985	46747998	+	0.000	0.000	Merged-chr8-46747933-31
NR1619--MA0731.1.BCL6B	chr5	136186820	136186836	-	0.000	0.000	Merged-chr5-136186956-28
NR701--MA0463.1.Bcl6	chr14	86744176	86744189	+	0.000	0.000	Merged-chr14-86744130-2
NR1074--MA0463.1.Bcl6	chr2	35464679	35464692	+	0.000	0.000	Merged-chr2-35464612-20
NR2164--MA0463.1.Bcl6	chrX	159899267	159899280	-	0.000	0.000	Merged-chrX-159899215-24
NR1319--MA0731.1.BCL6B	chr3	109747806	109747822	-	0.000	0.000	Merged-chr3-109747952-27
NR408--MA0731.1.BCL6B	chr12	24600668	24600684	+	0.000	0.000	Merged-chr12-24600687-58
NR477--MA0731.1.BCL6B	chr12	102332398	102332414	-	0.000	0.000	Merged-chr12-102332454-11
NR309--MA0463.1.Bcl6	chr11	22936719	22936732	-	0.000	0.000	Merged-chr11-22936648-30
NR591--MA0463.1.Bcl6	chr13	92671874	92671887	+	0.000	0.000	Merged-chr13-92671922-24
NR233--MA0463.1.Bcl6	chr10	75417577	75417590	-	0.000	0.000	Merged-chr10-75417748-37
NR251--MA0463.1.Bcl6	chr10	94378508	94378521	+	0.000	0.000	Merged-chr10-94378414-58
NR2041--MA0463.1.Bcl6	chr9	70310173	70310186	-	0.000	0.000	Merged-chr9-70310142-32
NR1854--MA0731.1.BCL6B	chr7	115716177	115716193	-	0.000	0.000	Merged-chr7-115716368-2
NR1593--MA0463.1.Bcl6	chr5	100929782	100929795	+	0.000	0.000	Merged-chr5-100929891-31
NR1388--MA0463.1.Bcl6	chr3	155235647	155235660	+	0.000	0.000	Merged-chr3-155235663-12
NR1302--MA0731.1.BCL6B	chr3	103780524	103780540	-	0.000	0.000	Merged-chr3-103780443-3
NR832--MA0463.1.Bcl6	chr16	76901238	76901251	-	0.000	0.000	Merged-chr16-76901209-11
NR2026--MA0731.1.BCL6B	chr9	58542126	58542142	-	0.000	0.000	Merged-chr9-58542052-13
NR1772--MA0731.1.BCL6B	chr7	30353590	30353606	-	0.000	0.000	Merged-chr7-30353555-8
NR1342--MA0731.1.BCL6B	chr3	130894525	130894541	-	0.000	0.000	Merged-chr3-130894407-22
NR1408--MA0731.1.BCL6B	chr4	44669643	44669659	-	0.000	0.000	Merged-chr4-44669679-10
NR480--MA0463.1.Bcl6	chr12	104069767	104069780	+	0.000	0.000	Merged-chr12-104069872-17
NR248--MA0463.1.Bcl6	chr10	90966829	90966842	-	0.000	0.000	Merged-chr10-90966965-2
NR808--MA0463.1.Bcl6	chr16	38017094	38017107	+	0.000	0.000	Merged-chr16-38017190-20
NR450--MA0731.1.BCL6B	chr12	80887378	80887394	+	0.000	0.000	Merged-chr12-80887298-29
NR1254--MA0463.1.Bcl6	chr3	37738412	37738425	+	0.000	0.000	Merged-chr3-37738517-40
NR1272--MA0463.1.Bcl6	chr3	68543285	68543298	-	0.000	0.000	Merged-chr3-68543251-15
NR1599--MA0463.1.Bcl6	chr5	105849457	105849470	-	0.000	0.000	Merged-chr5-105849504-21
NR577--MA0731.1.BCL6B	chr13	89720659	89720675	-	0.000	0.000	Merged-chr13-89720625-9
NR1711--MA0463.1.Bcl6	chr6	108736369	108736382	-	0.000	0.000	Merged-chr6-108736324-30
NR535--MA0731.1.BCL6B	chr13	34096172	34096188	+	0.000	0.000	Merged-chr13-34096039-50
NR2148--MA0463.1.Bcl6	chrX	102071177	102071190	-	0.000	0.000	Merged-chrX-102071254-29
NR404--MA0463.1.Bcl6	chr12	16509619	16509632	+	0.000	0.000	Merged-chr12-16509548-40
NR29--MA0463.1.Bcl6	chr1	69331973	69331986	+	0.000	0.000	Merged-chr1-69331775-34
NR1341--MA0463.1.Bcl6	chr3	130894459	130894472	-	0.000	0.000	Merged-chr3-130894407-22
NR1792--MA0731.1.BCL6B	chr7	64158980	64158996	-	0.000	0.000	Merged-chr7-64158985-48
NR249--MA0463.1.Bcl6	chr10	91028170	91028183	+	0.000	0.000	Merged-chr10-91028217-15
NR299--MA0463.1.Bcl6	chr11	7161695	7161708	+	0.000	0.000	Merged-chr11-7161689-35
NR1415--MA0463.1.Bcl6	chr4	54527641	54527654	-	0.000	0.000	Merged-chr4-54527768-19
NR1787--MA0463.1.Bcl6	chr7	49581544	49581557	-	0.000	0.000	Merged-chr7-49581640-7
NR60--MA0731.1.BCL6B	chr1	106867027	106867043	+	0.000	0.000	Merged-chr1-106866899-32
NR843--MA0463.1.Bcl6	chr16	90455790	90455803	-	0.000	0.000	Merged-chr16-90455724-1
NR876--MA0731.1.BCL6B	chr17	15431227	15431243	+	0.000	0.000	Merged-chr17-15431042-28
NR1436--MA0463.1.Bcl6	chr4	95096786	95096799	+	0.000	0.000	Merged-chr4-95096971-16
NR307--MA0463.1.Bcl6	chr11	19019310	19019323	+	0.000	0.000	Merged-chr11-19019022-32
NR1490--MA0463.1.Bcl6	chr4	137898901	137898914	+	0.000	0.000	Merged-chr4-137899052-12
NR1132--MA0463.1.Bcl6	chr2	93132375	93132388	-	0.000	0.000	Merged-chr2-93132297-53
NR1174--MA0731.1.BCL6B	chr2	132131470	132131486	-	0.000	0.000	Merged-chr2-132131548-24
NR37--MA0463.1.Bcl6	chr1	79701872	79701885	+	0.000	0.000	Merged-chr1-79701854-14
