#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR1593--MA0690.1.TBX21	chr4	120044820	120044829	-	0.000	0.000	Merged-chr4-120044912-16
NR1747--MA0690.1.TBX21	chr5	115526696	115526705	-	0.000	0.000	Merged-chr5-115526646-4
NR1203--MA0690.1.TBX21	chr2	34494373	34494382	+	0.000	0.000	Merged-chr2-34494375-14
NR1814--MA0690.1.TBX21	chr6	29789745	29789754	+	0.000	0.000	Merged-chr6-29789670-1
NR980--MA0690.1.TBX21	chr17	35817691	35817700	+	0.000	0.000	Merged-chr17-35817739-6
NR1046--MA0690.1.TBX21	chr18	12473266	12473275	+	0.000	0.000	Merged-chr18-12473315-14
NR1134--MA0690.1.TBX21	chr19	24140629	24140638	+	0.000	0.000	Merged-chr19-24140686-8
NR1405--MA0690.1.TBX21	chr3	68790886	68790895	-	0.000	0.000	Merged-chr3-68790735-6
NR92--MA0690.1.TBX21	chr1	126400133	126400142	+	0.000	0.000	Merged-chr1-126400157-1
NR1248--MA0690.1.TBX21	chr2	75064724	75064733	-	0.000	0.000	Merged-chr2-75064849-10
NR2260--MA0690.1.TBX21	chr9	59707757	59707766	+	0.000	0.000	Merged-chr9-59707691-6
NR781--MA0690.1.TBX21	chr15	6512412	6512421	-	0.000	0.000	Merged-chr15-6512431-6
NR1689--MA0690.1.TBX21	chr5	68033433	68033442	+	0.000	0.000	Merged-chr5-68033501-23
NR417--MA0690.1.TBX21	chr11	83541052	83541061	+	0.000	0.000	Merged-chr11-83541106-19
NR68--MA0690.1.TBX21	chr1	91507402	91507411	-	0.000	0.000	Merged-chr1-91507469-20
NR9--MA0690.1.TBX21	chr1	16681377	16681386	-	0.000	0.000	Merged-chr1-16681328-5
NR1145--MA0690.1.TBX21	chr19	32792025	32792034	-	0.000	0.000	Merged-chr19-32791960-10
NR221--MA0690.1.TBX21	chr10	18923680	18923689	+	0.000	0.000	Merged-chr10-18923473-26
NR125--MA0690.1.TBX21	chr1	151581916	151581925	-	0.000	0.000	Merged-chr1-151582085-10
NR322--MA0690.1.TBX21	chr10	117969955	117969964	+	0.000	0.000	Merged-chr10-117970017-9
NR845--MA0690.1.TBX21	chr15	82912242	82912251	-	0.000	0.000	Merged-chr15-82912110-22
NR226--MA0690.1.TBX21	chr10	21115929	21115938	+	0.000	0.000	Merged-chr10-21115905-6
NR566--MA0690.1.TBX21	chr13	19457280	19457289	+	0.000	0.000	Merged-chr13-19457344-7
NR2263--MA0690.1.TBX21	chr9	61722032	61722041	-	0.000	0.000	Merged-chr9-61722013-20
NR131--MA0690.1.TBX21	chr1	156923093	156923102	-	0.000	0.000	Merged-chr1-156923049-12
NR428--MA0690.1.TBX21	chr11	89145572	89145581	+	0.000	0.000	Merged-chr11-89145462-12
NR537--MA0690.1.TBX21	chr12	110559567	110559576	+	0.000	0.000	Merged-chr12-110559537-7
NR789--MA0690.1.TBX21	chr15	25865850	25865859	+	0.000	0.000	Merged-chr15-25865817-16
NR359--MA0690.1.TBX21	chr11	17051638	17051647	-	0.000	0.000	Merged-chr11-17051443-1
NR1821--MA0690.1.TBX21	chr6	32779659	32779668	-	0.000	0.000	Merged-chr6-32779774-10
NR1868--MA0690.1.TBX21	chr6	90746345	90746354	+	0.000	0.000	Merged-chr6-90746372-25
