#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed
NR3088--MA0766.1.GATA5	chr17	18615310	18615317	+	0.000	0.000	Merged-chr17-18615356-8
NR1369--MA0035.3.Gata1	chr12	13512375	13512385	+	0.000	0.000	Merged-chr12-13512538-15
NR6848--MA0036.3.GATA2	chr9	79970744	79970754	-	0.000	0.000	Merged-chr9-79970896-33
NR5327--MA0035.3.Gata1	chr5	107533776	107533786	+	0.000	0.000	Merged-chr5-107533890-8
NR7025--MA0766.1.GATA5	chr9	118059237	118059244	-	0.000	0.000	Merged-chr9-118059304-13
NR4037--MA0037.3.GATA3	chr2	120026845	120026852	+	0.000	0.000	Merged-chr2-120026874-2
NR489--MA0766.1.GATA5	chr1	191803663	191803670	-	0.000	0.000	Merged-chr1-191803516-12
NR987--MA1104.1.GATA6	chr11	32445891	32445903	-	0.000	0.000	Merged-chr11-32445818-14
NR349--MA0036.3.GATA2	chr1	162615721	162615731	-	0.000	0.000	Merged-chr1-162615694-15
NR1821--MA0766.1.GATA5	chr13	43485540	43485547	-	0.000	0.000	Merged-chr13-43485409-24
NR3519--MA0482.1.Gata4	chr19	12805881	12805891	-	0.000	0.000	Merged-chr19-12806193-62
NR838--MA0036.3.GATA2	chr10	117938872	117938882	+	0.000	0.000	Merged-chr10-117938782-19
NR4172--MA0766.1.GATA5	chr2	162998790	162998797	+	0.000	0.000	Merged-chr2-162998735-32
NR2309--MA0036.3.GATA2	chr14	66241476	66241486	+	0.000	0.000	Merged-chr14-66241484-22
NR2649--MA0036.3.GATA2	chr15	82906891	82906901	-	0.000	0.000	Merged-chr15-82906941-10
NR405--MA0766.1.GATA5	chr1	178685218	178685225	+	0.000	0.000	Merged-chr1-178685366-1
NR3087--MA1104.1.GATA6	chr17	18615307	18615319	+	0.000	0.000	Merged-chr17-18615356-8
NR985--MA0037.3.GATA3	chr11	32445893	32445900	-	0.000	0.000	Merged-chr11-32445818-14
NR4039--MA0766.1.GATA5	chr2	120026845	120026852	+	0.000	0.000	Merged-chr2-120026874-2
NR4173--MA0035.3.Gata1	chr2	162998788	162998798	-	0.000	0.000	Merged-chr2-162998735-32
NR70--MA0766.1.GATA5	chr1	43521167	43521174	+	0.000	0.000	Merged-chr1-43521160-6
NR6846--MA0482.1.Gata4	chr9	79970743	79970753	-	0.000	0.000	Merged-chr9-79970896-33
NR1081--MA0035.3.Gata1	chr11	70221900	70221910	+	0.000	0.000	Merged-chr11-70221855-4
NR5819--MA0140.2.GATA1::TAL1	chr6	119217818	119217835	-	0.000	0.000	Merged-chr6-119217771-9
