#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed
NR31--MA0523.1.TCF7L2	chr1	36646630	36646643	+	0.000	0.000	Merged-chr1-36646512-17
NR4881--MA0769.1.Tcf7	chr4	137898909	137898920	+	0.000	0.000	Merged-chr4-137899052-12
NR578--MA1421.1.TCF7L1	chr1	192532400	192532411	+	0.000	0.000	Merged-chr1-192532397-12
NR1258--MA0769.1.Tcf7	chr11	108334393	108334404	+	0.000	0.000	Merged-chr11-108334513-21
NR4583--MA1421.1.TCF7L1	chr4	32560503	32560514	-	0.000	0.000	Merged-chr4-32560610-21
NR4231--MA1421.1.TCF7L1	chr3	96570755	96570766	+	0.000	0.000	Merged-chr3-96570858-20
NR3327--MA0523.1.TCF7L2	chr19	24242269	24242282	-	0.000	0.000	Merged-chr19-24242140-10
NR4568--MA0523.1.TCF7L2	chr4	11610155	11610168	+	0.000	0.000	Merged-chr4-11610147-18
NR4407--MA0769.1.Tcf7	chr3	137933907	137933918	+	0.000	0.000	Merged-chr3-137934133-15
NR1368--MA0523.1.TCF7L2	chr12	32999924	32999937	-	0.000	0.000	Merged-chr12-32999849-21
NR470--MA1421.1.TCF7L1	chr1	173412121	173412132	-	0.000	0.000	Merged-chr1-173412047-19
NR3872--MA0523.1.TCF7L2	chr2	139934967	139934980	-	0.000	0.000	Merged-chr2-139934935-45
NR685--MA1421.1.TCF7L1	chr10	42934764	42934775	+	0.000	0.000	Merged-chr10-42934777-29
NR2053--MA0769.1.Tcf7	chr14	21507260	21507271	-	0.000	0.000	Merged-chr14-21507188-15
NR838--MA0523.1.TCF7L2	chr10	90967039	90967052	+	0.000	0.000	Merged-chr10-90966965-2
NR2518--MA1421.1.TCF7L1	chr15	91616725	91616736	-	0.000	0.000	Merged-chr15-91616695-12
NR4121--MA0769.1.Tcf7	chr3	55660069	55660080	+	0.000	0.000	Merged-chr3-55660012-44
NR7054--MA0523.1.TCF7L2	chrX	159899315	159899328	-	0.000	0.000	Merged-chrX-159899215-24
NR716--MA1421.1.TCF7L1	chr10	58351891	58351902	+	0.000	0.000	Merged-chr10-58351765-21
NR640--MA0769.1.Tcf7	chr10	24111229	24111240	-	0.000	0.000	Merged-chr10-24111264-14
NR2227--MA0523.1.TCF7L2	chr14	87349055	87349068	-	0.000	0.000	Merged-chr14-87349015-16
NR6749--MA0769.1.Tcf7	chr9	82967388	82967399	+	0.000	0.000	Merged-chr9-82967336-26
NR6015--MA0523.1.TCF7L2	chr7	80554988	80555001	+	0.000	0.000	Merged-chr7-80554988-53
NR682--MA0523.1.TCF7L2	chr10	42633463	42633476	+	0.000	0.000	Merged-chr10-42633342-1
NR257--MA0523.1.TCF7L2	chr1	127215118	127215131	-	0.000	0.000	Merged-chr1-127215096-15
NR5355--MA0769.1.Tcf7	chr5	148377582	148377593	+	0.000	0.000	Merged-chr5-148377759-34
NR1591--MA0769.1.Tcf7	chr12	110861507	110861518	-	0.000	0.000	Merged-chr12-110861556-21
NR4331--MA0523.1.TCF7L2	chr3	126589727	126589740	+	0.000	0.000	Merged-chr3-126589665-27
NR1589--MA1421.1.TCF7L1	chr12	110861507	110861518	-	0.000	0.000	Merged-chr12-110861556-21
NR638--MA1421.1.TCF7L1	chr10	24111238	24111249	-	0.000	0.000	Merged-chr10-24111264-14
NR579--MA0523.1.TCF7L2	chr1	192532400	192532413	+	0.000	0.000	Merged-chr1-192532397-12
NR4123--MA1421.1.TCF7L1	chr3	58552641	58552652	+	0.000	0.000	Merged-chr3-58552438-57
NR5517--MA0523.1.TCF7L2	chr6	65569962	65569975	+	0.000	0.000	Merged-chr6-65569933-17
NR3631--MA0523.1.TCF7L2	chr2	68884858	68884871	+	0.000	0.000	Merged-chr2-68884857-23
NR5820--MA1421.1.TCF7L1	chr6	145469522	145469533	+	0.000	0.000	Merged-chr6-145469437-17
NR4647--MA0769.1.Tcf7	chr4	63655217	63655228	+	0.000	0.000	Merged-chr4-63655103-11
NR2239--MA0769.1.Tcf7	chr14	100222405	100222416	+	0.000	0.000	Merged-chr14-100222353-13
NR5542--MA0523.1.TCF7L2	chr6	70862830	70862843	-	0.000	0.000	Merged-chr6-70862834-28
NR4691--MA0523.1.TCF7L2	chr4	86725321	86725334	+	0.000	0.000	Merged-chr4-86725378-12
NR5566--MA1421.1.TCF7L1	chr6	85075138	85075149	+	0.000	0.000	Merged-chr6-85075148-16
NR714--MA0769.1.Tcf7	chr10	56369032	56369043	-	0.000	0.000	Merged-chr10-56369223-33
NR2519--MA0523.1.TCF7L2	chr15	91616723	91616736	-	0.000	0.000	Merged-chr15-91616695-12
NR4898--MA0769.1.Tcf7	chr4	144986271	144986282	+	0.000	0.000	Merged-chr4-144986370-39
NR3150--MA0769.1.Tcf7	chr18	55146656	55146667	+	0.000	0.000	Merged-chr18-55146782-23
NR5936--MA1421.1.TCF7L1	chr7	49494894	49494905	+	0.000	0.000	Merged-chr7-49494921-17
NR5481--MA0523.1.TCF7L2	chr6	53778868	53778881	-	0.000	0.000	Merged-chr6-53778855-8
NR2048--MA1421.1.TCF7L1	chr14	21078678	21078689	-	0.000	0.000	Merged-chr14-21078723-20
NR26--MA0769.1.Tcf7	chr1	30793120	30793131	+	0.000	0.000	Merged-chr1-30793129-16
NR1040--MA0523.1.TCF7L2	chr11	30168263	30168276	-	0.000	0.000	Merged-chr11-30168139-12
NR671--MA1421.1.TCF7L1	chr10	39768375	39768386	-	0.000	0.000	Merged-chr10-39768344-17
NR4880--MA0523.1.TCF7L2	chr4	137898909	137898922	+	0.000	0.000	Merged-chr4-137899052-12
NR3444--MA1421.1.TCF7L1	chr2	6622259	6622270	-	0.000	0.000	Merged-chr2-6622331-33
NR3612--MA0769.1.Tcf7	chr2	61494272	61494283	-	0.000	0.000	Merged-chr2-61494309-57
NR2374--MA1421.1.TCF7L1	chr15	53688644	53688655	-	0.000	0.000	Merged-chr15-53688797-27
NR2200--MA0769.1.Tcf7	chr14	75444803	75444814	+	0.000	0.000	Merged-chr14-75444835-23
NR2237--MA1421.1.TCF7L1	chr14	100222405	100222416	+	0.000	0.000	Merged-chr14-100222353-13
NR2771--MA0523.1.TCF7L2	chr16	84995568	84995581	+	0.000	0.000	Merged-chr16-84995665-26
NR6318--MA0769.1.Tcf7	chr8	33548680	33548691	+	0.000	0.000	Merged-chr8-33548647-24
NR6391--MA0523.1.TCF7L2	chr8	70160264	70160277	-	0.000	0.000	Merged-chr8-70160118-32
NR4606--MA0523.1.TCF7L2	chr4	44316390	44316403	-	0.000	0.000	Merged-chr4-44316514-33
NR119--MA0523.1.TCF7L2	chr1	71069090	71069103	-	0.000	0.000	Merged-chr1-71069065-19
NR3633--MA1421.1.TCF7L1	chr2	68884946	68884957	-	0.000	0.000	Merged-chr2-68884857-23
NR216--MA1421.1.TCF7L1	chr1	94025609	94025620	+	0.000	0.000	Merged-chr1-94025615-17
NR3089--MA0769.1.Tcf7	chr18	33781014	33781025	+	0.000	0.000	Merged-chr18-33781041-12
NR3246--MA1421.1.TCF7L1	chr18	81521369	81521380	-	0.000	0.000	Merged-chr18-81521430-36
NR5110--MA1421.1.TCF7L1	chr5	73344295	73344306	-	0.000	0.000	Merged-chr5-73344482-20
NR3620--MA1421.1.TCF7L1	chr2	65871125	65871136	-	0.000	0.000	Merged-chr2-65871141-19
NR1360--MA1421.1.TCF7L1	chr12	25601141	25601152	-	0.000	0.000	Merged-chr12-25601123-16
NR637--MA1421.1.TCF7L1	chr10	24111229	24111240	-	0.000	0.000	Merged-chr10-24111264-14
NR5978--MA1421.1.TCF7L1	chr7	67353756	67353767	-	0.000	0.000	Merged-chr7-67353683-35
NR6976--MA0523.1.TCF7L2	chrX	71464351	71464364	-	0.000	0.000	Merged-chrX-71464449-26
NR5266--MA0523.1.TCF7L2	chr5	118614716	118614729	+	0.000	0.000	Merged-chr5-118614593-18
NR5059--MA0769.1.Tcf7	chr5	45790462	45790473	-	0.000	0.000	Merged-chr5-45790409-20
NR3457--MA0769.1.Tcf7	chr2	9677262	9677273	+	0.000	0.000	Merged-chr2-9677324-22
NR4332--MA0769.1.Tcf7	chr3	126589727	126589738	+	0.000	0.000	Merged-chr3-126589665-27
NR4183--MA0523.1.TCF7L2	chr3	84595448	84595461	-	0.000	0.000	Merged-chr3-84595329-34
NR2905--MA0523.1.TCF7L2	chr17	35708042	35708055	-	0.000	0.000	Merged-chr17-35708124-19
