#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR1126--MA0508.2.PRDM1	chr18	68969006	68969015	+	0.000	0.000	Merged-chr18-68968994-3
NR1506--MA0508.2.PRDM1	chr3	108781689	108781698	+	0.000	0.000	Merged-chr3-108781707-12
NR1105--MA0508.2.PRDM1	chr18	55681661	55681670	-	0.000	0.000	Merged-chr18-55681578-17
NR1466--MA0508.2.PRDM1	chr3	81339656	81339665	-	0.000	0.000	Merged-chr3-81339811-7
NR84--MA0508.2.PRDM1	chr1	106866849	106866858	-	0.000	0.000	Merged-chr1-106866899-32
NR542--MA0508.2.PRDM1	chr12	107016932	107016941	-	0.000	0.000	Merged-chr12-107016974-8
NR922--MA0508.2.PRDM1	chr16	21836808	21836817	+	0.000	0.000	Merged-chr16-21836791-13
NR1859--MA0508.2.PRDM1	chr5	100896485	100896494	-	0.000	0.000	Merged-chr5-100896571-13
NR2252--MA0508.2.PRDM1	chr8	33892341	33892350	-	0.000	0.000	Merged-chr8-33892285-10
NR2090--MA0508.2.PRDM1	chr7	18873073	18873082	+	0.000	0.000	Merged-chr7-18872970-1
NR773--MA0508.2.PRDM1	chr14	63383605	63383614	-	0.000	0.000	Merged-chr14-63383555-18
NR1044--MA0508.2.PRDM1	chr17	65740403	65740412	-	0.000	0.000	Merged-chr17-65740416-17
NR1166--MA0508.2.PRDM1	chr19	16172897	16172906	-	0.000	0.000	Merged-chr19-16172957-13
NR1437--MA0508.2.PRDM1	chr3	52523068	52523077	-	0.000	0.000	Merged-chr3-52523173-17
NR255--MA0508.2.PRDM1	chr10	60000174	60000183	+	0.000	0.000	Merged-chr10-60000232-10
NR635--MA0508.2.PRDM1	chr13	61788299	61788308	+	0.000	0.000	Merged-chr13-61788395-14
NR2332--MA0508.2.PRDM1	chr8	122772822	122772831	-	0.000	0.000	Merged-chr8-122772813-21
NR486--MA0508.2.PRDM1	chr12	53032943	53032952	-	0.000	0.000	Merged-chr12-53032976-31
NR2202--MA0508.2.PRDM1	chr7	126467317	126467326	+	0.000	0.000	Merged-chr7-126467456-1
NR26--MA0508.2.PRDM1	chr1	37310048	37310057	+	0.000	0.000	Merged-chr1-37310125-13
NR290--MA0508.2.PRDM1	chr10	86794991	86795000	+	0.000	0.000	Merged-chr10-86794881-42
NR627--MA0508.2.PRDM1	chr13	52617344	52617353	-	0.000	0.000	Merged-chr13-52617361-10
NR2271--MA0508.2.PRDM1	chr8	53630825	53630834	-	0.000	0.000	Merged-chr8-53630787-29
NR1940--MA0508.2.PRDM1	chr6	52991365	52991374	+	0.000	0.000	Merged-chr6-52991289-8
NR2308--MA0508.2.PRDM1	chr8	101687071	101687080	-	0.000	0.000	Merged-chr8-101687261-3
NR2080--MA0508.2.PRDM1	chr6	146072170	146072179	+	0.000	0.000	Merged-chr6-146072064-12
NR1903--MA0508.2.PRDM1	chr5	149017746	149017755	+	0.000	0.000	Merged-chr5-149017827-20
NR2335--MA0508.2.PRDM1	chr8	126699471	126699480	+	0.000	0.000	Merged-chr8-126699390-72
NR237--MA0508.2.PRDM1	chr10	40479336	40479345	-	0.000	0.000	Merged-chr10-40479489-48
NR1571--MA0508.2.PRDM1	chr3	148336316	148336325	+	0.000	0.000	Merged-chr3-148336244-12
NR2348--MA0508.2.PRDM1	chr9	7576796	7576805	-	0.000	0.000	Merged-chr9-7576753-19
NR1951--MA0508.2.PRDM1	chr6	59363440	59363449	+	0.000	0.000	Merged-chr6-59363496-31
NR2186--MA0508.2.PRDM1	chr7	115661830	115661839	-	0.000	0.000	Merged-chr7-115661856-1
NR2109--MA0508.2.PRDM1	chr7	49451000	49451009	+	0.000	0.000	Merged-chr7-49451105-18
NR2295--MA0508.2.PRDM1	chr8	83131904	83131913	-	0.000	0.000	Merged-chr8-83131891-13
NR2306--MA0508.2.PRDM1	chr8	95679322	95679331	-	0.000	0.000	Merged-chr8-95679341-1
NR1826--MA0508.2.PRDM1	chr5	72658518	72658527	-	0.000	0.000	Merged-chr5-72658444-8
NR30--MA0508.2.PRDM1	chr1	39102315	39102324	-	0.000	0.000	Merged-chr1-39102412-8
NR2388--MA0508.2.PRDM1	chr9	60243971	60243980	+	0.000	0.000	Merged-chr9-60243855-4
NR1534--MA0508.2.PRDM1	chr3	130749379	130749388	+	0.000	0.000	Merged-chr3-130749369-18
NR1874--MA0508.2.PRDM1	chr5	117924833	117924842	+	0.000	0.000	Merged-chr5-117924808-8
NR1221--MA0508.2.PRDM1	chr2	13672643	13672652	-	0.000	0.000	Merged-chr2-13672808-37
NR724--MA0508.2.PRDM1	chr14	7833637	7833646	-	0.000	0.000	Merged-chr14-7833590-5
NR1409--MA0508.2.PRDM1	chr3	8718383	8718392	+	0.000	0.000	Merged-chr3-8718167-60
NR562--MA0508.2.PRDM1	chr12	115171922	115171931	-	0.000	0.000	Merged-chr12-115171864-49
NR671--MA0508.2.PRDM1	chr13	89528783	89528792	-	0.000	0.000	Merged-chr13-89528887-11
NR1160--MA0508.2.PRDM1	chr19	11464977	11464986	-	0.000	0.000	Merged-chr19-11464953-24
NR1064--MA0508.2.PRDM1	chr17	86034443	86034452	+	0.000	0.000	Merged-chr17-86034509-12
NR302--MA0508.2.PRDM1	chr10	95842894	95842903	-	0.000	0.000	Merged-chr10-95843057-27
NR1282--MA0508.2.PRDM1	chr2	79087414	79087423	-	0.000	0.000	Merged-chr2-79087442-58
NR1205--MA0508.2.PRDM1	chr19	55260918	55260927	+	0.000	0.000	Merged-chr19-55260920-21
NR900--MA0508.2.PRDM1	chr15	97842536	97842545	-	0.000	0.000	Merged-chr15-97842393-22
NR1566--MA0508.2.PRDM1	chr3	144533329	144533338	-	0.000	0.000	Merged-chr3-144533268-10
NR1423--MA0508.2.PRDM1	chr3	28405502	28405511	-	0.000	0.000	Merged-chr3-28405628-27
NR621--MA0508.2.PRDM1	chr13	41774073	41774082	-	0.000	0.000	Merged-chr13-41774048-23
NR1014--MA0508.2.PRDM1	chr17	30046822	30046831	+	0.000	0.000	Merged-chr17-30046882-17
NR504--MA0508.2.PRDM1	chr12	79628789	79628798	-	0.000	0.000	Merged-chr12-79628685-20
NR485--MA0508.2.PRDM1	chr12	53024790	53024799	+	0.000	0.000	Merged-chr12-53024873-19
NR2453--MA0508.2.PRDM1	chr9	118196801	118196810	+	0.000	0.000	Merged-chr9-118196833-13
NR1279--MA0508.2.PRDM1	chr2	75892195	75892204	-	0.000	0.000	Merged-chr2-75892268-38
NR791--MA0508.2.PRDM1	chr14	77581075	77581084	+	0.000	0.000	Merged-chr14-77581248-1
NR586--MA0508.2.PRDM1	chr13	10244529	10244538	+	0.000	0.000	Merged-chr13-10244552-9
NR2031--MA0508.2.PRDM1	chr6	118621981	118621990	+	0.000	0.000	Merged-chr6-118621968-6
