#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR2027--MA0463.1.Bcl6	chr9	66274710	66274723	-	0.000	0.000	Merged-chr9-66274857-15
NR740--MA0731.1.BCL6B	chr16	10814859	10814875	+	0.000	0.000	Merged-chr16-10814720-1
NR1011--MA0731.1.BCL6B	chr19	56295265	56295281	-	0.000	0.000	Merged-chr19-56295235-24
NR744--MA0463.1.Bcl6	chr16	13448032	13448045	+	0.000	0.000	Merged-chr16-13448119-36
NR1505--MA0731.1.BCL6B	chr5	37147788	37147804	+	0.000	0.000	Merged-chr5-37147664-17
NR1010--MA0463.1.Bcl6	chr19	56295268	56295281	+	0.000	0.000	Merged-chr19-56295235-24
NR1757--MA0731.1.BCL6B	chr7	16012876	16012892	+	0.000	0.000	Merged-chr7-16013066-32
NR1290--MA0731.1.BCL6B	chr3	126825088	126825104	+	0.000	0.000	Merged-chr3-126825034-19
NR105--MA0463.1.Bcl6	chr1	153386977	153386990	-	0.000	0.000	Merged-chr1-153386899-25
NR1030--MA0731.1.BCL6B	chr2	18911779	18911795	+	0.000	0.000	Merged-chr2-18911586-19
NR925--MA0463.1.Bcl6	chr18	60632960	60632973	-	0.000	0.000	Merged-chr18-60633052-25
NR276--MA0463.1.Bcl6	chr10	120646235	120646248	+	0.000	0.000	Merged-chr10-120646351-10
NR1289--MA0463.1.Bcl6	chr3	126825088	126825101	-	0.000	0.000	Merged-chr3-126825034-19
NR926--MA0731.1.BCL6B	chr18	60632960	60632976	+	0.000	0.000	Merged-chr18-60633052-25
NR682--MA0731.1.BCL6B	chr15	9435904	9435920	-	0.000	0.000	Merged-chr15-9435954-24
NR381--MA0463.1.Bcl6	chr11	114873360	114873373	-	0.000	0.000	Merged-chr11-114873395-35
NR687--MA0731.1.BCL6B	chr15	18951744	18951760	+	0.000	0.000	Merged-chr15-18951851-25
NR114--MA0731.1.BCL6B	chr1	160290473	160290489	-	0.000	0.000	Merged-chr1-160290479-12
NR1331--MA0731.1.BCL6B	chr3	143740827	143740843	-	0.000	0.000	Merged-chr3-143740858-3
NR1854--MA0731.1.BCL6B	chr7	123327150	123327166	+	0.000	0.000	Merged-chr7-123327122-14
NR1440--MA0731.1.BCL6B	chr4	128884559	128884575	+	0.000	0.000	Merged-chr4-128884596-1
NR89--MA0463.1.Bcl6	chr1	144719141	144719154	+	0.000	0.000	Merged-chr1-144719233-1
NR459--MA0731.1.BCL6B	chr12	111406845	111406861	-	0.000	0.000	Merged-chr12-111406868-16
NR2095--MA0731.1.BCL6B	chr9	123960498	123960514	+	0.000	0.000	Merged-chr9-123960411-24
NR1504--MA0731.1.BCL6B	chr5	35813679	35813695	+	0.000	0.000	Merged-chr5-35813752-8
NR1439--MA0463.1.Bcl6	chr4	128884559	128884572	-	0.000	0.000	Merged-chr4-128884596-1
NR1193--MA0731.1.BCL6B	chr2	178407650	178407666	-	0.000	0.000	Merged-chr2-178407625-2
NR382--MA0463.1.Bcl6	chr11	115258227	115258240	-	0.000	0.000	Merged-chr11-115258229-4
NR915--MA0463.1.Bcl6	chr18	46182171	46182184	-	0.000	0.000	Merged-chr18-46182052-26
NR511--MA0731.1.BCL6B	chr13	34096172	34096188	+	0.000	0.000	Merged-chr13-34096039-50
NR303--MA0463.1.Bcl6	chr11	32039801	32039814	-	0.000	0.000	Merged-chr11-32039842-30
NR33--MA0463.1.Bcl6	chr1	69461264	69461277	+	0.000	0.000	Merged-chr1-69461360-14
NR1275--MA0463.1.Bcl6	chr3	107931788	107931801	-	0.000	0.000	Merged-chr3-107931821-21
NR1433--MA0463.1.Bcl6	chr4	121628380	121628393	+	0.000	0.000	Merged-chr4-121628407-1
NR701--MA0731.1.BCL6B	chr15	55106667	55106683	-	0.000	0.000	Merged-chr15-55106704-24
NR1869--MA0731.1.BCL6B	chr7	131112869	131112885	+	0.000	0.000	Merged-chr7-131112700-22
NR1600--MA0463.1.Bcl6	chr5	143037352	143037365	-	0.000	0.000	Merged-chr5-143037431-5
NR1421--MA0731.1.BCL6B	chr4	114468230	114468246	-	0.000	0.000	Merged-chr4-114468336-4
NR231--MA0731.1.BCL6B	chr10	68908444	68908460	-	0.000	0.000	Merged-chr10-68908384-20
NR1742--MA0463.1.Bcl6	chr6	146391407	146391420	+	0.000	0.000	Merged-chr6-146391315-9
NR613--MA0463.1.Bcl6	chr14	48236232	48236245	+	0.000	0.000	Merged-chr14-48236278-24
NR927--MA0731.1.BCL6B	chr18	60632960	60632976	-	0.000	0.000	Merged-chr18-60633052-25
NR1868--MA0463.1.Bcl6	chr7	131112869	131112882	-	0.000	0.000	Merged-chr7-131112700-22
NR985--MA0463.1.Bcl6	chr19	30924257	30924270	-	0.000	0.000	Merged-chr19-30924347-34
NR1553--MA0463.1.Bcl6	chr5	97090395	97090408	+	0.000	0.000	Merged-chr5-97090318-20
NR1998--MA0731.1.BCL6B	chr9	42897667	42897683	-	0.000	0.000	Merged-chr9-42897501-20
NR1393--MA0463.1.Bcl6	chr4	84001760	84001773	+	0.000	0.000	Merged-chr4-84001633-3
