#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR54796--MA0740.1.KLF14	chr6	29517305	29517318	-	0.000	0.000	Merged-chr6-29517345-20
NR46224--MA1107.1.KLF9	chr4	87669660	87669672	+	0.000	0.000	Merged-chr4-87669731-33
NR41421--MA0741.1.KLF16	chr3	79129232	79129242	-	0.000	0.000	Merged-chr3-79129160-12
NR56917--MA1107.1.KLF9	chr6	112162855	112162867	+	0.000	0.000	Merged-chr6-112162678-1
NR61839--MA0493.1.Klf1	chr7	102315702	102315712	-	0.000	0.000	Merged-chr7-102315597-18
NR67034--MA0039.3.KLF4	chr8	119927824	119927834	+	0.000	0.000	Merged-chr8-119927830-10
NR33185--MA0599.1.KLF5	chr19	7294696	7294705	-	0.000	0.000	Merged-chr19-7294791-1
NR50260--MA0740.1.KLF14	chr5	44971073	44971086	+	0.000	0.000	Merged-chr5-44970910-1
NR39969--MA0742.1.Klf12	chr2	173036664	173036678	-	0.000	0.000	Merged-chr2-173036738-9
NR58000--MA1107.1.KLF9	chr6	135150454	135150466	-	0.000	0.000	Merged-chr6-135150450-14
NR52598--MA1107.1.KLF9	chr5	123512320	123512332	+	0.000	0.000	Merged-chr5-123512374-9
NR24649--MA0741.1.KLF16	chr15	98793346	98793356	+	0.000	0.000	Merged-chr15-98793364-7
NR58818--MA0741.1.KLF16	chr7	4777043	4777053	-	0.000	0.000	Merged-chr7-4777194-35
NR42452--MA0493.1.Klf1	chr3	103862695	103862705	+	0.000	0.000	Merged-chr3-103862515-1,Merged-chr3-103862758-3
NR56835--MA0740.1.KLF14	chr6	108426882	108426895	-	0.000	0.000	Merged-chr6-108426934-21
NR60356--MA0599.1.KLF5	chr7	45068182	45068191	-	0.000	0.000	Merged-chr7-45068056-13
NR8686--MA1107.1.KLF9	chr10	122778137	122778149	+	0.000	0.000	Merged-chr10-122778014-1
NR935--MA1107.1.KLF9	chr1	62049746	62049758	+	0.000	0.000	Merged-chr1-62049803-1
NR50638--MA1107.1.KLF9	chr5	64435675	64435687	+	0.000	0.000	Merged-chr5-64435633-23
NR51500--MA0493.1.Klf1	chr5	99891683	99891693	+	0.000	0.000	Merged-chr5-99891648-1
NR57077--MA0742.1.Klf12	chr6	115972936	115972950	-	0.000	0.000	Merged-chr6-115972922-11
NR54797--MA0657.1.KLF13	chr6	29517302	29517319	-	0.000	0.000	Merged-chr6-29517345-20
NR16954--MA0599.1.KLF5	chr13	52060057	52060066	+	0.000	0.000	Merged-chr13-52060042-8
NR31053--MA0742.1.Klf12	chr18	24653028	24653042	-	0.000	0.000	Merged-chr18-24652935-1
NR68353--MA0741.1.KLF16	chr9	41160888	41160898	-	0.000	0.000	Merged-chr9-41160864-12
NR35275--MA0741.1.KLF16	chr2	25170653	25170663	-	0.000	0.000	Merged-chr2-25170502-21
NR66739--MA0741.1.KLF16	chr8	113669807	113669817	-	0.000	0.000	Merged-chr8-113669969-10
NR67846--MA0493.1.Klf1	chr9	20757384	20757394	-	0.000	0.000	Merged-chr9-20757221-14
NR68994--MA0742.1.Klf12	chr9	59565753	59565767	-	0.000	0.000	Merged-chr9-59565831-20
NR68044--MA0039.3.KLF4	chr9	22468432	22468442	+	0.000	0.000	Merged-chr9-22468507-1
NR47589--MA0741.1.KLF16	chr4	130802168	130802178	+	0.000	0.000	Merged-chr4-130802230-25
NR9185--MA0741.1.KLF16	chr11	4462996	4463006	+	0.000	0.000	Merged-chr11-4463139-8
NR54799--MA0741.1.KLF16	chr6	29517307	29517317	-	0.000	0.000	Merged-chr6-29517345-20
NR9124--MA0599.1.KLF5	chr11	3863942	3863951	-	0.000	0.000	Merged-chr11-3863952-34
NR1644--MA1107.1.KLF9	chr1	90676795	90676807	+	0.000	0.000	Merged-chr1-90676812-13
NR28478--MA0039.3.KLF4	chr17	30575636	30575646	-	0.000	0.000	Merged-chr17-30575700-2
NR3013--MA0039.3.KLF4	chr1	151582158	151582168	-	0.000	0.000	Merged-chr1-151582085-10
NR1864--MA0493.1.Klf1	chr1	104215213	104215223	+	0.000	0.000	Merged-chr1-104215254-1
NR56836--MA0657.1.KLF13	chr6	108426879	108426896	-	0.000	0.000	Merged-chr6-108426934-21
NR10364--MA0742.1.Klf12	chr11	58199547	58199561	+	0.000	0.000	Merged-chr11-58199630-58
NR58821--MA0740.1.KLF14	chr7	4777375	4777388	+	0.000	0.000	Merged-chr7-4777194-35
NR44784--MA1107.1.KLF9	chr4	32342556	32342568	+	0.000	0.000	Merged-chr4-32342446-3
NR61240--MA0493.1.Klf1	chr7	80911180	80911190	+	0.000	0.000	Merged-chr7-80911261-13
NR22414--MA1107.1.KLF9	chr15	19456869	19456881	+	0.000	0.000	Merged-chr15-19456859-1
NR34761--MA0741.1.KLF16	chr2	5747698	5747708	-	0.000	0.000	Merged-chr2-5747765-15
NR53953--MA1107.1.KLF9	chr5	142926607	142926619	-	0.000	0.000	Merged-chr5-142926803-39
NR12259--MA0493.1.Klf1	chr11	102097108	102097118	+	0.000	0.000	Merged-chr11-102097167-18
NR33141--MA0740.1.KLF14	chr19	6839886	6839899	-	0.000	0.000	Merged-chr19-6839786-2
NR8680--MA0742.1.Klf12	chr10	122778157	122778171	+	0.000	0.000	Merged-chr10-122778014-1
NR41771--MA0599.1.KLF5	chr3	89911450	89911459	+	0.000	0.000	Merged-chr3-89911440-10
NR54292--MA0599.1.KLF5	chr5	149320905	149320914	+	0.000	0.000	Merged-chr5-149320865-18
NR31171--MA1107.1.KLF9	chr18	34119162	34119174	+	0.000	0.000	Merged-chr18-34119023-1
NR33348--MA0741.1.KLF16	chr19	11467350	11467360	+	0.000	0.000	Merged-chr19-11467244-4
NR43914--MA1107.1.KLF9	chr3	148221391	148221403	-	0.000	0.000	Merged-chr3-148221459-4
NR8915--MA0039.3.KLF4	chr10	127471442	127471452	-	0.000	0.000	Merged-chr10-127471535-20
NR33186--MA0741.1.KLF16	chr19	7294695	7294705	-	0.000	0.000	Merged-chr19-7294791-1
NR11993--MA0493.1.Klf1	chr11	98348222	98348232	+	0.000	0.000	Merged-chr11-98348383-15
NR45201--MA0741.1.KLF16	chr4	44106464	44106474	-	0.000	0.000	Merged-chr4-44106569-17
NR14050--MA0599.1.KLF5	chr12	41566225	41566234	-	0.000	0.000	Merged-chr12-41566300-31
NR873--MA0039.3.KLF4	chr1	59180247	59180257	+	0.000	0.000	Merged-chr1-59180254-19
NR56114--MA0599.1.KLF5	chr6	86127094	86127103	+	0.000	0.000	Merged-chr6-86127203-6
NR76--MA0740.1.KLF14	chr1	11229579	11229592	+	0.000	0.000	Merged-chr1-11229597-37
NR47110--MA0657.1.KLF13	chr4	120746999	120747016	-	0.000	0.000	Merged-chr4-120746874-1
NR49022--MA0599.1.KLF5	chr4	154964947	154964956	+	0.000	0.000	Merged-chr4-154964941-1
NR9183--MA0599.1.KLF5	chr11	4462996	4463005	+	0.000	0.000	Merged-chr11-4463139-8
NR57082--MA0741.1.KLF16	chr6	115972919	115972929	-	0.000	0.000	Merged-chr6-115972922-11
NR62241--MA0493.1.Klf1	chr7	115416123	115416133	-	0.000	0.000	Merged-chr7-115416169-1
NR6985--MA0740.1.KLF14	chr10	79997316	79997329	+	0.000	0.000	Merged-chr10-79997412-19
NR33304--MA0657.1.KLF13	chr19	10742350	10742367	+	0.000	0.000	Merged-chr19-10742399-21
NR37036--MA0599.1.KLF5	chr2	91652059	91652068	-	0.000	0.000	Merged-chr2-91651948-3
NR61070--MA1107.1.KLF9	chr7	78383923	78383935	+	0.000	0.000	Merged-chr7-78384000-1
NR41427--MA0599.1.KLF5	chr3	79178357	79178366	+	0.000	0.000	Merged-chr3-79178280-26
NR859--MA0742.1.Klf12	chr1	58953882	58953896	+	0.000	0.000	Merged-chr1-58953999-17
NR27461--MA1107.1.KLF9	chr17	6055062	6055074	-	0.000	0.000	Merged-chr17-6055126-17
NR35270--MA0740.1.KLF14	chr2	25170651	25170664	-	0.000	0.000	Merged-chr2-25170502-21
NR66734--MA0740.1.KLF14	chr8	113669799	113669812	-	0.000	0.000	Merged-chr8-113669969-10
NR52010--MA0599.1.KLF5	chr5	112377672	112377681	-	0.000	0.000	Merged-chr5-112377578-21
NR42770--MA0741.1.KLF16	chr3	115897929	115897939	+	0.000	0.000	Merged-chr3-115897908-5
NR16636--MA0039.3.KLF4	chr13	38958320	38958330	+	0.000	0.000	Merged-chr13-38958304-24
NR56910--MA1107.1.KLF9	chr6	112162841	112162853	+	0.000	0.000	Merged-chr6-112162678-1
NR2938--MA0657.1.KLF13	chr1	150465583	150465600	+	0.000	0.000	Merged-chr1-150465561-21
NR1803--MA0599.1.KLF5	chr1	94825287	94825296	+	0.000	0.000	Merged-chr1-94825382-1
NR41426--MA1107.1.KLF9	chr3	79129206	79129218	-	0.000	0.000	Merged-chr3-79129160-12
NR18852--MA1107.1.KLF9	chr13	114280929	114280941	-	0.000	0.000	Merged-chr13-114280997-1
NR62168--MA0741.1.KLF16	chr7	112865929	112865939	+	0.000	0.000	Merged-chr7-112866045-1
NR6343--MA0493.1.Klf1	chr10	63381571	63381581	+	0.000	0.000	Merged-chr10-63381719-30
NR31052--MA0740.1.KLF14	chr18	24653029	24653042	-	0.000	0.000	Merged-chr18-24652935-1
NR57998--MA0741.1.KLF16	chr6	135150459	135150469	-	0.000	0.000	Merged-chr6-135150450-14
NR18850--MA0741.1.KLF16	chr13	114280930	114280940	-	0.000	0.000	Merged-chr13-114280997-1
NR28408--MA0741.1.KLF16	chr17	29264986	29264996	+	0.000	0.000	Merged-chr17-29264893-3
NR21101--MA0741.1.KLF16	chr14	76001937	76001947	-	0.000	0.000	Merged-chr14-76001968-11
NR71429--MA0599.1.KLF5	chr9	121455129	121455138	+	0.000	0.000	Merged-chr9-121454962-55
NR77--MA0657.1.KLF13	chr1	11229578	11229595	+	0.000	0.000	Merged-chr1-11229597-37
NR67588--MA0493.1.Klf1	chr8	127993899	127993909	+	0.000	0.000	Merged-chr8-127993892-1
NR13726--MA0493.1.Klf1	chr12	25118074	25118084	-	0.000	0.000	Merged-chr12-25118118-8
NR49023--MA0741.1.KLF16	chr4	154964935	154964945	+	0.000	0.000	Merged-chr4-154964941-1
NR56906--MA1107.1.KLF9	chr6	112162833	112162845	+	0.000	0.000	Merged-chr6-112162678-1
NR53220--MA1107.1.KLF9	chr5	134373283	134373295	+	0.000	0.000	Merged-chr5-134373166-2
NR44790--MA0741.1.KLF16	chr4	32388775	32388785	-	0.000	0.000	Merged-chr4-32388738-7
NR13902--MA0740.1.KLF14	chr12	33036351	33036364	+	0.000	0.000	Merged-chr12-33036196-25
NR28663--MA0039.3.KLF4	chr17	34127650	34127660	+	0.000	0.000	Merged-chr17-34127670-6
NR4162--MA0742.1.Klf12	chr1	178777942	178777956	+	0.000	0.000	Merged-chr1-178777930-3
NR26709--MA0599.1.KLF5	chr16	76500203	76500212	+	0.000	0.000	Merged-chr16-76500244-1
NR68043--MA0599.1.KLF5	chr9	22468431	22468440	+	0.000	0.000	Merged-chr9-22468507-1
NR26091--MA0599.1.KLF5	chr16	44337718	44337727	-	0.000	0.000	Merged-chr16-44337753-20
NR19844--MA1107.1.KLF9	chr14	33099300	33099312	+	0.000	0.000	Merged-chr14-33099452-34
NR56589--MA0493.1.Klf1	chr6	97487969	97487979	+	0.000	0.000	Merged-chr6-97487837-16
NR52591--MA0039.3.KLF4	chr5	123512264	123512274	-	0.000	0.000	Merged-chr5-123512374-9
NR12797--MA1107.1.KLF9	chr11	114813032	114813044	+	0.000	0.000	Merged-chr11-114812922-18
NR1498--MA1107.1.KLF9	chr1	85720770	85720782	+	0.000	0.000	Merged-chr1-85720773-26
NR10520--MA0599.1.KLF5	chr11	61660913	61660922	-	0.000	0.000	Merged-chr11-61660971-31
NR16216--MA0039.3.KLF4	chr13	13531063	13531073	-	0.000	0.000	Merged-chr13-13531086-27
NR46223--MA0493.1.Klf1	chr4	87669660	87669670	+	0.000	0.000	Merged-chr4-87669731-33
NR42775--MA0741.1.KLF16	chr3	115897934	115897944	+	0.000	0.000	Merged-chr3-115897908-5
NR68037--MA0741.1.KLF16	chr9	22468356	22468366	-	0.000	0.000	Merged-chr9-22468507-1
NR58568--MA0599.1.KLF5	chr6	145135523	145135532	+	0.000	0.000	Merged-chr6-145135361-11
NR58567--MA0742.1.Klf12	chr6	145135517	145135531	+	0.000	0.000	Merged-chr6-145135361-11
NR5420--MA0599.1.KLF5	chr10	22149877	22149886	-	0.000	0.000	Merged-chr10-22149944-1
NR14606--MA0493.1.Klf1	chr12	76596421	76596431	-	0.000	0.000	Merged-chr12-76596548-12
NR35452--MA0493.1.Klf1	chr2	27693905	27693915	-	0.000	0.000	Merged-chr2-27693880-30
NR933--MA1107.1.KLF9	chr1	62049742	62049754	+	0.000	0.000	Merged-chr1-62049803-1
NR61662--MA1107.1.KLF9	chr7	98995321	98995333	-	0.000	0.000	Merged-chr7-98995432-21
NR14502--MA0039.3.KLF4	chr12	71954572	71954582	+	0.000	0.000	Merged-chr12-71954531-3
NR12363--MA1107.1.KLF9	chr11	103351165	103351177	+	0.000	0.000	Merged-chr11-103350991-5
NR68383--MA0493.1.Klf1	chr9	42423777	42423787	+	0.000	0.000	Merged-chr9-42423784-11
NR68475--MA0740.1.KLF14	chr9	44708540	44708553	-	0.000	0.000	Merged-chr9-44708535-22
NR61748--MA0493.1.Klf1	chr7	100950760	100950770	+	0.000	0.000	Merged-chr7-100950799-22
NR41061--MA0599.1.KLF5	chr3	53041479	53041488	-	0.000	0.000	Merged-chr3-53041622-23
NR19760--MA0493.1.Klf1	chr14	30675196	30675206	-	0.000	0.000	Merged-chr14-30675172-26
NR40176--MA1107.1.KLF9	chr2	178891691	178891703	+	0.000	0.000	Merged-chr2-178891686-1
NR13903--MA0657.1.KLF13	chr12	33036350	33036367	+	0.000	0.000	Merged-chr12-33036196-25
NR33882--MA0599.1.KLF5	chr19	40509069	40509078	-	0.000	0.000	Merged-chr19-40509084-1
NR56031--MA0740.1.KLF14	chr6	83456834	83456847	-	0.000	0.000	Merged-chr6-83457033-1
NR33187--MA1107.1.KLF9	chr19	7294694	7294706	-	0.000	0.000	Merged-chr19-7294791-1
NR1503--MA1107.1.KLF9	chr1	85720780	85720792	+	0.000	0.000	Merged-chr1-85720773-26
NR47587--MA0599.1.KLF5	chr4	130802166	130802175	+	0.000	0.000	Merged-chr4-130802230-25
NR47014--MA0599.1.KLF5	chr4	118260670	118260679	-	0.000	0.000	Merged-chr4-118260858-21
NR42929--MA0741.1.KLF16	chr3	121982311	121982321	+	0.000	0.000	Merged-chr3-121982250-28
NR47353--MA1107.1.KLF9	chr4	127095286	127095298	-	0.000	0.000	Merged-chr4-127095353-15
NR8914--MA0599.1.KLF5	chr10	127471444	127471453	-	0.000	0.000	Merged-chr10-127471535-20
NR8408--MA0741.1.KLF16	chr10	118090010	118090020	-	0.000	0.000	Merged-chr10-118090052-13
NR57250--MA0741.1.KLF16	chr6	120006493	120006503	+	0.000	0.000	Merged-chr6-120006378-7
NR18128--MA0742.1.Klf12	chr13	97790018	97790032	+	0.000	0.000	Merged-chr13-97790032-25
NR872--MA0599.1.KLF5	chr1	59180246	59180255	+	0.000	0.000	Merged-chr1-59180254-19
NR858--MA0740.1.KLF14	chr1	58953882	58953895	+	0.000	0.000	Merged-chr1-58953999-17
NR49769--MA0741.1.KLF16	chr5	27995450	27995460	-	0.000	0.000	Merged-chr5-27995403-19
NR44782--MA1107.1.KLF9	chr4	32342552	32342564	+	0.000	0.000	Merged-chr4-32342446-3
NR68040--MA0740.1.KLF14	chr9	22468430	22468443	+	0.000	0.000	Merged-chr9-22468507-1
NR36588--MA0599.1.KLF5	chr2	71800980	71800989	+	0.000	0.000	Merged-chr2-71801040-44
NR67741--MA0741.1.KLF16	chr9	14281807	14281817	-	0.000	0.000	Merged-chr9-14281792-3
NR35904--MA0039.3.KLF4	chr2	35729773	35729783	+	0.000	0.000	Merged-chr2-35729635-16
NR4376--MA0741.1.KLF16	chr1	182711609	182711619	-	0.000	0.000	Merged-chr1-182711604-2
NR64825--MA1107.1.KLF9	chr8	46723059	46723071	-	0.000	0.000	Merged-chr8-46722876-13
NR62211--MA1107.1.KLF9	chr7	114284560	114284572	-	0.000	0.000	Merged-chr7-114284648-5
NR69178--MA0740.1.KLF14	chr9	65087632	65087645	-	0.000	0.000	Merged-chr9-65087693-13
