#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed
NR4027--MA0089.1.MAFG::NFE2L1	chr14	101481168	101481173	-	0.000	0.000	Merged-chr14-101481280-1
NR10657--MA0089.1.MAFG::NFE2L1	chr7	74343822	74343827	+	0.000	0.000	Merged-chr7-74343758-7
NR110--MA0117.2.Mafb	chr1	38777699	38777710	+	0.000	0.000	Merged-chr1-38777708-41
NR6409--MA0496.2.MAFK	chr2	30112755	30112773	-	0.000	0.000	Merged-chr2-30112786-18
NR11788--MA0089.1.MAFG::NFE2L1	chr9	5623575	5623580	-	0.000	0.000	Merged-chr9-5623590-21
NR3058--MA0591.1.Bach1::Mafk	chr13	6626713	6626727	+	0.000	0.000	Merged-chr13-6626818-32
NR11312--MA0496.2.MAFK	chr8	54660906	54660924	+	0.000	0.000	Merged-chr8-54660891-16
NR1005--MA0495.2.MAFF	chr10	3238612	3238632	+	0.000	0.000	Merged-chr10-3238463-21
NR5726--MA0501.1.MAF::NFE2	chr18	56412985	56412999	-	0.000	0.000	Merged-chr18-56413005-50
NR3851--MA0089.1.MAFG::NFE2L1	chr14	61774045	61774050	-	0.000	0.000	Merged-chr14-61773988-12
NR10340--MA0089.1.MAFG::NFE2L1	chr6	144922951	144922956	-	0.000	0.000	Merged-chr6-144923057-24
NR9827--MA0495.2.MAFF	chr6	72841910	72841930	-	0.000	0.000	Merged-chr6-72841906-9
NR1244--MA0117.2.Mafb	chr10	59392095	59392106	-	0.000	0.000	Merged-chr10-59392092-23
NR5615--MA0501.1.MAF::NFE2	chr18	25367711	25367725	-	0.000	0.000	Merged-chr18-25367708-17
NR3088--MA0117.2.Mafb	chr13	18757833	18757844	+	0.000	0.000	Merged-chr13-18757680-4
NR7896--MA0089.1.MAFG::NFE2L1	chr3	130571191	130571196	-	0.000	0.000	Merged-chr3-130571110-5
NR227--MA0659.1.MAFG	chr1	64601371	64601391	-	0.000	0.000	Merged-chr1-64601532-28
NR9925--MA0496.2.MAFK	chr6	97447131	97447149	+	0.000	0.000	Merged-chr6-97447180-22
NR1215--MA0496.2.MAFK	chr10	53346650	53346668	+	0.000	0.000	Merged-chr10-53346835-25
NR267--MA0501.1.MAF::NFE2	chr1	78644169	78644183	-	0.000	0.000	Merged-chr1-78644356-22
NR361--MA0117.2.Mafb	chr1	92119350	92119361	-	0.000	0.000	Merged-chr1-92119439-48
NR6679--MA0591.1.Bach1::Mafk	chr2	85223660	85223674	-	0.000	0.000	Merged-chr2-85223588-7
NR9630--MA0495.2.MAFF	chr6	29735986	29736006	-	0.000	0.000	Merged-chr6-29735888-24
NR1400--MA0089.1.MAFG::NFE2L1	chr10	85163106	85163111	+	0.000	0.000	Merged-chr10-85163133-13
NR2554--MA0591.1.Bach1::Mafk	chr12	25851738	25851752	-	0.000	0.000	Merged-chr12-25851772-17
NR7549--MA0591.1.Bach1::Mafk	chr3	37272567	37272581	+	0.000	0.000	Merged-chr3-37272616-19
NR4880--MA0089.1.MAFG::NFE2L1	chr16	65815333	65815338	-	0.000	0.000	Merged-chr16-65815445-39
NR8337--MA0501.1.MAF::NFE2	chr4	88079194	88079208	+	0.000	0.000	Merged-chr4-88079193-33
NR5485--MA0496.2.MAFK	chr17	86206503	86206521	+	0.000	0.000	Merged-chr17-86206449-38
NR5391--MA0496.2.MAFK	chr17	73810262	73810280	-	0.000	0.000	Merged-chr17-73810198-2
NR5047--MA0495.2.MAFF	chr16	97442080	97442100	+	0.000	0.000	Merged-chr16-97442198-19
NR6098--MA0089.1.MAFG::NFE2L1	chr19	33053369	33053374	+	0.000	0.000	Merged-chr19-33053321-32
NR1466--MA0496.2.MAFK	chr10	93567013	93567031	-	0.000	0.000	Merged-chr10-93567136-2
NR10815--MA0501.1.MAF::NFE2	chr7	101673563	101673577	-	0.000	0.000	Merged-chr7-101673634-22
NR9879--MA0089.1.MAFG::NFE2L1	chr6	89422838	89422843	-	0.000	0.000	Merged-chr6-89422834-19
NR6207--MA0591.1.Bach1::Mafk	chr19	55364450	55364464	+	0.000	0.000	Merged-chr19-55364335-1
NR2576--MA0117.2.Mafb	chr12	32144742	32144753	+	0.000	0.000	Merged-chr12-32144696-20
NR4978--MA0495.2.MAFF	chr16	92904125	92904145	-	0.000	0.000	Merged-chr16-92904166-16
NR3086--MA0501.1.MAF::NFE2	chr13	18757546	18757560	-	0.000	0.000	Merged-chr13-18757680-4
NR4918--MA0089.1.MAFG::NFE2L1	chr16	84627234	84627239	+	0.000	0.000	Merged-chr16-84627265-6
NR11700--MA0659.1.MAFG	chr8	125344032	125344052	+	0.000	0.000	Merged-chr8-125344095-45
NR3778--MA0501.1.MAF::NFE2	chr14	46578214	46578228	-	0.000	0.000	Merged-chr14-46578431-37
NR10608--MA0501.1.MAF::NFE2	chr7	58730386	58730400	-	0.000	0.000	Merged-chr7-58730426-6
NR9612--MA0496.2.MAFK	chr6	22314619	22314637	-	0.000	0.000	Merged-chr6-22314730-22
NR9007--MA0501.1.MAF::NFE2	chr5	35884565	35884579	+	0.000	0.000	Merged-chr5-35884735-14
NR234--MA0496.2.MAFK	chr1	69350805	69350823	+	0.000	0.000	Merged-chr1-69350970-27
NR4751--MA0501.1.MAF::NFE2	chr16	38619201	38619215	+	0.000	0.000	Merged-chr16-38619268-31
NR8200--MA0496.2.MAFK	chr4	41295741	41295759	+	0.000	0.000	Merged-chr4-41295781-15
NR275--MA0495.2.MAFF	chr1	80321300	80321320	+	0.000	0.000	Merged-chr1-80321528-19
NR9109--MA0089.1.MAFG::NFE2L1	chr5	75791987	75791992	+	0.000	0.000	Merged-chr5-75792010-32
NR654--MA0089.1.MAFG::NFE2L1	chr1	160251549	160251554	+	0.000	0.000	Merged-chr1-160251414-1
NR9675--MA0089.1.MAFG::NFE2L1	chr6	38581881	38581886	-	0.000	0.000	Merged-chr6-38581914-20
NR2138--MA0659.1.MAFG	chr11	83828747	83828767	-	0.000	0.000	Merged-chr11-83828814-21
NR12379--MA0501.1.MAF::NFE2	chr9	120960861	120960875	+	0.000	0.000	Merged-chr9-120960803-26
NR7467--MA0591.1.Bach1::Mafk	chr3	8845795	8845809	+	0.000	0.000	Merged-chr3-8845963-11
NR9736--MA0501.1.MAF::NFE2	chr6	53709845	53709859	-	0.000	0.000	Merged-chr6-53709881-31
