#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed
NR1001--MA0690.1.TBX21	chr18	86601952	86601961	-	0.000	0.000	Merged-chr18-86601765-23
NR408--MA0690.1.TBX21	chr12	3886381	3886390	+	0.000	0.000	Merged-chr12-3886470-4
NR368--MA0690.1.TBX21	chr11	99099208	99099217	+	0.000	0.000	Merged-chr11-99099093-22
NR1171--MA0690.1.TBX21	chr2	128156861	128156870	-	0.000	0.000	Merged-chr2-128156895-3
NR1694--MA0690.1.TBX21	chr6	142338627	142338636	-	0.000	0.000	Merged-chr6-142338590-4
NR198--MA0690.1.TBX21	chr10	39517617	39517626	+	0.000	0.000	Merged-chr10-39517662-15
NR1598--MA0690.1.TBX21	chr6	17901289	17901298	+	0.000	0.000	Merged-chr6-17901265-19
NR1978--MA0690.1.TBX21	chr9	51015811	51015820	+	0.000	0.000	Merged-chr9-51015891-3
NR1293--MA0690.1.TBX21	chr3	101933718	101933727	-	0.000	0.000	Merged-chr3-101933748-15
NR892--MA0690.1.TBX21	chr17	47171340	47171349	+	0.000	0.000	Merged-chr17-47171280-54
NR1782--MA0690.1.TBX21	chr7	92165209	92165218	-	0.000	0.000	Merged-chr7-92165181-43
NR1338--MA0690.1.TBX21	chr3	148496868	148496877	+	0.000	0.000	Merged-chr3-148496954-8
NR1699--MA0690.1.TBX21	chr6	143425396	143425405	-	0.000	0.000	Merged-chr6-143425516-71
NR632--MA0690.1.TBX21	chr14	59553395	59553404	+	0.000	0.000	Merged-chr14-59553394-22
NR903--MA0690.1.TBX21	chr17	66074026	66074035	+	0.000	0.000	Merged-chr17-66074199-45
NR1046--MA0690.1.TBX21	chr19	53760526	53760535	+	0.000	0.000	Merged-chr19-53760542-10
NR1317--MA0690.1.TBX21	chr3	133159970	133159979	+	0.000	0.000	Merged-chr3-133159832-24
NR1569--MA0690.1.TBX21	chr5	142551164	142551173	-	0.000	0.000	Merged-chr5-142551043-31
NR1155--MA0690.1.TBX21	chr2	107006030	107006039	+	0.000	0.000	Merged-chr2-107005967-12
NR1535--MA0690.1.TBX21	chr5	110594732	110594741	-	0.000	0.000	Merged-chr5-110594723-25
NR1806--MA0690.1.TBX21	chr7	115218901	115218910	+	0.000	0.000	Merged-chr7-115218920-27
NR1644--MA0690.1.TBX21	chr6	89410055	89410064	-	0.000	0.000	Merged-chr6-89410132-1
NR1896--MA0690.1.TBX21	chr8	79534598	79534607	+	0.000	0.000	Merged-chr8-79534488-18
NR1277--MA0690.1.TBX21	chr3	89906194	89906203	-	0.000	0.000	Merged-chr3-89906356-37
NR998--MA0690.1.TBX21	chr18	82493052	82493061	+	0.000	0.000	Merged-chr18-82492983-14
NR1758--MA0690.1.TBX21	chr7	68288137	68288146	-	0.000	0.000	Merged-chr7-68288130-13
NR704--MA0690.1.TBX21	chr15	36330529	36330538	+	0.000	0.000	Merged-chr15-36330676-10
NR84--MA0690.1.TBX21	chr1	136600956	136600965	-	0.000	0.000	Merged-chr1-136600909-41
NR380--MA0690.1.TBX21	chr11	107668341	107668350	-	0.000	0.000	Merged-chr11-107668374-46
NR969--MA0690.1.TBX21	chr18	62125525	62125534	-	0.000	0.000	Merged-chr18-62125570-18
NR826--MA0690.1.TBX21	chr16	77038038	77038047	-	0.000	0.000	Merged-chr16-77038211-5
NR1044--MA0690.1.TBX21	chr19	47035046	47035055	+	0.000	0.000	Merged-chr19-47035164-10
NR677--MA0690.1.TBX21	chr14	120372869	120372878	-	0.000	0.000	Merged-chr14-120372978-21
NR948--MA0690.1.TBX21	chr18	32598387	32598396	-	0.000	0.000	Merged-chr18-32598271-33
NR786--MA0690.1.TBX21	chr16	23308242	23308251	-	0.000	0.000	Merged-chr16-23308226-35
NR1328--MA0690.1.TBX21	chr3	142533283	142533292	+	0.000	0.000	Merged-chr3-142533345-44
NR656--MA0690.1.TBX21	chr14	100222350	100222359	-	0.000	0.000	Merged-chr14-100222353-13
NR181--MA0690.1.TBX21	chr10	21366051	21366060	-	0.000	0.000	Merged-chr10-21366079-21
NR518--MA0690.1.TBX21	chr13	34096003	34096012	+	0.000	0.000	Merged-chr13-34096039-50
NR1389--MA0690.1.TBX21	chr4	55591787	55591796	-	0.000	0.000	Merged-chr4-55591721-13
NR749--MA0690.1.TBX21	chr15	85469146	85469155	+	0.000	0.000	Merged-chr15-85469002-5
NR1953--MA0690.1.TBX21	chr9	13563743	13563752	+	0.000	0.000	Merged-chr9-13563926-45
