#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR38285--MA0599.1.KLF5	chr2	131127350	131127359	+	0.000	0.000	Merged-chr2-131127461-8
NR69899--MA1107.1.KLF9	chr9	85319577	85319589	-	0.000	0.000	Merged-chr9-85319747-2
NR10065--MA0599.1.KLF5	chr11	50785953	50785962	+	0.000	0.000	Merged-chr11-50786141-3
NR22284--MA0599.1.KLF5	chr15	6624691	6624700	-	0.000	0.000	Merged-chr15-6625020-114
NR12369--MA0741.1.KLF16	chr11	103382152	103382162	+	0.000	0.000	Merged-chr11-103382133-47
NR66811--MA0740.1.KLF14	chr8	115568530	115568543	+	0.000	0.000	Merged-chr8-115568627-19
NR71211--MA0493.1.Klf1	chr9	118196828	118196838	-	0.000	0.000	Merged-chr9-118196833-13
NR41421--MA0741.1.KLF16	chr3	79129232	79129242	-	0.000	0.000	Merged-chr3-79129160-12
NR5815--MA0493.1.Klf1	chr10	42934813	42934823	-	0.000	0.000	Merged-chr10-42934777-29
NR51907--MA0493.1.Klf1	chr5	111298867	111298877	-	0.000	0.000	Merged-chr5-111298964-4
NR57102--MA0039.3.KLF4	chr6	116682494	116682504	-	0.000	0.000	Merged-chr6-116682504-22
NR41120--MA0493.1.Klf1	chr3	55688153	55688163	-	0.000	0.000	Merged-chr3-55687980-1
NR56917--MA1107.1.KLF9	chr6	112162855	112162867	+	0.000	0.000	Merged-chr6-112162678-1
NR42664--MA0742.1.Klf12	chr3	109407796	109407810	-	0.000	0.000	Merged-chr3-109408017-19
NR53250--MA0599.1.KLF5	chr5	134540096	134540105	-	0.000	0.000	Merged-chr5-134540113-16
NR64472--MA1107.1.KLF9	chr8	26698688	26698700	-	0.000	0.000	Merged-chr8-26698799-12
NR49928--MA1107.1.KLF9	chr5	33143059	33143071	-	0.000	0.000	Merged-chr5-33143118-19
NR52523--MA0742.1.Klf12	chr5	122548896	122548910	-	0.000	0.000	Merged-chr5-122548864-15
NR22705--MA0599.1.KLF5	chr15	38199892	38199901	+	0.000	0.000	Merged-chr15-38199755-22
NR43876--MA0741.1.KLF16	chr3	146207602	146207612	+	0.000	0.000	Merged-chr3-146207752-15
NR6441--MA0741.1.KLF16	chr10	68136635	68136645	+	0.000	0.000	Merged-chr10-68136775-17
