#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_up.bed
NR57802--MA0599.1.KLF5	chr7	16001851	16001860	-	0.000	0.000	Merged-chr7-16001989-41
NR55778--MA0740.1.KLF14	chr6	119451004	119451017	+	0.000	0.000	Merged-chr6-119451010-23
NR12445--MA1107.1.KLF9	chr11	109124571	109124583	+	0.000	0.000	Merged-chr11-109124612-1
NR14039--MA0493.1.Klf1	chr12	52383127	52383137	-	0.000	0.000	Merged-chr12-52383146-23
NR31680--MA0742.1.Klf12	chr18	74294917	74294931	+	0.000	0.000	Merged-chr18-74294799-40
NR21007--MA0741.1.KLF16	chr14	78619066	78619076	-	0.000	0.000	Merged-chr14-78619032-26
NR8211--MA1107.1.KLF9	chr10	117784736	117784748	+	0.000	0.000	Merged-chr10-117784888-21
NR1766--MA0740.1.KLF14	chr1	106714611	106714624	-	0.000	0.000	Merged-chr1-106714804-1
NR29480--MA0740.1.KLF14	chr17	74865011	74865024	-	0.000	0.000	Merged-chr17-74864979-18
NR60042--MA0741.1.KLF16	chr7	97355236	97355246	-	0.000	0.000	Merged-chr7-97355237-14
NR59622--MA0039.3.KLF4	chr7	79363684	79363694	-	0.000	0.000	Merged-chr7-79363578-43
NR58154--MA0741.1.KLF16	chr7	24481951	24481961	+	0.000	0.000	Merged-chr7-24481860-36
NR28679--MA1107.1.KLF9	chr17	47171159	47171171	-	0.000	0.000	Merged-chr17-47171280-54
NR37849--MA0599.1.KLF5	chr2	132669326	132669335	+	0.000	0.000	Merged-chr2-132669439-31
NR5166--MA0493.1.Klf1	chr10	18193273	18193283	-	0.000	0.000	Merged-chr10-18193414-42
NR23221--MA0740.1.KLF14	chr15	77071683	77071696	-	0.000	0.000	Merged-chr15-77071598-27
NR66790--MA0741.1.KLF16	chr9	63698601	63698611	-	0.000	0.000	Merged-chr9-63698652-22
NR45380--MA0039.3.KLF4	chr4	83354919	83354929	+	0.000	0.000	Merged-chr4-83354968-34
NR47636--MA0039.3.KLF4	chr4	144901712	144901722	+	0.000	0.000	Merged-chr4-144901724-37
NR41163--MA0741.1.KLF16	chr3	84772124	84772134	-	0.000	0.000	Merged-chr3-84772067-31
NR12217--MA1107.1.KLF9	chr11	103351165	103351177	+	0.000	0.000	Merged-chr11-103350991-5
NR18519--MA1107.1.KLF9	chr13	102284460	102284472	+	0.000	0.000	Merged-chr13-102284441-1
NR1397--MA1107.1.KLF9	chr1	85250742	85250754	-	0.000	0.000	Merged-chr1-85250842-29
NR69499--MA0741.1.KLF16	chrX	7586647	7586657	-	0.000	0.000	Merged-chrX-7586610-10
NR29121--MA0599.1.KLF5	chr17	63405678	63405687	+	0.000	0.000	Merged-chr17-63405591-44
NR57661--MA0741.1.KLF16	chr7	4922660	4922670	+	0.000	0.000	Merged-chr7-4922801-35
NR49513--MA0599.1.KLF5	chr5	63943567	63943576	-	0.000	0.000	Merged-chr5-63943362-36
NR55981--MA0741.1.KLF16	chr6	124493101	124493111	+	0.000	0.000	Merged-chr6-124493051-20
NR36437--MA0599.1.KLF5	chr2	79010056	79010065	-	0.000	0.000	Merged-chr2-79010022-27
NR61462--MA0740.1.KLF14	chr7	130812671	130812684	-	0.000	0.000	Merged-chr7-130812664-20
NR16157--MA0599.1.KLF5	chr13	5768076	5768085	+	0.000	0.000	Merged-chr13-5768061-15
NR38801--MA0741.1.KLF16	chr2	158179201	158179211	-	0.000	0.000	Merged-chr2-158179183-18
NR36549--MA0599.1.KLF5	chr2	85224593	85224602	+	0.000	0.000	Merged-chr2-85224623-28
NR46310--MA0740.1.KLF14	chr4	118260692	118260705	+	0.000	0.000	Merged-chr4-118260858-21
NR55067--MA0493.1.Klf1	chr6	97300932	97300942	-	0.000	0.000	Merged-chr6-97300820-20
NR11706--MA0599.1.KLF5	chr11	97096376	97096385	-	0.000	0.000	Merged-chr11-97096321-4
NR54782--MA0742.1.Klf12	chr6	86645286	86645300	-	0.000	0.000	Merged-chr6-86645182-42
NR45535--MA0741.1.KLF16	chr4	89282354	89282364	-	0.000	0.000	Merged-chr4-89282220-20
NR52790--MA0740.1.KLF14	chr5	144165947	144165960	-	0.000	0.000	Merged-chr5-144166019-31
NR25450--MA1107.1.KLF9	chr16	35485090	35485102	-	0.000	0.000	Merged-chr16-35485007-20
NR55887--MA0599.1.KLF5	chr6	121017544	121017553	-	0.000	0.000	Merged-chr6-121017523-33
NR9561--MA1107.1.KLF9	chr11	43703694	43703706	+	0.000	0.000	Merged-chr11-43703862-10
NR10799--MA0742.1.Klf12	chr11	76184656	76184670	-	0.000	0.000	Merged-chr11-76184587-9
NR5641--MA0493.1.Klf1	chr10	42699280	42699290	+	0.000	0.000	Merged-chr10-42699170-35
NR62722--MA0742.1.Klf12	chr8	34529601	34529615	-	0.000	0.000	Merged-chr8-34529653-1
NR19570--MA0599.1.KLF5	chr14	21112781	21112790	+	0.000	0.000	Merged-chr14-21112934-51
NR66788--MA0599.1.KLF5	chr9	63698602	63698611	-	0.000	0.000	Merged-chr9-63698652-22
NR27062--MA0493.1.Klf1	chr17	8306074	8306084	+	0.000	0.000	Merged-chr17-8305975-23
NR31678--MA0740.1.KLF14	chr18	74294917	74294930	+	0.000	0.000	Merged-chr18-74294799-40
NR55070--MA0741.1.KLF16	chr6	97300931	97300941	-	0.000	0.000	Merged-chr6-97300820-20
NR33414--MA0599.1.KLF5	chr19	36384690	36384699	+	0.000	0.000	Merged-chr19-36384536-37
NR70269--MA0740.1.KLF14	chrX	140062346	140062359	-	0.000	0.000	Merged-chrX-140062450-72
NR65124--MA1107.1.KLF9	chr8	122712181	122712193	-	0.000	0.000	Merged-chr8-122712057-14
NR22120--MA0741.1.KLF16	chr15	25696041	25696051	-	0.000	0.000	Merged-chr15-25696018-37
NR41165--MA1107.1.KLF9	chr3	84772123	84772135	-	0.000	0.000	Merged-chr3-84772067-31
NR70727--MA0599.1.KLF5	chrY	1116319	1116328	-	0.000	0.000	Merged-chrY-1116441-17
NR34530--MA0741.1.KLF16	chr2	9792595	9792605	-	0.000	0.000	Merged-chr2-9792573-15
NR49865--MA0657.1.KLF13	chr5	75662514	75662531	-	0.000	0.000	Merged-chr5-75662405-46
NR13693--MA0493.1.Klf1	chr12	25247232	25247242	-	0.000	0.000	Merged-chr12-25247115-16
NR22895--MA0741.1.KLF16	chr15	64382594	64382604	+	0.000	0.000	Merged-chr15-64382690-41
NR22088--MA0599.1.KLF5	chr15	12895613	12895622	-	0.000	0.000	Merged-chr15-12895648-51
NR33991--MA0493.1.Klf1	chr19	53760461	53760471	-	0.000	0.000	Merged-chr19-53760542-10
NR64908--MA0493.1.Klf1	chr8	120071855	120071865	+	0.000	0.000	Merged-chr8-120071867-24
NR34498--MA0039.3.KLF4	chr2	7254631	7254641	-	0.000	0.000	Merged-chr2-7254714-17
NR58441--MA0740.1.KLF14	chr7	28451949	28451962	+	0.000	0.000	Merged-chr7-28452002-19
NR12663--MA0742.1.Klf12	chr11	113537055	113537069	+	0.000	0.000	Merged-chr11-113536889-33
NR49451--MA0599.1.KLF5	chr5	53605582	53605591	-	0.000	0.000	Merged-chr5-53605625-25
NR61472--MA1107.1.KLF9	chr7	130893300	130893312	+	0.000	0.000	Merged-chr7-130893114-41
NR20454--MA0493.1.Klf1	chr14	61056910	61056920	-	0.000	0.000	Merged-chr14-61056983-100
NR42484--MA0493.1.Klf1	chr3	122721570	122721580	-	0.000	0.000	Merged-chr3-122721694-22
NR37110--MA1107.1.KLF9	chr2	114153383	114153395	-	0.000	0.000	Merged-chr2-114153480-37
NR50219--MA0599.1.KLF5	chr5	92375005	92375014	-	0.000	0.000	Merged-chr5-92374946-3
NR37109--MA0741.1.KLF16	chr2	114153384	114153394	-	0.000	0.000	Merged-chr2-114153480-37
NR8201--MA0741.1.KLF16	chr10	117660139	117660149	-	0.000	0.000	Merged-chr10-117659981-30
NR45790--MA0740.1.KLF14	chr4	101419686	101419699	-	0.000	0.000	Merged-chr4-101419713-70
NR34991--MA1107.1.KLF9	chr2	27432661	27432673	+	0.000	0.000	Merged-chr2-27432813-10
NR25692--MA0039.3.KLF4	chr16	50070928	50070938	+	0.000	0.000	Merged-chr16-50070751-51
NR58919--MA1107.1.KLF9	chr7	45025106	45025118	+	0.000	0.000	Merged-chr7-45025072-11
NR29586--MA0039.3.KLF4	chr17	79000049	79000059	+	0.000	0.000	Merged-chr17-79000054-16
NR57660--MA0599.1.KLF5	chr7	4922660	4922669	+	0.000	0.000	Merged-chr7-4922801-35
NR24262--MA0039.3.KLF4	chr15	98699669	98699679	-	0.000	0.000	Merged-chr15-98699636-21
NR29825--MA0599.1.KLF5	chr17	84056508	84056517	-	0.000	0.000	Merged-chr17-84056540-29
NR38791--MA1107.1.KLF9	chr2	158105824	158105836	-	0.000	0.000	Merged-chr2-158105775-9
NR26900--MA0599.1.KLF5	chr17	6279374	6279383	-	0.000	0.000	Merged-chr17-6279454-6
NR54117--MA0493.1.Klf1	chr6	50553486	50553496	-	0.000	0.000	Merged-chr6-50553342-12
NR31679--MA0657.1.KLF13	chr18	74294916	74294933	+	0.000	0.000	Merged-chr18-74294799-40
NR33150--MA0657.1.KLF13	chr19	22915934	22915951	-	0.000	0.000	Merged-chr19-22916033-24
NR55345--MA1107.1.KLF9	chr6	108512317	108512329	-	0.000	0.000	Merged-chr6-108512233-21
