#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR3036--MA0002.2.RUNX1	chr13	101756918	101756928	+	0.000	0.000	Merged-chr13-101756830-17
NR10627--MA0002.2.RUNX1	chr9	99699951	99699961	-	0.000	0.000	Merged-chr9-99699985-12
NR7998--MA0511.2.RUNX2	chr5	107564619	107564627	+	0.000	0.000	Merged-chr5-107564651-5
NR161--MA0002.2.RUNX1	chr1	64986260	64986270	+	0.000	0.000	Merged-chr1-64986300-23
NR6015--MA0511.2.RUNX2	chr2	123243765	123243773	+	0.000	0.000	Merged-chr2-123243838-1
NR10673--MA0511.2.RUNX2	chr9	111138402	111138410	+	0.000	0.000	Merged-chr9-111138403-3
NR2652--MA0002.2.RUNX1	chr13	19357497	19357507	-	0.000	0.000	Merged-chr13-19357442-6
NR8820--MA0684.1.RUNX3	chr6	130538634	130538643	+	0.000	0.000	Merged-chr6-130538609-12
NR921--MA0002.2.RUNX1	chr10	20119533	20119543	-	0.000	0.000	Merged-chr10-20119637-31
NR8781--MA0002.2.RUNX1	chr6	128964724	128964734	+	0.000	0.000	Merged-chr6-128964717-18
NR10301--MA0002.2.RUNX1	chr9	37242477	37242487	+	0.000	0.000	Merged-chr9-37242651-16
NR9382--MA0684.1.RUNX3	chr7	99794243	99794252	-	0.000	0.000	Merged-chr7-99794311-17
NR153--MA0002.2.RUNX1	chr1	62834665	62834675	-	0.000	0.000	Merged-chr1-62834522-10
NR5482--MA0511.2.RUNX2	chr19	57113350	57113358	+	0.000	0.000	Merged-chr19-57113185-31
NR1295--MA0002.2.RUNX1	chr10	96481315	96481325	-	0.000	0.000	Merged-chr10-96481360-10
NR903--MA0511.2.RUNX2	chr10	17512262	17512270	-	0.000	0.000	Merged-chr10-17512175-6
NR3646--MA0684.1.RUNX3	chr15	34356866	34356875	+	0.000	0.000	Merged-chr15-34356866-8
NR10599--MA0684.1.RUNX3	chr9	96545687	96545696	-	0.000	0.000	Merged-chr9-96545653-10
NR2928--MA0002.2.RUNX1	chr13	85399090	85399100	+	0.000	0.000	Merged-chr13-85399027-23
NR7128--MA0684.1.RUNX3	chr4	62367820	62367829	+	0.000	0.000	Merged-chr4-62367859-6
NR1230--MA0511.2.RUNX2	chr10	89415728	89415736	+	0.000	0.000	Merged-chr10-89415714-14
NR9245--MA0002.2.RUNX1	chr7	64217524	64217534	-	0.000	0.000	Merged-chr7-64217693-5
NR10797--MA0002.2.RUNX1	chr9	121682307	121682317	-	0.000	0.000	Merged-chr9-121682469-52
NR350--MA0002.2.RUNX1	chr1	115921109	115921119	+	0.000	0.000	Merged-chr1-115921039-2
NR9754--MA0684.1.RUNX3	chr8	9811411	9811420	+	0.000	0.000	Merged-chr8-9811294-16
NR2861--MA0684.1.RUNX3	chr13	63112800	63112809	+	0.000	0.000	Merged-chr13-63112828-16
NR8--MA0002.2.RUNX1	chr1	7095993	7096003	+	0.000	0.000	Merged-chr1-7096130-35
NR525--MA0002.2.RUNX1	chr1	153645518	153645528	-	0.000	0.000	Merged-chr1-153645501-10
