#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-log2fc-1_dn.bed
NR1633--MA0690.1.TBX21	chr6	127103071	127103080	+	0.000	0.000	Merged-chr6-127103000-20
NR259--MA0690.1.TBX21	chr10	119031129	119031138	-	0.000	0.000	Merged-chr10-119031155-35
NR1102--MA0690.1.TBX21	chr2	160657931	160657940	+	0.000	0.000	Merged-chr2-160657923-30
NR1638--MA0690.1.TBX21	chr6	129747367	129747376	-	0.000	0.000	Merged-chr6-129747542-62
NR1617--MA0690.1.TBX21	chr6	114883657	114883666	+	0.000	0.000	Merged-chr6-114883519-32
NR980--MA0690.1.TBX21	chr2	25170441	25170450	+	0.000	0.000	Merged-chr2-25170502-21
NR31--MA0690.1.TBX21	chr1	58739651	58739660	+	0.000	0.000	Merged-chr1-58739567-20
NR470--MA0690.1.TBX21	chr13	60935247	60935256	-	0.000	0.000	Merged-chr13-60935285-22
NR993--MA0690.1.TBX21	chr2	32166597	32166606	+	0.000	0.000	Merged-chr2-32166737-9
NR1949--MA0690.1.TBX21	chr9	55388247	55388256	+	0.000	0.000	Merged-chr9-55388103-42
NR1806--MA0690.1.TBX21	chr7	143644106	143644115	+	0.000	0.000	Merged-chr7-143644190-29
NR1038--MA0690.1.TBX21	chr2	72365494	72365503	-	0.000	0.000	Merged-chr2-72365558-19
NR1352--MA0690.1.TBX21	chr4	132775100	132775109	-	0.000	0.000	Merged-chr4-132775105-24
NR1907--MA0690.1.TBX21	chr8	120716738	120716747	+	0.000	0.000	Merged-chr8-120716591-36
NR1126--MA0690.1.TBX21	chr2	180074455	180074464	+	0.000	0.000	Merged-chr2-180074483-5
NR964--MA0690.1.TBX21	chr2	9801707	9801716	+	0.000	0.000	Merged-chr2-9801686-39
NR1105--MA0690.1.TBX21	chr2	163426683	163426692	-	0.000	0.000	Merged-chr2-163426594-15
NR576--MA0690.1.TBX21	chr14	59553395	59553404	+	0.000	0.000	Merged-chr14-59553394-22
NR1989--MA0690.1.TBX21	chr9	107334440	107334449	-	0.000	0.000	Merged-chr9-107334469-86
NR1607--MA0690.1.TBX21	chr6	108310211	108310220	-	0.000	0.000	Merged-chr6-108310107-36
NR826--MA0690.1.TBX21	chr17	84166760	84166769	+	0.000	0.000	Merged-chr17-84166652-22
NR1567--MA0690.1.TBX21	chr6	72660174	72660183	+	0.000	0.000	Merged-chr6-72660096-30
NR330--MA0690.1.TBX21	chr11	95000797	95000806	-	0.000	0.000	Merged-chr11-95001009-42
NR1267--MA0690.1.TBX21	chr4	8837761	8837770	+	0.000	0.000	Merged-chr4-8837800-54
NR409--MA0690.1.TBX21	chr12	106008852	106008861	+	0.000	0.000	Merged-chr12-106008779-30
NR226--MA0690.1.TBX21	chr10	68199642	68199651	-	0.000	0.000	Merged-chr10-68199721-19
NR282--MA0690.1.TBX21	chr11	17005008	17005017	+	0.000	0.000	Merged-chr11-17005179-7
NR109--MA0690.1.TBX21	chr1	143319642	143319651	-	0.000	0.000	Merged-chr1-143319719-34
NR2011--MA0690.1.TBX21	chr9	117911001	117911010	+	0.000	0.000	Merged-chr9-117910970-21
NR1802--MA0690.1.TBX21	chr7	142399306	142399315	-	0.000	0.000	Merged-chr7-142399305-21
NR1911--MA0690.1.TBX21	chr8	121176417	121176426	+	0.000	0.000	Merged-chr8-121176463-20
NR253--MA0690.1.TBX21	chr10	117526902	117526911	+	0.000	0.000	Merged-chr10-117526787-23
NR2029--MA0690.1.TBX21	chrX	36744826	36744835	-	0.000	0.000	Merged-chrX-36744841-35
NR258--MA0690.1.TBX21	chr10	118884243	118884252	+	0.000	0.000	Merged-chr10-118884259-20
NR638--MA0690.1.TBX21	chr15	12558205	12558214	+	0.000	0.000	Merged-chr15-12558296-9
NR1842--MA0690.1.TBX21	chr8	33663517	33663526	+	0.000	0.000	Merged-chr8-33663493-16
NR1956--MA0690.1.TBX21	chr9	69362312	69362321	+	0.000	0.000	Merged-chr9-69362247-25
NR2019--MA0690.1.TBX21	chr9	120023319	120023328	-	0.000	0.000	Merged-chr9-120023283-16
NR1080--MA0690.1.TBX21	chr2	128190350	128190359	+	0.000	0.000	Merged-chr2-128190126-44
NR1622--MA0690.1.TBX21	chr6	119199052	119199061	+	0.000	0.000	Merged-chr6-119199024-52
