#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR2499--MA0140.2.GATA1::TAL1	chr15	12588890	12588907	+	0.000	0.000	Merged-chr15-12588856-30
NR671--MA0035.3.Gata1	chr10	18009884	18009894	+	0.000	0.000	Merged-chr10-18009949-7
NR3036--MA0035.3.Gata1	chr17	34628038	34628048	+	0.000	0.000	Merged-chr17-34628097-3
NR607--MA0035.3.Gata1	chr1	189841524	189841534	-	0.000	0.000	Merged-chr1-189841407-2
NR5175--MA0482.1.Gata4	chr5	65795514	65795524	+	0.000	0.000	Merged-chr5-65795420-10
NR2936--MA0035.3.Gata1	chr17	5798686	5798696	-	0.000	0.000	Merged-chr17-5798527-14
NR5087--MA0766.1.GATA5	chr5	17422756	17422763	-	0.000	0.000	Merged-chr5-17422615-4
NR617--MA0766.1.GATA5	chr1	191803663	191803670	-	0.000	0.000	Merged-chr1-191803516-12
NR2349--MA0037.3.GATA3	chr14	66241477	66241484	-	0.000	0.000	Merged-chr14-66241484-22
NR4977--MA0036.3.GATA2	chr4	139293491	139293501	+	0.000	0.000	Merged-chr4-139293440-1
NR1438--MA0482.1.Gata4	chr11	119352714	119352724	-	0.000	0.000	Merged-chr11-119352857-1
NR4805--MA0140.2.GATA1::TAL1	chr4	53370874	53370891	-	0.000	0.000	Merged-chr4-53370792-1
NR4372--MA0035.3.Gata1	chr3	75696299	75696309	-	0.000	0.000	Merged-chr3-75696372-7
NR1468--MA0037.3.GATA3	chr12	16185623	16185630	-	0.000	0.000	Merged-chr12-16185844-40
NR4836--MA0766.1.GATA5	chr4	83785597	83785604	-	0.000	0.000	Merged-chr4-83785408-9
NR3310--MA0766.1.GATA5	chr18	55107111	55107118	-	0.000	0.000	Merged-chr18-55107186-34
NR4082--MA0482.1.Gata4	chr2	138245648	138245658	-	0.000	0.000	Merged-chr2-138245729-1
NR1439--MA1104.1.GATA6	chr11	119352714	119352726	+	0.000	0.000	Merged-chr11-119352857-1
NR1442--MA0035.3.Gata1	chr11	119352715	119352725	-	0.000	0.000	Merged-chr11-119352857-1
NR4085--MA0035.3.Gata1	chr2	138245637	138245647	-	0.000	0.000	Merged-chr2-138245729-1
NR7060--MA0140.2.GATA1::TAL1	chr9	120057222	120057239	-	0.000	0.000	Merged-chr9-120057282-6
NR2203--MA0766.1.GATA5	chr14	27268429	27268436	+	0.000	0.000	Merged-chr14-27268313-23
NR1617--MA0036.3.GATA2	chr12	97269745	97269755	+	0.000	0.000	Merged-chr12-97269671-1
NR4083--MA1104.1.GATA6	chr2	138245636	138245648	+	0.000	0.000	Merged-chr2-138245729-1
NR4698--MA0482.1.Gata4	chr3	152734251	152734261	-	0.000	0.000	Merged-chr3-152734415-9
NR3311--MA0035.3.Gata1	chr18	55107110	55107120	+	0.000	0.000	Merged-chr18-55107186-34
NR5174--MA0037.3.GATA3	chr5	65795514	65795521	-	0.000	0.000	Merged-chr5-65795420-10
NR1819--MA0035.3.Gata1	chr13	32829188	32829198	-	0.000	0.000	Merged-chr13-32829119-10
NR5763--MA0766.1.GATA5	chr6	132735612	132735619	-	0.000	0.000	Merged-chr6-132735696-3
NR4835--MA0037.3.GATA3	chr4	83785597	83785604	-	0.000	0.000	Merged-chr4-83785408-9
NR709--MA0037.3.GATA3	chr10	34096576	34096583	+	0.000	0.000	Merged-chr10-34096665-20
NR1437--MA0037.3.GATA3	chr11	119352717	119352724	+	0.000	0.000	Merged-chr11-119352857-1
NR3911--MA0140.2.GATA1::TAL1	chr2	83659998	83660015	-	0.000	0.000	Merged-chr2-83659972-2
NR5086--MA0036.3.GATA2	chr5	17422755	17422765	+	0.000	0.000	Merged-chr5-17422615-4
NR712--MA0036.3.GATA2	chr10	34096574	34096584	-	0.000	0.000	Merged-chr10-34096665-20
NR4806--MA0037.3.GATA3	chr4	53384822	53384829	-	0.000	0.000	Merged-chr4-53384912-31
NR5764--MA0035.3.Gata1	chr6	132735611	132735621	+	0.000	0.000	Merged-chr6-132735696-3
NR2762--MA0036.3.GATA2	chr16	32954081	32954091	-	0.000	0.000	Merged-chr16-32954126-18
NR6872--MA0140.2.GATA1::TAL1	chr9	86076694	86076711	+	0.000	0.000	Merged-chr9-86076684-25
