#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR1952--MA0690.1.TBX21	chr9	64341400	64341409	+	0.000	0.000	Merged-chr9-64341408-1
NR1694--MA0690.1.TBX21	chr7	57532479	57532488	+	0.000	0.000	Merged-chr7-57532677-1
NR762--MA0690.1.TBX21	chr16	95243106	95243115	-	0.000	0.000	Merged-chr16-95243231-1
NR980--MA0690.1.TBX21	chr2	25170441	25170450	+	0.000	0.000	Merged-chr2-25170502-21
NR1399--MA0690.1.TBX21	chr5	27995453	27995462	+	0.000	0.000	Merged-chr5-27995403-19
NR956--MA0690.1.TBX21	chr19	58051189	58051198	+	0.000	0.000	Merged-chr19-58051277-2
NR683--MA0690.1.TBX21	chr15	81042772	81042781	+	0.000	0.000	Merged-chr15-81042791-7
NR891--MA0690.1.TBX21	chr18	74789819	74789828	+	0.000	0.000	Merged-chr18-74789604-25
NR64--MA0690.1.TBX21	chr1	91912320	91912329	-	0.000	0.000	Merged-chr1-91912376-2
NR1011--MA0690.1.TBX21	chr2	51588219	51588228	-	0.000	0.000	Merged-chr2-51588305-7
NR1709--MA0690.1.TBX21	chr7	75755518	75755527	+	0.000	0.000	Merged-chr7-75755534-4
NR716--MA0690.1.TBX21	chr16	38549714	38549723	-	0.000	0.000	Merged-chr16-38549784-1
NR900--MA0690.1.TBX21	chr18	83227613	83227622	-	0.000	0.000	Merged-chr18-83227458-1
NR995--MA0690.1.TBX21	chr2	32520801	32520810	+	0.000	0.000	Merged-chr2-32520639-22
NR46--MA0690.1.TBX21	chr1	79015712	79015721	-	0.000	0.000	Merged-chr1-79015819-1
NR517--MA0690.1.TBX21	chr13	107352042	107352051	-	0.000	0.000	Merged-chr13-107352043-15
NR552--MA0690.1.TBX21	chr14	18671050	18671059	-	0.000	0.000	Merged-chr14-18670985-9
NR531--MA0690.1.TBX21	chr13	112474466	112474475	+	0.000	0.000	Merged-chr13-112474497-27
NR578--MA0690.1.TBX21	chr14	62627492	62627501	+	0.000	0.000	Merged-chr14-62627525-13
NR488--MA0690.1.TBX21	chr13	81705651	81705660	+	0.000	0.000	Merged-chr13-81705633-6
NR1950--MA0690.1.TBX21	chr9	59565757	59565766	+	0.000	0.000	Merged-chr9-59565831-20
NR289--MA0690.1.TBX21	chr11	32562199	32562208	+	0.000	0.000	Merged-chr11-32562092-2
NR1538--MA0690.1.TBX21	chr6	38066533	38066542	-	0.000	0.000	Merged-chr6-38066382-23
NR1193--MA0690.1.TBX21	chr3	101933718	101933727	-	0.000	0.000	Merged-chr3-101933748-15
NR803--MA0690.1.TBX21	chr17	51396128	51396137	-	0.000	0.000	Merged-chr17-51396225-19
NR981--MA0690.1.TBX21	chr2	25828789	25828798	+	0.000	0.000	Merged-chr2-25828697-14
NR721--MA0690.1.TBX21	chr16	44337730	44337739	-	0.000	0.000	Merged-chr16-44337753-20
NR1228--MA0690.1.TBX21	chr3	141758577	141758586	-	0.000	0.000	Merged-chr3-141758420-5
NR1561--MA0690.1.TBX21	chr6	67129047	67129056	-	0.000	0.000	Merged-chr6-67129210-17
NR219--MA0690.1.TBX21	chr10	61906335	61906344	-	0.000	0.000	Merged-chr10-61906469-10
