#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_up.bed
NR1296--MA0768.1.LEF1	chr6	50427723	50427737	+	0.000	0.000	Merged-chr6-50427690-6
NR302--MA0768.1.LEF1	chr11	109765143	109765157	+	0.000	0.000	Merged-chr11-109765179-3
NR1253--MA0768.1.LEF1	chr5	124022512	124022526	-	0.000	0.000	Merged-chr5-124022476-27
NR1334--MA0768.1.LEF1	chr6	108512289	108512303	-	0.000	0.000	Merged-chr6-108512233-21
NR273--MA0768.1.LEF1	chr11	76184635	76184649	-	0.000	0.000	Merged-chr11-76184587-9
NR157--MA0768.1.LEF1	chr10	39240216	39240230	+	0.000	0.000	Merged-chr10-39240051-25
NR897--MA0768.1.LEF1	chr2	102250766	102250780	+	0.000	0.000	Merged-chr2-102250925-1
NR329--MA0768.1.LEF1	chr12	35999207	35999221	+	0.000	0.000	Merged-chr12-35999221-22
NR1639--MA0768.1.LEF1	chr9	115618076	115618090	-	0.000	0.000	Merged-chr9-115618092-17
NR1273--MA0768.1.LEF1	chr6	24515041	24515055	-	0.000	0.000	Merged-chr6-24515075-25
NR194--MA0768.1.LEF1	chr10	96115329	96115343	-	0.000	0.000	Merged-chr10-96115346-13
NR6--MA0768.1.LEF1	chr1	36252840	36252854	-	0.000	0.000	Merged-chr1-36253004-32
NR307--MA0768.1.LEF1	chr11	111065058	111065072	+	0.000	0.000	Merged-chr11-111065000-37
NR1459--MA0768.1.LEF1	chr7	118479250	118479264	-	0.000	0.000	Merged-chr7-118479395-18
NR1126--MA0768.1.LEF1	chr4	106883327	106883341	+	0.000	0.000	Merged-chr4-106883409-11
NR1194--MA0768.1.LEF1	chr5	31831722	31831736	+	0.000	0.000	Merged-chr5-31831785-25
NR750--MA0768.1.LEF1	chr18	36512428	36512442	-	0.000	0.000	Merged-chr18-36512403-20
NR1683--MA0768.1.LEF1	chrY	11858125	11858139	-	0.000	0.000	Merged-chrY-11858126-43
NR1277--MA0768.1.LEF1	chr6	28929069	28929083	-	0.000	0.000	Merged-chr6-28929223-44
