#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_up.bed
NR2476--MA0036.3.GATA2	chr14	61853657	61853667	+	0.000	0.000	Merged-chr14-61853631-6
NR6782--MA0036.3.GATA2	chr7	27725771	27725781	+	0.000	0.000	Merged-chr7-27725861-23
NR7035--MA0140.2.GATA1::TAL1	chr7	120729749	120729766	-	0.000	0.000	Merged-chr7-120729886-25
NR6827--MA0482.1.Gata4	chr7	44344789	44344799	-	0.000	0.000	Merged-chr7-44344765-20
NR3674--MA0036.3.GATA2	chr18	35887840	35887850	+	0.000	0.000	Merged-chr18-35887802-1
NR6932--MA1104.1.GATA6	chr7	90007378	90007390	+	0.000	0.000	Merged-chr7-90007418-46
NR5880--MA0482.1.Gata4	chr5	62893335	62893345	+	0.000	0.000	Merged-chr5-62893222-24
NR2429--MA0035.3.Gata1	chr14	54165206	54165216	-	0.000	0.000	Merged-chr14-54165125-24
NR2474--MA0482.1.Gata4	chr14	61853658	61853668	+	0.000	0.000	Merged-chr14-61853631-6
NR1610--MA0035.3.Gata1	chr12	78686010	78686020	-	0.000	0.000	Merged-chr12-78685977-17
NR2475--MA1104.1.GATA6	chr14	61853656	61853668	-	0.000	0.000	Merged-chr14-61853631-6
NR2827--MA0140.2.GATA1::TAL1	chr15	75786334	75786351	-	0.000	0.000	Merged-chr15-75786444-9
NR922--MA0035.3.Gata1	chr10	96467082	96467092	+	0.000	0.000	Merged-chr10-96466990-21
NR6313--MA0140.2.GATA1::TAL1	chr6	67483247	67483264	+	0.000	0.000	Merged-chr6-67483330-21
NR3444--MA0035.3.Gata1	chr17	35758905	35758915	+	0.000	0.000	Merged-chr17-35758886-16
NR3672--MA0482.1.Gata4	chr18	35887841	35887851	+	0.000	0.000	Merged-chr18-35887802-1
NR3675--MA0035.3.Gata1	chr18	35887840	35887850	+	0.000	0.000	Merged-chr18-35887802-1
NR6935--MA0035.3.Gata1	chr7	90007379	90007389	-	0.000	0.000	Merged-chr7-90007418-46
NR754--MA0766.1.GATA5	chr10	40713354	40713361	+	0.000	0.000	Merged-chr10-40713251-44
NR3673--MA1104.1.GATA6	chr18	35887839	35887851	-	0.000	0.000	Merged-chr18-35887802-1
NR755--MA0035.3.Gata1	chr10	40713352	40713362	-	0.000	0.000	Merged-chr10-40713251-44
NR2478--MA0035.3.Gata1	chr14	61853657	61853667	+	0.000	0.000	Merged-chr14-61853631-6
NR6931--MA0037.3.GATA3	chr7	90007381	90007388	+	0.000	0.000	Merged-chr7-90007418-46
NR5218--MA1104.1.GATA6	chr3	145951397	145951409	+	0.000	0.000	Merged-chr3-145951501-19
NR5219--MA0140.2.GATA1::TAL1	chr3	145951389	145951406	-	0.000	0.000	Merged-chr3-145951501-19
NR2428--MA0482.1.Gata4	chr14	54165205	54165215	-	0.000	0.000	Merged-chr14-54165125-24
NR751--MA0482.1.Gata4	chr10	40713351	40713361	-	0.000	0.000	Merged-chr10-40713251-44
NR7034--MA0482.1.Gata4	chr7	120729757	120729767	-	0.000	0.000	Merged-chr7-120729886-25
NR6780--MA0482.1.Gata4	chr7	27725772	27725782	+	0.000	0.000	Merged-chr7-27725861-23
NR6783--MA0035.3.Gata1	chr7	27725771	27725781	+	0.000	0.000	Merged-chr7-27725861-23
NR752--MA1104.1.GATA6	chr10	40713351	40713363	+	0.000	0.000	Merged-chr10-40713251-44
NR6781--MA1104.1.GATA6	chr7	27725770	27725782	-	0.000	0.000	Merged-chr7-27725861-23
NR6934--MA0766.1.GATA5	chr7	90007381	90007388	+	0.000	0.000	Merged-chr7-90007418-46
NR4491--MA0140.2.GATA1::TAL1	chr2	125011635	125011652	-	0.000	0.000	Merged-chr2-125011615-3
NR7596--MA0140.2.GATA1::TAL1	chr9	48357408	48357425	-	0.000	0.000	Merged-chr9-48357343-17
NR750--MA0037.3.GATA3	chr10	40713354	40713361	+	0.000	0.000	Merged-chr10-40713251-44
NR2477--MA0766.1.GATA5	chr14	61853658	61853665	-	0.000	0.000	Merged-chr14-61853631-6
NR6933--MA0036.3.GATA2	chr7	90007379	90007389	-	0.000	0.000	Merged-chr7-90007418-46
NR3596--MA0035.3.Gata1	chr17	85170944	85170954	+	0.000	0.000	Merged-chr17-85170912-29
NR753--MA0036.3.GATA2	chr10	40713352	40713362	-	0.000	0.000	Merged-chr10-40713251-44
