#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR3067--MA0766.1.GATA5	chr2	60328750	60328757	-	0.000	0.000	Merged-chr2-60328757-33
NR472--MA1104.1.GATA6	chr10	40713351	40713363	+	0.000	0.000	Merged-chr10-40713251-44
NR2880--MA0482.1.Gata4	chr19	32465412	32465422	+	0.000	0.000	Merged-chr19-32465460-36
NR4170--MA0035.3.Gata1	chr5	28315805	28315815	-	0.000	0.000	Merged-chr5-28315754-44
NR1537--MA1104.1.GATA6	chr13	101702249	101702261	+	0.000	0.000	Merged-chr13-101702260-81
NR2293--MA0036.3.GATA2	chr16	92641311	92641321	-	0.000	0.000	Merged-chr16-92641253-41
NR1348--MA0035.3.Gata1	chr12	118255860	118255870	-	0.000	0.000	Merged-chr12-118255780-45
NR5586--MA0140.2.GATA1::TAL1	chr9	61666292	61666309	+	0.000	0.000	Merged-chr9-61666327-39
NR4738--MA0035.3.Gata1	chr6	130102977	130102987	+	0.000	0.000	Merged-chr6-130103023-31
NR2373--MA0035.3.Gata1	chr17	12165547	12165557	+	0.000	0.000	Merged-chr17-12165459-54
NR2479--MA0037.3.GATA3	chr17	44557328	44557335	-	0.000	0.000	Merged-chr17-44557338-45
NR665--MA0482.1.Gata4	chr10	96599687	96599697	+	0.000	0.000	Merged-chr10-96599778-54
NR4565--MA0482.1.Gata4	chr6	72993526	72993536	-	0.000	0.000	Merged-chr6-72993527-59
NR187--MA0036.3.GATA2	chr1	94048305	94048315	+	0.000	0.000	Merged-chr1-94048267-32
NR2375--MA0482.1.Gata4	chr17	12249911	12249921	-	0.000	0.000	Merged-chr17-12249903-14
NR668--MA0035.3.Gata1	chr10	96599686	96599696	+	0.000	0.000	Merged-chr10-96599778-54
NR254--MA0035.3.Gata1	chr1	136685413	136685423	-	0.000	0.000	Merged-chr1-136685597-75
NR2492--MA0766.1.GATA5	chr17	50136229	50136236	-	0.000	0.000	Merged-chr17-50136209-46
NR4419--MA0140.2.GATA1::TAL1	chr5	149641905	149641922	-	0.000	0.000	Merged-chr5-149641711-30
NR4032--MA0036.3.GATA2	chr4	134047865	134047875	-	0.000	0.000	Merged-chr4-134047792-28
NR3068--MA0035.3.Gata1	chr2	60328749	60328759	+	0.000	0.000	Merged-chr2-60328757-33
NR4260--MA0766.1.GATA5	chr5	92327551	92327558	-	0.000	0.000	Merged-chr5-92327493-24
NR3219--MA0482.1.Gata4	chr2	127923473	127923483	+	0.000	0.000	Merged-chr2-127923410-36
NR666--MA1104.1.GATA6	chr10	96599685	96599697	-	0.000	0.000	Merged-chr10-96599778-54
NR4566--MA1104.1.GATA6	chr6	72993526	72993538	+	0.000	0.000	Merged-chr6-72993527-59
NR2625--MA0766.1.GATA5	chr18	34783579	34783586	-	0.000	0.000	Merged-chr18-34783714-45
NR2376--MA1104.1.GATA6	chr17	12249911	12249923	+	0.000	0.000	Merged-chr17-12249903-14
NR470--MA0037.3.GATA3	chr10	40713354	40713361	+	0.000	0.000	Merged-chr10-40713251-44
NR3793--MA0766.1.GATA5	chr4	10770164	10770171	+	0.000	0.000	Merged-chr4-10770192-53
NR4169--MA0766.1.GATA5	chr5	28315807	28315814	+	0.000	0.000	Merged-chr5-28315754-44
NR4062--MA1104.1.GATA6	chr4	145312625	145312637	+	0.000	0.000	Merged-chr4-145312696-44
NR3613--MA0766.1.GATA5	chr3	115729287	115729294	-	0.000	0.000	Merged-chr3-115729400-55
NR3794--MA0035.3.Gata1	chr4	10770162	10770172	-	0.000	0.000	Merged-chr4-10770192-53
NR3616--MA0036.3.GATA2	chr3	115793593	115793603	-	0.000	0.000	Merged-chr3-115793653-57
NR250--MA0037.3.GATA3	chr1	136685415	136685422	+	0.000	0.000	Merged-chr1-136685597-75
NR4564--MA0037.3.GATA3	chr6	72993529	72993536	+	0.000	0.000	Merged-chr6-72993527-59
NR4739--MA1104.1.GATA6	chr6	130136664	130136676	-	0.000	0.000	Merged-chr6-130136655-31
NR3706--MA0482.1.Gata4	chr3	138334459	138334469	-	0.000	0.000	Merged-chr3-138334424-50
NR2374--MA0037.3.GATA3	chr17	12249914	12249921	+	0.000	0.000	Merged-chr17-12249903-14
NR3000--MA0482.1.Gata4	chr2	31082841	31082851	-	0.000	0.000	Merged-chr2-31082849-41
NR68--MA0037.3.GATA3	chr1	62829840	62829847	+	0.000	0.000	Merged-chr1-62829921-36
NR5310--MA0036.3.GATA2	chr8	83779752	83779762	+	0.000	0.000	Merged-chr8-83779707-23
NR3218--MA0037.3.GATA3	chr2	127923473	127923480	-	0.000	0.000	Merged-chr2-127923410-36
NR4731--MA0766.1.GATA5	chr6	129997694	129997701	-	0.000	0.000	Merged-chr6-129997694-33
NR4973--MA0036.3.GATA2	chr7	88206900	88206910	-	0.000	0.000	Merged-chr7-88206806-101
NR3707--MA1104.1.GATA6	chr3	138334459	138334471	+	0.000	0.000	Merged-chr3-138334424-50
NR1878--MA1104.1.GATA6	chr14	78687793	78687805	-	0.000	0.000	Merged-chr14-78687892-42
NR3221--MA0036.3.GATA2	chr2	127923472	127923482	+	0.000	0.000	Merged-chr2-127923410-36
NR3001--MA1104.1.GATA6	chr2	31082841	31082853	+	0.000	0.000	Merged-chr2-31082849-41
NR2491--MA0036.3.GATA2	chr17	50136228	50136238	+	0.000	0.000	Merged-chr17-50136209-46
NR911--MA0766.1.GATA5	chr11	62762089	62762096	-	0.000	0.000	Merged-chr11-62762057-29
NR5583--MA0482.1.Gata4	chr9	61377942	61377952	+	0.000	0.000	Merged-chr9-61377853-34
NR1600--MA0140.2.GATA1::TAL1	chr13	115131618	115131635	-	0.000	0.000	Merged-chr13-115131589-24
NR465--MA0035.3.Gata1	chr10	39991287	39991297	+	0.000	0.000	Merged-chr10-39991173-41
NR4732--MA0035.3.Gata1	chr6	129997693	129997703	+	0.000	0.000	Merged-chr6-129997694-33
NR620--MA1104.1.GATA6	chr10	93985591	93985603	-	0.000	0.000	Merged-chr10-93985650-27
NR5277--MA0140.2.GATA1::TAL1	chr8	66497188	66497205	-	0.000	0.000	Merged-chr8-66497339-52
NR3186--MA0036.3.GATA2	chr2	117399743	117399753	-	0.000	0.000	Merged-chr2-117399695-40
NR473--MA0036.3.GATA2	chr10	40713352	40713362	-	0.000	0.000	Merged-chr10-40713251-44
NR4740--MA0036.3.GATA2	chr6	130136665	130136675	+	0.000	0.000	Merged-chr6-130136655-31
NR1538--MA0036.3.GATA2	chr13	101702250	101702260	-	0.000	0.000	Merged-chr13-101702260-81
NR1344--MA0482.1.Gata4	chr12	118255859	118255869	-	0.000	0.000	Merged-chr12-118255780-45
NR5094--MA0766.1.GATA5	chr7	114616936	114616943	+	0.000	0.000	Merged-chr7-114616980-17
NR5592--MA0037.3.GATA3	chr9	63785710	63785717	-	0.000	0.000	Merged-chr9-63785726-16
NR4524--MA0766.1.GATA5	chr6	58832867	58832874	-	0.000	0.000	Merged-chr6-58832889-39
NR3705--MA0037.3.GATA3	chr3	138334462	138334469	+	0.000	0.000	Merged-chr3-138334424-50
NR160--MA0036.3.GATA2	chr1	90677874	90677884	+	0.000	0.000	Merged-chr1-90677857-31
NR5584--MA1104.1.GATA6	chr9	61377940	61377952	-	0.000	0.000	Merged-chr9-61377853-34
NR912--MA0035.3.Gata1	chr11	62762088	62762098	+	0.000	0.000	Merged-chr11-62762057-29
NR1876--MA1104.1.GATA6	chr14	78687783	78687795	-	0.000	0.000	Merged-chr14-78687892-42
NR2770--MA0766.1.GATA5	chr18	89233872	89233879	+	0.000	0.000	Merged-chr18-89233824-45
NR2294--MA0766.1.GATA5	chr16	92641313	92641320	+	0.000	0.000	Merged-chr16-92641253-41
NR476--MA0140.2.GATA1::TAL1	chr10	41978595	41978612	+	0.000	0.000	Merged-chr10-41978788-45
NR1345--MA1104.1.GATA6	chr12	118255859	118255871	+	0.000	0.000	Merged-chr12-118255780-45
NR2624--MA0482.1.Gata4	chr18	34783579	34783589	+	0.000	0.000	Merged-chr18-34783714-45
NR3064--MA0482.1.Gata4	chr2	60328750	60328760	+	0.000	0.000	Merged-chr2-60328757-33
NR2370--MA1104.1.GATA6	chr17	12165546	12165558	-	0.000	0.000	Merged-chr17-12165459-54
NR1397--MA0482.1.Gata4	chr13	19219719	19219729	+	0.000	0.000	Merged-chr13-19219739-41
NR2975--MA0035.3.Gata1	chr2	11617066	11617076	+	0.000	0.000	Merged-chr2-11617013-39
NR667--MA0036.3.GATA2	chr10	96599686	96599696	+	0.000	0.000	Merged-chr10-96599778-54
NR4567--MA0036.3.GATA2	chr6	72993527	72993537	-	0.000	0.000	Merged-chr6-72993527-59
NR251--MA1104.1.GATA6	chr1	136685412	136685424	+	0.000	0.000	Merged-chr1-136685597-75
NR2377--MA0036.3.GATA2	chr17	12249912	12249922	-	0.000	0.000	Merged-chr17-12249903-14
NR4365--MA0482.1.Gata4	chr5	134326495	134326505	+	0.000	0.000	Merged-chr5-134326402-39
NR2295--MA0035.3.Gata1	chr16	92641311	92641321	-	0.000	0.000	Merged-chr16-92641253-41
NR2584--MA0766.1.GATA5	chr17	80174406	80174413	-	0.000	0.000	Merged-chr17-80174428-10
NR4602--MA0482.1.Gata4	chr6	86850749	86850759	-	0.000	0.000	Merged-chr6-86850884-40
NR3065--MA1104.1.GATA6	chr2	60328748	60328760	-	0.000	0.000	Merged-chr2-60328757-33
NR5093--MA0037.3.GATA3	chr7	114616936	114616943	+	0.000	0.000	Merged-chr7-114616980-17
NR619--MA0482.1.Gata4	chr10	93985593	93985603	+	0.000	0.000	Merged-chr10-93985650-27
NR551--MA0140.2.GATA1::TAL1	chr10	66955653	66955670	+	0.000	0.000	Merged-chr10-66955647-19
NR4474--MA0766.1.GATA5	chr6	32796207	32796214	+	0.000	0.000	Merged-chr6-32796337-46
NR4259--MA0036.3.GATA2	chr5	92327550	92327560	+	0.000	0.000	Merged-chr5-92327493-24
NR4972--MA1104.1.GATA6	chr7	88206899	88206911	+	0.000	0.000	Merged-chr7-88206806-101
NR1343--MA0037.3.GATA3	chr12	118255862	118255869	+	0.000	0.000	Merged-chr12-118255780-45
NR449--MA0482.1.Gata4	chr10	34117970	34117980	+	0.000	0.000	Merged-chr10-34117997-36
NR4063--MA0036.3.GATA2	chr4	145312626	145312636	-	0.000	0.000	Merged-chr4-145312696-44
NR4733--MA0037.3.GATA3	chr6	130102978	130102985	-	0.000	0.000	Merged-chr6-130103023-31
NR1879--MA0037.3.GATA3	chr14	78687948	78687955	-	0.000	0.000	Merged-chr14-78687892-42
NR3790--MA0482.1.Gata4	chr4	10770161	10770171	-	0.000	0.000	Merged-chr4-10770192-53
NR4171--MA0140.2.GATA1::TAL1	chr5	28315796	28315813	-	0.000	0.000	Merged-chr5-28315754-44
NR4737--MA0766.1.GATA5	chr6	130102978	130102985	-	0.000	0.000	Merged-chr6-130103023-31
