#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR5030--MA0002.2.RUNX1	chr3	84022995	84023005	-	0.000	0.000	Merged-chr3-84022944-34
NR161--MA0002.2.RUNX1	chr1	62829800	62829810	+	0.000	0.000	Merged-chr1-62829921-36
NR7756--MA0002.2.RUNX1	chr8	94240484	94240494	-	0.000	0.000	Merged-chr8-94240399-13
NR3525--MA0002.2.RUNX1	chr17	46870519	46870529	-	0.000	0.000	Merged-chr17-46870796-80
NR2795--MA0002.2.RUNX1	chr15	41846724	41846734	+	0.000	0.000	Merged-chr15-41846585-48
NR1749--MA0002.2.RUNX1	chr12	87470305	87470315	+	0.000	0.000	Merged-chr12-87470490-42
NR7646--MA0684.1.RUNX3	chr8	68212467	68212476	-	0.000	0.000	Merged-chr8-68212337-24
NR2761--MA0002.2.RUNX1	chr15	36562967	36562977	-	0.000	0.000	Merged-chr15-36562926-39
NR4311--MA0002.2.RUNX1	chr2	30112733	30112743	+	0.000	0.000	Merged-chr2-30112786-18
NR7704--MA0511.2.RUNX2	chr8	81704155	81704163	-	0.000	0.000	Merged-chr8-81703996-53
NR947--MA0002.2.RUNX1	chr10	81510338	81510348	+	0.000	0.000	Merged-chr10-81510447-46
NR7211--MA0684.1.RUNX3	chr7	84386627	84386636	+	0.000	0.000	Merged-chr7-84386751-45
NR5383--MA0002.2.RUNX1	chr3	157803385	157803395	+	0.000	0.000	Merged-chr3-157803404-34
NR2521--MA0684.1.RUNX3	chr14	67887047	67887056	+	0.000	0.000	Merged-chr14-67887091-21
NR391--MA0684.1.RUNX3	chr1	136685579	136685588	-	0.000	0.000	Merged-chr1-136685597-75
NR2501--MA0002.2.RUNX1	chr14	65330856	65330866	+	0.000	0.000	Merged-chr14-65330788-23
NR708--MA0002.2.RUNX1	chr10	19104783	19104793	-	0.000	0.000	Merged-chr10-19104955-55
NR7572--MA0684.1.RUNX3	chr8	33308266	33308275	+	0.000	0.000	Merged-chr8-33308213-19
NR7843--MA0684.1.RUNX3	chr8	119948547	119948556	-	0.000	0.000	Merged-chr8-119948606-34
NR3087--MA0511.2.RUNX2	chr16	14088508	14088516	-	0.000	0.000	Merged-chr16-14088440-49
NR2482--MA0002.2.RUNX1	chr14	60712417	60712427	-	0.000	0.000	Merged-chr14-60712353-74
NR2753--MA0002.2.RUNX1	chr15	31357121	31357131	-	0.000	0.000	Merged-chr15-31357016-32
NR6841--MA0002.2.RUNX1	chr6	129997722	129997732	-	0.000	0.000	Merged-chr6-129997694-33
NR370--MA0684.1.RUNX3	chr1	131446757	131446766	-	0.000	0.000	Merged-chr1-131446788-25
NR6840--MA0684.1.RUNX3	chr6	129917745	129917754	+	0.000	0.000	Merged-chr6-129917853-39
NR145--MA0002.2.RUNX1	chr1	58311395	58311405	-	0.000	0.000	Merged-chr1-58311498-34
NR5666--MA0684.1.RUNX3	chr4	107006388	107006397	-	0.000	0.000	Merged-chr4-107006366-21
NR4393--MA0002.2.RUNX1	chr2	60774692	60774702	-	0.000	0.000	Merged-chr2-60774747-55
NR730--MA0002.2.RUNX1	chr10	21354055	21354065	+	0.000	0.000	Merged-chr10-21353968-32
NR5407--MA0002.2.RUNX1	chr4	10940894	10940904	+	0.000	0.000	Merged-chr4-10940994-39
NR1113--MA0511.2.RUNX2	chr10	121189374	121189382	-	0.000	0.000	Merged-chr10-121189304-59
NR938--MA0684.1.RUNX3	chr10	80763638	80763647	+	0.000	0.000	Merged-chr10-80763655-40
NR600--MA0002.2.RUNX1	chr1	184534536	184534546	+	0.000	0.000	Merged-chr1-184534660-49
NR4991--MA0002.2.RUNX1	chr3	68784215	68784225	-	0.000	0.000	Merged-chr3-68784168-43
NR2791--MA0511.2.RUNX2	chr15	41846676	41846684	-	0.000	0.000	Merged-chr15-41846585-48
NR7338--MA0684.1.RUNX3	chr7	117394184	117394193	+	0.000	0.000	Merged-chr7-117394201-50
NR2976--MA0002.2.RUNX1	chr15	93913639	93913649	-	0.000	0.000	Merged-chr15-93913565-49
NR7318--MA0002.2.RUNX1	chr7	114356664	114356674	+	0.000	0.000	Merged-chr7-114356592-29
NR6941--MA0684.1.RUNX3	chr6	146434552	146434561	+	0.000	0.000	Merged-chr6-146434496-35
NR3372--MA0511.2.RUNX2	chr17	12165580	12165588	+	0.000	0.000	Merged-chr17-12165459-54
NR103--MA0002.2.RUNX1	chr1	51578024	51578034	-	0.000	0.000	Merged-chr1-51577937-41
NR4080--MA0002.2.RUNX1	chr19	31337712	31337722	+	0.000	0.000	Merged-chr19-31337693-86
NR2671--MA0002.2.RUNX1	chr14	120405403	120405413	+	0.000	0.000	Merged-chr14-120405299-37
NR6160--MA0684.1.RUNX3	chr5	105313659	105313668	+	0.000	0.000	Merged-chr5-105313637-29
