#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR1560--MA0463.1.Bcl6	chr9	61965818	61965831	+	0.000	0.000	Merged-chr9-61965647-41
NR664--MA0463.1.Bcl6	chr17	44121486	44121499	+	0.000	0.000	Merged-chr17-44121634-62
NR833--MA0731.1.BCL6B	chr2	53088802	53088818	-	0.000	0.000	Merged-chr2-53088913-36
NR1606--MA0731.1.BCL6B	chr9	118519144	118519160	-	0.000	0.000	Merged-chr9-118519152-31
NR1152--MA0731.1.BCL6B	chr5	62772042	62772058	+	0.000	0.000	Merged-chr5-62772215-28
NR788--MA0463.1.Bcl6	chr19	41597479	41597492	-	0.000	0.000	Merged-chr19-41597559-38
NR586--MA0731.1.BCL6B	chr16	11475694	11475710	+	0.000	0.000	Merged-chr16-11475731-38
NR148--MA0731.1.BCL6B	chr10	41978823	41978839	+	0.000	0.000	Merged-chr10-41978788-45
NR665--MA0463.1.Bcl6	chr17	44121573	44121586	-	0.000	0.000	Merged-chr17-44121634-62
NR585--MA0463.1.Bcl6	chr16	11475694	11475707	-	0.000	0.000	Merged-chr16-11475731-38
NR832--MA0463.1.Bcl6	chr2	53088805	53088818	+	0.000	0.000	Merged-chr2-53088913-36
NR1002--MA0731.1.BCL6B	chr3	148419638	148419654	-	0.000	0.000	Merged-chr3-148419698-33
NR538--MA0463.1.Bcl6	chr15	25884648	25884661	-	0.000	0.000	Merged-chr15-25884835-36
NR1569--MA0463.1.Bcl6	chr9	78074163	78074176	-	0.000	0.000	Merged-chr9-78074095-46
NR1247--MA0463.1.Bcl6	chr6	65573452	65573465	+	0.000	0.000	Merged-chr6-65573561-44
NR1294--MA0731.1.BCL6B	chr6	136683743	136683759	+	0.000	0.000	Merged-chr6-136683885-26
NR625--MA0463.1.Bcl6	chr16	89849173	89849186	-	0.000	0.000	Merged-chr16-89849155-62
NR790--MA0731.1.BCL6B	chr19	53421457	53421473	-	0.000	0.000	Merged-chr19-53421333-52
NR1467--MA0731.1.BCL6B	chr8	64871966	64871982	+	0.000	0.000	Merged-chr8-64871934-64
NR193--MA0463.1.Bcl6	chr10	93985595	93985608	-	0.000	0.000	Merged-chr10-93985650-27
NR1476--MA0463.1.Bcl6	chr8	70833349	70833362	+	0.000	0.000	Merged-chr8-70833236-40
NR114--MA0463.1.Bcl6	chr1	177457120	177457133	+	0.000	0.000	Merged-chr1-177456987-38
NR459--MA0463.1.Bcl6	chr13	114932010	114932023	-	0.000	0.000	Merged-chr13-114931861-78
NR1168--MA0463.1.Bcl6	chr5	92327440	92327453	-	0.000	0.000	Merged-chr5-92327493-24
NR1083--MA0463.1.Bcl6	chr4	119127468	119127481	-	0.000	0.000	Merged-chr4-119127359-48
NR1612--MA0731.1.BCL6B	chr9	121675081	121675097	-	0.000	0.000	Merged-chr9-121675261-45
NR108--MA0463.1.Bcl6	chr1	171939422	171939435	-	0.000	0.000	Merged-chr1-171939454-57
NR1421--MA0731.1.BCL6B	chr7	128119877	128119893	-	0.000	0.000	Merged-chr7-128119873-66
NR1175--MA0463.1.Bcl6	chr5	100526530	100526543	-	0.000	0.000	Merged-chr5-100526478-48
NR1392--MA0463.1.Bcl6	chr7	110824201	110824214	+	0.000	0.000	Merged-chr7-110824322-44
NR147--MA0463.1.Bcl6	chr10	41978823	41978836	-	0.000	0.000	Merged-chr10-41978788-45
NR1256--MA0463.1.Bcl6	chr6	88939542	88939555	+	0.000	0.000	Merged-chr6-88939617-36
NR947--MA0463.1.Bcl6	chr3	69205708	69205721	-	0.000	0.000	Merged-chr3-69205788-82
NR1340--MA0731.1.BCL6B	chr7	38215087	38215103	+	0.000	0.000	Merged-chr7-38215034-63
NR1419--MA0463.1.Bcl6	chr7	127278480	127278493	+	0.000	0.000	Merged-chr7-127278637-41
NR115--MA0731.1.BCL6B	chr1	178182416	178182432	+	0.000	0.000	Merged-chr1-178182458-49
NR1110--MA0463.1.Bcl6	chr4	145312772	145312785	-	0.000	0.000	Merged-chr4-145312696-44
NR1311--MA0731.1.BCL6B	chr6	146813207	146813223	-	0.000	0.000	Merged-chr6-146813295-20
NR1420--MA0731.1.BCL6B	chr7	127278477	127278493	-	0.000	0.000	Merged-chr7-127278637-41
