#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR3184--MA0496.2.MAFK	chr13	108763561	108763579	+	0.000	0.000	Merged-chr13-108763497-25
NR8755--MA0495.2.MAFF	chr6	54760017	54760037	+	0.000	0.000	Merged-chr6-54760187-57
NR7875--MA0496.2.MAFK	chr4	149854314	149854332	+	0.000	0.000	Merged-chr4-149854542-67
NR8848--MA0591.1.Bach1::Mafk	chr6	73268197	73268211	-	0.000	0.000	Merged-chr6-73268077-15
NR449--MA0495.2.MAFF	chr1	106187695	106187715	-	0.000	0.000	Merged-chr1-106187715-26
NR5600--MA0501.1.MAF::NFE2	chr19	57882131	57882145	-	0.000	0.000	Merged-chr19-57882261-17
NR5659--MA0591.1.Bach1::Mafk	chr2	4669938	4669952	-	0.000	0.000	Merged-chr2-4669816-18
NR8757--MA0117.2.Mafb	chr6	54760026	54760037	-	0.000	0.000	Merged-chr6-54760187-57
NR5906--MA0501.1.MAF::NFE2	chr2	44953030	44953044	-	0.000	0.000	Merged-chr2-44953031-31
NR812--MA0591.1.Bach1::Mafk	chr1	170729604	170729618	-	0.000	0.000	Merged-chr1-170729637-43
NR3598--MA0495.2.MAFF	chr14	101470024	101470044	+	0.000	0.000	Merged-chr14-101470106-24
NR9986--MA0501.1.MAF::NFE2	chr8	64826687	64826701	-	0.000	0.000	Merged-chr8-64826546-37
NR10414--MA0501.1.MAF::NFE2	chr9	46083485	46083499	-	0.000	0.000	Merged-chr9-46083625-49
NR3833--MA0659.1.MAFG	chr15	57906811	57906831	-	0.000	0.000	Merged-chr15-57906740-47
NR2362--MA0089.1.MAFG::NFE2L1	chr12	55466483	55466488	+	0.000	0.000	Merged-chr12-55466597-41
NR7390--MA0501.1.MAF::NFE2	chr4	41295746	41295760	+	0.000	0.000	Merged-chr4-41295781-15
NR6561--MA0659.1.MAFG	chr2	168575070	168575090	-	0.000	0.000	Merged-chr2-168575169-53
NR9347--MA0117.2.Mafb	chr7	19239705	19239716	+	0.000	0.000	Merged-chr7-19239613-31
NR7973--MA0117.2.Mafb	chr5	20087241	20087252	-	0.000	0.000	Merged-chr5-20087381-40
NR7651--MA0659.1.MAFG	chr4	118078607	118078627	+	0.000	0.000	Merged-chr4-118078644-25
NR7873--MA0495.2.MAFF	chr4	149854313	149854333	+	0.000	0.000	Merged-chr4-149854542-67
NR7824--MA0089.1.MAFG::NFE2L1	chr4	145284482	145284487	-	0.000	0.000	Merged-chr4-145284668-43
NR9962--MA0501.1.MAF::NFE2	chr8	46197080	46197094	-	0.000	0.000	Merged-chr8-46197044-15
NR442--MA0495.2.MAFF	chr1	106187586	106187606	+	0.000	0.000	Merged-chr1-106187715-26
NR6826--MA0501.1.MAF::NFE2	chr3	69274873	69274887	-	0.000	0.000	Merged-chr3-69274909-13
NR10426--MA0496.2.MAFK	chr9	50836273	50836291	+	0.000	0.000	Merged-chr9-50836533-61
NR4604--MA0591.1.Bach1::Mafk	chr17	7164184	7164198	+	0.000	0.000	Merged-chr17-7164154-31
NR385--MA0089.1.MAFG::NFE2L1	chr1	91600803	91600808	-	0.000	0.000	Merged-chr1-91600873-13
NR7517--MA0117.2.Mafb	chr4	88998479	88998490	+	0.000	0.000	Merged-chr4-88998396-38
NR1255--MA0089.1.MAFG::NFE2L1	chr10	67698098	67698103	-	0.000	0.000	Merged-chr10-67697981-39
NR6604--MA0501.1.MAF::NFE2	chr2	174566021	174566035	-	0.000	0.000	Merged-chr2-174566072-46
