#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR1628--MA0508.2.PRDM1	chr6	145285860	145285869	+	0.000	0.000	Merged-chr6-145285757-35
NR1479--MA0508.2.PRDM1	chr5	96825041	96825050	+	0.000	0.000	Merged-chr5-96825060-50
NR380--MA0508.2.PRDM1	chr12	28834288	28834297	-	0.000	0.000	Merged-chr12-28834463-43
NR1219--MA0508.2.PRDM1	chr3	108124505	108124514	-	0.000	0.000	Merged-chr3-108124378-33
NR417--MA0508.2.PRDM1	chr12	77193547	77193556	-	0.000	0.000	Merged-chr12-77193438-26
NR996--MA0508.2.PRDM1	chr2	18989001	18989010	+	0.000	0.000	Merged-chr2-18989067-34
NR409--MA0508.2.PRDM1	chr12	69853634	69853643	+	0.000	0.000	Merged-chr12-69853558-20
NR1137--MA0508.2.PRDM1	chr2	174566135	174566144	+	0.000	0.000	Merged-chr2-174566072-46
NR736--MA0508.2.PRDM1	chr15	96329086	96329095	-	0.000	0.000	Merged-chr15-96329097-10
NR186--MA0508.2.PRDM1	chr10	30538226	30538235	+	0.000	0.000	Merged-chr10-30538265-95
NR457--MA0508.2.PRDM1	chr12	110381461	110381470	-	0.000	0.000	Merged-chr12-110381552-59
NR274--MA0508.2.PRDM1	chr10	118166243	118166252	+	0.000	0.000	Merged-chr10-118166257-15
NR266--MA0508.2.PRDM1	chr10	108446434	108446443	-	0.000	0.000	Merged-chr10-108446364-45
NR1340--MA0508.2.PRDM1	chr4	86725257	86725266	+	0.000	0.000	Merged-chr4-86725378-12
NR298--MA0508.2.PRDM1	chr11	11498034	11498043	+	0.000	0.000	Merged-chr11-11498094-24
NR1630--MA0508.2.PRDM1	chr6	145993207	145993216	-	0.000	0.000	Merged-chr6-145993129-56
NR1505--MA0508.2.PRDM1	chr5	140215979	140215988	-	0.000	0.000	Merged-chr5-140215756-33
NR955--MA0508.2.PRDM1	chr19	41031243	41031252	+	0.000	0.000	Merged-chr19-41031181-46
NR812--MA0508.2.PRDM1	chr16	92443872	92443881	-	0.000	0.000	Merged-chr16-92443749-37
NR921--MA0508.2.PRDM1	chr18	69068570	69068579	+	0.000	0.000	Merged-chr18-69068591-21
NR533--MA0508.2.PRDM1	chr13	68588653	68588662	+	0.000	0.000	Merged-chr13-68588513-35
NR1165--MA0508.2.PRDM1	chr3	55659874	55659883	-	0.000	0.000	Merged-chr3-55660012-44
NR1144--MA0508.2.PRDM1	chr3	8718383	8718392	+	0.000	0.000	Merged-chr3-8718167-60
NR1367--MA0508.2.PRDM1	chr4	118406247	118406256	+	0.000	0.000	Merged-chr4-118406334-12
NR390--MA0508.2.PRDM1	chr12	41168121	41168130	-	0.000	0.000	Merged-chr12-41167989-46
NR637--MA0508.2.PRDM1	chr14	77581075	77581084	+	0.000	0.000	Merged-chr14-77581248-1
NR998--MA0508.2.PRDM1	chr2	22721962	22721971	-	0.000	0.000	Merged-chr2-22721936-56
NR1161--MA0508.2.PRDM1	chr3	41032277	41032286	+	0.000	0.000	Merged-chr3-41032256-9
NR1541--MA0508.2.PRDM1	chr6	53704599	53704608	+	0.000	0.000	Merged-chr6-53704558-10
NR42--MA0508.2.PRDM1	chr1	82443775	82443784	-	0.000	0.000	Merged-chr1-82443829-28
NR1785--MA0508.2.PRDM1	chr8	34817855	34817864	-	0.000	0.000	Merged-chr8-34817852-8
NR1655--MA0508.2.PRDM1	chr7	39642552	39642561	+	0.000	0.000	Merged-chr7-39642605-22
NR1939--MA0508.2.PRDM1	chr9	114632418	114632427	+	0.000	0.000	Merged-chr9-114632456-28
NR1220--MA0508.2.PRDM1	chr3	108781689	108781698	+	0.000	0.000	Merged-chr3-108781707-12
NR1809--MA0508.2.PRDM1	chr8	81558831	81558840	-	0.000	0.000	Merged-chr8-81558760-48
NR1581--MA0508.2.PRDM1	chr6	99732896	99732905	+	0.000	0.000	Merged-chr6-99733010-11
NR941--MA0508.2.PRDM1	chr19	16172897	16172906	-	0.000	0.000	Merged-chr19-16172957-13
NR1050--MA0508.2.PRDM1	chr2	75892195	75892204	-	0.000	0.000	Merged-chr2-75892268-38
NR1443--MA0508.2.PRDM1	chr5	46445963	46445972	+	0.000	0.000	Merged-chr5-46445949-13
NR803--MA0508.2.PRDM1	chr16	84982725	84982734	+	0.000	0.000	Merged-chr16-84982791-18
NR1719--MA0508.2.PRDM1	chr7	101970733	101970742	+	0.000	0.000	Merged-chr7-101970646-136
NR1000--MA0508.2.PRDM1	chr2	25095456	25095465	-	0.000	0.000	Merged-chr2-25095278-14
NR1299--MA0508.2.PRDM1	chr4	7961867	7961876	-	0.000	0.000	Merged-chr4-7961828-25
NR1013--MA0508.2.PRDM1	chr2	37765114	37765123	+	0.000	0.000	Merged-chr2-37765232-35
NR1169--MA0508.2.PRDM1	chr3	59277872	59277881	-	0.000	0.000	Merged-chr3-59277984-20
NR973--MA0508.2.PRDM1	chr19	59930151	59930160	+	0.000	0.000	Merged-chr19-59930047-24
NR877--MA0508.2.PRDM1	chr17	86034443	86034452	+	0.000	0.000	Merged-chr17-86034509-12
NR171--MA0508.2.PRDM1	chr10	4357669	4357678	-	0.000	0.000	Merged-chr10-4357640-28
NR280--MA0508.2.PRDM1	chr10	122194304	122194313	-	0.000	0.000	Merged-chr10-122194311-33
NR184--MA0508.2.PRDM1	chr10	26563506	26563515	+	0.000	0.000	Merged-chr10-26563511-2
