#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR30251--MA0599.1.KLF5	chr2	152904422	152904431	-	0.000	0.000	Merged-chr2-152904288-57
NR39334--MA0493.1.Klf1	chr5	77130584	77130594	+	0.000	0.000	Merged-chr5-77130540-43
NR28441--MA0039.3.KLF4	chr2	59513731	59513741	-	0.000	0.000	Merged-chr2-59513816-12
NR45028--MA0599.1.KLF5	chr6	145256893	145256902	+	0.000	0.000	Merged-chr6-145256997-16
NR45292--MA0599.1.KLF5	chr7	4614259	4614268	-	0.000	0.000	Merged-chr7-4614138-46
NR47441--MA0741.1.KLF16	chr7	99834053	99834063	-	0.000	0.000	Merged-chr7-99833987-52
NR11235--MA0493.1.Klf1	chr12	35770598	35770608	+	0.000	0.000	Merged-chr12-35770526-40
NR43005--MA0741.1.KLF16	chr6	61180796	61180806	-	0.000	0.000	Merged-chr6-61180623-103
NR16566--MA0741.1.KLF16	chr14	74918663	74918673	+	0.000	0.000	Merged-chr14-74918775-39
NR23346--MA1107.1.KLF9	chr17	70728942	70728954	+	0.000	0.000	Merged-chr17-70729015-28
NR33255--MA0741.1.KLF16	chr3	121426491	121426501	-	0.000	0.000	Merged-chr3-121426726-98
NR14939--MA0493.1.Klf1	chr13	108100601	108100611	+	0.000	0.000	Merged-chr13-108100820-31
NR54175--MA0741.1.KLF16	chr9	107334666	107334676	+	0.000	0.000	Merged-chr9-107334469-86
NR29215--MA0599.1.KLF5	chr2	104172842	104172851	-	0.000	0.000	Merged-chr2-104172938-49
NR20309--MA0741.1.KLF16	chr16	35765698	35765708	-	0.000	0.000	Merged-chr16-35765641-23
NR28438--MA0493.1.Klf1	chr2	59513713	59513723	-	0.000	0.000	Merged-chr2-59513816-12
NR37937--MA0039.3.KLF4	chr4	155082199	155082209	+	0.000	0.000	Merged-chr4-155082260-14
NR18659--MA0599.1.KLF5	chr15	80602606	80602615	+	0.000	0.000	Merged-chr15-80602759-36
NR9125--MA0742.1.Klf12	chr11	88864589	88864603	+	0.000	0.000	Merged-chr11-88864546-48
NR52365--MA0741.1.KLF16	chr9	32740970	32740980	+	0.000	0.000	Merged-chr9-32741073-58
NR16054--MA0599.1.KLF5	chr14	54056939	54056948	+	0.000	0.000	Merged-chr14-54056823-18
NR25778--MA0599.1.KLF5	chr19	8992953	8992962	-	0.000	0.000	Merged-chr19-8993101-26
NR22387--MA0493.1.Klf1	chr17	33947934	33947944	+	0.000	0.000	Merged-chr17-33947911-26
NR6292--MA0493.1.Klf1	chr10	118633627	118633637	+	0.000	0.000	Merged-chr10-118633664-46
NR33234--MA0741.1.KLF16	chr3	116893051	116893061	+	0.000	0.000	Merged-chr3-116893122-28
NR52017--MA0493.1.Klf1	chr9	15060209	15060219	-	0.000	0.000	Merged-chr9-15060271-40
NR52276--MA1107.1.KLF9	chr9	31121459	31121471	+	0.000	0.000	Merged-chr9-31121439-5
NR20332--MA1107.1.KLF9	chr16	36057591	36057603	+	0.000	0.000	Merged-chr16-36057640-19
NR13577--MA0599.1.KLF5	chr13	45885146	45885155	+	0.000	0.000	Merged-chr13-45885080-29
NR45091--MA0599.1.KLF5	chr6	146107808	146107817	-	0.000	0.000	Merged-chr6-146107626-18
NR43736--MA0657.1.KLF13	chr6	100576329	100576346	-	0.000	0.000	Merged-chr6-100576347-26
NR15739--MA0599.1.KLF5	chr14	32716954	32716963	+	0.000	0.000	Merged-chr14-32716978-71
NR24833--MA0741.1.KLF16	chr18	67255707	67255717	-	0.000	0.000	Merged-chr18-67255745-40
NR38626--MA0599.1.KLF5	chr5	34822701	34822710	+	0.000	0.000	Merged-chr5-34822830-22
NR47901--MA1107.1.KLF9	chr7	116484540	116484552	-	0.000	0.000	Merged-chr7-116484434-42
NR15049--MA0493.1.Klf1	chr13	111568969	111568979	-	0.000	0.000	Merged-chr13-111569188-35
NR43328--MA0599.1.KLF5	chr6	85357235	85357244	+	0.000	0.000	Merged-chr6-85357195-19
NR2081--MA0599.1.KLF5	chr1	136255439	136255448	-	0.000	0.000	Merged-chr1-136255292-47
NR23486--MA0493.1.Klf1	chr17	74865000	74865010	-	0.000	0.000	Merged-chr17-74864979-18
NR51065--MA0039.3.KLF4	chr8	111355354	111355364	+	0.000	0.000	Merged-chr8-111355388-12
NR42--MA0599.1.KLF5	chr1	9883426	9883435	-	0.000	0.000	Merged-chr1-9883358-36
NR10973--MA0039.3.KLF4	chr12	17511205	17511215	+	0.000	0.000	Merged-chr12-17511273-48
NR39952--MA1107.1.KLF9	chr5	111039993	111040005	+	0.000	0.000	Merged-chr5-111039945-24
NR18599--MA0741.1.KLF16	chr15	80192527	80192537	+	0.000	0.000	Merged-chr15-80192413-58
NR32360--MA0599.1.KLF5	chr3	84772130	84772139	-	0.000	0.000	Merged-chr3-84772067-31
NR37670--MA0493.1.Klf1	chr4	150087265	150087275	-	0.000	0.000	Merged-chr4-150087480-81
NR47632--MA0740.1.KLF14	chr7	107659370	107659383	-	0.000	0.000	Merged-chr7-107659322-39
NR37425--MA0740.1.KLF14	chr4	144901710	144901723	+	0.000	0.000	Merged-chr4-144901724-37
NR35745--MA0740.1.KLF14	chr4	108081201	108081214	-	0.000	0.000	Merged-chr4-108081239-19
NR48428--MA0493.1.Klf1	chr7	130369602	130369612	-	0.000	0.000	Merged-chr7-130369779-7
NR4471--MA0493.1.Klf1	chr10	60225389	60225399	-	0.000	0.000	Merged-chr10-60225461-7
NR45090--MA0039.3.KLF4	chr6	146081187	146081197	-	0.000	0.000	Merged-chr6-146081045-99
NR37432--MA0039.3.KLF4	chr4	144901753	144901763	+	0.000	0.000	Merged-chr4-144901724-37
NR53273--MA0741.1.KLF16	chr9	70484979	70484989	+	0.000	0.000	Merged-chr9-70485119-27
NR44678--MA0599.1.KLF5	chr6	137491893	137491902	-	0.000	0.000	Merged-chr6-137492060-50
NR51768--MA0741.1.KLF16	chr8	125727533	125727543	-	0.000	0.000	Merged-chr8-125727602-12
NR4905--MA1107.1.KLF9	chr10	77367042	77367054	+	0.000	0.000	Merged-chr10-77367193-51
NR12539--MA0740.1.KLF14	chr12	109446607	109446620	+	0.000	0.000	Merged-chr12-109446341-43
NR9911--MA0741.1.KLF16	chr11	104661420	104661430	-	0.000	0.000	Merged-chr11-104661475-50
NR49737--MA0741.1.KLF16	chr8	57401529	57401539	+	0.000	0.000	Merged-chr8-57401385-31
NR39601--MA0742.1.Klf12	chr5	99495558	99495572	+	0.000	0.000	Merged-chr5-99495568-41
NR24706--MA0657.1.KLF13	chr18	62192590	62192607	-	0.000	0.000	Merged-chr18-62192443-48
NR46643--MA0599.1.KLF5	chr7	49364571	49364580	+	0.000	0.000	Merged-chr7-49364720-42
NR47907--MA0493.1.Klf1	chr7	117406360	117406370	-	0.000	0.000	Merged-chr7-117406595-16
NR46956--MA0493.1.Klf1	chr7	78684847	78684857	+	0.000	0.000	Merged-chr7-78685016-20
NR28310--MA0599.1.KLF5	chr2	48316756	48316765	+	0.000	0.000	Merged-chr2-48316658-11
NR22424--MA0493.1.Klf1	chr17	34287839	34287849	+	0.000	0.000	Merged-chr17-34287917-16
NR43108--MA0039.3.KLF4	chr6	71831704	71831714	-	0.000	0.000	Merged-chr6-71831897-1
NR43011--MA0741.1.KLF16	chr6	61271203	61271213	+	0.000	0.000	Merged-chr6-61271177-5
NR37018--MA0599.1.KLF5	chr4	136123306	136123315	-	0.000	0.000	Merged-chr4-136123235-13
NR12247--MA0740.1.KLF14	chr12	102581773	102581786	+	0.000	0.000	Merged-chr12-102581960-56
NR35746--MA0657.1.KLF13	chr4	108081198	108081215	-	0.000	0.000	Merged-chr4-108081239-19
NR11098--MA0493.1.Klf1	chr12	25351096	25351106	+	0.000	0.000	Merged-chr12-25351011-20
NR22423--MA0039.3.KLF4	chr17	34287841	34287851	+	0.000	0.000	Merged-chr17-34287917-16
NR1792--MA0039.3.KLF4	chr1	128793988	128793998	-	0.000	0.000	Merged-chr1-128794102-26
NR18816--MA1107.1.KLF9	chr15	84168925	84168937	+	0.000	0.000	Merged-chr15-84168860-11
NR28440--MA0599.1.KLF5	chr2	59513733	59513742	-	0.000	0.000	Merged-chr2-59513816-12
NR9124--MA0740.1.KLF14	chr11	88864589	88864602	+	0.000	0.000	Merged-chr11-88864546-48
NR34819--MA0741.1.KLF16	chr4	46404270	46404280	+	0.000	0.000	Merged-chr4-46404308-42
NR15345--MA1107.1.KLF9	chr14	12243814	12243826	+	0.000	0.000	Merged-chr14-12243878-61
NR13295--MA1107.1.KLF9	chr13	30693072	30693084	+	0.000	0.000	Merged-chr13-30693070-31
NR3856--MA1107.1.KLF9	chr10	13446827	13446839	-	0.000	0.000	Merged-chr10-13446841-15
NR17193--MA0039.3.KLF4	chr14	121107739	121107749	-	0.000	0.000	Merged-chr14-121107843-45
NR2372--MA0741.1.KLF16	chr1	152270158	152270168	-	0.000	0.000	Merged-chr1-152270213-74
NR55782--MA0741.1.KLF16	chrX	143030856	143030866	+	0.000	0.000	Merged-chrX-143030752-27
NR4946--MA1107.1.KLF9	chr10	78115176	78115188	-	0.000	0.000	Merged-chr10-78115092-14
NR165--MA0741.1.KLF16	chr1	20740725	20740735	-	0.000	0.000	Merged-chr1-20740658-39
NR35760--MA0493.1.Klf1	chr4	108371566	108371576	-	0.000	0.000	Merged-chr4-108371608-19
NR37428--MA0741.1.KLF16	chr4	144901711	144901721	+	0.000	0.000	Merged-chr4-144901724-37
NR37922--MA0493.1.Klf1	chr4	155050223	155050233	+	0.000	0.000	Merged-chr4-155050218-26
NR3553--MA0599.1.KLF5	chr1	191115208	191115217	+	0.000	0.000	Merged-chr1-191115212-7
NR36141--MA0741.1.KLF16	chr4	120287786	120287796	-	0.000	0.000	Merged-chr4-120287807-68
NR4194--MA1107.1.KLF9	chr10	40688558	40688570	+	0.000	0.000	Merged-chr10-40688620-20
NR13717--MA0493.1.Klf1	chr13	51598238	51598248	-	0.000	0.000	Merged-chr13-51598262-24
NR38457--MA0493.1.Klf1	chr5	28269733	28269743	-	0.000	0.000	Merged-chr5-28269924-54
NR13300--MA1107.1.KLF9	chr13	30693082	30693094	+	0.000	0.000	Merged-chr13-30693070-31
NR14287--MA1107.1.KLF9	chr13	75053880	75053892	-	0.000	0.000	Merged-chr13-75053881-13
NR3110--MA0599.1.KLF5	chr1	177455706	177455715	-	0.000	0.000	Merged-chr1-177455545-12
NR39224--MA1107.1.KLF9	chr5	74132687	74132699	-	0.000	0.000	Merged-chr5-74132835-25
NR38456--MA0039.3.KLF4	chr5	28269731	28269741	-	0.000	0.000	Merged-chr5-28269924-54
NR2548--MA0493.1.Klf1	chr1	157020051	157020061	+	0.000	0.000	Merged-chr1-157020072-9
NR15050--MA1107.1.KLF9	chr13	111568967	111568979	-	0.000	0.000	Merged-chr13-111569188-35
NR45003--MA0493.1.Klf1	chr6	144890400	144890410	+	0.000	0.000	Merged-chr6-144890317-11
NR25076--MA1107.1.KLF9	chr18	75322574	75322586	-	0.000	0.000	Merged-chr18-75322404-42
NR39336--MA1107.1.KLF9	chr5	77130584	77130596	+	0.000	0.000	Merged-chr5-77130540-43
NR6181--MA0741.1.KLF16	chr10	117651868	117651878	+	0.000	0.000	Merged-chr10-117652105-48
NR43016--MA0741.1.KLF16	chr6	61271208	61271218	+	0.000	0.000	Merged-chr6-61271177-5
NR12084--MA0742.1.Klf12	chr12	98574802	98574816	+	0.000	0.000	Merged-chr12-98574719-40
NR38474--MA0039.3.KLF4	chr5	30353799	30353809	-	0.000	0.000	Merged-chr5-30353789-16
NR11237--MA1107.1.KLF9	chr12	35770598	35770610	+	0.000	0.000	Merged-chr12-35770526-40
NR23362--MA1107.1.KLF9	chr17	70886786	70886798	-	0.000	0.000	Merged-chr17-70886838-34
NR4503--MA0039.3.KLF4	chr10	61233351	61233361	+	0.000	0.000	Merged-chr10-61233317-40
NR7429--MA0493.1.Klf1	chr11	32211339	32211349	+	0.000	0.000	Merged-chr11-32211226-20
NR10972--MA0599.1.KLF5	chr12	17511204	17511213	+	0.000	0.000	Merged-chr12-17511273-48
NR3116--MA0742.1.Klf12	chr1	178182342	178182356	+	0.000	0.000	Merged-chr1-178182458-49
NR26488--MA0039.3.KLF4	chr19	41597652	41597662	+	0.000	0.000	Merged-chr19-41597559-38
NR20097--MA1107.1.KLF9	chr16	24834880	24834892	+	0.000	0.000	Merged-chr16-24834930-16
NR38918--MA1107.1.KLF9	chr5	64371318	64371330	+	0.000	0.000	Merged-chr5-64371502-26
NR39229--MA1107.1.KLF9	chr5	74132697	74132709	-	0.000	0.000	Merged-chr5-74132835-25
NR54440--MA1107.1.KLF9	chr9	114613220	114613232	-	0.000	0.000	Merged-chr9-114613191-38
NR15055--MA1107.1.KLF9	chr13	111568977	111568989	-	0.000	0.000	Merged-chr13-111569188-35
NR43072--MA0741.1.KLF16	chr6	67533270	67533280	+	0.000	0.000	Merged-chr6-67533170-65
NR49474--MA0740.1.KLF14	chr8	34529602	34529615	-	0.000	0.000	Merged-chr8-34529653-1
NR5871--MA1107.1.KLF9	chr10	98745688	98745700	+	0.000	0.000	Merged-chr10-98745748-77
NR54174--MA0742.1.Klf12	chr9	107334536	107334550	+	0.000	0.000	Merged-chr9-107334469-86
NR8429--MA0741.1.KLF16	chr11	72963735	72963745	-	0.000	0.000	Merged-chr11-72963811-9
NR6294--MA1107.1.KLF9	chr10	118633633	118633645	+	0.000	0.000	Merged-chr10-118633664-46
NR37431--MA0599.1.KLF5	chr4	144901752	144901761	+	0.000	0.000	Merged-chr4-144901724-37
NR45725--MA0599.1.KLF5	chr7	24482004	24482013	-	0.000	0.000	Merged-chr7-24481860-36
NR30669--MA0039.3.KLF4	chr2	163603908	163603918	+	0.000	0.000	Merged-chr2-163604093-28
NR55199--MA1107.1.KLF9	chrX	37142022	37142034	+	0.000	0.000	Merged-chrX-37141960-22
NR20088--MA0039.3.KLF4	chr16	24831241	24831251	+	0.000	0.000	Merged-chr16-24831230-9
NR40808--MA0493.1.Klf1	chr5	125016670	125016680	-	0.000	0.000	Merged-chr5-125016719-26
NR13099--MA0039.3.KLF4	chr13	15982599	15982609	+	0.000	0.000	Merged-chr13-15982553-21
NR33962--MA0493.1.Klf1	chr3	146765065	146765075	+	0.000	0.000	Merged-chr3-146765113-32
NR35209--MA0741.1.KLF16	chr4	71291615	71291625	+	0.000	0.000	Merged-chr4-71291736-94
NR11297--MA0599.1.KLF5	chr12	52383032	52383041	+	0.000	0.000	Merged-chr12-52383146-23
NR23492--MA0039.3.KLF4	chr17	74869697	74869707	-	0.000	0.000	Merged-chr17-74869887-51
NR27410--MA0599.1.KLF5	chr2	17597921	17597930	-	0.000	0.000	Merged-chr2-17597899-18
NR47802--MA0599.1.KLF5	chr7	113572968	113572977	-	0.000	0.000	Merged-chr7-113573033-33
NR15740--MA0039.3.KLF4	chr14	32716955	32716965	+	0.000	0.000	Merged-chr14-32716978-71
NR43107--MA0599.1.KLF5	chr6	71831706	71831715	-	0.000	0.000	Merged-chr6-71831897-1
NR40530--MA0741.1.KLF16	chr5	121837189	121837199	-	0.000	0.000	Merged-chr5-121837232-116
NR49739--MA1107.1.KLF9	chr8	57401524	57401536	+	0.000	0.000	Merged-chr8-57401385-31
NR41705--MA1107.1.KLF9	chr5	144165948	144165960	-	0.000	0.000	Merged-chr5-144166019-31
NR10179--MA0039.3.KLF4	chr11	113174317	113174327	-	0.000	0.000	Merged-chr11-113174221-33
NR43004--MA0599.1.KLF5	chr6	61180797	61180806	-	0.000	0.000	Merged-chr6-61180623-103
NR28495--MA0493.1.Klf1	chr2	60375320	60375330	-	0.000	0.000	Merged-chr2-60375404-17
NR35390--MA0493.1.Klf1	chr4	89393467	89393477	-	0.000	0.000	Merged-chr4-89393499-15
NR23278--MA1107.1.KLF9	chr17	64628988	64629000	-	0.000	0.000	Merged-chr17-64628994-21
NR40891--MA0741.1.KLF16	chr5	129192020	129192030	+	0.000	0.000	Merged-chr5-129191899-21
NR25263--MA0741.1.KLF16	chr18	82607558	82607568	+	0.000	0.000	Merged-chr18-82607647-23
NR43438--MA0493.1.Klf1	chr6	88783260	88783270	+	0.000	0.000	Merged-chr6-88783083-54
NR36104--MA0741.1.KLF16	chr4	119689513	119689523	+	0.000	0.000	Merged-chr4-119689602-18
NR33259--MA0742.1.Klf12	chr3	121495130	121495144	-	0.000	0.000	Merged-chr3-121495033-1
NR49230--MA0599.1.KLF5	chr8	13974731	13974740	-	0.000	0.000	Merged-chr8-13974729-61
NR51907--MA0741.1.KLF16	chr8	128575094	128575104	-	0.000	0.000	Merged-chr8-128575049-9
NR26538--MA0742.1.Klf12	chr19	43520754	43520768	+	0.000	0.000	Merged-chr19-43520668-20
NR43231--MA0039.3.KLF4	chr6	82402555	82402565	-	0.000	0.000	Merged-chr6-82402722-33
NR33649--MA1107.1.KLF9	chr3	135636497	135636509	+	0.000	0.000	Merged-chr3-135636443-43
NR37426--MA0039.3.KLF4	chr4	144901712	144901722	+	0.000	0.000	Merged-chr4-144901724-37
NR3907--MA0039.3.KLF4	chr10	18193271	18193281	-	0.000	0.000	Merged-chr10-18193414-42
NR38898--MA0599.1.KLF5	chr5	63943576	63943585	-	0.000	0.000	Merged-chr5-63943362-36
NR21355--MA0599.1.KLF5	chr17	3209727	3209736	+	0.000	0.000	Merged-chr17-3209784-17
NR32362--MA1107.1.KLF9	chr3	84772128	84772140	-	0.000	0.000	Merged-chr3-84772067-31
NR39951--MA0741.1.KLF16	chr5	111039994	111040004	+	0.000	0.000	Merged-chr5-111039945-24
NR39599--MA0740.1.KLF14	chr5	99495558	99495571	+	0.000	0.000	Merged-chr5-99495568-41
NR28436--MA0742.1.Klf12	chr2	59513709	59513723	-	0.000	0.000	Merged-chr2-59513816-12
NR36382--MA0493.1.Klf1	chr4	126207101	126207111	+	0.000	0.000	Merged-chr4-126207188-6
NR12531--MA0599.1.KLF5	chr12	109438214	109438223	+	0.000	0.000	Merged-chr12-109438029-53
NR10462--MA1107.1.KLF9	chr11	116688206	116688218	-	0.000	0.000	Merged-chr11-116688042-60
NR9914--MA1107.1.KLF9	chr11	104661413	104661425	-	0.000	0.000	Merged-chr11-104661475-50
NR13715--MA0599.1.KLF5	chr13	51598238	51598247	-	0.000	0.000	Merged-chr13-51598262-24
NR13684--MA0740.1.KLF14	chr13	51391534	51391547	-	0.000	0.000	Merged-chr13-51391583-19
NR15353--MA0599.1.KLF5	chr14	13933918	13933927	+	0.000	0.000	Merged-chr14-13933837-73
NR27411--MA0741.1.KLF16	chr2	17597920	17597930	-	0.000	0.000	Merged-chr2-17597899-18
NR25070--MA0599.1.KLF5	chr18	75322373	75322382	+	0.000	0.000	Merged-chr18-75322404-42
NR26489--MA0741.1.KLF16	chr19	41597651	41597661	+	0.000	0.000	Merged-chr19-41597559-38
NR34416--MA0741.1.KLF16	chr4	32424644	32424654	+	0.000	0.000	Merged-chr4-32424580-38
NR11100--MA1107.1.KLF9	chr12	25351096	25351108	+	0.000	0.000	Merged-chr12-25351011-20
NR6328--MA0599.1.KLF5	chr10	119031179	119031188	-	0.000	0.000	Merged-chr10-119031155-35
NR38899--MA0741.1.KLF16	chr5	63943575	63943585	-	0.000	0.000	Merged-chr5-63943362-36
NR38473--MA0599.1.KLF5	chr5	30353801	30353810	-	0.000	0.000	Merged-chr5-30353789-16
NR47909--MA0039.3.KLF4	chr7	117418973	117418983	-	0.000	0.000	Merged-chr7-117419068-12
NR3863--MA1107.1.KLF9	chr10	13446841	13446853	-	0.000	0.000	Merged-chr10-13446841-15
NR49469--MA0741.1.KLF16	chr8	34397999	34398009	+	0.000	0.000	Merged-chr8-34397971-66
NR45098--MA0039.3.KLF4	chr6	146185691	146185701	-	0.000	0.000	Merged-chr6-146185680-43
NR37024--MA1107.1.KLF9	chr4	136123315	136123327	-	0.000	0.000	Merged-chr4-136123235-13
NR44993--MA0742.1.Klf12	chr6	144804477	144804491	-	0.000	0.000	Merged-chr6-144804553-29
NR4502--MA0599.1.KLF5	chr10	61233350	61233359	+	0.000	0.000	Merged-chr10-61233317-40
NR45103--MA1107.1.KLF9	chr6	146271367	146271379	+	0.000	0.000	Merged-chr6-146271470-40
NR11296--MA0742.1.Klf12	chr12	52383031	52383045	+	0.000	0.000	Merged-chr12-52383146-23
NR45085--MA0742.1.Klf12	chr6	145992967	145992981	+	0.000	0.000	Merged-chr6-145993129-56
NR35423--MA0599.1.KLF5	chr4	97657693	97657702	+	0.000	0.000	Merged-chr4-97657761-27
NR35762--MA1107.1.KLF9	chr4	108371564	108371576	-	0.000	0.000	Merged-chr4-108371608-19
NR4953--MA1107.1.KLF9	chr10	78115190	78115202	-	0.000	0.000	Merged-chr10-78115092-14
NR20091--MA0599.1.KLF5	chr16	24834890	24834899	+	0.000	0.000	Merged-chr16-24834930-16
NR1115--MA1107.1.KLF9	chr1	80700296	80700308	-	0.000	0.000	Merged-chr1-80700065-37
NR32359--MA0493.1.Klf1	chr3	84770750	84770760	-	0.000	0.000	Merged-chr3-84770670-24
NR15344--MA0493.1.Klf1	chr14	12243814	12243824	+	0.000	0.000	Merged-chr14-12243878-61
NR1794--MA0741.1.KLF16	chr1	128793989	128793999	-	0.000	0.000	Merged-chr1-128794102-26
NR23629--MA0493.1.Klf1	chr17	83158740	83158750	+	0.000	0.000	Merged-chr17-83158899-1
NR35744--MA0039.3.KLF4	chr4	107989142	107989152	-	0.000	0.000	Merged-chr4-107989218-22
NR21127--MA0493.1.Klf1	chr16	93552856	93552866	+	0.000	0.000	Merged-chr16-93552984-42
NR4949--MA1107.1.KLF9	chr10	78115182	78115194	-	0.000	0.000	Merged-chr10-78115092-14
NR39231--MA1107.1.KLF9	chr5	74132701	74132713	-	0.000	0.000	Merged-chr5-74132835-25
NR13098--MA0599.1.KLF5	chr13	15982598	15982607	+	0.000	0.000	Merged-chr13-15982553-21
NR36140--MA0742.1.Klf12	chr4	120287788	120287802	-	0.000	0.000	Merged-chr4-120287807-68
NR44955--MA0599.1.KLF5	chr6	144333112	144333121	+	0.000	0.000	Merged-chr6-144333219-22
