#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR4176--MA0495.2.MAFF	chr15	57906811	57906831	-	0.000	0.000	Merged-chr15-57906740-47
NR2556--MA0495.2.MAFF	chr12	76385221	76385241	+	0.000	0.000	Merged-chr12-76385327-16
NR4178--MA0659.1.MAFG	chr15	57906811	57906831	+	0.000	0.000	Merged-chr15-57906740-47
NR1011--MA0089.1.MAFG::NFE2L1	chr1	190899914	190899919	+	0.000	0.000	Merged-chr1-190900039-25
NR11640--MA0591.1.Bach1::Mafk	chr9	34996154	34996168	-	0.000	0.000	Merged-chr9-34996088-18
NR1641--MA0591.1.Bach1::Mafk	chr10	122194327	122194341	-	0.000	0.000	Merged-chr10-122194311-33
NR9805--MA0591.1.Bach1::Mafk	chr6	83479021	83479035	+	0.000	0.000	Merged-chr6-83478852-15
NR11584--MA0089.1.MAFG::NFE2L1	chr9	14548227	14548232	+	0.000	0.000	Merged-chr9-14548192-17
NR7819--MA0089.1.MAFG::NFE2L1	chr3	138746828	138746833	-	0.000	0.000	Merged-chr3-138746730-15
NR9664--MA0089.1.MAFG::NFE2L1	chr6	54216696	54216701	+	0.000	0.000	Merged-chr6-54216714-19
NR10466--MA0089.1.MAFG::NFE2L1	chr7	68250585	68250590	-	0.000	0.000	Merged-chr7-68250535-42
NR11391--MA0659.1.MAFG	chr8	111624157	111624177	+	0.000	0.000	Merged-chr8-111624206-14
NR4955--MA0496.2.MAFK	chr17	5303510	5303528	-	0.000	0.000	Merged-chr17-5303448-46
NR3082--MA0089.1.MAFG::NFE2L1	chr13	51397968	51397973	+	0.000	0.000	Merged-chr13-51398065-7
NR5077--MA0501.1.MAF::NFE2	chr17	30046927	30046941	-	0.000	0.000	Merged-chr17-30046882-17
NR27--MA0591.1.Bach1::Mafk	chr1	13752560	13752574	+	0.000	0.000	Merged-chr1-13752649-29
NR8755--MA0496.2.MAFK	chr5	20497214	20497232	-	0.000	0.000	Merged-chr5-20497047-10
NR3563--MA0117.2.Mafb	chr14	17414430	17414441	-	0.000	0.000	Merged-chr14-17414498-32
