#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR5225--MA0684.1.RUNX3	chr3	97055097	97055106	-	0.000	0.000	Merged-chr3-97055000-19
NR7584--MA0511.2.RUNX2	chr8	46420693	46420701	-	0.000	0.000	Merged-chr8-46420639-16
NR3397--MA0002.2.RUNX1	chr16	50555252	50555262	+	0.000	0.000	Merged-chr16-50555141-20
NR6501--MA0002.2.RUNX1	chr6	28878170	28878180	-	0.000	0.000	Merged-chr6-28878211-33
NR5945--MA0684.1.RUNX3	chr4	154936711	154936720	+	0.000	0.000	Merged-chr4-154936813-27
NR6461--MA0002.2.RUNX1	chr5	150259936	150259946	+	0.000	0.000	Merged-chr5-150259783-65
NR771--MA0684.1.RUNX3	chr10	54255394	54255403	-	0.000	0.000	Merged-chr10-54255218-57
NR2861--MA0684.1.RUNX3	chr15	25828625	25828634	-	0.000	0.000	Merged-chr15-25828667-44
NR6201--MA0002.2.RUNX1	chr5	96825134	96825144	-	0.000	0.000	Merged-chr5-96825060-50
NR2331--MA0002.2.RUNX1	chr13	89889237	89889247	-	0.000	0.000	Merged-chr13-89889254-28
NR2854--MA0002.2.RUNX1	chr15	18951817	18951827	+	0.000	0.000	Merged-chr15-18951851-25
NR776--MA0684.1.RUNX3	chr10	56486719	56486728	+	0.000	0.000	Merged-chr10-56486689-18
NR563--MA0511.2.RUNX2	chr1	190896288	190896296	-	0.000	0.000	Merged-chr1-190896359-15
NR8104--MA0002.2.RUNX1	chr9	77592576	77592586	+	0.000	0.000	Merged-chr9-77592652-18
NR171--MA0684.1.RUNX3	chr1	78537715	78537724	+	0.000	0.000	Merged-chr1-78537773-101
NR5288--MA0511.2.RUNX2	chr3	116200195	116200203	-	0.000	0.000	Merged-chr3-116200281-40
NR4701--MA0684.1.RUNX3	chr2	84582458	84582467	-	0.000	0.000	Merged-chr2-84582461-28
NR1429--MA0511.2.RUNX2	chr11	85324193	85324201	-	0.000	0.000	Merged-chr11-85324179-42
NR949--MA0684.1.RUNX3	chr10	89678046	89678055	+	0.000	0.000	Merged-chr10-89678215-34
NR1028--MA0511.2.RUNX2	chr10	111719833	111719841	+	0.000	0.000	Merged-chr10-111719810-23
NR5289--MA0684.1.RUNX3	chr3	116200194	116200203	-	0.000	0.000	Merged-chr3-116200281-40
NR2259--MA0002.2.RUNX1	chr13	59468173	59468183	-	0.000	0.000	Merged-chr13-59468165-25
NR3380--MA0002.2.RUNX1	chr16	48594584	48594594	-	0.000	0.000	Merged-chr16-48594719-53
NR3404--MA0002.2.RUNX1	chr16	52009652	52009662	+	0.000	0.000	Merged-chr16-52009656-17
NR8040--MA0684.1.RUNX3	chr9	61715134	61715143	-	0.000	0.000	Merged-chr9-61715160-12
NR5772--MA0002.2.RUNX1	chr4	130774664	130774674	+	0.000	0.000	Merged-chr4-130774769-43
NR445--MA0684.1.RUNX3	chr1	165075973	165075982	+	0.000	0.000	Merged-chr1-165075837-38
NR6200--MA0511.2.RUNX2	chr5	96825134	96825142	+	0.000	0.000	Merged-chr5-96825060-50
NR1431--MA0684.1.RUNX3	chr11	85324192	85324201	-	0.000	0.000	Merged-chr11-85324179-42
NR1030--MA0684.1.RUNX3	chr10	111719833	111719842	+	0.000	0.000	Merged-chr10-111719810-23
NR590--MA0002.2.RUNX1	chr1	193146437	193146447	-	0.000	0.000	Merged-chr1-193146532-29
NR2951--MA0002.2.RUNX1	chr15	57878434	57878444	-	0.000	0.000	Merged-chr15-57878528-32
NR5943--MA0511.2.RUNX2	chr4	154936711	154936719	+	0.000	0.000	Merged-chr4-154936813-27
NR5281--MA0002.2.RUNX1	chr3	115642817	115642827	+	0.000	0.000	Merged-chr3-115642696-110
NR7585--MA0002.2.RUNX1	chr8	46420691	46420701	+	0.000	0.000	Merged-chr8-46420639-16
NR7--MA0002.2.RUNX1	chr1	13752551	13752561	+	0.000	0.000	Merged-chr1-13752649-29
NR5257--MA0002.2.RUNX1	chr3	104678928	104678938	-	0.000	0.000	Merged-chr3-104679005-14
NR1757--MA0511.2.RUNX2	chr12	55466581	55466589	+	0.000	0.000	Merged-chr12-55466597-41
NR5683--MA0511.2.RUNX2	chr4	102968146	102968154	-	0.000	0.000	Merged-chr4-102968093-31
NR3403--MA0511.2.RUNX2	chr16	52009654	52009662	-	0.000	0.000	Merged-chr16-52009656-17
NR7538--MA0511.2.RUNX2	chr8	22544817	22544825	-	0.000	0.000	Merged-chr8-22544867-25
NR2702--MA0002.2.RUNX1	chr14	75444779	75444789	+	0.000	0.000	Merged-chr14-75444835-23
NR869--MA0002.2.RUNX1	chr10	75137383	75137393	+	0.000	0.000	Merged-chr10-75137301-35
NR564--MA0002.2.RUNX1	chr1	190896286	190896296	+	0.000	0.000	Merged-chr1-190896359-15
NR7398--MA0684.1.RUNX3	chr7	127922867	127922876	+	0.000	0.000	Merged-chr7-127922827-35
NR947--MA0511.2.RUNX2	chr10	89678046	89678054	+	0.000	0.000	Merged-chr10-89678215-34
NR936--MA0002.2.RUNX1	chr10	86795037	86795047	+	0.000	0.000	Merged-chr10-86794881-42
NR1027--MA0511.2.RUNX2	chr10	111562798	111562806	+	0.000	0.000	Merged-chr10-111562842-26
NR2114--MA0684.1.RUNX3	chr13	24866804	24866813	+	0.000	0.000	Merged-chr13-24866887-32
NR6202--MA0684.1.RUNX3	chr5	96825134	96825143	+	0.000	0.000	Merged-chr5-96825060-50
NR2859--MA0511.2.RUNX2	chr15	25828626	25828634	-	0.000	0.000	Merged-chr15-25828667-44
NR172--MA0511.2.RUNX2	chr1	78657916	78657924	-	0.000	0.000	Merged-chr1-78658063-75
NR443--MA0511.2.RUNX2	chr1	165075973	165075981	+	0.000	0.000	Merged-chr1-165075837-38
NR2332--MA0684.1.RUNX3	chr13	89889237	89889246	+	0.000	0.000	Merged-chr13-89889254-28
NR2855--MA0684.1.RUNX3	chr15	18951818	18951827	-	0.000	0.000	Merged-chr15-18951851-25
NR8170--MA0002.2.RUNX1	chr9	94607589	94607599	-	0.000	0.000	Merged-chr9-94607543-65
NR3379--MA0511.2.RUNX2	chr16	48594584	48594592	+	0.000	0.000	Merged-chr16-48594719-53
NR775--MA0511.2.RUNX2	chr10	56486719	56486727	+	0.000	0.000	Merged-chr10-56486689-18
NR169--MA0511.2.RUNX2	chr1	78537715	78537723	+	0.000	0.000	Merged-chr1-78537773-101
NR2276--MA0684.1.RUNX3	chr13	65070185	65070194	-	0.000	0.000	Merged-chr13-65070187-24
NR6466--MA0002.2.RUNX1	chr5	151247314	151247324	+	0.000	0.000	Merged-chr5-151247420-66
NR5224--MA0002.2.RUNX1	chr3	97055096	97055106	+	0.000	0.000	Merged-chr3-97055000-19
NR3491--MA0002.2.RUNX1	chr16	91413575	91413585	+	0.000	0.000	Merged-chr16-91413429-37
NR589--MA0511.2.RUNX2	chr1	193146437	193146445	+	0.000	0.000	Merged-chr1-193146532-29
NR3381--MA0684.1.RUNX3	chr16	48594584	48594593	+	0.000	0.000	Merged-chr16-48594719-53
NR5944--MA0002.2.RUNX1	chr4	154936711	154936721	-	0.000	0.000	Merged-chr4-154936813-27
NR3405--MA0684.1.RUNX3	chr16	52009653	52009662	-	0.000	0.000	Merged-chr16-52009656-17
NR2860--MA0002.2.RUNX1	chr15	25828624	25828634	+	0.000	0.000	Merged-chr15-25828667-44
NR4699--MA0511.2.RUNX2	chr2	84582459	84582467	-	0.000	0.000	Merged-chr2-84582461-28
NR1403--MA0511.2.RUNX2	chr11	80505309	80505317	+	0.000	0.000	Merged-chr11-80505144-23
NR5773--MA0684.1.RUNX3	chr4	130774665	130774674	-	0.000	0.000	Merged-chr4-130774769-43
NR8038--MA0511.2.RUNX2	chr9	61715135	61715143	-	0.000	0.000	Merged-chr9-61715160-12
NR7396--MA0511.2.RUNX2	chr7	127922867	127922875	+	0.000	0.000	Merged-chr7-127922827-35
NR591--MA0684.1.RUNX3	chr1	193146437	193146446	+	0.000	0.000	Merged-chr1-193146532-29
NR1404--MA0684.1.RUNX3	chr11	80505309	80505318	+	0.000	0.000	Merged-chr11-80505144-23
NR170--MA0002.2.RUNX1	chr1	78537715	78537725	-	0.000	0.000	Merged-chr1-78537773-101
NR7539--MA0002.2.RUNX1	chr8	22544815	22544825	+	0.000	0.000	Merged-chr8-22544867-25
NR4700--MA0002.2.RUNX1	chr2	84582457	84582467	+	0.000	0.000	Merged-chr2-84582461-28
NR935--MA0002.2.RUNX1	chr10	86794910	86794920	+	0.000	0.000	Merged-chr10-86794881-42
NR948--MA0002.2.RUNX1	chr10	89678046	89678056	-	0.000	0.000	Merged-chr10-89678215-34
NR2330--MA0511.2.RUNX2	chr13	89889237	89889245	+	0.000	0.000	Merged-chr13-89889254-28
NR2853--MA0511.2.RUNX2	chr15	18951819	18951827	-	0.000	0.000	Merged-chr15-18951851-25
