#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR46538--MA0493.1.Klf1	chr8	120701898	120701908	-	0.000	0.000	Merged-chr8-120702084-56
NR29513--MA0039.3.KLF4	chr3	84772128	84772138	-	0.000	0.000	Merged-chr3-84772067-31
NR27374--MA1107.1.KLF9	chr2	144188434	144188446	-	0.000	0.000	Merged-chr2-144188289-22
NR48077--MA1107.1.KLF9	chr9	66264950	66264962	-	0.000	0.000	Merged-chr9-66264955-10
NR25857--MA1107.1.KLF9	chr2	69381963	69381975	-	0.000	0.000	Merged-chr2-69381907-24
NR1286--MA0599.1.KLF5	chr1	105565263	105565272	+	0.000	0.000	Merged-chr1-105565114-33
NR38182--MA0599.1.KLF5	chr5	149583652	149583661	+	0.000	0.000	Merged-chr5-149583571-10
NR15603--MA0741.1.KLF16	chr15	36241633	36241643	-	0.000	0.000	Merged-chr15-36241584-11
NR16940--MA0599.1.KLF5	chr15	97391027	97391036	+	0.000	0.000	Merged-chr15-97391095-24
NR13755--MA0493.1.Klf1	chr14	25862038	25862048	-	0.000	0.000	Merged-chr14-25862098-51
NR41339--MA1107.1.KLF9	chr7	24369909	24369921	-	0.000	0.000	Merged-chr7-24370030-56
NR37725--MA0740.1.KLF14	chr5	139320726	139320739	-	0.000	0.000	Merged-chr5-139320705-5
NR43853--MA0657.1.KLF13	chr7	132729619	132729636	-	0.000	0.000	Merged-chr7-132729590-8
NR26177--MA1107.1.KLF9	chr2	79550513	79550525	-	0.000	0.000	Merged-chr2-79550583-34
NR43859--MA1107.1.KLF9	chr7	132729623	132729635	-	0.000	0.000	Merged-chr7-132729590-8
NR496--MA1107.1.KLF9	chr1	52578406	52578418	+	0.000	0.000	Merged-chr1-52578518-39
NR43960--MA0742.1.Klf12	chr7	139157792	139157806	-	0.000	0.000	Merged-chr7-139157777-16
NR11809--MA0599.1.KLF5	chr13	32868381	32868390	+	0.000	0.000	Merged-chr13-32868285-30
NR35435--MA0039.3.KLF4	chr5	54111081	54111091	+	0.000	0.000	Merged-chr5-54110931-21
NR44179--MA1107.1.KLF9	chr7	142354081	142354093	+	0.000	0.000	Merged-chr7-142354183-49
NR30371--MA1107.1.KLF9	chr3	108727625	108727637	-	0.000	0.000	Merged-chr3-108727524-22
NR27379--MA1107.1.KLF9	chr2	144188444	144188456	-	0.000	0.000	Merged-chr2-144188289-22
NR19892--MA0599.1.KLF5	chr17	32470744	32470753	-	0.000	0.000	Merged-chr17-32470948-41
NR20412--MA0039.3.KLF4	chr17	47598419	47598429	+	0.000	0.000	Merged-chr17-47598322-32
NR39383--MA1107.1.KLF9	chr6	87394988	87395000	+	0.000	0.000	Merged-chr6-87395104-19
NR46699--MA1107.1.KLF9	chr8	122712198	122712210	-	0.000	0.000	Merged-chr8-122712057-14
NR20700--MA0740.1.KLF14	chr17	56906566	56906579	-	0.000	0.000	Merged-chr17-56906416-18
NR11680--MA0741.1.KLF16	chr13	24467828	24467838	+	0.000	0.000	Merged-chr13-24467982-34
NR2927--MA0599.1.KLF5	chr1	191115208	191115217	+	0.000	0.000	Merged-chr1-191115212-7
NR29546--MA0493.1.Klf1	chr3	87266865	87266875	-	0.000	0.000	Merged-chr3-87266700-20
NR45936--MA1107.1.KLF9	chr8	95020747	95020759	+	0.000	0.000	Merged-chr8-95020727-36
NR31896--MA0493.1.Klf1	chr4	46643443	46643453	-	0.000	0.000	Merged-chr4-46643613-5
NR1836--MA1107.1.KLF9	chr1	143985133	143985145	-	0.000	0.000	Merged-chr1-143985220-17
NR26728--MA1107.1.KLF9	chr2	117443045	117443057	+	0.000	0.000	Merged-chr2-117442936-10
NR6488--MA0039.3.KLF4	chr11	46454761	46454771	-	0.000	0.000	Merged-chr11-46454823-30
NR47911--MA0599.1.KLF5	chr9	61377802	61377811	+	0.000	0.000	Merged-chr9-61377853-34
NR43542--MA0493.1.Klf1	chr7	123354674	123354684	+	0.000	0.000	Merged-chr7-123354508-1
NR35437--MA0741.1.KLF16	chr5	54111080	54111090	+	0.000	0.000	Merged-chr5-54110931-21
NR43964--MA0741.1.KLF16	chr7	139157795	139157805	-	0.000	0.000	Merged-chr7-139157777-16
NR38191--MA0493.1.Klf1	chr5	149647678	149647688	+	0.000	0.000	Merged-chr5-149647772-15
NR6633--MA0599.1.KLF5	chr11	52080221	52080230	-	0.000	0.000	Merged-chr11-52080171-5
NR43340--MA1107.1.KLF9	chr7	114356564	114356576	-	0.000	0.000	Merged-chr7-114356592-29
NR12479--MA0742.1.Klf12	chr13	63189526	63189540	-	0.000	0.000	Merged-chr13-63189715-33
NR291--MA0493.1.Klf1	chr1	37286806	37286816	-	0.000	0.000	Merged-chr1-37286924-34
NR50317--MA0599.1.KLF5	chrX	102032000	102032009	-	0.000	0.000	Merged-chrX-102031926-48
NR12481--MA0039.3.KLF4	chr13	63189528	63189538	-	0.000	0.000	Merged-chr13-63189715-33
NR34150--MA0741.1.KLF16	chr4	145177761	145177771	-	0.000	0.000	Merged-chr4-145177901-38
NR44174--MA0742.1.Klf12	chr7	142354081	142354095	+	0.000	0.000	Merged-chr7-142354183-49
NR37320--MA1107.1.KLF9	chr5	134494506	134494518	+	0.000	0.000	Merged-chr5-134494514-28
NR27094--MA0599.1.KLF5	chr2	128092269	128092278	+	0.000	0.000	Merged-chr2-128092262-29
NR46817--MA0599.1.KLF5	chr8	124085801	124085810	+	0.000	0.000	Merged-chr8-124085760-17
NR50321--MA0493.1.Klf1	chrX	102037222	102037232	-	0.000	0.000	Merged-chrX-102037181-28
NR47678--MA0493.1.Klf1	chr9	52070152	52070162	-	0.000	0.000	Merged-chr9-52070216-22
NR29342--MA0740.1.KLF14	chr3	68784301	68784314	-	0.000	0.000	Merged-chr3-68784168-43
NR2783--MA0740.1.KLF14	chr1	184013532	184013545	-	0.000	0.000	Merged-chr1-184013369-24
NR1890--MA1107.1.KLF9	chr1	151083936	151083948	-	0.000	0.000	Merged-chr1-151084034-24
NR10291--MA0740.1.KLF14	chr12	72809959	72809972	-	0.000	0.000	Merged-chr12-72809973-16
NR33544--MA0599.1.KLF5	chr4	134047937	134047946	+	0.000	0.000	Merged-chr4-134047792-28
NR18108--MA0741.1.KLF16	chr16	44763667	44763677	-	0.000	0.000	Merged-chr16-44763559-10
NR22799--MA0741.1.KLF16	chr18	82607558	82607568	+	0.000	0.000	Merged-chr18-82607647-23
NR50320--MA0039.3.KLF4	chrX	102037220	102037230	-	0.000	0.000	Merged-chrX-102037181-28
NR21231--MA0599.1.KLF5	chr17	84116731	84116740	+	0.000	0.000	Merged-chr17-84116630-65
NR15197--MA0493.1.Klf1	chr14	120313649	120313659	+	0.000	0.000	Merged-chr14-120313531-118
NR20701--MA0657.1.KLF13	chr17	56906563	56906580	-	0.000	0.000	Merged-chr17-56906416-18
NR1784--MA0599.1.KLF5	chr1	138252244	138252253	+	0.000	0.000	Merged-chr1-138252220-12
NR7195--MA0599.1.KLF5	chr11	68442602	68442611	-	0.000	0.000	Merged-chr11-68442579-25
NR25889--MA0039.3.KLF4	chr2	69917453	69917463	-	0.000	0.000	Merged-chr2-69917342-25
NR29358--MA1107.1.KLF9	chr3	68784323	68784335	-	0.000	0.000	Merged-chr3-68784168-43
NR4372--MA1107.1.KLF9	chr10	79692302	79692314	-	0.000	0.000	Merged-chr10-79692164-17
NR34304--MA0741.1.KLF16	chr4	149518126	149518136	-	0.000	0.000	Merged-chr4-149518177-56
NR1882--MA0493.1.Klf1	chr1	151083921	151083931	-	0.000	0.000	Merged-chr1-151084034-24
NR5044--MA0740.1.KLF14	chr10	98776527	98776540	-	0.000	0.000	Merged-chr10-98776574-38
NR21646--MA0039.3.KLF4	chr18	23828649	23828659	-	0.000	0.000	Merged-chr18-23828715-22
NR9911--MA1107.1.KLF9	chr12	40248849	40248861	+	0.000	0.000	Merged-chr12-40248857-57
NR32793--MA0039.3.KLF4	chr4	116806559	116806569	+	0.000	0.000	Merged-chr4-116806659-9
NR40304--MA1107.1.KLF9	chr6	127102943	127102955	+	0.000	0.000	Merged-chr6-127103000-20
NR20695--MA0039.3.KLF4	chr17	56905173	56905183	+	0.000	0.000	Merged-chr17-56905051-10
NR16939--MA0742.1.Klf12	chr15	97391026	97391040	+	0.000	0.000	Merged-chr15-97391095-24
NR34096--MA1107.1.KLF9	chr4	141917914	141917926	-	0.000	0.000	Merged-chr4-141918116-30
NR20901--MA0039.3.KLF4	chr17	71288395	71288405	+	0.000	0.000	Merged-chr17-71288308-17
NR43252--MA0493.1.Klf1	chr7	110956798	110956808	+	0.000	0.000	Merged-chr7-110956692-58
NR36040--MA0741.1.KLF16	chr5	92897987	92897997	-	0.000	0.000	Merged-chr5-92897961-19
NR23733--MA0493.1.Klf1	chr19	37333675	37333685	-	0.000	0.000	Merged-chr19-37333490-26
NR32137--MA0599.1.KLF5	chr4	62661444	62661453	+	0.000	0.000	Merged-chr4-62661511-68
NR33543--MA0039.3.KLF4	chr4	134041632	134041642	+	0.000	0.000	Merged-chr4-134041766-28
