#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR1284--MA0463.1.Bcl6	chr4	54527641	54527654	-	0.000	0.000	Merged-chr4-54527768-19
NR294--MA0463.1.Bcl6	chr11	22936719	22936732	-	0.000	0.000	Merged-chr11-22936648-30
NR621--MA0731.1.BCL6B	chr15	18951744	18951760	+	0.000	0.000	Merged-chr15-18951851-25
NR1590--MA0463.1.Bcl6	chr6	125467494	125467507	+	0.000	0.000	Merged-chr6-125467519-12
NR1591--MA0731.1.BCL6B	chr6	125467491	125467507	-	0.000	0.000	Merged-chr6-125467519-12
NR1271--MA0463.1.Bcl6	chr4	41295729	41295742	+	0.000	0.000	Merged-chr4-41295781-15
NR1500--MA0463.1.Bcl6	chr5	149203014	149203027	+	0.000	0.000	Merged-chr5-149203183-18
NR1779--MA0463.1.Bcl6	chr8	88668658	88668671	-	0.000	0.000	Merged-chr8-88668862-52
NR784--MA0463.1.Bcl6	chr17	33865564	33865577	-	0.000	0.000	Merged-chr17-33865585-36
NR78--MA0463.1.Bcl6	chr1	128772682	128772695	-	0.000	0.000	Merged-chr1-128772538-19
NR378--MA0463.1.Bcl6	chr11	114873360	114873373	-	0.000	0.000	Merged-chr11-114873395-35
NR1130--MA0731.1.BCL6B	chr2	179648965	179648981	+	0.000	0.000	Merged-chr2-179648980-59
NR1209--MA0731.1.BCL6B	chr3	126589539	126589555	-	0.000	0.000	Merged-chr3-126589665-27
NR79--MA0731.1.BCL6B	chr1	128772682	128772698	+	0.000	0.000	Merged-chr1-128772538-19
NR965--MA0731.1.BCL6B	chr2	22721845	22721861	-	0.000	0.000	Merged-chr2-22721936-56
NR1156--MA0463.1.Bcl6	chr3	68543285	68543298	-	0.000	0.000	Merged-chr3-68543251-15
NR1079--MA0731.1.BCL6B	chr2	132035688	132035704	+	0.000	0.000	Merged-chr2-132035691-29
NR1880--MA0731.1.BCL6B	chr9	77592562	77592578	+	0.000	0.000	Merged-chr9-77592652-18
NR1465--MA0463.1.Bcl6	chr5	121173027	121173040	-	0.000	0.000	Merged-chr5-121173124-16
NR1033--MA0731.1.BCL6B	chr2	90528282	90528298	+	0.000	0.000	Merged-chr2-90528384-23
NR964--MA0463.1.Bcl6	chr2	22721848	22721861	+	0.000	0.000	Merged-chr2-22721936-56
NR1578--MA0463.1.Bcl6	chr6	116682455	116682468	+	0.000	0.000	Merged-chr6-116682504-22
NR387--MA0463.1.Bcl6	chr12	8859314	8859327	+	0.000	0.000	Merged-chr12-8859142-27
NR1503--MA0463.1.Bcl6	chr5	150263011	150263024	+	0.000	0.000	Merged-chr5-150262822-29
NR1615--MA0463.1.Bcl6	chr6	143115346	143115359	-	0.000	0.000	Merged-chr6-143115547-2
NR1213--MA0463.1.Bcl6	chr3	129602473	129602486	-	0.000	0.000	Merged-chr3-129602465-51
NR1129--MA0463.1.Bcl6	chr2	179648965	179648978	-	0.000	0.000	Merged-chr2-179648980-59
