#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR41679--MA1107.1.KLF9	chr7	49246033	49246045	+	0.000	0.000	Merged-chr7-49246156-57
NR38630--MA0599.1.KLF5	chr6	71322742	71322751	+	0.000	0.000	Merged-chr6-71322825-41
NR17452--MA0493.1.Klf1	chr16	21204698	21204708	-	0.000	0.000	Merged-chr16-21204669-33
NR46372--MA1107.1.KLF9	chr8	126882106	126882118	-	0.000	0.000	Merged-chr8-126881934-28
NR28989--MA0741.1.KLF16	chr3	86915414	86915424	+	0.000	0.000	Merged-chr3-86915418-7
NR38620--MA1107.1.KLF9	chr6	71322676	71322688	+	0.000	0.000	Merged-chr6-71322825-41
NR10965--MA0493.1.Klf1	chr12	108275431	108275441	+	0.000	0.000	Merged-chr12-108275445-64
NR38625--MA1107.1.KLF9	chr6	71322686	71322698	+	0.000	0.000	Merged-chr6-71322825-41
NR41678--MA0741.1.KLF16	chr7	49246034	49246044	+	0.000	0.000	Merged-chr7-49246156-57
NR1323--MA0740.1.KLF14	chr1	111864953	111864966	-	0.000	0.000	Merged-chr1-111864716-124
NR17453--MA0741.1.KLF16	chr16	21204697	21204707	-	0.000	0.000	Merged-chr16-21204669-33
NR28865--MA0599.1.KLF5	chr3	81835918	81835927	-	0.000	0.000	Merged-chr3-81835793-30
NR10968--MA0740.1.KLF14	chr12	108275476	108275489	+	0.000	0.000	Merged-chr12-108275445-64
NR43434--MA0742.1.Klf12	chr7	136894410	136894424	-	0.000	0.000	Merged-chr7-136894538-85
NR20554--MA0741.1.KLF16	chr17	71118812	71118822	-	0.000	0.000	Merged-chr17-71118704-30
NR41418--MA0599.1.KLF5	chr7	39544414	39544423	+	0.000	0.000	Merged-chr7-39544508-62
NR41673--MA0740.1.KLF14	chr7	49246033	49246046	+	0.000	0.000	Merged-chr7-49246156-57
NR10969--MA0657.1.KLF13	chr12	108275475	108275492	+	0.000	0.000	Merged-chr12-108275445-64
NR28976--MA0740.1.KLF14	chr3	86915377	86915390	+	0.000	0.000	Merged-chr3-86915418-7
NR20546--MA0741.1.KLF16	chr17	70888108	70888118	+	0.000	0.000	Merged-chr17-70888088-40
NR10972--MA0599.1.KLF5	chr12	108275585	108275594	+	0.000	0.000	Merged-chr12-108275445-64
NR1905--MA0039.3.KLF4	chr1	151236860	151236870	+	0.000	0.000	Merged-chr1-151236737-36
NR41674--MA0657.1.KLF13	chr7	49246032	49246049	+	0.000	0.000	Merged-chr7-49246156-57
NR47098--MA0493.1.Klf1	chr9	51213713	51213723	+	0.000	0.000	Merged-chr9-51213844-69
NR17454--MA1107.1.KLF9	chr16	21204696	21204708	-	0.000	0.000	Merged-chr16-21204669-33
NR11816--MA0599.1.KLF5	chr13	41773944	41773953	-	0.000	0.000	Merged-chr13-41774048-23
NR25413--MA0493.1.Klf1	chr2	59053687	59053697	+	0.000	0.000	Merged-chr2-59053724-29
NR28988--MA0742.1.Klf12	chr3	86915422	86915436	+	0.000	0.000	Merged-chr3-86915418-7
NR43433--MA0740.1.KLF14	chr7	136894428	136894441	+	0.000	0.000	Merged-chr7-136894538-85
NR10967--MA1107.1.KLF9	chr12	108275431	108275443	+	0.000	0.000	Merged-chr12-108275445-64
NR38614--MA1107.1.KLF9	chr6	71322664	71322676	+	0.000	0.000	Merged-chr6-71322825-41
NR15764--MA0599.1.KLF5	chr15	74538494	74538503	-	0.000	0.000	Merged-chr15-74538442-18
NR35036--MA1107.1.KLF9	chr5	52618416	52618428	+	0.000	0.000	Merged-chr5-52618672-42
NR21910--MA0599.1.KLF5	chr18	60632874	60632883	-	0.000	0.000	Merged-chr18-60633052-25
NR15562--MA1107.1.KLF9	chr15	59618504	59618516	-	0.000	0.000	Merged-chr15-59618561-44
NR28987--MA0740.1.KLF14	chr3	86915422	86915435	+	0.000	0.000	Merged-chr3-86915418-7
NR34210--MA0657.1.KLF13	chr4	154942787	154942804	+	0.000	0.000	Merged-chr4-154942654-46
NR46308--MA0741.1.KLF16	chr8	125558863	125558873	+	0.000	0.000	Merged-chr8-125558804-33
NR46373--MA1107.1.KLF9	chr8	126882108	126882120	-	0.000	0.000	Merged-chr8-126881934-28
NR47097--MA0742.1.Klf12	chr9	51213713	51213727	+	0.000	0.000	Merged-chr9-51213844-69
NR38621--MA1107.1.KLF9	chr6	71322678	71322690	+	0.000	0.000	Merged-chr6-71322825-41
NR46369--MA1107.1.KLF9	chr8	126882100	126882112	-	0.000	0.000	Merged-chr8-126881934-28
NR37432--MA0741.1.KLF16	chr5	140871303	140871313	-	0.000	0.000	Merged-chr5-140871418-38
NR38626--MA1107.1.KLF9	chr6	71322688	71322700	+	0.000	0.000	Merged-chr6-71322825-41
NR38631--MA0493.1.Klf1	chr6	71322741	71322751	+	0.000	0.000	Merged-chr6-71322825-41
NR15763--MA0740.1.KLF14	chr15	74538491	74538504	-	0.000	0.000	Merged-chr15-74538442-18
NR10975--MA0741.1.KLF16	chr12	108275633	108275643	-	0.000	0.000	Merged-chr12-108275445-64
NR28991--MA0741.1.KLF16	chr3	86915462	86915472	-	0.000	0.000	Merged-chr3-86915418-7
NR28866--MA0599.1.KLF5	chr3	81835923	81835932	-	0.000	0.000	Merged-chr3-81835793-30
NR10963--MA0742.1.Klf12	chr12	108275431	108275445	+	0.000	0.000	Merged-chr12-108275445-64
NR17448--MA0740.1.KLF14	chr16	21204695	21204708	-	0.000	0.000	Merged-chr16-21204669-33
NR16626--MA0741.1.KLF16	chr15	89498796	89498806	+	0.000	0.000	Merged-chr15-89498857-24
NR34000--MA0599.1.KLF5	chr4	150087352	150087361	-	0.000	0.000	Merged-chr4-150087480-81
NR28983--MA0741.1.KLF16	chr3	86915369	86915379	+	0.000	0.000	Merged-chr3-86915418-7
NR34005--MA0599.1.KLF5	chr4	150087551	150087560	-	0.000	0.000	Merged-chr4-150087480-81
NR1906--MA1107.1.KLF9	chr1	151236858	151236870	+	0.000	0.000	Merged-chr1-151236737-36
NR17449--MA0657.1.KLF13	chr16	21204692	21204709	-	0.000	0.000	Merged-chr16-21204669-33
NR12678--MA0599.1.KLF5	chr13	94144784	94144793	-	0.000	0.000	Merged-chr13-94144726-31
NR21059--MA0599.1.KLF5	chr17	88379559	88379568	-	0.000	0.000	Merged-chr17-88379493-23
NR14540--MA0599.1.KLF5	chr14	78307981	78307990	+	0.000	0.000	Merged-chr14-78307953-14
NR41717--MA0741.1.KLF16	chr7	52005641	52005651	-	0.000	0.000	Merged-chr7-52005667-2
NR10962--MA0740.1.KLF14	chr12	108275431	108275444	+	0.000	0.000	Merged-chr12-108275445-64
NR46367--MA1107.1.KLF9	chr8	126882096	126882108	-	0.000	0.000	Merged-chr8-126881934-28
NR38615--MA1107.1.KLF9	chr6	71322666	71322678	+	0.000	0.000	Merged-chr6-71322825-41
NR35035--MA0741.1.KLF16	chr5	52618417	52618427	+	0.000	0.000	Merged-chr5-52618672-42
NR38633--MA1107.1.KLF9	chr6	71322774	71322786	+	0.000	0.000	Merged-chr6-71322825-41
NR34209--MA0740.1.KLF14	chr4	154942788	154942801	+	0.000	0.000	Merged-chr4-154942654-46
NR41720--MA0493.1.Klf1	chr7	52005846	52005856	+	0.000	0.000	Merged-chr7-52005667-2
NR15765--MA0493.1.Klf1	chr15	74538494	74538504	-	0.000	0.000	Merged-chr15-74538442-18
NR23687--MA0740.1.KLF14	chr19	44078470	44078483	+	0.000	0.000	Merged-chr19-44078434-18
NR11010--MA0741.1.KLF16	chr12	110381480	110381490	+	0.000	0.000	Merged-chr12-110381552-59
NR43437--MA0741.1.KLF16	chr7	136894429	136894439	+	0.000	0.000	Merged-chr7-136894538-85
NR15559--MA1107.1.KLF9	chr15	59618494	59618506	-	0.000	0.000	Merged-chr15-59618561-44
NR26161--MA0599.1.KLF5	chr2	102039502	102039511	-	0.000	0.000	Merged-chr2-102039537-38
NR21911--MA0493.1.Klf1	chr18	60632874	60632884	-	0.000	0.000	Merged-chr18-60633052-25
NR28975--MA0740.1.KLF14	chr3	86915368	86915381	+	0.000	0.000	Merged-chr3-86915418-7
NR28982--MA0742.1.Klf12	chr3	86915395	86915409	+	0.000	0.000	Merged-chr3-86915418-7
NR28986--MA0741.1.KLF16	chr3	86915396	86915406	+	0.000	0.000	Merged-chr3-86915418-7
NR8511--MA0741.1.KLF16	chr11	103808768	103808778	-	0.000	0.000	Merged-chr11-103808730-15
NR46307--MA0493.1.Klf1	chr8	125558862	125558872	+	0.000	0.000	Merged-chr8-125558804-33
NR46374--MA1107.1.KLF9	chr8	126882110	126882122	-	0.000	0.000	Merged-chr8-126881934-28
NR38622--MA1107.1.KLF9	chr6	71322680	71322692	+	0.000	0.000	Merged-chr6-71322825-41
NR10971--MA0741.1.KLF16	chr12	108275477	108275487	+	0.000	0.000	Merged-chr12-108275445-64
NR37434--MA1107.1.KLF9	chr5	140871300	140871312	-	0.000	0.000	Merged-chr5-140871418-38
NR38618--MA1107.1.KLF9	chr6	71322672	71322684	+	0.000	0.000	Merged-chr6-71322825-41
NR28979--MA0742.1.Klf12	chr3	86915368	86915382	+	0.000	0.000	Merged-chr3-86915418-7
NR41719--MA0599.1.KLF5	chr7	52005847	52005856	+	0.000	0.000	Merged-chr7-52005667-2
NR15767--MA1107.1.KLF9	chr15	74538492	74538504	-	0.000	0.000	Merged-chr15-74538442-18
NR34001--MA0741.1.KLF16	chr4	150087351	150087361	-	0.000	0.000	Merged-chr4-150087480-81
NR28867--MA0493.1.Klf1	chr3	81835918	81835928	-	0.000	0.000	Merged-chr3-81835793-30
NR28869--MA0740.1.KLF14	chr3	81835982	81835995	-	0.000	0.000	Merged-chr3-81835793-30
NR46309--MA1107.1.KLF9	chr8	125558862	125558874	+	0.000	0.000	Merged-chr8-125558804-33
NR35426--MA1107.1.KLF9	chr5	74476792	74476804	+	0.000	0.000	Merged-chr5-74476772-23
NR28978--MA0740.1.KLF14	chr3	86915395	86915408	+	0.000	0.000	Merged-chr3-86915418-7
NR10974--MA0599.1.KLF5	chr12	108275634	108275643	-	0.000	0.000	Merged-chr12-108275445-64
NR43435--MA0599.1.KLF5	chr7	136894429	136894438	+	0.000	0.000	Merged-chr7-136894538-85
NR12679--MA0493.1.Klf1	chr13	94144784	94144794	-	0.000	0.000	Merged-chr13-94144726-31
NR15761--MA0599.1.KLF5	chr15	74538476	74538485	-	0.000	0.000	Merged-chr15-74538442-18
NR35598--MA0599.1.KLF5	chr5	86783216	86783225	+	0.000	0.000	Merged-chr5-86783243-43
NR46368--MA1107.1.KLF9	chr8	126882098	126882110	-	0.000	0.000	Merged-chr8-126881934-28
NR37431--MA0741.1.KLF16	chr5	140871301	140871311	-	0.000	0.000	Merged-chr5-140871418-38
NR38616--MA1107.1.KLF9	chr6	71322668	71322680	+	0.000	0.000	Merged-chr6-71322825-41
NR10970--MA0742.1.Klf12	chr12	108275476	108275490	+	0.000	0.000	Merged-chr12-108275445-64
NR37429--MA0599.1.KLF5	chr5	140871298	140871307	-	0.000	0.000	Merged-chr5-140871418-38
NR28990--MA0741.1.KLF16	chr3	86915423	86915433	+	0.000	0.000	Merged-chr3-86915418-7
NR3503--MA0741.1.KLF16	chr10	34207261	34207271	-	0.000	0.000	Merged-chr10-34207023-88
