#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR36991--MA0493.1.Klf1	chr2	168741367	168741377	+	0.000	0.000	Merged-chr2-168741453-11
NR6931--MA1107.1.KLF9	chr10	81247994	81248006	+	0.000	0.000	Merged-chr10-81248090-40
NR24113--MA0741.1.KLF16	chr16	49959187	49959197	+	0.000	0.000	Merged-chr16-49959222-29
NR66224--MA0741.1.KLF16	chr9	115134878	115134888	+	0.000	0.000	Merged-chr9-115134877-14
NR23449--MA1107.1.KLF9	chr16	18452508	18452520	-	0.000	0.000	Merged-chr16-18452480-18
NR23556--MA0039.3.KLF4	chr16	23262266	23262276	+	0.000	0.000	Merged-chr16-23262371-32
NR11840--MA0599.1.KLF5	chr11	108975860	108975869	-	0.000	0.000	Merged-chr11-108975749-11
NR16930--MA1107.1.KLF9	chr13	95063708	95063720	-	0.000	0.000	Merged-chr13-95063599-48
NR65241--MA0599.1.KLF5	chr9	94607631	94607640	-	0.000	0.000	Merged-chr9-94607543-65
NR67373--MA0740.1.KLF14	chrX	104857285	104857298	+	0.000	0.000	Merged-chrX-104857124-25
NR60462--MA1107.1.KLF9	chr8	61563023	61563035	-	0.000	0.000	Merged-chr8-61562873-18
NR50791--MA0599.1.KLF5	chr5	150262888	150262897	+	0.000	0.000	Merged-chr5-150262822-29
NR54112--MA0599.1.KLF5	chr6	134148283	134148292	+	0.000	0.000	Merged-chr6-134148194-39
NR9325--MA0599.1.KLF5	chr11	32020367	32020376	-	0.000	0.000	Merged-chr11-32020422-50
NR63929--MA1107.1.KLF9	chr9	51162064	51162076	-	0.000	0.000	Merged-chr9-51161990-29
NR47999--MA0039.3.KLF4	chr5	100929922	100929932	+	0.000	0.000	Merged-chr5-100929891-31
NR7181--MA0599.1.KLF5	chr10	84440711	84440720	+	0.000	0.000	Merged-chr10-84440807-71
NR53390--MA0741.1.KLF16	chr6	116682512	116682522	-	0.000	0.000	Merged-chr6-116682504-22
NR39538--MA0741.1.KLF16	chr3	101884232	101884242	+	0.000	0.000	Merged-chr3-101884248-30
NR8137--MA0599.1.KLF5	chr10	118310793	118310802	+	0.000	0.000	Merged-chr10-118310957-20
NR37759--MA1107.1.KLF9	chr3	27458530	27458542	+	0.000	0.000	Merged-chr3-27458630-38
NR59539--MA0493.1.Klf1	chr8	8661278	8661288	+	0.000	0.000	Merged-chr8-8661451-105
NR67374--MA0657.1.KLF13	chrX	104857284	104857301	+	0.000	0.000	Merged-chrX-104857124-25
NR28676--MA0741.1.KLF16	chr18	35850027	35850037	+	0.000	0.000	Merged-chr18-35849928-52
NR64094--MA0599.1.KLF5	chr9	58112461	58112470	+	0.000	0.000	Merged-chr9-58112486-25
NR9160--MA0599.1.KLF5	chr11	22936586	22936595	+	0.000	0.000	Merged-chr11-22936648-30
NR43175--MA0741.1.KLF16	chr4	89137801	89137811	+	0.000	0.000	Merged-chr4-89137676-98
NR14465--MA1107.1.KLF9	chr12	107184632	107184644	+	0.000	0.000	Merged-chr12-107184537-40
NR41892--MA0599.1.KLF5	chr4	34551670	34551679	-	0.000	0.000	Merged-chr4-34551500-9
NR60091--MA0742.1.Klf12	chr8	36249342	36249356	-	0.000	0.000	Merged-chr8-36249558-6
NR29073--MA0599.1.KLF5	chr18	53801710	53801719	-	0.000	0.000	Merged-chr18-53801567-20
NR38096--MA0740.1.KLF14	chr3	41077797	41077810	+	0.000	0.000	Merged-chr3-41077638-22
NR51895--MA0493.1.Klf1	chr6	57449423	57449433	-	0.000	0.000	Merged-chr6-57449516-18
NR11664--MA0741.1.KLF16	chr11	103382152	103382162	+	0.000	0.000	Merged-chr11-103382133-47
NR47656--MA0741.1.KLF16	chr5	89882148	89882158	-	0.000	0.000	Merged-chr5-89882343-19
NR39866--MA0742.1.Klf12	chr3	109782666	109782680	-	0.000	0.000	Merged-chr3-109782603-31
NR57515--MA0741.1.KLF16	chr7	102347589	102347599	+	0.000	0.000	Merged-chr7-102347477-20
NR11839--MA0741.1.KLF16	chr11	108975742	108975752	-	0.000	0.000	Merged-chr11-108975749-11
NR12420--MA1107.1.KLF9	chr11	121100961	121100973	-	0.000	0.000	Merged-chr11-121100966-23
NR9061--MA1107.1.KLF9	chr11	20035542	20035554	-	0.000	0.000	Merged-chr11-20035595-25
NR47862--MA1107.1.KLF9	chr5	97090259	97090271	-	0.000	0.000	Merged-chr5-97090318-20
NR8871--MA1107.1.KLF9	chr11	6000759	6000771	+	0.000	0.000	Merged-chr11-6000952-1
NR436--MA0741.1.KLF16	chr1	36920566	36920576	+	0.000	0.000	Merged-chr1-36920402-81
NR31149--MA0039.3.KLF4	chr19	32523946	32523956	-	0.000	0.000	Merged-chr19-32523975-16
NR60098--MA0599.1.KLF5	chr8	36249397	36249406	-	0.000	0.000	Merged-chr8-36249558-6
NR15042--MA0599.1.KLF5	chr12	119238261	119238270	-	0.000	0.000	Merged-chr12-119238441-107
NR34732--MA0741.1.KLF16	chr2	103668280	103668290	-	0.000	0.000	Merged-chr2-103668249-32
NR49209--MA0039.3.KLF4	chr5	124961820	124961830	+	0.000	0.000	Merged-chr5-124961637-18
NR47998--MA0599.1.KLF5	chr5	100929921	100929930	+	0.000	0.000	Merged-chr5-100929891-31
NR36993--MA0740.1.KLF14	chr2	168741429	168741442	+	0.000	0.000	Merged-chr2-168741453-11
NR3301--MA0039.3.KLF4	chr1	156522400	156522410	-	0.000	0.000	Merged-chr1-156522298-40
NR50189--MA0599.1.KLF5	chr5	140944727	140944736	-	0.000	0.000	Merged-chr5-140944857-24
NR1368--MA1107.1.KLF9	chr1	83006289	83006301	+	0.000	0.000	Merged-chr1-83006483-46
NR30147--MA0741.1.KLF16	chr18	83993436	83993446	+	0.000	0.000	Merged-chr18-83993380-25
NR16486--MA0599.1.KLF5	chr13	73685715	73685724	+	0.000	0.000	Merged-chr13-73685774-26
NR50743--MA1107.1.KLF9	chr5	149427522	149427534	-	0.000	0.000	Merged-chr5-149427432-30
NR17544--MA0493.1.Klf1	chr13	112510867	112510877	-	0.000	0.000	Merged-chr13-112510922-24
NR18477--MA0740.1.KLF14	chr14	40956692	40956705	-	0.000	0.000	Merged-chr14-40956605-62
NR63931--MA1107.1.KLF9	chr9	51162068	51162080	-	0.000	0.000	Merged-chr9-51161990-29
NR67853--MA0599.1.KLF5	chrX	166329048	166329057	-	0.000	0.000	Merged-chrX-166329162-24
NR40489--MA1107.1.KLF9	chr3	132791414	132791426	+	0.000	0.000	Merged-chr3-132791387-40
NR6925--MA1107.1.KLF9	chr10	81247982	81247994	+	0.000	0.000	Merged-chr10-81248090-40
NR47997--MA0742.1.Klf12	chr5	100929920	100929934	+	0.000	0.000	Merged-chr5-100929891-31
NR23698--MA1107.1.KLF9	chr16	30722575	30722587	-	0.000	0.000	Merged-chr16-30722513-29
NR60090--MA0740.1.KLF14	chr8	36249343	36249356	-	0.000	0.000	Merged-chr8-36249558-6
NR32167--MA0741.1.KLF16	chr2	6622318	6622328	-	0.000	0.000	Merged-chr2-6622331-33
NR60461--MA0493.1.Klf1	chr8	61563025	61563035	-	0.000	0.000	Merged-chr8-61562873-18
NR12900--MA0039.3.KLF4	chr12	32999956	32999966	-	0.000	0.000	Merged-chr12-32999849-21
NR37757--MA1107.1.KLF9	chr3	27458526	27458538	+	0.000	0.000	Merged-chr3-27458630-38
NR47461--MA0493.1.Klf1	chr5	74704611	74704621	+	0.000	0.000	Merged-chr5-74704453-70
NR47381--MA0599.1.KLF5	chr5	73223255	73223264	-	0.000	0.000	Merged-chr5-73223278-33
NR53391--MA1107.1.KLF9	chr6	116682511	116682523	-	0.000	0.000	Merged-chr6-116682504-22
NR16929--MA1107.1.KLF9	chr13	95063704	95063716	-	0.000	0.000	Merged-chr13-95063599-48
NR27737--MA0599.1.KLF5	chr17	84032432	84032441	+	0.000	0.000	Merged-chr17-84032623-33
NR15989--MA0742.1.Klf12	chr13	52976726	52976740	+	0.000	0.000	Merged-chr13-52976718-35
NR15043--MA0741.1.KLF16	chr12	119238260	119238270	-	0.000	0.000	Merged-chr12-119238441-107
NR39464--MA0740.1.KLF14	chr3	100582912	100582925	-	0.000	0.000	Merged-chr3-100582913-18
NR14712--MA0741.1.KLF16	chr12	111668575	111668585	-	0.000	0.000	Merged-chr12-111668629-40
NR47859--MA0742.1.Klf12	chr5	97090257	97090271	-	0.000	0.000	Merged-chr5-97090318-20
NR21446--MA0741.1.KLF16	chr15	66286853	66286863	+	0.000	0.000	Merged-chr15-66286791-54
NR62490--MA0740.1.KLF14	chr8	121898548	121898561	+	0.000	0.000	Merged-chr8-121898554-47
NR21443--MA1107.1.KLF9	chr15	66286835	66286847	-	0.000	0.000	Merged-chr15-66286791-54
NR31148--MA0599.1.KLF5	chr19	32523948	32523957	-	0.000	0.000	Merged-chr19-32523975-16
NR64091--MA1107.1.KLF9	chr9	58112343	58112355	-	0.000	0.000	Merged-chr9-58112486-25
NR49208--MA0599.1.KLF5	chr5	124961819	124961828	+	0.000	0.000	Merged-chr5-124961637-18
NR35497--MA0039.3.KLF4	chr2	129066504	129066514	-	0.000	0.000	Merged-chr2-129066611-1
NR31884--MA0741.1.KLF16	chr19	57430073	57430083	-	0.000	0.000	Merged-chr19-57430178-33
NR35601--MA0493.1.Klf1	chr2	132040167	132040177	-	0.000	0.000	Merged-chr2-132040154-56
NR53381--MA0742.1.Klf12	chr6	116682492	116682506	-	0.000	0.000	Merged-chr6-116682504-22
NR14459--MA1107.1.KLF9	chr12	107184620	107184632	+	0.000	0.000	Merged-chr12-107184537-40
NR62131--MA1107.1.KLF9	chr8	114506094	114506106	-	0.000	0.000	Merged-chr8-114506190-31
NR3300--MA0599.1.KLF5	chr1	156522402	156522411	-	0.000	0.000	Merged-chr1-156522298-40
NR58968--MA0599.1.KLF5	chr7	136164719	136164728	+	0.000	0.000	Merged-chr7-136164647-23
NR53385--MA0741.1.KLF16	chr6	116682495	116682505	-	0.000	0.000	Merged-chr6-116682504-22
NR14711--MA0599.1.KLF5	chr12	111668576	111668585	-	0.000	0.000	Merged-chr12-111668629-40
NR3191--MA0039.3.KLF4	chr1	153723754	153723764	+	0.000	0.000	Merged-chr1-153723564-53
NR29356--MA0741.1.KLF16	chr18	62267377	62267387	-	0.000	0.000	Merged-chr18-62267467-16
NR1361--MA1107.1.KLF9	chr1	83006275	83006287	+	0.000	0.000	Merged-chr1-83006483-46
NR7182--MA0741.1.KLF16	chr10	84440711	84440721	+	0.000	0.000	Merged-chr10-84440807-71
NR47861--MA0493.1.Klf1	chr5	97090261	97090271	-	0.000	0.000	Merged-chr5-97090318-20
NR25181--MA0741.1.KLF16	chr17	5138646	5138656	-	0.000	0.000	Merged-chr17-5138884-51
NR45485--MA0599.1.KLF5	chr4	149282622	149282631	+	0.000	0.000	Merged-chr4-149282639-35
NR47860--MA0039.3.KLF4	chr5	97090259	97090269	-	0.000	0.000	Merged-chr5-97090318-20
NR38097--MA0741.1.KLF16	chr3	41077798	41077808	+	0.000	0.000	Merged-chr3-41077638-22
NR45587--MA0742.1.Klf12	chr4	150518992	150519006	+	0.000	0.000	Merged-chr4-150519164-27
NR6924--MA0599.1.KLF5	chr10	81247938	81247947	+	0.000	0.000	Merged-chr10-81248090-40
NR62818--MA0742.1.Klf12	chr8	126721840	126721854	-	0.000	0.000	Merged-chr8-126721826-22
NR8024--MA0657.1.KLF13	chr10	116913906	116913923	+	0.000	0.000	Merged-chr10-116914032-56
NR16923--MA0599.1.KLF5	chr13	95063723	95063732	-	0.000	0.000	Merged-chr13-95063599-48
NR6932--MA1107.1.KLF9	chr10	81247996	81248008	+	0.000	0.000	Merged-chr10-81248090-40
NR65243--MA0741.1.KLF16	chr9	94607630	94607640	-	0.000	0.000	Merged-chr9-94607543-65
NR53627--MA0741.1.KLF16	chr6	121017556	121017566	-	0.000	0.000	Merged-chr6-121017523-33
NR50742--MA0493.1.Klf1	chr5	149427524	149427534	-	0.000	0.000	Merged-chr5-149427432-30
NR47457--MA0740.1.KLF14	chr5	74704611	74704624	+	0.000	0.000	Merged-chr5-74704453-70
NR9321--MA0599.1.KLF5	chr11	32020327	32020336	-	0.000	0.000	Merged-chr11-32020422-50
NR40488--MA0493.1.Klf1	chr3	132791414	132791424	+	0.000	0.000	Merged-chr3-132791387-40
NR16931--MA1107.1.KLF9	chr13	95063710	95063722	-	0.000	0.000	Merged-chr13-95063599-48
NR6423--MA0740.1.KLF14	chr10	75137295	75137308	+	0.000	0.000	Merged-chr10-75137301-35
NR60174--MA0742.1.Klf12	chr8	45934965	45934979	-	0.000	0.000	Merged-chr8-45934835-41
NR31350--MA1107.1.KLF9	chr19	41031259	41031271	-	0.000	0.000	Merged-chr19-41031181-46
NR47463--MA1107.1.KLF9	chr5	74704611	74704623	+	0.000	0.000	Merged-chr5-74704453-70
NR52742--MA0742.1.Klf12	chr6	91698957	91698971	+	0.000	0.000	Merged-chr6-91699017-27
NR67995--MA0599.1.KLF5	chrY	90799070	90799079	-	0.000	0.000	Merged-chrY-90799205-23
NR60458--MA0742.1.Klf12	chr8	61563021	61563035	-	0.000	0.000	Merged-chr8-61562873-18
NR56731--MA0493.1.Klf1	chr7	74296314	74296324	+	0.000	0.000	Merged-chr7-74296401-18
NR54121--MA1107.1.KLF9	chr6	134184204	134184216	+	0.000	0.000	Merged-chr6-134184108-53
NR16926--MA0741.1.KLF16	chr13	95063705	95063715	-	0.000	0.000	Merged-chr13-95063599-48
NR47458--MA0657.1.KLF13	chr5	74704610	74704627	+	0.000	0.000	Merged-chr5-74704453-70
NR13769--MA0740.1.KLF14	chr12	82166461	82166474	-	0.000	0.000	Merged-chr12-82166286-58
NR16918--MA0039.3.KLF4	chr13	94956012	94956022	-	0.000	0.000	Merged-chr13-94955952-16
NR57035--MA0741.1.KLF16	chr7	84149144	84149154	-	0.000	0.000	Merged-chr7-84149073-24
NR25178--MA0741.1.KLF16	chr17	5138643	5138653	-	0.000	0.000	Merged-chr17-5138884-51
NR3190--MA0599.1.KLF5	chr1	153723753	153723762	+	0.000	0.000	Merged-chr1-153723564-53
NR58984--MA0741.1.KLF16	chr7	136894533	136894543	+	0.000	0.000	Merged-chr7-136894538-85
NR51344--MA0740.1.KLF14	chr6	37399079	37399092	+	0.000	0.000	Merged-chr6-37399175-29
NR21447--MA0599.1.KLF5	chr15	66286892	66286901	+	0.000	0.000	Merged-chr15-66286791-54
NR46922--MA0740.1.KLF14	chr5	51552660	51552673	+	0.000	0.000	Merged-chr5-51552540-96
NR62581--MA1107.1.KLF9	chr8	122769450	122769462	-	0.000	0.000	Merged-chr8-122769435-21
NR40897--MA0599.1.KLF5	chr3	144231960	144231969	+	0.000	0.000	Merged-chr3-144232172-58
NR50787--MA0039.3.KLF4	chr5	150259562	150259572	+	0.000	0.000	Merged-chr5-150259783-65
NR14466--MA1107.1.KLF9	chr12	107184634	107184646	+	0.000	0.000	Merged-chr12-107184537-40
NR54113--MA0741.1.KLF16	chr6	134148276	134148286	+	0.000	0.000	Merged-chr6-134148194-39
NR8039--MA1107.1.KLF9	chr10	117118448	117118460	-	0.000	0.000	Merged-chr10-117118585-40
NR54636--MA0741.1.KLF16	chr6	145469421	145469431	-	0.000	0.000	Merged-chr6-145469437-17
NR8273--MA0740.1.KLF14	chr10	121300785	121300798	+	0.000	0.000	Merged-chr10-121300859-24
NR57517--MA1107.1.KLF9	chr7	102347588	102347600	+	0.000	0.000	Merged-chr7-102347477-20
NR15691--MA0493.1.Klf1	chr13	41774082	41774092	+	0.000	0.000	Merged-chr13-41774048-23
NR64179--MA0039.3.KLF4	chr9	61779442	61779452	-	0.000	0.000	Merged-chr9-61779248-32
NR25176--MA0599.1.KLF5	chr17	5138638	5138647	-	0.000	0.000	Merged-chr17-5138884-51
NR53628--MA1107.1.KLF9	chr6	121017555	121017567	-	0.000	0.000	Merged-chr6-121017523-33
NR52741--MA0740.1.KLF14	chr6	91698957	91698970	+	0.000	0.000	Merged-chr6-91699017-27
NR50790--MA0740.1.KLF14	chr5	150262887	150262900	+	0.000	0.000	Merged-chr5-150262822-29
NR41893--MA0493.1.Klf1	chr4	34551670	34551680	-	0.000	0.000	Merged-chr4-34551500-9
NR29075--MA0741.1.KLF16	chr18	53801709	53801719	-	0.000	0.000	Merged-chr18-53801567-20
NR29074--MA0493.1.Klf1	chr18	53801710	53801720	-	0.000	0.000	Merged-chr18-53801567-20
NR22219--MA1107.1.KLF9	chr15	85233151	85233163	+	0.000	0.000	Merged-chr15-85233310-62
