#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR1449--MA1104.1.GATA6	chr12	82187422	82187434	-	0.000	0.000	Merged-chr12-82187311-20
NR3458--MA0036.3.GATA2	chr2	80324387	80324397	+	0.000	0.000	Merged-chr2-80324472-29
NR3264--MA0482.1.Gata4	chr19	57430289	57430299	-	0.000	0.000	Merged-chr19-57430178-33
NR997--MA0036.3.GATA2	chr11	22936749	22936759	-	0.000	0.000	Merged-chr11-22936648-30
NR6086--MA0037.3.GATA3	chr9	5311522	5311529	-	0.000	0.000	Merged-chr9-5311572-34
NR4603--MA0035.3.Gata1	chr5	20792370	20792380	-	0.000	0.000	Merged-chr5-20792282-29
NR4349--MA0140.2.GATA1::TAL1	chr4	86725373	86725390	+	0.000	0.000	Merged-chr4-86725378-12
NR3849--MA1104.1.GATA6	chr3	28318055	28318067	-	0.000	0.000	Merged-chr3-28318064-9
NR6110--MA0482.1.Gata4	chr9	15533921	15533931	+	0.000	0.000	Merged-chr9-15533893-20
NR1484--MA1104.1.GATA6	chr12	90590814	90590826	-	0.000	0.000	Merged-chr12-90590731-11
NR6113--MA0035.3.Gata1	chr9	15533920	15533930	+	0.000	0.000	Merged-chr9-15533893-20
NR2432--MA1104.1.GATA6	chr16	30678786	30678798	-	0.000	0.000	Merged-chr16-30678945-44
NR6545--MA0766.1.GATA5	chrX	166329313	166329320	-	0.000	0.000	Merged-chrX-166329162-24
NR5329--MA0140.2.GATA1::TAL1	chr6	146909428	146909445	-	0.000	0.000	Merged-chr6-146909380-33
NR3871--MA0037.3.GATA3	chr3	37738511	37738518	+	0.000	0.000	Merged-chr3-37738517-40
NR5276--MA0482.1.Gata4	chr6	134716189	134716199	+	0.000	0.000	Merged-chr6-134716268-39
NR4345--MA0036.3.GATA2	chr4	86725371	86725381	+	0.000	0.000	Merged-chr4-86725378-12
NR1660--MA0037.3.GATA3	chr13	41683054	41683061	-	0.000	0.000	Merged-chr13-41683049-20
NR5447--MA0037.3.GATA3	chr7	56083272	56083279	-	0.000	0.000	Merged-chr7-56083151-9
NR6111--MA1104.1.GATA6	chr9	15533919	15533931	-	0.000	0.000	Merged-chr9-15533893-20
NR4836--MA0766.1.GATA5	chr5	122232124	122232131	+	0.000	0.000	Merged-chr5-122232202-28
NR3900--MA0482.1.Gata4	chr3	55115681	55115691	+	0.000	0.000	Merged-chr3-55115739-6
NR4818--MA0036.3.GATA2	chr5	114505393	114505403	+	0.000	0.000	Merged-chr5-114505492-44
NR2325--MA0482.1.Gata4	chr15	94235270	94235280	-	0.000	0.000	Merged-chr15-94235397-15
NR4038--MA0140.2.GATA1::TAL1	chr3	116200222	116200239	-	0.000	0.000	Merged-chr3-116200281-40
NR2434--MA0482.1.Gata4	chr16	32645538	32645548	+	0.000	0.000	Merged-chr16-32645495-50
NR1482--MA0037.3.GATA3	chr12	90590816	90590823	-	0.000	0.000	Merged-chr12-90590731-11
NR1450--MA0036.3.GATA2	chr12	82187423	82187433	+	0.000	0.000	Merged-chr12-82187311-20
NR4467--MA0482.1.Gata4	chr4	126813243	126813253	-	0.000	0.000	Merged-chr4-126813400-21
NR4348--MA0035.3.Gata1	chr4	86725381	86725391	-	0.000	0.000	Merged-chr4-86725378-12
NR3850--MA0036.3.GATA2	chr3	28318056	28318066	+	0.000	0.000	Merged-chr3-28318064-9
NR3901--MA1104.1.GATA6	chr3	55115679	55115691	-	0.000	0.000	Merged-chr3-55115739-6
NR725--MA1104.1.GATA6	chr10	59958196	59958208	-	0.000	0.000	Merged-chr10-59958273-13
NR4542--MA0482.1.Gata4	chr4	150517582	150517592	+	0.000	0.000	Merged-chr4-150517532-35
NR1665--MA0035.3.Gata1	chr13	41683053	41683063	+	0.000	0.000	Merged-chr13-41683049-20
NR2435--MA1104.1.GATA6	chr16	32645536	32645548	-	0.000	0.000	Merged-chr16-32645495-50
NR5812--MA1104.1.GATA6	chr8	34173340	34173352	-	0.000	0.000	Merged-chr8-34173383-21
NR1444--MA0766.1.GATA5	chr12	75494881	75494888	+	0.000	0.000	Merged-chr12-75494766-18
NR1461--MA0035.3.Gata1	chr12	83929662	83929672	-	0.000	0.000	Merged-chr12-83929616-29
NR4835--MA0037.3.GATA3	chr5	122232124	122232131	+	0.000	0.000	Merged-chr5-122232202-28
NR4468--MA1104.1.GATA6	chr4	126813243	126813255	+	0.000	0.000	Merged-chr4-126813400-21
NR4400--MA0037.3.GATA3	chr4	102908092	102908099	-	0.000	0.000	Merged-chr4-102908208-33
NR6089--MA0036.3.GATA2	chr9	5311521	5311531	+	0.000	0.000	Merged-chr9-5311572-34
NR5450--MA0766.1.GATA5	chr7	56083272	56083279	-	0.000	0.000	Merged-chr7-56083151-9
NR2009--MA0140.2.GATA1::TAL1	chr14	61758887	61758904	-	0.000	0.000	Merged-chr14-61758817-7
