#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR1649--MA0508.2.PRDM1	chr3	133320093	133320102	+	0.000	0.000	Merged-chr3-133320044-21
NR1105--MA0508.2.PRDM1	chr17	45703389	45703398	-	0.000	0.000	Merged-chr17-45703436-19
NR162--MA0508.2.PRDM1	chr1	156574201	156574210	+	0.000	0.000	Merged-chr1-156574252-14
NR1567--MA0508.2.PRDM1	chr3	79177284	79177293	+	0.000	0.000	Merged-chr3-79177375-21
NR2340--MA0508.2.PRDM1	chr7	140983181	140983190	+	0.000	0.000	Merged-chr7-140983161-18
NR417--MA0508.2.PRDM1	chr11	64116634	64116643	+	0.000	0.000	Merged-chr11-64116814-48
NR160--MA0508.2.PRDM1	chr1	156206230	156206239	+	0.000	0.000	Merged-chr1-156206326-26
NR431--MA0508.2.PRDM1	chr11	71230780	71230789	+	0.000	0.000	Merged-chr11-71230864-28
NR436--MA0508.2.PRDM1	chr11	72946478	72946487	-	0.000	0.000	Merged-chr11-72946553-29
NR178--MA0508.2.PRDM1	chr1	170972816	170972825	-	0.000	0.000	Merged-chr1-170972744-20
NR2247--MA0508.2.PRDM1	chr7	74684134	74684143	-	0.000	0.000	Merged-chr7-74684112-21
NR2499--MA0508.2.PRDM1	chr9	53773766	53773775	+	0.000	0.000	Merged-chr9-53773717-9
NR1916--MA0508.2.PRDM1	chr5	62610120	62610129	+	0.000	0.000	Merged-chr5-62610074-16
NR497--MA0508.2.PRDM1	chr11	121039431	121039440	-	0.000	0.000	Merged-chr11-121039238-62
NR2173--MA0508.2.PRDM1	chr6	142848508	142848517	+	0.000	0.000	Merged-chr6-142848344-28
NR237--MA0508.2.PRDM1	chr10	21354033	21354042	+	0.000	0.000	Merged-chr10-21353968-32
NR1855--MA0508.2.PRDM1	chr5	10245938	10245947	-	0.000	0.000	Merged-chr5-10245943-14
NR2327--MA0508.2.PRDM1	chr7	132748819	132748828	+	0.000	0.000	Merged-chr7-132748920-16
NR1943--MA0508.2.PRDM1	chr5	92327576	92327585	-	0.000	0.000	Merged-chr5-92327493-24
NR992--MA0508.2.PRDM1	chr16	33687788	33687797	-	0.000	0.000	Merged-chr16-33687969-54
NR1882--MA0508.2.PRDM1	chr5	30245099	30245108	-	0.000	0.000	Merged-chr5-30245304-12
NR43--MA0508.2.PRDM1	chr1	64949562	64949571	-	0.000	0.000	Merged-chr1-64949525-32
NR1364--MA0508.2.PRDM1	chr2	60080213	60080222	+	0.000	0.000	Merged-chr2-60080152-7
NR1473--MA0508.2.PRDM1	chr2	144188137	144188146	+	0.000	0.000	Merged-chr2-144188289-22
NR1744--MA0508.2.PRDM1	chr4	63640044	63640053	+	0.000	0.000	Merged-chr4-63640034-20
NR1343--MA0508.2.PRDM1	chr2	48328422	48328431	+	0.000	0.000	Merged-chr2-48328415-44
NR1452--MA0508.2.PRDM1	chr2	129186471	129186480	-	0.000	0.000	Merged-chr2-129186538-4
NR942--MA0508.2.PRDM1	chr15	77123098	77123107	-	0.000	0.000	Merged-chr15-77123073-12
NR432--MA0508.2.PRDM1	chr11	71230842	71230851	-	0.000	0.000	Merged-chr11-71230864-28
NR684--MA0508.2.PRDM1	chr13	60839605	60839614	-	0.000	0.000	Merged-chr13-60839603-42
NR2400--MA0508.2.PRDM1	chr8	75082672	75082681	+	0.000	0.000	Merged-chr8-75082480-28
NR1675--MA0508.2.PRDM1	chr3	149410713	149410722	-	0.000	0.000	Merged-chr3-149410577-18
NR2352--MA0508.2.PRDM1	chr8	13599070	13599079	+	0.000	0.000	Merged-chr8-13599016-7
NR2222--MA0508.2.PRDM1	chr7	48795341	48795350	+	0.000	0.000	Merged-chr7-48795353-37
NR1014--MA0508.2.PRDM1	chr16	50298942	50298951	+	0.000	0.000	Merged-chr16-50299012-15
NR1375--MA0508.2.PRDM1	chr2	69415311	69415320	-	0.000	0.000	Merged-chr2-69415236-25
NR1801--MA0508.2.PRDM1	chr4	116678151	116678160	+	0.000	0.000	Merged-chr4-116678042-15
NR2267--MA0508.2.PRDM1	chr7	90074607	90074616	-	0.000	0.000	Merged-chr7-90074700-23
NR169--MA0508.2.PRDM1	chr1	162565381	162565390	+	0.000	0.000	Merged-chr1-162565187-22
NR897--MA0508.2.PRDM1	chr15	12606546	12606555	+	0.000	0.000	Merged-chr15-12606518-21
NR353--MA0508.2.PRDM1	chr10	122717888	122717897	-	0.000	0.000	Merged-chr10-122717958-55
NR366--MA0508.2.PRDM1	chr10	130322868	130322877	-	0.000	0.000	Merged-chr10-130322822-49
NR475--MA0508.2.PRDM1	chr11	99131606	99131615	+	0.000	0.000	Merged-chr11-99131567-85
NR196--MA0508.2.PRDM1	chr1	181148788	181148797	+	0.000	0.000	Merged-chr1-181148659-6
NR698--MA0508.2.PRDM1	chr13	76128738	76128747	+	0.000	0.000	Merged-chr13-76128854-26
NR2387--MA0508.2.PRDM1	chr8	57417000	57417009	-	0.000	0.000	Merged-chr8-57416909-32
NR1350--MA0508.2.PRDM1	chr2	53051310	53051319	+	0.000	0.000	Merged-chr2-53051556-37
NR1376--MA0508.2.PRDM1	chr2	71866729	71866738	-	0.000	0.000	Merged-chr2-71866752-47
NR1408--MA0508.2.PRDM1	chr2	102812965	102812974	+	0.000	0.000	Merged-chr2-102812992-26
NR1769--MA0508.2.PRDM1	chr4	88692666	88692675	+	0.000	0.000	Merged-chr4-88692699-24
NR1878--MA0508.2.PRDM1	chr5	28269860	28269869	-	0.000	0.000	Merged-chr5-28269924-54
NR702--MA0508.2.PRDM1	chr13	81675480	81675489	-	0.000	0.000	Merged-chr13-81675595-44
NR1987--MA0508.2.PRDM1	chr5	124873115	124873124	+	0.000	0.000	Merged-chr5-124873220-16
NR2079--MA0508.2.PRDM1	chr6	83053826	83053835	-	0.000	0.000	Merged-chr6-83053784-8
NR893--MA0508.2.PRDM1	chr14	122290592	122290601	-	0.000	0.000	Merged-chr14-122290582-19
NR2460--MA0508.2.PRDM1	chr8	128572311	128572320	+	0.000	0.000	Merged-chr8-128572314-34
NR1937--MA0508.2.PRDM1	chr5	77367902	77367911	+	0.000	0.000	Merged-chr5-77367800-15
NR354--MA0508.2.PRDM1	chr10	122717992	122718001	-	0.000	0.000	Merged-chr10-122717958-55
NR843--MA0508.2.PRDM1	chr14	72778183	72778192	+	0.000	0.000	Merged-chr14-72778135-45
NR856--MA0508.2.PRDM1	chr14	78749577	78749586	+	0.000	0.000	Merged-chr14-78749515-13
NR1379--MA0508.2.PRDM1	chr2	75685510	75685519	-	0.000	0.000	Merged-chr2-75685689-38
NR931--MA0508.2.PRDM1	chr15	64173603	64173612	+	0.000	0.000	Merged-chr15-64173635-34
NR1249--MA0508.2.PRDM1	chr19	18591303	18591312	-	0.000	0.000	Merged-chr19-18591291-34
NR665--MA0508.2.PRDM1	chr13	36369657	36369666	+	0.000	0.000	Merged-chr13-36369600-5
NR2375--MA0508.2.PRDM1	chr8	36082795	36082804	+	0.000	0.000	Merged-chr8-36082616-47
NR644--MA0508.2.PRDM1	chr13	19219698	19219707	+	0.000	0.000	Merged-chr13-19219739-41
NR482--MA0508.2.PRDM1	chr11	104667628	104667637	-	0.000	0.000	Merged-chr11-104667644-45
NR657--MA0508.2.PRDM1	chr13	30814741	30814750	-	0.000	0.000	Merged-chr13-30814551-15
NR418--MA0508.2.PRDM1	chr11	64116865	64116874	-	0.000	0.000	Merged-chr11-64116814-48
NR474--MA0508.2.PRDM1	chr11	99099150	99099159	-	0.000	0.000	Merged-chr11-99099093-22
NR1159--MA0508.2.PRDM1	chr18	4252384	4252393	+	0.000	0.000	Merged-chr18-4252397-15
NR2280--MA0508.2.PRDM1	chr7	98108972	98108981	+	0.000	0.000	Merged-chr7-98109106-60
NR453--MA0508.2.PRDM1	chr11	85541545	85541554	+	0.000	0.000	Merged-chr11-85541666-11
NR2304--MA0508.2.PRDM1	chr7	115495233	115495242	+	0.000	0.000	Merged-chr7-115495056-66
NR2394--MA0508.2.PRDM1	chr8	68218585	68218594	-	0.000	0.000	Merged-chr8-68218689-19
NR1540--MA0508.2.PRDM1	chr3	52458862	52458871	-	0.000	0.000	Merged-chr3-52458640-68
NR1920--MA0508.2.PRDM1	chr5	64488158	64488167	+	0.000	0.000	Merged-chr5-64487990-63
