#Name (cmd = mergePeaks -d 200 -cobound 1 Prdm1KO_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR2810--MA0740.1.KLF14	chr1	165609692	165609705	+	0.000	0.000	Merged-chr1-165609765-26
NR2814--MA1107.1.KLF9	chr1	165609692	165609704	+	0.000	0.000	Merged-chr1-165609765-26
NR54359--MA0599.1.KLF5	chr8	124265927	124265936	-	0.000	0.000	Merged-chr8-124265993-45
NR2813--MA0741.1.KLF16	chr1	165609693	165609703	+	0.000	0.000	Merged-chr1-165609765-26
NR12832--MA0493.1.Klf1	chr12	99572401	99572411	-	0.000	0.000	Merged-chr12-99572243-31
NR10022--MA0599.1.KLF5	chr11	98972469	98972478	-	0.000	0.000	Merged-chr11-98972338-11
NR12829--MA0740.1.KLF14	chr12	99572398	99572411	-	0.000	0.000	Merged-chr12-99572243-31
NR12834--MA1107.1.KLF9	chr12	99572399	99572411	-	0.000	0.000	Merged-chr12-99572243-31
NR12833--MA0741.1.KLF16	chr12	99572400	99572410	-	0.000	0.000	Merged-chr12-99572243-31
NR21553--MA1107.1.KLF9	chr16	49982430	49982442	-	0.000	0.000	Merged-chr16-49982447-38
NR10023--MA0599.1.KLF5	chr11	98972474	98972483	-	0.000	0.000	Merged-chr11-98972338-11
NR2818--MA0039.3.KLF4	chr1	165609744	165609754	-	0.000	0.000	Merged-chr1-165609765-26
NR31759--MA0599.1.KLF5	chr2	150918853	150918862	+	0.000	0.000	Merged-chr2-150918832-31
NR34137--MA1107.1.KLF9	chr3	86841686	86841698	-	0.000	0.000	Merged-chr3-86841762-14
NR2817--MA0599.1.KLF5	chr1	165609746	165609755	-	0.000	0.000	Merged-chr1-165609765-26
NR21554--MA1107.1.KLF9	chr16	49982432	49982444	-	0.000	0.000	Merged-chr16-49982447-38
NR54360--MA0493.1.Klf1	chr8	124265927	124265937	-	0.000	0.000	Merged-chr8-124265993-45
NR2811--MA0742.1.Klf12	chr1	165609692	165609706	+	0.000	0.000	Merged-chr1-165609765-26
NR2816--MA0742.1.Klf12	chr1	165609742	165609756	-	0.000	0.000	Merged-chr1-165609765-26
NR34136--MA0741.1.KLF16	chr3	86841687	86841697	-	0.000	0.000	Merged-chr3-86841762-14
NR49533--MA0657.1.KLF13	chr7	90007513	90007530	+	0.000	0.000	Merged-chr7-90007418-46
NR10024--MA0493.1.Klf1	chr11	98972469	98972479	-	0.000	0.000	Merged-chr11-98972338-11
NR2181--MA0657.1.KLF13	chr1	138963221	138963238	-	0.000	0.000	Merged-chr1-138963261-12
NR34144--MA0039.3.KLF4	chr3	87383521	87383531	-	0.000	0.000	Merged-chr3-87383448-9
NR54362--MA1107.1.KLF9	chr8	124265925	124265937	-	0.000	0.000	Merged-chr8-124265993-45
NR2815--MA0740.1.KLF14	chr1	165609743	165609756	-	0.000	0.000	Merged-chr1-165609765-26
NR12828--MA0599.1.KLF5	chr12	99468029	99468038	-	0.000	0.000	Merged-chr12-99468213-62
NR10021--MA0741.1.KLF16	chr11	98972402	98972412	+	0.000	0.000	Merged-chr11-98972338-11
NR3613--MA0599.1.KLF5	chr1	191097833	191097842	+	0.000	0.000	Merged-chr1-191097986-4
NR34145--MA1107.1.KLF9	chr3	87383521	87383533	-	0.000	0.000	Merged-chr3-87383448-9
NR54358--MA0742.1.Klf12	chr8	124265923	124265937	-	0.000	0.000	Merged-chr8-124265993-45
NR12831--MA0599.1.KLF5	chr12	99572401	99572410	-	0.000	0.000	Merged-chr12-99572243-31
NR2819--MA0493.1.Klf1	chr1	165609746	165609756	-	0.000	0.000	Merged-chr1-165609765-26
NR54357--MA0740.1.KLF14	chr8	124265924	124265937	-	0.000	0.000	Merged-chr8-124265993-45
NR34146--MA0741.1.KLF16	chr3	87383566	87383576	+	0.000	0.000	Merged-chr3-87383448-9
NR12830--MA0742.1.Klf12	chr12	99572397	99572411	-	0.000	0.000	Merged-chr12-99572243-31
NR10025--MA0741.1.KLF16	chr11	98972468	98972478	-	0.000	0.000	Merged-chr11-98972338-11
NR2820--MA1107.1.KLF9	chr1	165609744	165609756	-	0.000	0.000	Merged-chr1-165609765-26
NR2812--MA0493.1.Klf1	chr1	165609692	165609702	+	0.000	0.000	Merged-chr1-165609765-26
NR54361--MA0741.1.KLF16	chr8	124265926	124265936	-	0.000	0.000	Merged-chr8-124265993-45
NR10020--MA0740.1.KLF14	chr11	98972401	98972414	+	0.000	0.000	Merged-chr11-98972338-11
