#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR6715--MA0495.2.MAFF	chr2	169089214	169089234	-	0.000	0.000	Merged-chr2-169089199-37
NR6717--MA0659.1.MAFG	chr2	169089214	169089234	+	0.000	0.000	Merged-chr2-169089199-37
NR8004--MA0495.2.MAFF	chr4	145341974	145341994	-	0.000	0.000	Merged-chr4-145342099-62
NR8109--MA0659.1.MAFG	chr4	154936192	154936212	-	0.000	0.000	Merged-chr4-154936025-18
NR5194--MA0089.1.MAFG::NFE2L1	chr18	32543299	32543304	-	0.000	0.000	Merged-chr18-32543284-47
NR6718--MA0659.1.MAFG	chr2	169089214	169089234	-	0.000	0.000	Merged-chr2-169089199-37
NR8107--MA0591.1.Bach1::Mafk	chr4	154936195	154936209	+	0.000	0.000	Merged-chr4-154936025-18
NR8005--MA0496.2.MAFK	chr4	145341975	145341993	-	0.000	0.000	Merged-chr4-145342099-62
NR6716--MA0591.1.Bach1::Mafk	chr2	169089217	169089231	-	0.000	0.000	Merged-chr2-169089199-37
NR9998--MA0089.1.MAFG::NFE2L1	chr7	125190107	125190112	-	0.000	0.000	Merged-chr7-125190262-47
NR8794--MA0089.1.MAFG::NFE2L1	chr5	148994777	148994782	-	0.000	0.000	Merged-chr5-148994646-1
NR11164--MA0089.1.MAFG::NFE2L1	chr9	123259905	123259910	-	0.000	0.000	Merged-chr9-123259798-3
NR6719--MA0501.1.MAF::NFE2	chr2	169089214	169089228	-	0.000	0.000	Merged-chr2-169089199-37
NR8104--MA0495.2.MAFF	chr4	154936192	154936212	+	0.000	0.000	Merged-chr4-154936025-18
NR8106--MA0117.2.Mafb	chr4	154936201	154936212	-	0.000	0.000	Merged-chr4-154936025-18
NR232--MA0089.1.MAFG::NFE2L1	chr1	74570399	74570404	-	0.000	0.000	Merged-chr1-74570528-25
NR6982--MA0501.1.MAF::NFE2	chr3	81835954	81835968	+	0.000	0.000	Merged-chr3-81835793-30
NR5230--MA0089.1.MAFG::NFE2L1	chr18	46447803	46447808	-	0.000	0.000	Merged-chr18-46447727-33
NR8111--MA0496.2.MAFK	chr4	154936193	154936211	+	0.000	0.000	Merged-chr4-154936025-18
NR8110--MA0501.1.MAF::NFE2	chr4	154936198	154936212	+	0.000	0.000	Merged-chr4-154936025-18
NR11028--MA0591.1.Bach1::Mafk	chr9	105887778	105887792	-	0.000	0.000	Merged-chr9-105887644-48
NR8105--MA0495.2.MAFF	chr4	154936192	154936212	-	0.000	0.000	Merged-chr4-154936025-18
NR11011--MA0501.1.MAF::NFE2	chr9	103134575	103134589	+	0.000	0.000	Merged-chr9-103134672-43
NR6720--MA0496.2.MAFK	chr2	169089215	169089233	+	0.000	0.000	Merged-chr2-169089199-37
NR7303--MA0089.1.MAFG::NFE2L1	chr3	133160001	133160006	-	0.000	0.000	Merged-chr3-133159832-24
NR8112--MA0496.2.MAFK	chr4	154936193	154936211	-	0.000	0.000	Merged-chr4-154936025-18
NR6714--MA0495.2.MAFF	chr2	169089214	169089234	+	0.000	0.000	Merged-chr2-169089199-37
NR8108--MA0659.1.MAFG	chr4	154936192	154936212	+	0.000	0.000	Merged-chr4-154936025-18
NR6721--MA0496.2.MAFK	chr2	169089215	169089233	-	0.000	0.000	Merged-chr2-169089199-37
