#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR12553--MA0493.1.Klf1	chr13	45455939	45455949	+	0.000	0.000	Merged-chr13-45455779-40
NR32130--MA0741.1.KLF16	chr3	152209699	152209709	-	0.000	0.000	Merged-chr3-152209810-2
NR46494--MA0599.1.KLF5	chr8	22783785	22783794	+	0.000	0.000	Merged-chr8-22783714-26
NR20418--MA0741.1.KLF16	chr17	23748258	23748268	+	0.000	0.000	Merged-chr17-23748319-15
NR39329--MA0039.3.KLF4	chr5	146655614	146655624	-	0.000	0.000	Merged-chr5-146655552-37
NR23043--MA0599.1.KLF5	chr18	53801710	53801719	-	0.000	0.000	Merged-chr18-53801567-20
NR30359--MA0599.1.KLF5	chr3	84630926	84630935	-	0.000	0.000	Merged-chr3-84630888-13
NR3103--MA0493.1.Klf1	chr1	189500039	189500049	+	0.000	0.000	Merged-chr1-189499965-39
NR31109--MA0599.1.KLF5	chr3	107233421	107233430	-	0.000	0.000	Merged-chr3-107233528-55
NR34083--MA0599.1.KLF5	chr4	119947768	119947777	-	0.000	0.000	Merged-chr4-119947761-47
NR37642--MA0039.3.KLF4	chr5	112239780	112239790	-	0.000	0.000	Merged-chr5-112239781-12
NR19422--MA0493.1.Klf1	chr16	78606460	78606470	+	0.000	0.000	Merged-chr16-78606501-17
NR38936--MA0741.1.KLF16	chr5	139290673	139290683	+	0.000	0.000	Merged-chr5-139290875-38
NR14102--MA1107.1.KLF9	chr13	113549198	113549210	+	0.000	0.000	Merged-chr13-113549207-25
NR37647--MA0039.3.KLF4	chr5	112239855	112239865	-	0.000	0.000	Merged-chr5-112239781-12
NR18493--MA1107.1.KLF9	chr16	17405427	17405439	+	0.000	0.000	Merged-chr16-17405439-1
NR13022--MA0493.1.Klf1	chr13	63639816	63639826	-	0.000	0.000	Merged-chr13-63639916-9
NR14107--MA1107.1.KLF9	chr13	113607258	113607270	+	0.000	0.000	Merged-chr13-113607105-17
NR7755--MA0599.1.KLF5	chr11	70622674	70622683	+	0.000	0.000	Merged-chr11-70622499-26
NR2421--MA1107.1.KLF9	chr1	165816463	165816475	-	0.000	0.000	Merged-chr1-165816619-40
NR24761--MA0599.1.KLF5	chr19	37110672	37110681	+	0.000	0.000	Merged-chr19-37110576-17
NR31176--MA1107.1.KLF9	chr3	108737976	108737988	-	0.000	0.000	Merged-chr3-108737869-29
NR51455--MA0741.1.KLF16	chr9	115214792	115214802	-	0.000	0.000	Merged-chr9-115214840-19
NR39328--MA0599.1.KLF5	chr5	146655616	146655625	-	0.000	0.000	Merged-chr5-146655552-37
NR9253--MA0742.1.Klf12	chr11	106588293	106588307	+	0.000	0.000	Merged-chr11-106588217-44
NR37641--MA0599.1.KLF5	chr5	112239791	112239800	-	0.000	0.000	Merged-chr5-112239781-12
NR39821--MA0599.1.KLF5	chr6	30230375	30230384	-	0.000	0.000	Merged-chr6-30230479-12
NR3105--MA1107.1.KLF9	chr1	189500039	189500051	+	0.000	0.000	Merged-chr1-189499965-39
NR32097--MA1107.1.KLF9	chr3	149394066	149394078	-	0.000	0.000	Merged-chr3-149393865-18
NR30365--MA1107.1.KLF9	chr3	84630935	84630947	-	0.000	0.000	Merged-chr3-84630888-13
NR43781--MA0740.1.KLF14	chr7	45917009	45917022	-	0.000	0.000	Merged-chr7-45916816-45
NR25230--MA0599.1.KLF5	chr19	53491669	53491678	+	0.000	0.000	Merged-chr19-53491759-39
NR46496--MA1107.1.KLF9	chr8	22783784	22783796	+	0.000	0.000	Merged-chr8-22783714-26
NR11704--MA0493.1.Klf1	chr12	111855729	111855739	+	0.000	0.000	Merged-chr12-111855656-21
NR25229--MA0742.1.Klf12	chr19	53491668	53491682	+	0.000	0.000	Merged-chr19-53491759-39
NR35904--MA0039.3.KLF4	chr5	5420286	5420296	+	0.000	0.000	Merged-chr5-5420247-39
NR7753--MA0741.1.KLF16	chr11	70622584	70622594	-	0.000	0.000	Merged-chr11-70622499-26
NR13916--MA0599.1.KLF5	chr13	109239466	109239475	+	0.000	0.000	Merged-chr13-109239401-35
NR25678--MA0493.1.Klf1	chr2	18307617	18307627	+	0.000	0.000	Merged-chr2-18307843-60
NR13007--MA0741.1.KLF16	chr13	63541775	63541785	+	0.000	0.000	Merged-chr13-63541673-31
NR24764--MA0740.1.KLF14	chr19	37376271	37376284	+	0.000	0.000	Merged-chr19-37376124-56
NR2420--MA0493.1.Klf1	chr1	165816471	165816481	-	0.000	0.000	Merged-chr1-165816619-40
NR35297--MA0493.1.Klf1	chr4	145306070	145306080	-	0.000	0.000	Merged-chr4-145306183-45
NR15334--MA0039.3.KLF4	chr14	64628281	64628291	-	0.000	0.000	Merged-chr14-64628307-21
NR35550--MA0741.1.KLF16	chr4	150894786	150894796	+	0.000	0.000	Merged-chr4-150894695-19
NR10258--MA0599.1.KLF5	chr12	25211592	25211601	+	0.000	0.000	Merged-chr12-25211568-13
NR31108--MA0740.1.KLF14	chr3	107233418	107233431	-	0.000	0.000	Merged-chr3-107233528-55
NR14095--MA0740.1.KLF14	chr13	113549198	113549211	+	0.000	0.000	Merged-chr13-113549207-25
NR5722--MA0493.1.Klf1	chr10	117925714	117925724	+	0.000	0.000	Merged-chr10-117925903-63
NR35903--MA0599.1.KLF5	chr5	5420285	5420294	+	0.000	0.000	Merged-chr5-5420247-39
NR5723--MA0741.1.KLF16	chr10	117925715	117925725	+	0.000	0.000	Merged-chr10-117925903-63
NR37648--MA1107.1.KLF9	chr5	112239855	112239867	-	0.000	0.000	Merged-chr5-112239781-12
