#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR16040--MA0493.1.Klf1	chr14	54061508	54061518	+	0.000	0.000	Merged-chr14-54061633-25
NR32632--MA0741.1.KLF16	chr3	84772124	84772134	-	0.000	0.000	Merged-chr3-84772067-31
NR11891--MA0742.1.Klf12	chr12	85632517	85632531	-	0.000	0.000	Merged-chr12-85632486-20
NR51081--MA0741.1.KLF16	chr8	84067371	84067381	-	0.000	0.000	Merged-chr8-84067412-4
NR11892--MA0039.3.KLF4	chr12	85632519	85632529	-	0.000	0.000	Merged-chr12-85632486-20
NR32660--MA0493.1.Klf1	chr3	86961190	86961200	-	0.000	0.000	Merged-chr3-86961231-31
NR32631--MA0493.1.Klf1	chr3	84772125	84772135	-	0.000	0.000	Merged-chr3-84772067-31
NR32635--MA1107.1.KLF9	chr3	84772128	84772140	-	0.000	0.000	Merged-chr3-84772067-31
NR53463--MA0039.3.KLF4	chr9	56509355	56509365	+	0.000	0.000	Merged-chr9-56509423-20
NR32659--MA0599.1.KLF5	chr3	86961190	86961199	-	0.000	0.000	Merged-chr3-86961231-31
NR16039--MA0039.3.KLF4	chr14	54061510	54061520	+	0.000	0.000	Merged-chr14-54061633-25
NR53462--MA0599.1.KLF5	chr9	56509354	56509363	+	0.000	0.000	Merged-chr9-56509423-20
NR32633--MA1107.1.KLF9	chr3	84772121	84772133	-	0.000	0.000	Merged-chr3-84772067-31
NR16038--MA0742.1.Klf12	chr14	54061508	54061522	+	0.000	0.000	Merged-chr14-54061633-25
NR32628--MA0599.1.KLF5	chr3	84772125	84772134	-	0.000	0.000	Merged-chr3-84772067-31
NR11894--MA1107.1.KLF9	chr12	85632519	85632531	-	0.000	0.000	Merged-chr12-85632486-20
NR32634--MA1107.1.KLF9	chr3	84772123	84772135	-	0.000	0.000	Merged-chr3-84772067-31
NR8171--MA0599.1.KLF5	chr11	64037746	64037755	-	0.000	0.000	Merged-chr11-64037767-32
NR8172--MA0741.1.KLF16	chr11	64037745	64037755	-	0.000	0.000	Merged-chr11-64037767-32
NR11893--MA0493.1.Klf1	chr12	85632521	85632531	-	0.000	0.000	Merged-chr12-85632486-20
NR32629--MA0599.1.KLF5	chr3	84772130	84772139	-	0.000	0.000	Merged-chr3-84772067-31
NR53465--MA1107.1.KLF9	chr9	56509353	56509365	+	0.000	0.000	Merged-chr9-56509423-20
NR32654--MA0741.1.KLF16	chr3	86841687	86841697	-	0.000	0.000	Merged-chr3-86841762-14
NR32655--MA1107.1.KLF9	chr3	86841686	86841698	-	0.000	0.000	Merged-chr3-86841762-14
NR32630--MA0039.3.KLF4	chr3	84772128	84772138	-	0.000	0.000	Merged-chr3-84772067-31
NR53464--MA0493.1.Klf1	chr9	56509353	56509363	+	0.000	0.000	Merged-chr9-56509423-20
NR32662--MA1107.1.KLF9	chr3	86961188	86961200	-	0.000	0.000	Merged-chr3-86961231-31
NR32658--MA0742.1.Klf12	chr3	86961186	86961200	-	0.000	0.000	Merged-chr3-86961231-31
NR32657--MA0740.1.KLF14	chr3	86961187	86961200	-	0.000	0.000	Merged-chr3-86961231-31
NR52709--MA0599.1.KLF5	chr9	21167894	21167903	-	0.000	0.000	Merged-chr9-21167831-1
NR32661--MA0741.1.KLF16	chr3	86961189	86961199	-	0.000	0.000	Merged-chr3-86961231-31
