#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR38039--MA0599.1.KLF5	chr4	150087404	150087413	-	0.000	0.000	Merged-chr4-150087480-81
NR54541--MA0493.1.Klf1	chr9	103134872	103134882	-	0.000	0.000	Merged-chr9-103134672-43
NR42144--MA0599.1.KLF5	chr5	140871298	140871307	-	0.000	0.000	Merged-chr5-140871418-38
NR17930--MA0742.1.Klf12	chr15	59618426	59618440	-	0.000	0.000	Merged-chr15-59618561-44
NR17838--MA0741.1.KLF16	chr15	55906998	55907008	+	0.000	0.000	Merged-chr15-55906885-1
NR42628--MA0039.3.KLF4	chr5	150259562	150259572	+	0.000	0.000	Merged-chr5-150259783-65
NR38040--MA0039.3.KLF4	chr4	150087402	150087412	-	0.000	0.000	Merged-chr4-150087480-81
NR29339--MA0599.1.KLF5	chr2	102039502	102039511	-	0.000	0.000	Merged-chr2-102039537-38
NR12415--MA0740.1.KLF14	chr12	108275476	108275489	+	0.000	0.000	Merged-chr12-108275445-64
NR47566--MA0741.1.KLF16	chr7	78583950	78583960	-	0.000	0.000	Merged-chr7-78583930-15
NR42629--MA0741.1.KLF16	chr5	150259561	150259571	+	0.000	0.000	Merged-chr5-150259783-65
NR4129--MA0741.1.KLF16	chr10	34207261	34207271	-	0.000	0.000	Merged-chr10-34207023-88
NR42627--MA0599.1.KLF5	chr5	150259566	150259575	+	0.000	0.000	Merged-chr5-150259783-65
NR14379--MA1107.1.KLF9	chr13	92722554	92722566	-	0.000	0.000	Merged-chr13-92722597-29
NR19019--MA0741.1.KLF16	chr15	91573243	91573253	-	0.000	0.000	Merged-chr15-91573061-60
NR42635--MA1107.1.KLF9	chr5	150259544	150259556	+	0.000	0.000	Merged-chr5-150259783-65
NR49209--MA0741.1.KLF16	chr7	136894539	136894549	+	0.000	0.000	Merged-chr7-136894538-85
NR54538--MA0599.1.KLF5	chr9	103134834	103134843	+	0.000	0.000	Merged-chr9-103134672-43
NR42146--MA0741.1.KLF16	chr5	140871301	140871311	-	0.000	0.000	Merged-chr5-140871418-38
NR25783--MA0493.1.Klf1	chr18	89626889	89626899	+	0.000	0.000	Merged-chr18-89627032-39
NR49204--MA0740.1.KLF14	chr7	136894532	136894545	+	0.000	0.000	Merged-chr7-136894538-85
NR45764--MA0599.1.KLF5	chr7	3290523	3290532	+	0.000	0.000	Merged-chr7-3290343-35
NR34068--MA0741.1.KLF16	chr3	132928114	132928124	-	0.000	0.000	Merged-chr3-132927951-20
NR49206--MA0599.1.KLF5	chr7	136894539	136894548	+	0.000	0.000	Merged-chr7-136894538-85
NR42149--MA1107.1.KLF9	chr5	140871300	140871312	-	0.000	0.000	Merged-chr5-140871418-38
NR12421--MA1107.1.KLF9	chr12	108275619	108275631	-	0.000	0.000	Merged-chr12-108275445-64
NR54540--MA0599.1.KLF5	chr9	103134872	103134881	-	0.000	0.000	Merged-chr9-103134672-43
NR38042--MA0599.1.KLF5	chr4	150087551	150087560	-	0.000	0.000	Merged-chr4-150087480-81
NR38041--MA1107.1.KLF9	chr4	150087402	150087414	-	0.000	0.000	Merged-chr4-150087480-81
NR17929--MA0740.1.KLF14	chr15	59618427	59618440	-	0.000	0.000	Merged-chr15-59618561-44
NR15186--MA1107.1.KLF9	chr14	7791559	7791571	+	0.000	0.000	Merged-chr14-7791631-72
NR25785--MA1107.1.KLF9	chr18	89626889	89626901	+	0.000	0.000	Merged-chr18-89627032-39
