#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR3--MA0731.1.BCL6B	chr1	20740780	20740796	-	0.000	0.000	Merged-chr1-20740658-39
NR89--MA0463.1.Bcl6	chr1	193421645	193421658	+	0.000	0.000	Merged-chr1-193421738-60
NR958--MA0463.1.Bcl6	chr5	144294987	144295000	+	0.000	0.000	Merged-chr5-144295152-24
NR1000--MA0463.1.Bcl6	chr6	84617231	84617244	-	0.000	0.000	Merged-chr6-84617241-46
NR1112--MA0463.1.Bcl6	chr7	107664399	107664412	-	0.000	0.000	Merged-chr7-107664561-57
NR118--MA0463.1.Bcl6	chr10	61649220	61649233	+	0.000	0.000	Merged-chr10-61649284-2
NR611--MA0463.1.Bcl6	chr19	55792889	55792902	+	0.000	0.000	Merged-chr19-55792789-50
NR612--MA0731.1.BCL6B	chr19	55792886	55792902	+	0.000	0.000	Merged-chr19-55792789-50
NR1003--MA0463.1.Bcl6	chr6	88757070	88757083	-	0.000	0.000	Merged-chr6-88757111-24
NR1272--MA0463.1.Bcl6	chrX	57184979	57184992	-	0.000	0.000	Merged-chrX-57185087-24
NR237--MA0463.1.Bcl6	chr12	35799388	35799401	-	0.000	0.000	Merged-chr12-35799508-49
NR779--MA0731.1.BCL6B	chr3	148419638	148419654	-	0.000	0.000	Merged-chr3-148419698-33
NR1109--MA0463.1.Bcl6	chr7	104400828	104400841	-	0.000	0.000	Merged-chr7-104400949-29
NR689--MA0731.1.BCL6B	chr2	124732779	124732795	-	0.000	0.000	Merged-chr2-124732800-44
NR1170--MA0463.1.Bcl6	chr8	91545705	91545718	+	0.000	0.000	Merged-chr8-91545805-43
NR941--MA0463.1.Bcl6	chr5	124907074	124907087	+	0.000	0.000	Merged-chr5-124907107-45
NR48--MA0463.1.Bcl6	chr1	127239951	127239964	+	0.000	0.000	Merged-chr1-127240112-40
NR1113--MA0731.1.BCL6B	chr7	107664399	107664415	-	0.000	0.000	Merged-chr7-107664561-57
NR834--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR688--MA0463.1.Bcl6	chr2	124732782	124732795	+	0.000	0.000	Merged-chr2-124732800-44
NR663--MA0463.1.Bcl6	chr2	72283051	72283064	-	0.000	0.000	Merged-chr2-72282934-17
NR2--MA0463.1.Bcl6	chr1	20740783	20740796	+	0.000	0.000	Merged-chr1-20740658-39
NR1240--MA0463.1.Bcl6	chr9	92217894	92217907	+	0.000	0.000	Merged-chr9-92217904-40
NR1115--MA0463.1.Bcl6	chr7	110796785	110796798	+	0.000	0.000	Merged-chr7-110796753-46
NR922--MA0463.1.Bcl6	chr5	111200319	111200332	-	0.000	0.000	Merged-chr5-111200479-33
