#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR6492--MA0482.1.Gata4	chr9	70309941	70309951	+	0.000	0.000	Merged-chr9-70310142-32
NR19--MA0035.3.Gata1	chr1	35653568	35653578	-	0.000	0.000	Merged-chr1-35653441-55
NR1316--MA0482.1.Gata4	chr12	14086786	14086796	+	0.000	0.000	Merged-chr12-14086767-28
NR1410--MA0036.3.GATA2	chr12	76385445	76385455	-	0.000	0.000	Merged-chr12-76385327-16
NR6493--MA1104.1.GATA6	chr9	70309939	70309951	-	0.000	0.000	Merged-chr9-70310142-32
NR2558--MA0766.1.GATA5	chr16	87726178	87726185	+	0.000	0.000	Merged-chr16-87726198-44
NR3940--MA0036.3.GATA2	chr3	37738509	37738519	-	0.000	0.000	Merged-chr3-37738517-40
NR2853--MA0140.2.GATA1::TAL1	chr17	90088355	90088372	+	0.000	0.000	Merged-chr17-90088405-14
NR1317--MA1104.1.GATA6	chr12	14086784	14086796	-	0.000	0.000	Merged-chr12-14086767-28
NR1320--MA0035.3.Gata1	chr12	14086785	14086795	+	0.000	0.000	Merged-chr12-14086767-28
NR3884--MA0035.3.Gata1	chr2	174018224	174018234	-	0.000	0.000	Merged-chr2-174018150-40
NR5572--MA0036.3.GATA2	chr6	143115358	143115368	+	0.000	0.000	Merged-chr6-143115547-2
NR2556--MA0482.1.Gata4	chr16	87726175	87726185	-	0.000	0.000	Merged-chr16-87726198-44
NR6626--MA0035.3.Gata1	chr9	112174908	112174918	-	0.000	0.000	Merged-chr9-112174843-101
NR6491--MA0037.3.GATA3	chr9	70309941	70309948	-	0.000	0.000	Merged-chr9-70310142-32
NR3966--MA0482.1.Gata4	chr3	54617490	54617500	-	0.000	0.000	Merged-chr3-54617665-45
NR2557--MA1104.1.GATA6	chr16	87726175	87726187	+	0.000	0.000	Merged-chr16-87726198-44
NR5864--MA0482.1.Gata4	chr7	113419584	113419594	-	0.000	0.000	Merged-chr7-113419557-35
NR2374--MA1104.1.GATA6	chr16	18452421	18452433	-	0.000	0.000	Merged-chr16-18452480-18
NR1219--MA0037.3.GATA3	chr11	106057070	106057077	-	0.000	0.000	Merged-chr11-106057103-42
NR6023--MA0482.1.Gata4	chr8	4507820	4507830	+	0.000	0.000	Merged-chr8-4507701-32
NR9--MA0037.3.GATA3	chr1	21078864	21078871	+	0.000	0.000	Merged-chr1-21078887-3
NR5877--MA0766.1.GATA5	chr7	114095575	114095582	+	0.000	0.000	Merged-chr7-114095651-34
NR5865--MA1104.1.GATA6	chr7	113419584	113419596	+	0.000	0.000	Merged-chr7-113419557-35
NR4501--MA0037.3.GATA3	chr4	98282497	98282504	-	0.000	0.000	Merged-chr4-98282479-46
NR3513--MA0036.3.GATA2	chr2	80324387	80324397	+	0.000	0.000	Merged-chr2-80324472-29
NR3488--MA0482.1.Gata4	chr2	70425815	70425825	+	0.000	0.000	Merged-chr2-70425902-24
NR2555--MA0037.3.GATA3	chr16	87726178	87726185	+	0.000	0.000	Merged-chr16-87726198-44
NR5862--MA0482.1.Gata4	chr7	113263190	113263200	+	0.000	0.000	Merged-chr7-113263148-32
NR3967--MA0035.3.Gata1	chr3	54617491	54617501	-	0.000	0.000	Merged-chr3-54617665-45
NR10--MA0482.1.Gata4	chr1	21078861	21078871	-	0.000	0.000	Merged-chr1-21078887-3
NR5863--MA0037.3.GATA3	chr7	113419587	113419594	+	0.000	0.000	Merged-chr7-113419557-35
NR1411--MA0140.2.GATA1::TAL1	chr12	76385436	76385453	-	0.000	0.000	Merged-chr12-76385327-16
NR3058--MA0766.1.GATA5	chr18	81521520	81521527	+	0.000	0.000	Merged-chr18-81521430-36
NR18--MA0036.3.GATA2	chr1	35653568	35653578	-	0.000	0.000	Merged-chr1-35653441-55
NR6624--MA0482.1.Gata4	chr9	112174907	112174917	-	0.000	0.000	Merged-chr9-112174843-101
NR6627--MA0035.3.Gata1	chr9	112175240	112175250	-	0.000	0.000	Merged-chr9-112175419-1
NR3941--MA0766.1.GATA5	chr3	37738511	37738518	+	0.000	0.000	Merged-chr3-37738517-40
NR3057--MA0037.3.GATA3	chr18	81521520	81521527	+	0.000	0.000	Merged-chr18-81521430-36
NR3942--MA0035.3.Gata1	chr3	37738509	37738519	-	0.000	0.000	Merged-chr3-37738517-40
NR6494--MA0766.1.GATA5	chr9	70309941	70309948	-	0.000	0.000	Merged-chr9-70310142-32
NR4655--MA0482.1.Gata4	chr4	144981240	144981250	-	0.000	0.000	Merged-chr4-144981201-46
NR4358--MA1104.1.GATA6	chr4	6881074	6881086	+	0.000	0.000	Merged-chr4-6881171-35
NR5571--MA0482.1.Gata4	chr6	143115359	143115369	+	0.000	0.000	Merged-chr6-143115547-2
NR5087--MA0140.2.GATA1::TAL1	chr5	140208921	140208938	-	0.000	0.000	Merged-chr5-140208912-49
NR5866--MA0036.3.GATA2	chr7	113419585	113419595	-	0.000	0.000	Merged-chr7-113419557-35
NR11--MA0766.1.GATA5	chr1	21078864	21078871	+	0.000	0.000	Merged-chr1-21078887-3
