#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR35078--MA0741.1.KLF16	chr4	150087351	150087361	-	0.000	0.000	Merged-chr4-150087480-81
NR38966--MA0599.1.KLF5	chr5	150259566	150259575	+	0.000	0.000	Merged-chr5-150259783-65
NR41721--MA0599.1.KLF5	chr7	3290417	3290426	-	0.000	0.000	Merged-chr7-3290343-35
NR44762--MA0493.1.Klf1	chr7	136894414	136894424	-	0.000	0.000	Merged-chr7-136894538-85
NR34891--MA0741.1.KLF16	chr4	145342060	145342070	+	0.000	0.000	Merged-chr4-145342099-62
NR23619--MA0740.1.KLF14	chr18	89626889	89626902	+	0.000	0.000	Merged-chr18-89627032-39
NR34949--MA0741.1.KLF16	chr4	147808650	147808660	+	0.000	0.000	Merged-chr4-147808670-28
NR26461--MA0493.1.Klf1	chr2	59053687	59053697	+	0.000	0.000	Merged-chr2-59053724-29
NR41720--MA0742.1.Klf12	chr7	3290413	3290427	-	0.000	0.000	Merged-chr7-3290343-35
NR13175--MA0493.1.Klf1	chr13	94144784	94144794	-	0.000	0.000	Merged-chr13-94144726-31
NR1186--MA0742.1.Klf12	chr1	89070087	89070101	+	0.000	0.000	Merged-chr1-89070221-114
NR47876--MA1107.1.KLF9	chr8	126882102	126882114	-	0.000	0.000	Merged-chr8-126881934-28
NR41718--MA0740.1.KLF14	chr7	3290414	3290427	-	0.000	0.000	Merged-chr7-3290343-35
NR43072--MA0741.1.KLF16	chr7	49246034	49246044	+	0.000	0.000	Merged-chr7-49246156-57
NR38968--MA0741.1.KLF16	chr5	150259561	150259571	+	0.000	0.000	Merged-chr5-150259783-65
NR41719--MA0657.1.KLF13	chr7	3290411	3290428	-	0.000	0.000	Merged-chr7-3290343-35
NR30182--MA0741.1.KLF16	chr3	86915432	86915442	+	0.000	0.000	Merged-chr3-86915418-7
NR23623--MA0741.1.KLF16	chr18	89626890	89626900	+	0.000	0.000	Merged-chr18-89627032-39
NR49669--MA0742.1.Klf12	chr9	92542213	92542227	+	0.000	0.000	Merged-chr9-92542439-104
NR11369--MA0741.1.KLF16	chr12	108275620	108275630	-	0.000	0.000	Merged-chr12-108275445-64
NR36457--MA1107.1.KLF9	chr5	74476792	74476804	+	0.000	0.000	Merged-chr5-74476772-23
NR38972--MA0039.3.KLF4	chr5	150262889	150262899	+	0.000	0.000	Merged-chr5-150262822-29
NR41723--MA1107.1.KLF9	chr7	3290415	3290427	-	0.000	0.000	Merged-chr7-3290343-35
NR41715--MA0493.1.Klf1	chr7	3290305	3290315	+	0.000	0.000	Merged-chr7-3290343-35
NR35076--MA0740.1.KLF14	chr4	150087349	150087362	-	0.000	0.000	Merged-chr4-150087480-81
NR30179--MA0741.1.KLF16	chr3	86915369	86915379	+	0.000	0.000	Merged-chr3-86915418-7
NR49668--MA0740.1.KLF14	chr9	92542213	92542226	+	0.000	0.000	Merged-chr9-92542439-104
NR47883--MA1107.1.KLF9	chr8	126882116	126882128	-	0.000	0.000	Merged-chr8-126881934-28
NR38971--MA0599.1.KLF5	chr5	150262888	150262897	+	0.000	0.000	Merged-chr5-150262822-29
NR34948--MA0599.1.KLF5	chr4	147808650	147808659	+	0.000	0.000	Merged-chr4-147808670-28
NR30181--MA0742.1.Klf12	chr3	86915431	86915445	+	0.000	0.000	Merged-chr3-86915418-7
NR3676--MA0741.1.KLF16	chr10	34207261	34207271	-	0.000	0.000	Merged-chr10-34207023-88
