#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR7909--MA0684.1.RUNX3	chr7	136164676	136164685	+	0.000	0.000	Merged-chr7-136164647-23
NR2081--MA0002.2.RUNX1	chr12	117959424	117959434	-	0.000	0.000	Merged-chr12-117959315-24
NR722--MA0002.2.RUNX1	chr10	20119533	20119543	-	0.000	0.000	Merged-chr10-20119637-31
NR6384--MA0002.2.RUNX1	chr5	23626316	23626326	-	0.000	0.000	Merged-chr5-23626360-14
NR6307--MA0002.2.RUNX1	chr5	5420362	5420372	-	0.000	0.000	Merged-chr5-5420247-39
NR7098--MA0511.2.RUNX2	chr6	90782604	90782612	+	0.000	0.000	Merged-chr6-90782586-39
NR4465--MA0002.2.RUNX1	chr19	37109988	37109998	+	0.000	0.000	Merged-chr19-37109967-3
NR2559--MA0002.2.RUNX1	chr13	113549210	113549220	+	0.000	0.000	Merged-chr13-113549207-25
NR4430--MA0684.1.RUNX3	chr19	32138397	32138406	+	0.000	0.000	Merged-chr19-32138517-38
NR686--MA0684.1.RUNX3	chr10	10307521	10307530	-	0.000	0.000	Merged-chr10-10307543-35
NR8688--MA0002.2.RUNX1	chr9	105499566	105499576	+	0.000	0.000	Merged-chr9-105499679-15
NR6599--MA0002.2.RUNX1	chr5	100466876	100466886	-	0.000	0.000	Merged-chr5-100466890-43
NR7481--MA0002.2.RUNX1	chr7	28609325	28609335	-	0.000	0.000	Merged-chr7-28609310-17
