#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR1403--MA0599.1.KLF5	chr1	89070348	89070357	+	0.000	0.000	Merged-chr1-89070221-114
NR43261--MA0599.1.KLF5	chr4	150087449	150087458	-	0.000	0.000	Merged-chr4-150087480-81
NR49205--MA0599.1.KLF5	chr6	71322742	71322751	+	0.000	0.000	Merged-chr6-71322825-41
NR51671--MA0493.1.Klf1	chr7	3290305	3290315	+	0.000	0.000	Merged-chr7-3290343-35
NR60732--MA1107.1.KLF9	chr9	61779365	61779377	+	0.000	0.000	Merged-chr9-61779248-32
NR53300--MA1107.1.KLF9	chr7	49246033	49246045	+	0.000	0.000	Merged-chr7-49246156-57
NR60727--MA0740.1.KLF14	chr9	61779365	61779378	+	0.000	0.000	Merged-chr9-61779248-32
NR26186--MA0741.1.KLF16	chr17	51812722	51812732	-	0.000	0.000	Merged-chr17-51812705-1
NR7205--MA0493.1.Klf1	chr10	118787589	118787599	+	0.000	0.000	Merged-chr10-118787587-44
NR26185--MA0599.1.KLF5	chr17	51812723	51812732	-	0.000	0.000	Merged-chr17-51812705-1
NR1015--MA0493.1.Klf1	chr1	73940876	73940886	+	0.000	0.000	Merged-chr1-73940938-50
NR14103--MA0740.1.KLF14	chr12	108275431	108275444	+	0.000	0.000	Merged-chr12-108275445-64
NR51678--MA0741.1.KLF16	chr7	3290416	3290426	-	0.000	0.000	Merged-chr7-3290343-35
NR4538--MA0741.1.KLF16	chr10	34207261	34207271	-	0.000	0.000	Merged-chr10-34207023-88
NR20499--MA0742.1.Klf12	chr15	66285835	66285849	-	0.000	0.000	Merged-chr15-66285886-5
NR51673--MA1107.1.KLF9	chr7	3290305	3290317	+	0.000	0.000	Merged-chr7-3290343-35
NR61856--MA0741.1.KLF16	chr9	103134555	103134565	-	0.000	0.000	Merged-chr9-103134672-43
NR42961--MA1107.1.KLF9	chr4	145341942	145341954	+	0.000	0.000	Merged-chr4-145342099-62
NR9297--MA1107.1.KLF9	chr11	66905992	66906004	+	0.000	0.000	Merged-chr11-66906049-23
NR1654--MA0657.1.KLF13	chr1	111864950	111864967	-	0.000	0.000	Merged-chr1-111864716-124
NR1398--MA0741.1.KLF16	chr1	89070178	89070188	+	0.000	0.000	Merged-chr1-89070221-114
NR1016--MA0741.1.KLF16	chr1	73940877	73940887	+	0.000	0.000	Merged-chr1-73940938-50
NR47575--MA0039.3.KLF4	chr5	140871490	140871500	+	0.000	0.000	Merged-chr5-140871418-38
NR1404--MA0493.1.Klf1	chr1	89070318	89070328	+	0.000	0.000	Merged-chr1-89070221-114
NR51669--MA0742.1.Klf12	chr7	3290305	3290319	+	0.000	0.000	Merged-chr7-3290343-35
NR53296--MA0742.1.Klf12	chr7	49246033	49246047	+	0.000	0.000	Merged-chr7-49246156-57
NR49206--MA0493.1.Klf1	chr6	71322741	71322751	+	0.000	0.000	Merged-chr6-71322825-41
NR43258--MA0740.1.KLF14	chr4	150087349	150087362	-	0.000	0.000	Merged-chr4-150087480-81
NR60729--MA0039.3.KLF4	chr9	61779367	61779377	+	0.000	0.000	Merged-chr9-61779248-32
NR14110--MA0741.1.KLF16	chr12	108275455	108275465	-	0.000	0.000	Merged-chr12-108275445-64
NR9296--MA0493.1.Klf1	chr11	66905992	66906002	+	0.000	0.000	Merged-chr11-66906049-23
NR14113--MA0657.1.KLF13	chr12	108275475	108275492	+	0.000	0.000	Merged-chr12-108275445-64
NR1397--MA0493.1.Klf1	chr1	89070177	89070187	+	0.000	0.000	Merged-chr1-89070221-114
NR14115--MA0741.1.KLF16	chr12	108275477	108275487	+	0.000	0.000	Merged-chr12-108275445-64
NR53734--MA0599.1.KLF5	chr7	78451846	78451855	+	0.000	0.000	Merged-chr7-78451897-56
NR45203--MA0599.1.KLF5	chr5	89882217	89882226	-	0.000	0.000	Merged-chr5-89882343-19
NR35768--MA0741.1.KLF16	chr2	169089353	169089363	+	0.000	0.000	Merged-chr2-169089199-37
NR43262--MA0741.1.KLF16	chr4	150087448	150087458	-	0.000	0.000	Merged-chr4-150087480-81
NR60728--MA0599.1.KLF5	chr9	61779366	61779375	+	0.000	0.000	Merged-chr9-61779248-32
NR16444--MA0599.1.KLF5	chr13	92722742	92722751	+	0.000	0.000	Merged-chr13-92722597-29
NR51672--MA0741.1.KLF16	chr7	3290306	3290316	+	0.000	0.000	Merged-chr7-3290343-35
NR40693--MA0741.1.KLF16	chr4	63854085	63854095	+	0.000	0.000	Merged-chr4-63853989-30
NR1399--MA1107.1.KLF9	chr1	89070172	89070184	+	0.000	0.000	Merged-chr1-89070221-114
NR30704--MA0740.1.KLF14	chr19	44078470	44078483	+	0.000	0.000	Merged-chr19-44078434-18
NR4537--MA0741.1.KLF16	chr10	34207259	34207269	-	0.000	0.000	Merged-chr10-34207023-88
NR14114--MA0742.1.Klf12	chr12	108275476	108275490	+	0.000	0.000	Merged-chr12-108275445-64
NR30705--MA0657.1.KLF13	chr19	44078469	44078486	+	0.000	0.000	Merged-chr19-44078434-18
NR43259--MA0599.1.KLF5	chr4	150087352	150087361	-	0.000	0.000	Merged-chr4-150087480-81
NR1012--MA0599.1.KLF5	chr1	73940877	73940886	+	0.000	0.000	Merged-chr1-73940938-50
NR49204--MA0742.1.Klf12	chr6	71322741	71322755	+	0.000	0.000	Merged-chr6-71322825-41
NR40691--MA0741.1.KLF16	chr4	63854083	63854093	+	0.000	0.000	Merged-chr4-63853989-30
NR1655--MA0741.1.KLF16	chr1	111864955	111864965	-	0.000	0.000	Merged-chr1-111864716-124
NR51676--MA0742.1.Klf12	chr7	3290413	3290427	-	0.000	0.000	Merged-chr7-3290343-35
NR49203--MA0740.1.KLF14	chr6	71322741	71322754	+	0.000	0.000	Merged-chr6-71322825-41
NR14111--MA1107.1.KLF9	chr12	108275431	108275443	+	0.000	0.000	Merged-chr12-108275445-64
NR53299--MA0741.1.KLF16	chr7	49246034	49246044	+	0.000	0.000	Merged-chr7-49246156-57
NR1392--MA0740.1.KLF14	chr1	89070177	89070190	+	0.000	0.000	Merged-chr1-89070221-114
NR14108--MA0493.1.Klf1	chr12	108275431	108275441	+	0.000	0.000	Merged-chr12-108275445-64
NR35765--MA0599.1.KLF5	chr2	169089347	169089356	+	0.000	0.000	Merged-chr2-169089199-37
NR1393--MA0657.1.KLF13	chr1	89070176	89070193	+	0.000	0.000	Merged-chr1-89070221-114
NR16445--MA0493.1.Klf1	chr13	92722741	92722751	+	0.000	0.000	Merged-chr13-92722597-29
NR7204--MA0039.3.KLF4	chr10	118787591	118787601	+	0.000	0.000	Merged-chr10-118787587-44
NR1014--MA0039.3.KLF4	chr1	73940873	73940883	+	0.000	0.000	Merged-chr1-73940938-50
NR53294--MA0740.1.KLF14	chr7	49246033	49246046	+	0.000	0.000	Merged-chr7-49246156-57
NR35764--MA0740.1.KLF14	chr2	169089352	169089365	+	0.000	0.000	Merged-chr2-169089199-37
NR1406--MA0741.1.KLF16	chr1	89070383	89070393	+	0.000	0.000	Merged-chr1-89070221-114
NR53295--MA0657.1.KLF13	chr7	49246032	49246049	+	0.000	0.000	Merged-chr7-49246156-57
NR14106--MA0599.1.KLF5	chr12	108275432	108275441	+	0.000	0.000	Merged-chr12-108275445-64
NR60731--MA0741.1.KLF16	chr9	61779366	61779376	+	0.000	0.000	Merged-chr9-61779248-32
NR35767--MA0741.1.KLF16	chr2	169089347	169089357	+	0.000	0.000	Merged-chr2-169089199-37
NR7203--MA0599.1.KLF5	chr10	118787590	118787599	+	0.000	0.000	Merged-chr10-118787587-44
NR1013--MA0599.1.KLF5	chr1	73940883	73940892	+	0.000	0.000	Merged-chr1-73940938-50
NR1653--MA0740.1.KLF14	chr1	111864953	111864966	-	0.000	0.000	Merged-chr1-111864716-124
NR48028--MA1107.1.KLF9	chr5	150259933	150259945	-	0.000	0.000	Merged-chr5-150259783-65
NR45204--MA0741.1.KLF16	chr5	89882216	89882226	-	0.000	0.000	Merged-chr5-89882343-19
NR7202--MA0742.1.Klf12	chr10	118787589	118787603	+	0.000	0.000	Merged-chr10-118787587-44
NR61857--MA1107.1.KLF9	chr9	103134554	103134566	-	0.000	0.000	Merged-chr9-103134672-43
NR40692--MA0741.1.KLF16	chr4	63854084	63854094	+	0.000	0.000	Merged-chr4-63853989-30
NR1394--MA0742.1.Klf12	chr1	89070177	89070191	+	0.000	0.000	Merged-chr1-89070221-114
NR53297--MA0599.1.KLF5	chr7	49246034	49246043	+	0.000	0.000	Merged-chr7-49246156-57
NR14105--MA0742.1.Klf12	chr12	108275431	108275445	+	0.000	0.000	Merged-chr12-108275445-64
NR51677--MA0599.1.KLF5	chr7	3290417	3290426	-	0.000	0.000	Merged-chr7-3290343-35
NR14109--MA0741.1.KLF16	chr12	108275432	108275442	+	0.000	0.000	Merged-chr12-108275445-64
NR48027--MA0599.1.KLF5	chr5	150259744	150259753	+	0.000	0.000	Merged-chr5-150259783-65
NR35766--MA0599.1.KLF5	chr2	169089353	169089362	+	0.000	0.000	Merged-chr2-169089199-37
NR49207--MA0741.1.KLF16	chr6	71322742	71322752	+	0.000	0.000	Merged-chr6-71322825-41
NR14112--MA0740.1.KLF14	chr12	108275476	108275489	+	0.000	0.000	Merged-chr12-108275445-64
