#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR3184--MA0089.1.MAFG::NFE2L1	chr14	120572338	120572343	-	0.000	0.000	Merged-chr14-120572441-59
NR3762--MA0089.1.MAFG::NFE2L1	chr16	46001705	46001710	+	0.000	0.000	Merged-chr16-46001866-55
NR9310--MA0659.1.MAFG	chr9	118716107	118716127	-	0.000	0.000	Merged-chr9-118716150-51
NR1751--MA0591.1.Bach1::Mafk	chr11	109744081	109744095	-	0.000	0.000	Merged-chr11-109744155-21
NR8250--MA0495.2.MAFF	chr7	99794263	99794283	+	0.000	0.000	Merged-chr7-99794311-17
NR6974--MA0089.1.MAFG::NFE2L1	chr5	67437667	67437672	+	0.000	0.000	Merged-chr5-67437495-24
NR3791--MA0501.1.MAF::NFE2	chr16	51887481	51887495	+	0.000	0.000	Merged-chr16-51887577-12
NR4121--MA0117.2.Mafb	chr17	50070336	50070347	+	0.000	0.000	Merged-chr17-50070273-24
NR7147--MA0496.2.MAFK	chr5	107303390	107303408	+	0.000	0.000	Merged-chr5-107303598-32
NR107--MA0591.1.Bach1::Mafk	chr1	55489650	55489664	+	0.000	0.000	Merged-chr1-55489612-12
NR1055--MA0089.1.MAFG::NFE2L1	chr10	76844995	76845000	+	0.000	0.000	Merged-chr10-76844808-11
NR7080--MA0496.2.MAFK	chr5	100466828	100466846	-	0.000	0.000	Merged-chr5-100466890-43
NR108--MA0089.1.MAFG::NFE2L1	chr1	55489689	55489694	-	0.000	0.000	Merged-chr1-55489612-12
NR3753--MA0117.2.Mafb	chr16	43701949	43701960	-	0.000	0.000	Merged-chr16-43702140-30
NR5734--MA0591.1.Bach1::Mafk	chr3	37738603	37738617	+	0.000	0.000	Merged-chr3-37738517-40
NR2304--MA0501.1.MAF::NFE2	chr12	116269654	116269668	-	0.000	0.000	Merged-chr12-116269685-29
NR7571--MA0659.1.MAFG	chr6	70709472	70709492	+	0.000	0.000	Merged-chr6-70709572-48
NR4052--MA0089.1.MAFG::NFE2L1	chr17	29275185	29275190	-	0.000	0.000	Merged-chr17-29275247-8
NR2581--MA0496.2.MAFK	chr13	85356563	85356581	-	0.000	0.000	Merged-chr13-85356477-8
NR4919--MA0501.1.MAF::NFE2	chr2	23041606	23041620	+	0.000	0.000	Merged-chr2-23041695-10
NR7574--MA0496.2.MAFK	chr6	70709473	70709491	-	0.000	0.000	Merged-chr6-70709572-48
