#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR6043--MA1107.1.KLF9	chr10	111422344	111422356	+	0.000	0.000	Merged-chr10-111422205-1
NR27315--MA0741.1.KLF16	chr2	29820461	29820471	+	0.000	0.000	Merged-chr2-29820454-25
NR43739--MA0039.3.KLF4	chr6	140314168	140314178	+	0.000	0.000	Merged-chr6-140314075-23
NR3654--MA0742.1.Klf12	chr10	10307604	10307618	-	0.000	0.000	Merged-chr10-10307543-35
NR3655--MA0599.1.KLF5	chr10	10307608	10307617	-	0.000	0.000	Merged-chr10-10307543-35
NR31647--MA0599.1.KLF5	chr3	79178357	79178366	+	0.000	0.000	Merged-chr3-79178280-26
NR6039--MA0599.1.KLF5	chr10	111422343	111422352	+	0.000	0.000	Merged-chr10-111422205-1
NR6042--MA0741.1.KLF16	chr10	111422345	111422355	+	0.000	0.000	Merged-chr10-111422205-1
NR4062--MA0599.1.KLF5	chr10	36158426	36158435	+	0.000	0.000	Merged-chr10-36158337-60
NR1468--MA1107.1.KLF9	chr1	108041449	108041461	+	0.000	0.000	Merged-chr1-108041291-27
NR27314--MA0599.1.KLF5	chr2	29820464	29820473	+	0.000	0.000	Merged-chr2-29820454-25
NR19712--MA0740.1.KLF14	chr16	43619554	43619567	+	0.000	0.000	Merged-chr16-43619426-5
NR19710--MA0599.1.KLF5	chr16	43619456	43619465	-	0.000	0.000	Merged-chr16-43619426-5
NR3656--MA0493.1.Klf1	chr10	10307608	10307618	-	0.000	0.000	Merged-chr10-10307543-35
NR6041--MA0741.1.KLF16	chr10	111422343	111422353	+	0.000	0.000	Merged-chr10-111422205-1
NR6040--MA0599.1.KLF5	chr10	111422384	111422393	+	0.000	0.000	Merged-chr10-111422205-1
NR19711--MA0493.1.Klf1	chr16	43619456	43619466	-	0.000	0.000	Merged-chr16-43619426-5
NR27316--MA0741.1.KLF16	chr2	29820464	29820474	+	0.000	0.000	Merged-chr2-29820454-25
