#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR7769--MA0002.2.RUNX1	chr5	151247314	151247324	+	0.000	0.000	Merged-chr5-151247420-66
NR7193--MA0002.2.RUNX1	chr5	20087275	20087285	-	0.000	0.000	Merged-chr5-20087381-40
NR1949--MA0511.2.RUNX2	chr12	31874178	31874186	+	0.000	0.000	Merged-chr12-31874248-14
NR3659--MA0684.1.RUNX3	chr16	8455365	8455374	+	0.000	0.000	Merged-chr16-8455328-28
NR3738--MA0511.2.RUNX2	chr16	22526578	22526586	-	0.000	0.000	Merged-chr16-22526487-34
NR733--MA0511.2.RUNX2	chr10	4357606	4357614	-	0.000	0.000	Merged-chr10-4357640-28
NR1190--MA0511.2.RUNX2	chr10	116914010	116914018	+	0.000	0.000	Merged-chr10-116914032-56
NR5596--MA0511.2.RUNX2	chr2	93411436	93411444	-	0.000	0.000	Merged-chr2-93411481-30
NR9031--MA0511.2.RUNX2	chr8	22544817	22544825	-	0.000	0.000	Merged-chr8-22544867-25
NR6541--MA0002.2.RUNX1	chr3	152355531	152355541	+	0.000	0.000	Merged-chr3-152355609-21
NR2780--MA0002.2.RUNX1	chr13	110564085	110564095	-	0.000	0.000	Merged-chr13-110564159-46
NR768--MA0684.1.RUNX3	chr10	13469082	13469091	+	0.000	0.000	Merged-chr10-13469041-19
NR734--MA0684.1.RUNX3	chr10	4357605	4357614	-	0.000	0.000	Merged-chr10-4357640-28
NR238--MA0002.2.RUNX1	chr1	78538556	78538566	+	0.000	0.000	Merged-chr1-78538536-20
NR8051--MA0002.2.RUNX1	chr6	99643660	99643670	+	0.000	0.000	Merged-chr6-99643748-32
