#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR7688--MA0495.2.MAFF	chr6	70714455	70714475	-	0.000	0.000	Merged-chr6-70714490-34
NR7455--MA0496.2.MAFK	chr5	146655356	146655374	+	0.000	0.000	Merged-chr5-146655552-37
NR5732--MA0496.2.MAFK	chr2	174566022	174566040	+	0.000	0.000	Merged-chr2-174566072-46
NR7281--MA0496.2.MAFK	chr5	112130146	112130164	+	0.000	0.000	Merged-chr5-112130163-21
NR7452--MA0591.1.Bach1::Mafk	chr5	146655358	146655372	-	0.000	0.000	Merged-chr5-146655552-37
NR3314--MA0089.1.MAFG::NFE2L1	chr15	31117560	31117565	-	0.000	0.000	Merged-chr15-31117559-26
NR1327--MA0117.2.Mafb	chr11	3227305	3227316	-	0.000	0.000	Merged-chr11-3227351-28
NR5730--MA0495.2.MAFF	chr2	174566021	174566041	-	0.000	0.000	Merged-chr2-174566072-46
NR4845--MA0089.1.MAFG::NFE2L1	chr19	24527539	24527544	-	0.000	0.000	Merged-chr19-24527365-48
NR7449--MA0495.2.MAFF	chr5	146655355	146655375	+	0.000	0.000	Merged-chr5-146655552-37
NR9601--MA0089.1.MAFG::NFE2L1	chr9	105499634	105499639	+	0.000	0.000	Merged-chr9-105499679-15
NR5223--MA0591.1.Bach1::Mafk	chr2	73346808	73346822	+	0.000	0.000	Merged-chr2-73346607-35
NR796--MA0089.1.MAFG::NFE2L1	chr10	8415554	8415559	-	0.000	0.000	Merged-chr10-8415419-33
NR5731--MA0501.1.MAF::NFE2	chr2	174566021	174566035	-	0.000	0.000	Merged-chr2-174566072-46
NR9457--MA0659.1.MAFG	chr9	78593280	78593300	-	0.000	0.000	Merged-chr9-78593326-11
NR9058--MA0089.1.MAFG::NFE2L1	chr8	120716594	120716599	+	0.000	0.000	Merged-chr8-120716591-36
NR5037--MA0591.1.Bach1::Mafk	chr2	18307608	18307622	-	0.000	0.000	Merged-chr2-18307843-60
NR321--MA0117.2.Mafb	chr1	107534012	107534023	+	0.000	0.000	Merged-chr1-107533964-30
NR1774--MA0501.1.MAF::NFE2	chr11	109744078	109744092	-	0.000	0.000	Merged-chr11-109744155-21
