#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR3307--MA0002.2.RUNX1	chr16	10815182	10815192	-	0.000	0.000	Merged-chr16-10815093-30
NR1356--MA0002.2.RUNX1	chr11	50213201	50213211	+	0.000	0.000	Merged-chr11-50213336-46
NR1879--MA0002.2.RUNX1	chr12	69539513	69539523	-	0.000	0.000	Merged-chr12-69539558-45
NR703--MA0002.2.RUNX1	chr1	193366090	193366100	+	0.000	0.000	Merged-chr1-193366026-12
NR1722--MA0684.1.RUNX3	chr11	118232694	118232703	+	0.000	0.000	Merged-chr11-118232579-51
NR7885--MA0684.1.RUNX3	chr8	40584804	40584813	+	0.000	0.000	Merged-chr8-40584789-43
NR812--MA0002.2.RUNX1	chr10	30537424	30537434	-	0.000	0.000	Merged-chr10-30537547-6
NR3092--MA0002.2.RUNX1	chr15	55520967	55520977	-	0.000	0.000	Merged-chr15-55520889-48
NR7868--MA0511.2.RUNX2	chr8	34740486	34740494	-	0.000	0.000	Merged-chr8-34740455-84
NR1335--MA0002.2.RUNX1	chr11	43705357	43705367	-	0.000	0.000	Merged-chr11-43705351-17
NR5152--MA0002.2.RUNX1	chr2	173455289	173455299	+	0.000	0.000	Merged-chr2-173455329-43
NR3415--MA0684.1.RUNX3	chr16	48594584	48594593	+	0.000	0.000	Merged-chr16-48594719-53
NR968--MA0002.2.RUNX1	chr10	75839305	75839315	-	0.000	0.000	Merged-chr10-75839326-47
NR5076--MA0684.1.RUNX3	chr2	163120929	163120938	+	0.000	0.000	Merged-chr2-163121047-86
NR7407--MA0684.1.RUNX3	chr7	55890219	55890228	-	0.000	0.000	Merged-chr7-55890160-26
NR7388--MA0684.1.RUNX3	chr7	48795272	48795281	-	0.000	0.000	Merged-chr7-48795353-37
NR5565--MA0684.1.RUNX3	chr3	142892513	142892522	-	0.000	0.000	Merged-chr3-142892335-19
NR7639--MA0002.2.RUNX1	chr7	116484466	116484476	-	0.000	0.000	Merged-chr7-116484434-42
NR980--MA0511.2.RUNX2	chr10	77962993	77963001	+	0.000	0.000	Merged-chr10-77962952-24
NR1238--MA0684.1.RUNX3	chr10	128991150	128991159	-	0.000	0.000	Merged-chr10-128991197-23
NR1046--MA0511.2.RUNX2	chr10	93188700	93188708	-	0.000	0.000	Merged-chr10-93188465-33
NR5591--MA0511.2.RUNX2	chr3	148510625	148510633	+	0.000	0.000	Merged-chr3-148510691-67
NR3672--MA0511.2.RUNX2	chr17	21463758	21463766	+	0.000	0.000	Merged-chr17-21463736-49
NR5319--MA0002.2.RUNX1	chr3	84749475	84749485	-	0.000	0.000	Merged-chr3-84749364-32
NR1151--MA0684.1.RUNX3	chr10	117652226	117652235	+	0.000	0.000	Merged-chr10-117652105-48
NR863--MA0511.2.RUNX2	chr10	58354857	58354865	+	0.000	0.000	Merged-chr10-58354769-20
NR2352--MA0002.2.RUNX1	chr13	51951824	51951834	-	0.000	0.000	Merged-chr13-51951802-36
NR3192--MA0684.1.RUNX3	chr15	82111958	82111967	-	0.000	0.000	Merged-chr15-82112003-17
NR8643--MA0002.2.RUNX1	chr9	124146417	124146427	-	0.000	0.000	Merged-chr9-124146419-55
NR8500--MA0002.2.RUNX1	chr9	107334653	107334663	-	0.000	0.000	Merged-chr9-107334469-86
NR7869--MA0684.1.RUNX3	chr8	34740485	34740494	-	0.000	0.000	Merged-chr8-34740455-84
NR982--MA0002.2.RUNX1	chr10	77963002	77963012	-	0.000	0.000	Merged-chr10-77962952-24
NR2331--MA0002.2.RUNX1	chr13	46159617	46159627	-	0.000	0.000	Merged-chr13-46159501-43
NR2682--MA0511.2.RUNX2	chr14	47740831	47740839	+	0.000	0.000	Merged-chr14-47740703-52
NR1428--MA0002.2.RUNX1	chr11	63148535	63148545	-	0.000	0.000	Merged-chr11-63148506-21
NR2906--MA0684.1.RUNX3	chr14	121325021	121325030	+	0.000	0.000	Merged-chr14-121324999-52
NR1047--MA0684.1.RUNX3	chr10	93188699	93188708	-	0.000	0.000	Merged-chr10-93188465-33
NR1299--MA0684.1.RUNX3	chr11	22693161	22693170	-	0.000	0.000	Merged-chr11-22693176-79
NR613--MA0002.2.RUNX1	chr1	179578841	179578851	-	0.000	0.000	Merged-chr1-179578897-31
NR550--MA0511.2.RUNX2	chr1	171921415	171921423	-	0.000	0.000	Merged-chr1-171921445-86
NR1506--MA0511.2.RUNX2	chr11	80323406	80323414	+	0.000	0.000	Merged-chr11-80323459-26
NR2833--MA0002.2.RUNX1	chr14	79236612	79236622	-	0.000	0.000	Merged-chr14-79236608-48
NR6716--MA0002.2.RUNX1	chr5	148709295	148709305	-	0.000	0.000	Merged-chr5-148709171-35
NR116--MA0002.2.RUNX1	chr1	60017261	60017271	-	0.000	0.000	Merged-chr1-60017133-4
NR8200--MA0002.2.RUNX1	chr9	7510086	7510096	+	0.000	0.000	Merged-chr9-7510063-49
NR5075--MA0002.2.RUNX1	chr2	163120929	163120939	-	0.000	0.000	Merged-chr2-163121047-86
NR8561--MA0002.2.RUNX1	chr9	116243855	116243865	-	0.000	0.000	Merged-chr9-116243832-57
NR7535--MA0684.1.RUNX3	chr7	92420706	92420715	-	0.000	0.000	Merged-chr7-92420666-38
NR7387--MA0002.2.RUNX1	chr7	48795271	48795281	+	0.000	0.000	Merged-chr7-48795353-37
NR224--MA0684.1.RUNX3	chr1	87637246	87637255	-	0.000	0.000	Merged-chr1-87637275-111
NR4551--MA0511.2.RUNX2	chr2	8965051	8965059	-	0.000	0.000	Merged-chr2-8965212-53
NR3569--MA0684.1.RUNX3	chr16	93552876	93552885	-	0.000	0.000	Merged-chr16-93552984-42
NR6493--MA0002.2.RUNX1	chr5	105313770	105313780	-	0.000	0.000	Merged-chr5-105313637-29
NR6621--MA0002.2.RUNX1	chr5	129191866	129191876	-	0.000	0.000	Merged-chr5-129191899-21
NR7399--MA0684.1.RUNX3	chr7	49335377	49335386	-	0.000	0.000	Merged-chr7-49335315-27
NR7951--MA0002.2.RUNX1	chr8	77292723	77292733	+	0.000	0.000	Merged-chr8-77292720-71
NR6492--MA0684.1.RUNX3	chr5	105313659	105313668	+	0.000	0.000	Merged-chr5-105313637-29
NR739--MA0684.1.RUNX3	chr10	13438594	13438603	+	0.000	0.000	Merged-chr10-13438536-33
NR8152--MA0002.2.RUNX1	chr8	124509391	124509401	+	0.000	0.000	Merged-chr8-124509346-29
NR3117--MA0511.2.RUNX2	chr15	64163572	64163580	+	0.000	0.000	Merged-chr15-64163684-42
NR719--MA0002.2.RUNX1	chr10	5448546	5448556	+	0.000	0.000	Merged-chr10-5448562-35
NR6485--MA0002.2.RUNX1	chr5	105010567	105010577	-	0.000	0.000	Merged-chr5-105010527-49
NR5883--MA0002.2.RUNX1	chr4	102711926	102711936	+	0.000	0.000	Merged-chr4-102711875-43
NR2462--MA0511.2.RUNX2	chr13	95892234	95892242	+	0.000	0.000	Merged-chr13-95891948-150
NR3239--MA0511.2.RUNX2	chr15	94565196	94565204	-	0.000	0.000	Merged-chr15-94565077-32
NR2905--MA0002.2.RUNX1	chr14	121325021	121325031	-	0.000	0.000	Merged-chr14-121324999-52
NR4552--MA0684.1.RUNX3	chr2	8965050	8965059	-	0.000	0.000	Merged-chr2-8965212-53
NR8190--MA0511.2.RUNX2	chr8	128643065	128643073	-	0.000	0.000	Merged-chr8-128643198-31
NR4548--MA0511.2.RUNX2	chr2	7254734	7254742	-	0.000	0.000	Merged-chr2-7254714-17
NR6334--MA0002.2.RUNX1	chr5	53605657	53605667	-	0.000	0.000	Merged-chr5-53605625-25
NR230--MA0684.1.RUNX3	chr1	88587508	88587517	+	0.000	0.000	Merged-chr1-88587471-60
NR2605--MA0002.2.RUNX1	chr14	12307729	12307739	+	0.000	0.000	Merged-chr14-12307905-40
NR8724--MA0511.2.RUNX2	chrX	101767452	101767460	-	0.000	0.000	Merged-chrX-101767433-48
NR2175--MA0511.2.RUNX2	chr13	5757410	5757418	+	0.000	0.000	Merged-chr13-5757363-53
NR282--MA0511.2.RUNX2	chr1	105565162	105565170	+	0.000	0.000	Merged-chr1-105565114-33
NR4615--MA0511.2.RUNX2	chr2	21222924	21222932	+	0.000	0.000	Merged-chr2-21222970-39
NR4788--MA0684.1.RUNX3	chr2	78860237	78860246	+	0.000	0.000	Merged-chr2-78860154-39
NR7473--MA0002.2.RUNX1	chr7	75486307	75486317	+	0.000	0.000	Merged-chr7-75486326-35
NR5793--MA0002.2.RUNX1	chr4	63636367	63636377	+	0.000	0.000	Merged-chr4-63636346-15
NR4148--MA0684.1.RUNX3	chr18	68227789	68227798	-	0.000	0.000	Merged-chr18-68227583-82
NR5031--MA0002.2.RUNX1	chr2	151959545	151959555	-	0.000	0.000	Merged-chr2-151959461-52
NR4479--MA0511.2.RUNX2	chr19	55768978	55768986	+	0.000	0.000	Merged-chr19-55769048-40
NR227--MA0684.1.RUNX3	chr1	88475603	88475612	+	0.000	0.000	Merged-chr1-88475619-20
NR2351--MA0511.2.RUNX2	chr13	51951824	51951832	+	0.000	0.000	Merged-chr13-51951802-36
NR6678--MA0684.1.RUNX3	chr5	140586771	140586780	+	0.000	0.000	Merged-chr5-140586794-18
NR3919--MA0002.2.RUNX1	chr17	78087125	78087135	-	0.000	0.000	Merged-chr17-78087139-42
NR2556--MA0684.1.RUNX3	chr13	111569229	111569238	+	0.000	0.000	Merged-chr13-111569188-35
NR1792--MA0684.1.RUNX3	chr12	17726603	17726612	+	0.000	0.000	Merged-chr12-17726607-38
NR1315--MA0002.2.RUNX1	chr11	31999989	31999999	-	0.000	0.000	Merged-chr11-32000120-91
NR8066--MA0684.1.RUNX3	chr8	115771174	115771183	+	0.000	0.000	Merged-chr8-115771261-45
NR1804--MA0002.2.RUNX1	chr12	25784438	25784448	-	0.000	0.000	Merged-chr12-25784585-45
NR4576--MA0684.1.RUNX3	chr2	11657766	11657775	-	0.000	0.000	Merged-chr2-11657779-45
NR6335--MA0511.2.RUNX2	chr5	53605684	53605692	-	0.000	0.000	Merged-chr5-53605625-25
NR1880--MA0684.1.RUNX3	chr12	69539513	69539522	+	0.000	0.000	Merged-chr12-69539558-45
NR21--MA0002.2.RUNX1	chr1	20740681	20740691	+	0.000	0.000	Merged-chr1-20740658-39
NR3587--MA0002.2.RUNX1	chr16	95999442	95999452	+	0.000	0.000	Merged-chr16-95999409-48
NR3715--MA0002.2.RUNX1	chr17	27323198	27323208	+	0.000	0.000	Merged-chr17-27323176-36
NR1720--MA0511.2.RUNX2	chr11	118232694	118232702	+	0.000	0.000	Merged-chr11-118232579-51
NR6506--MA0684.1.RUNX3	chr5	105675682	105675691	-	0.000	0.000	Merged-chr5-105675662-27
NR6758--MA0684.1.RUNX3	chr6	22339882	22339891	+	0.000	0.000	Merged-chr6-22340067-27
NR3413--MA0511.2.RUNX2	chr16	48594584	48594592	+	0.000	0.000	Merged-chr16-48594719-53
NR1191--MA0511.2.RUNX2	chr10	121382804	121382812	-	0.000	0.000	Merged-chr10-121382753-17
NR429--MA0684.1.RUNX3	chr1	152038202	152038211	+	0.000	0.000	Merged-chr1-152038311-34
NR3566--MA0002.2.RUNX1	chr16	92821940	92821950	+	0.000	0.000	Merged-chr16-92822005-45
NR5084--MA0002.2.RUNX1	chr2	164041119	164041129	-	0.000	0.000	Merged-chr2-164041176-18
NR5563--MA0511.2.RUNX2	chr3	142892514	142892522	-	0.000	0.000	Merged-chr3-142892335-19
NR3579--MA0002.2.RUNX1	chr16	95263159	95263169	-	0.000	0.000	Merged-chr16-95263048-64
NR7544--MA0684.1.RUNX3	chr7	96818602	96818611	+	0.000	0.000	Merged-chr7-96818578-56
NR5593--MA0684.1.RUNX3	chr3	148510625	148510634	+	0.000	0.000	Merged-chr3-148510691-67
NR6079--MA0002.2.RUNX1	chr4	144908970	144908980	+	0.000	0.000	Merged-chr4-144908993-28
NR1742--MA0684.1.RUNX3	chr11	121064257	121064266	+	0.000	0.000	Merged-chr11-121064322-30
NR1193--MA0002.2.RUNX1	chr10	121382809	121382819	+	0.000	0.000	Merged-chr10-121382753-17
NR3190--MA0511.2.RUNX2	chr15	82111959	82111967	-	0.000	0.000	Merged-chr15-82112003-17
NR1986--MA0684.1.RUNX3	chr12	98601153	98601162	-	0.000	0.000	Merged-chr12-98601119-23
NR5260--MA0002.2.RUNX1	chr3	52648013	52648023	+	0.000	0.000	Merged-chr3-52648133-66
NR7192--MA0002.2.RUNX1	chr6	134048226	134048236	+	0.000	0.000	Merged-chr6-134048216-52
NR1303--MA0511.2.RUNX2	chr11	24132043	24132051	+	0.000	0.000	Merged-chr11-24132084-32
NR4409--MA0684.1.RUNX3	chr19	40267494	40267503	+	0.000	0.000	Merged-chr19-40267576-38
NR1508--MA0684.1.RUNX3	chr11	80323406	80323415	+	0.000	0.000	Merged-chr11-80323459-26
NR7140--MA0511.2.RUNX2	chr6	127434327	127434335	-	0.000	0.000	Merged-chr6-127434285-47
NR6429--MA0684.1.RUNX3	chr5	92327538	92327547	+	0.000	0.000	Merged-chr5-92327493-24
NR6962--MA0002.2.RUNX1	chr6	88757235	88757245	+	0.000	0.000	Merged-chr6-88757111-24
NR5897--MA0002.2.RUNX1	chr4	107989215	107989225	-	0.000	0.000	Merged-chr4-107989218-22
NR981--MA0002.2.RUNX1	chr10	77962993	77963003	-	0.000	0.000	Merged-chr10-77962952-24
NR7533--MA0511.2.RUNX2	chr7	92420707	92420715	-	0.000	0.000	Merged-chr7-92420666-38
NR5631--MA0684.1.RUNX3	chr3	157938675	157938684	-	0.000	0.000	Merged-chr3-157938783-43
NR4109--MA0684.1.RUNX3	chr18	56413121	56413130	-	0.000	0.000	Merged-chr18-56413005-50
NR2601--MA0002.2.RUNX1	chr14	7913994	7914004	+	0.000	0.000	Merged-chr14-7914040-29
NR3567--MA0511.2.RUNX2	chr16	93552877	93552885	-	0.000	0.000	Merged-chr16-93552984-42
NR5753--MA0684.1.RUNX3	chr4	55343507	55343516	+	0.000	0.000	Merged-chr4-55343422-62
NR4480--MA0002.2.RUNX1	chr19	55768978	55768988	-	0.000	0.000	Merged-chr19-55769048-40
NR864--MA0002.2.RUNX1	chr10	58354857	58354867	-	0.000	0.000	Merged-chr10-58354769-20
NR7397--MA0511.2.RUNX2	chr7	49335378	49335386	-	0.000	0.000	Merged-chr7-49335315-27
NR4069--MA0684.1.RUNX3	chr18	39611786	39611795	-	0.000	0.000	Merged-chr18-39611882-25
NR7254--MA0511.2.RUNX2	chr6	146271308	146271316	+	0.000	0.000	Merged-chr6-146271470-40
NR1806--MA0684.1.RUNX3	chr12	25784513	25784522	+	0.000	0.000	Merged-chr12-25784585-45
NR7634--MA0511.2.RUNX2	chr7	115734329	115734337	+	0.000	0.000	Merged-chr7-115734410-28
NR5749--MA0511.2.RUNX2	chr4	55343348	55343356	+	0.000	0.000	Merged-chr4-55343422-62
NR2683--MA0002.2.RUNX1	chr14	47740831	47740841	-	0.000	0.000	Merged-chr14-47740703-52
NR681--MA0002.2.RUNX1	chr1	191102917	191102927	-	0.000	0.000	Merged-chr1-191102990-43
NR1352--MA0684.1.RUNX3	chr11	49723176	49723185	-	0.000	0.000	Merged-chr11-49723086-55
NR585--MA0002.2.RUNX1	chr1	175631929	175631939	-	0.000	0.000	Merged-chr1-175631822-65
NR551--MA0002.2.RUNX1	chr1	171921413	171921423	+	0.000	0.000	Merged-chr1-171921445-86
NR1858--MA0511.2.RUNX2	chr12	55466581	55466589	+	0.000	0.000	Merged-chr12-55466597-41
NR7242--MA0684.1.RUNX3	chr6	144910470	144910479	-	0.000	0.000	Merged-chr6-144910390-40
NR5589--MA0002.2.RUNX1	chr3	146765121	146765131	-	0.000	0.000	Merged-chr3-146765113-32
NR1314--MA0511.2.RUNX2	chr11	31999989	31999997	+	0.000	0.000	Merged-chr11-32000120-91
NR4321--MA0002.2.RUNX1	chr19	14588394	14588404	-	0.000	0.000	Merged-chr19-14588447-32
NR705--MA0002.2.RUNX1	chr1	193421691	193421701	-	0.000	0.000	Merged-chr1-193421738-60
NR7635--MA0684.1.RUNX3	chr7	115734329	115734338	+	0.000	0.000	Merged-chr7-115734410-28
NR8151--MA0002.2.RUNX1	chr8	124509283	124509293	+	0.000	0.000	Merged-chr8-124509346-29
NR400--MA0002.2.RUNX1	chr1	144215479	144215489	-	0.000	0.000	Merged-chr1-144215493-29
NR2558--MA0002.2.RUNX1	chr13	111656050	111656060	+	0.000	0.000	Merged-chr13-111655949-74
NR704--MA0684.1.RUNX3	chr1	193366091	193366100	-	0.000	0.000	Merged-chr1-193366026-12
NR813--MA0684.1.RUNX3	chr10	30537424	30537433	+	0.000	0.000	Merged-chr10-30537547-6
NR1336--MA0684.1.RUNX3	chr11	43705357	43705366	+	0.000	0.000	Merged-chr11-43705351-17
NR6724--MA0511.2.RUNX2	chr5	149641833	149641841	-	0.000	0.000	Merged-chr5-149641711-30
NR5407--MA0511.2.RUNX2	chr3	103091905	103091913	-	0.000	0.000	Merged-chr3-103091976-34
NR8414--MA0002.2.RUNX1	chr9	80318210	80318220	-	0.000	0.000	Merged-chr9-80318250-48
NR1630--MA0002.2.RUNX1	chr11	104661718	104661728	-	0.000	0.000	Merged-chr11-104661475-50
NR3217--MA0511.2.RUNX2	chr15	92134396	92134404	+	0.000	0.000	Merged-chr15-92134460-52
NR819--MA0002.2.RUNX1	chr10	34111062	34111072	-	0.000	0.000	Merged-chr10-34111083-55
NR6747--MA0002.2.RUNX1	chr6	8712113	8712123	+	0.000	0.000	Merged-chr6-8712206-28
NR3578--MA0511.2.RUNX2	chr16	95263159	95263167	+	0.000	0.000	Merged-chr16-95263048-64
NR7239--MA0684.1.RUNX3	chr6	144804654	144804663	+	0.000	0.000	Merged-chr6-144804553-29
NR2463--MA0002.2.RUNX1	chr13	95892234	95892244	-	0.000	0.000	Merged-chr13-95891948-150
NR2909--MA0002.2.RUNX1	chr14	121478179	121478189	-	0.000	0.000	Merged-chr14-121478313-77
NR1149--MA0511.2.RUNX2	chr10	117652226	117652234	+	0.000	0.000	Merged-chr10-117652105-48
NR2353--MA0684.1.RUNX3	chr13	51951824	51951833	+	0.000	0.000	Merged-chr13-51951802-36
NR8244--MA0002.2.RUNX1	chr9	31254910	31254920	+	0.000	0.000	Merged-chr9-31254853-49
NR225--MA0511.2.RUNX2	chr1	88475603	88475611	+	0.000	0.000	Merged-chr1-88475619-20
NR6676--MA0511.2.RUNX2	chr5	140586771	140586779	+	0.000	0.000	Merged-chr5-140586794-18
NR4601--MA0511.2.RUNX2	chr2	17845530	17845538	-	0.000	0.000	Merged-chr2-17845339-45
NR8191--MA0002.2.RUNX1	chr8	128643063	128643073	+	0.000	0.000	Merged-chr8-128643198-31
NR4549--MA0002.2.RUNX1	chr2	7254732	7254742	+	0.000	0.000	Merged-chr2-7254714-17
NR2554--MA0511.2.RUNX2	chr13	111569229	111569237	+	0.000	0.000	Merged-chr13-111569188-35
NR5561--MA0002.2.RUNX1	chr3	142892308	142892318	-	0.000	0.000	Merged-chr3-142892335-19
NR1429--MA0684.1.RUNX3	chr11	63148535	63148544	+	0.000	0.000	Merged-chr11-63148506-21
NR7621--MA0002.2.RUNX1	chr7	113572949	113572959	-	0.000	0.000	Merged-chr7-113573033-33
NR614--MA0684.1.RUNX3	chr1	179578841	179578850	+	0.000	0.000	Merged-chr1-179578897-31
NR6337--MA0684.1.RUNX3	chr5	53605683	53605692	-	0.000	0.000	Merged-chr5-53605625-25
NR1452--MA0002.2.RUNX1	chr11	70114028	70114038	+	0.000	0.000	Merged-chr11-70113983-20
NR6936--MA0002.2.RUNX1	chr6	84617147	84617157	-	0.000	0.000	Merged-chr6-84617241-46
NR2834--MA0684.1.RUNX3	chr14	79236612	79236621	+	0.000	0.000	Merged-chr14-79236608-48
