#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR35472--MA0599.1.KLF5	chr4	116676423	116676432	+	0.000	0.000	Merged-chr4-116676285-17
NR26641--MA0657.1.KLF13	chr19	60183109	60183126	+	0.000	0.000	Merged-chr19-60182957-49
NR7814--MA0657.1.KLF13	chr11	55131117	55131134	+	0.000	0.000	Merged-chr11-55131266-10
NR27254--MA0493.1.Klf1	chr2	27693905	27693915	-	0.000	0.000	Merged-chr2-27693880-30
NR50681--MA0742.1.Klf12	chr8	120701894	120701908	-	0.000	0.000	Merged-chr8-120702084-56
NR32761--MA1107.1.KLF9	chr3	115758850	115758862	-	0.000	0.000	Merged-chr3-115758930-94
NR39817--MA0741.1.KLF16	chr5	124035857	124035867	-	0.000	0.000	Merged-chr5-124035854-90
NR1725--MA0599.1.KLF5	chr1	128570201	128570210	+	0.000	0.000	Merged-chr1-128570257-50
NR23574--MA0039.3.KLF4	chr18	19524403	19524413	+	0.000	0.000	Merged-chr18-19524471-22
NR16375--MA1107.1.KLF9	chr14	101879180	101879192	+	0.000	0.000	Merged-chr14-101879110-69
NR49928--MA0741.1.KLF16	chr8	94973447	94973457	-	0.000	0.000	Merged-chr8-94973516-27
NR22154--MA0493.1.Klf1	chr17	47943394	47943404	-	0.000	0.000	Merged-chr17-47943297-31
NR53085--MA0742.1.Klf12	chr9	107334536	107334550	+	0.000	0.000	Merged-chr9-107334469-86
NR27538--MA0742.1.Klf12	chr2	32725449	32725463	-	0.000	0.000	Merged-chr2-32725453-72
NR3846--MA0742.1.Klf12	chr10	19506204	19506218	+	0.000	0.000	Merged-chr10-19506242-43
NR13535--MA0741.1.KLF16	chr13	63189568	63189578	-	0.000	0.000	Merged-chr13-63189715-33
NR39263--MA0493.1.Klf1	chr5	113842509	113842519	-	0.000	0.000	Merged-chr5-113842401-77
NR27970--MA1107.1.KLF9	chr2	59513711	59513723	-	0.000	0.000	Merged-chr2-59513816-12
NR14522--MA0039.3.KLF4	chr13	114887433	114887443	-	0.000	0.000	Merged-chr13-114887526-35
NR35235--MA0493.1.Klf1	chr4	107210267	107210277	-	0.000	0.000	Merged-chr4-107210545-62
