#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR5109--MA0002.2.RUNX1	chr2	61492144	61492154	+	0.000	0.000	Merged-chr2-61492330-26
NR5695--MA0684.1.RUNX3	chr3	79504697	79504706	-	0.000	0.000	Merged-chr3-79504650-9
NR934--MA0002.2.RUNX1	chr10	75536367	75536377	+	0.000	0.000	Merged-chr10-75536310-39
NR3--MA0002.2.RUNX1	chr1	6467286	6467296	+	0.000	0.000	Merged-chr1-6467226-38
NR5836--MA0684.1.RUNX3	chr3	107819324	107819333	-	0.000	0.000	Merged-chr3-107819260-44
NR6474--MA0002.2.RUNX1	chr4	135169304	135169314	+	0.000	0.000	Merged-chr4-135169344-25
NR9019--MA0002.2.RUNX1	chr9	80266694	80266704	+	0.000	0.000	Merged-chr9-80266579-55
NR7--MA0684.1.RUNX3	chr1	7095994	7096003	-	0.000	0.000	Merged-chr1-7096130-35
NR2689--MA0002.2.RUNX1	chr13	113549210	113549220	+	0.000	0.000	Merged-chr13-113549207-25
NR9168--MA0002.2.RUNX1	chr9	114016573	114016583	-	0.000	0.000	Merged-chr9-114016465-30
NR273--MA0002.2.RUNX1	chr1	97614015	97614025	-	0.000	0.000	Merged-chr1-97613912-17
NR5810--MA0511.2.RUNX2	chr3	102748759	102748767	-	0.000	0.000	Merged-chr3-102748787-20
NR930--MA0002.2.RUNX1	chr10	75137383	75137393	+	0.000	0.000	Merged-chr10-75137301-35
NR8678--MA0002.2.RUNX1	chr8	126420986	126420996	+	0.000	0.000	Merged-chr8-126420997-20
NR5693--MA0511.2.RUNX2	chr3	79504698	79504706	-	0.000	0.000	Merged-chr3-79504650-9
NR5834--MA0511.2.RUNX2	chr3	107819325	107819333	-	0.000	0.000	Merged-chr3-107819260-44
NR4276--MA0684.1.RUNX3	chr17	86779459	86779468	+	0.000	0.000	Merged-chr17-86779381-46
NR931--MA0511.2.RUNX2	chr10	75146224	75146232	-	0.000	0.000	Merged-chr10-75146347-53
NR2688--MA0511.2.RUNX2	chr13	113549212	113549220	-	0.000	0.000	Merged-chr13-113549207-25
NR7115--MA0002.2.RUNX1	chr5	146655573	146655583	+	0.000	0.000	Merged-chr5-146655552-37
NR3768--MA0002.2.RUNX1	chr16	84800312	84800322	+	0.000	0.000	Merged-chr16-84800124-30
NR2582--MA0002.2.RUNX1	chr13	96555356	96555366	+	0.000	0.000	Merged-chr13-96555289-36
NR2690--MA0684.1.RUNX3	chr13	113549211	113549220	-	0.000	0.000	Merged-chr13-113549207-25
NR8581--MA0002.2.RUNX1	chr8	115408663	115408673	-	0.000	0.000	Merged-chr8-115408581-14
NR4233--MA0002.2.RUNX1	chr17	78352703	78352713	-	0.000	0.000	Merged-chr17-78352623-8
NR9079--MA0002.2.RUNX1	chr9	94607589	94607599	-	0.000	0.000	Merged-chr9-94607543-65
NR2662--MA0002.2.RUNX1	chr13	110564085	110564095	-	0.000	0.000	Merged-chr13-110564159-46
NR3425--MA0684.1.RUNX3	chr15	100461769	100461778	-	0.000	0.000	Merged-chr15-100461811-2
NR5537--MA0511.2.RUNX2	chr2	174566173	174566181	-	0.000	0.000	Merged-chr2-174566072-46
NR4--MA0684.1.RUNX3	chr1	6467287	6467296	-	0.000	0.000	Merged-chr1-6467226-38
NR6115--MA0002.2.RUNX1	chr4	21842815	21842825	-	0.000	0.000	Merged-chr4-21842691-16
NR5538--MA0684.1.RUNX3	chr2	174566172	174566181	-	0.000	0.000	Merged-chr2-174566072-46
NR6739--MA0002.2.RUNX1	chr5	38274103	38274113	-	0.000	0.000	Merged-chr5-38274062-24
NR5811--MA0002.2.RUNX1	chr3	102748757	102748767	+	0.000	0.000	Merged-chr3-102748787-20
NR6298--MA0002.2.RUNX1	chr4	98282437	98282447	+	0.000	0.000	Merged-chr4-98282479-46
NR1702--MA0002.2.RUNX1	chr11	108088370	108088380	-	0.000	0.000	Merged-chr11-108088190-36
NR2264--MA0002.2.RUNX1	chr12	117959424	117959434	-	0.000	0.000	Merged-chr12-117959315-24
NR274--MA0684.1.RUNX3	chr1	97614015	97614024	+	0.000	0.000	Merged-chr1-97613912-17
NR5830--MA0002.2.RUNX1	chr3	107233505	107233515	+	0.000	0.000	Merged-chr3-107233528-55
NR5694--MA0002.2.RUNX1	chr3	79504696	79504706	+	0.000	0.000	Merged-chr3-79504650-9
NR5835--MA0002.2.RUNX1	chr3	107819323	107819333	+	0.000	0.000	Merged-chr3-107819260-44
NR1856--MA0002.2.RUNX1	chr12	25211526	25211536	+	0.000	0.000	Merged-chr12-25211568-13
NR6114--MA0511.2.RUNX2	chr4	21842815	21842823	+	0.000	0.000	Merged-chr4-21842691-16
NR6--MA0002.2.RUNX1	chr1	7095993	7096003	+	0.000	0.000	Merged-chr1-7096130-35
NR7794--MA0002.2.RUNX1	chr7	28609325	28609335	-	0.000	0.000	Merged-chr7-28609310-17
NR3423--MA0511.2.RUNX2	chr15	100461770	100461778	-	0.000	0.000	Merged-chr15-100461811-2
NR4038--MA0511.2.RUNX2	chr17	29531565	29531573	+	0.000	0.000	Merged-chr17-29531509-3
NR3370--MA0511.2.RUNX2	chr15	93298366	93298374	-	0.000	0.000	Merged-chr15-93298411-30
NR1527--MA0002.2.RUNX1	chr11	83541200	83541210	-	0.000	0.000	Merged-chr11-83541106-19
NR2--MA0511.2.RUNX2	chr1	6467288	6467296	-	0.000	0.000	Merged-chr1-6467226-38
NR4790--MA0002.2.RUNX1	chr19	53491875	53491885	-	0.000	0.000	Merged-chr19-53491759-39
NR7627--MA0002.2.RUNX1	chr6	136547310	136547320	+	0.000	0.000	Merged-chr6-136547260-16
NR7116--MA0684.1.RUNX3	chr5	146655574	146655583	-	0.000	0.000	Merged-chr5-146655552-37
NR200--MA0002.2.RUNX1	chr1	82836463	82836473	-	0.000	0.000	Merged-chr1-82836652-59
NR6737--MA0684.1.RUNX3	chr5	37259132	37259141	+	0.000	0.000	Merged-chr5-37259222-30
NR9167--MA0511.2.RUNX2	chr9	114016573	114016581	+	0.000	0.000	Merged-chr9-114016465-30
NR272--MA0511.2.RUNX2	chr1	97614015	97614023	+	0.000	0.000	Merged-chr1-97613912-17
NR8607--MA0002.2.RUNX1	chr8	117320884	117320894	+	0.000	0.000	Merged-chr8-117320786-24
NR5--MA0511.2.RUNX2	chr1	7095995	7096003	-	0.000	0.000	Merged-chr1-7096130-35
NR1901--MA0511.2.RUNX2	chr12	39851797	39851805	+	0.000	0.000	Merged-chr12-39851800-38
