#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR202--MA0496.2.MAFK	chr1	78422794	78422812	-	0.000	0.000	Merged-chr1-78422740-38
NR7923--MA0659.1.MAFG	chr5	150262788	150262808	-	0.000	0.000	Merged-chr5-150262822-29
NR2655--MA0089.1.MAFG::NFE2L1	chr13	92722632	92722637	+	0.000	0.000	Merged-chr13-92722597-29
NR1077--MA0501.1.MAF::NFE2	chr10	84727103	84727117	-	0.000	0.000	Merged-chr10-84727239-54
NR7716--MA0496.2.MAFK	chr5	112130146	112130164	+	0.000	0.000	Merged-chr5-112130163-21
NR7714--MA0495.2.MAFF	chr5	112130145	112130165	+	0.000	0.000	Merged-chr5-112130163-21
NR7924--MA0496.2.MAFK	chr5	150262789	150262807	+	0.000	0.000	Merged-chr5-150262822-29
NR488--MA0591.1.Bach1::Mafk	chr1	152010403	152010417	+	0.000	0.000	Merged-chr1-152010502-52
NR5927--MA0659.1.MAFG	chr2	169089214	169089234	+	0.000	0.000	Merged-chr2-169089199-37
NR4606--MA0089.1.MAFG::NFE2L1	chr18	46447803	46447808	-	0.000	0.000	Merged-chr18-46447727-33
NR7717--MA0496.2.MAFK	chr5	112130146	112130164	-	0.000	0.000	Merged-chr5-112130163-21
NR7914--MA0089.1.MAFG::NFE2L1	chr5	148994777	148994782	-	0.000	0.000	Merged-chr5-148994646-1
NR3442--MA0591.1.Bach1::Mafk	chr15	59618586	59618600	-	0.000	0.000	Merged-chr15-59618561-44
NR7920--MA0495.2.MAFF	chr5	150262788	150262808	+	0.000	0.000	Merged-chr5-150262822-29
NR7715--MA0495.2.MAFF	chr5	112130145	112130165	-	0.000	0.000	Merged-chr5-112130163-21
NR7925--MA0496.2.MAFK	chr5	150262789	150262807	-	0.000	0.000	Merged-chr5-150262822-29
NR5930--MA0496.2.MAFK	chr2	169089215	169089233	+	0.000	0.000	Merged-chr2-169089199-37
NR3421--MA0591.1.Bach1::Mafk	chr15	55906989	55907003	-	0.000	0.000	Merged-chr15-55906885-1
NR5924--MA0495.2.MAFF	chr2	169089214	169089234	+	0.000	0.000	Merged-chr2-169089199-37
NR7921--MA0495.2.MAFF	chr5	150262788	150262808	-	0.000	0.000	Merged-chr5-150262822-29
NR5926--MA0591.1.Bach1::Mafk	chr2	169089217	169089231	-	0.000	0.000	Merged-chr2-169089199-37
NR5931--MA0496.2.MAFK	chr2	169089215	169089233	-	0.000	0.000	Merged-chr2-169089199-37
NR4717--MA0591.1.Bach1::Mafk	chr18	70520982	70520996	-	0.000	0.000	Merged-chr18-70520943-32
NR200--MA0659.1.MAFG	chr1	78422793	78422813	+	0.000	0.000	Merged-chr1-78422740-38
NR5925--MA0495.2.MAFF	chr2	169089214	169089234	-	0.000	0.000	Merged-chr2-169089199-37
NR9544--MA0591.1.Bach1::Mafk	chr8	126539881	126539895	-	0.000	0.000	Merged-chr8-126539798-23
NR7922--MA0659.1.MAFG	chr5	150262788	150262808	+	0.000	0.000	Merged-chr5-150262822-29
NR9545--MA0501.1.MAF::NFE2	chr8	126539878	126539892	-	0.000	0.000	Merged-chr8-126539798-23
NR4718--MA0501.1.MAF::NFE2	chr18	70520979	70520993	-	0.000	0.000	Merged-chr18-70520943-32
NR199--MA0495.2.MAFF	chr1	78422793	78422813	-	0.000	0.000	Merged-chr1-78422740-38
NR201--MA0659.1.MAFG	chr1	78422793	78422813	-	0.000	0.000	Merged-chr1-78422740-38
NR5928--MA0659.1.MAFG	chr2	169089214	169089234	-	0.000	0.000	Merged-chr2-169089199-37
NR5929--MA0501.1.MAF::NFE2	chr2	169089214	169089228	-	0.000	0.000	Merged-chr2-169089199-37
