#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR812--MA0035.3.Gata1	chr11	111065058	111065068	-	0.000	0.000	Merged-chr11-111065000-37
NR2482--MA0036.3.GATA2	chr3	84772249	84772259	+	0.000	0.000	Merged-chr3-84772067-31
NR3664--MA0035.3.Gata1	chr8	111976661	111976671	-	0.000	0.000	Merged-chr8-111976573-47
NR810--MA0482.1.Gata4	chr11	111065057	111065067	-	0.000	0.000	Merged-chr11-111065000-37
NR3662--MA1104.1.GATA6	chr8	111976660	111976672	+	0.000	0.000	Merged-chr8-111976573-47
NR811--MA1104.1.GATA6	chr11	111065057	111065069	+	0.000	0.000	Merged-chr11-111065000-37
NR2475--MA0482.1.Gata4	chr3	84772177	84772187	-	0.000	0.000	Merged-chr3-84772067-31
NR2478--MA0035.3.Gata1	chr3	84772178	84772188	-	0.000	0.000	Merged-chr3-84772067-31
NR2476--MA1104.1.GATA6	chr3	84772177	84772189	+	0.000	0.000	Merged-chr3-84772067-31
NR3663--MA0036.3.GATA2	chr8	111976661	111976671	-	0.000	0.000	Merged-chr8-111976573-47
NR2479--MA0140.2.GATA1::TAL1	chr3	84772169	84772186	-	0.000	0.000	Merged-chr3-84772067-31
NR653--MA0037.3.GATA3	chr11	64037641	64037648	+	0.000	0.000	Merged-chr11-64037767-32
NR2477--MA0036.3.GATA2	chr3	84772178	84772188	-	0.000	0.000	Merged-chr3-84772067-31
NR2480--MA0482.1.Gata4	chr3	84772250	84772260	+	0.000	0.000	Merged-chr3-84772067-31
NR2483--MA0035.3.Gata1	chr3	84772249	84772259	+	0.000	0.000	Merged-chr3-84772067-31
NR2481--MA1104.1.GATA6	chr3	84772248	84772260	-	0.000	0.000	Merged-chr3-84772067-31
NR2485--MA0766.1.GATA5	chr3	84849059	84849066	+	0.000	0.000	Merged-chr3-84848964-30
NR2484--MA0037.3.GATA3	chr3	84849059	84849066	+	0.000	0.000	Merged-chr3-84848964-30
NR654--MA0766.1.GATA5	chr11	64037641	64037648	+	0.000	0.000	Merged-chr11-64037767-32
