#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR550--MA0508.2.PRDM1	chr13	117211687	117211696	+	0.000	0.000	Merged-chr13-117211586-48
NR1182--MA0508.2.PRDM1	chr3	79177284	79177293	+	0.000	0.000	Merged-chr3-79177375-21
NR773--MA0508.2.PRDM1	chr16	94660625	94660634	-	0.000	0.000	Merged-chr16-94660460-20
NR914--MA0508.2.PRDM1	chr18	89233821	89233830	+	0.000	0.000	Merged-chr18-89233824-45
NR1437--MA0508.2.PRDM1	chr5	53394308	53394317	-	0.000	0.000	Merged-chr5-53394102-96
NR255--MA0508.2.PRDM1	chr10	98776467	98776476	+	0.000	0.000	Merged-chr10-98776574-38
NR213--MA0508.2.PRDM1	chr10	59897143	59897152	-	0.000	0.000	Merged-chr10-59896998-59
NR449--MA0508.2.PRDM1	chr12	113362632	113362641	+	0.000	0.000	Merged-chr12-113362654-28
NR266--MA0508.2.PRDM1	chr10	116487223	116487232	+	0.000	0.000	Merged-chr10-116487356-53
NR1632--MA0508.2.PRDM1	chr6	142823521	142823530	-	0.000	0.000	Merged-chr6-142823375-40
NR497--MA0508.2.PRDM1	chr13	60839605	60839614	-	0.000	0.000	Merged-chr13-60839603-42
NR346--MA0508.2.PRDM1	chr11	99131606	99131615	+	0.000	0.000	Merged-chr11-99131567-85
NR1956--MA0508.2.PRDM1	chr9	123935546	123935555	+	0.000	0.000	Merged-chr9-123935599-31
NR1080--MA0508.2.PRDM1	chr2	128367941	128367950	-	0.000	0.000	Merged-chr2-128367839-63
NR1016--MA0508.2.PRDM1	chr2	48328422	48328431	+	0.000	0.000	Merged-chr2-48328415-44
NR772--MA0508.2.PRDM1	chr16	93798837	93798846	-	0.000	0.000	Merged-chr16-93798867-39
NR1165--MA0508.2.PRDM1	chr3	52458862	52458871	-	0.000	0.000	Merged-chr3-52458640-68
NR769--MA0508.2.PRDM1	chr16	92654028	92654037	+	0.000	0.000	Merged-chr16-92654045-22
NR321--MA0508.2.PRDM1	chr11	71230842	71230851	-	0.000	0.000	Merged-chr11-71230864-28
NR1075--MA0508.2.PRDM1	chr2	120500371	120500380	-	0.000	0.000	Merged-chr2-120500231-54
NR130--MA0508.2.PRDM1	chr1	173451776	173451785	+	0.000	0.000	Merged-chr1-173451815-42
NR265--MA0508.2.PRDM1	chr10	115363498	115363507	+	0.000	0.000	Merged-chr10-115363388-18
NR929--MA0508.2.PRDM1	chr19	18591303	18591312	-	0.000	0.000	Merged-chr19-18591291-34
NR1942--MA0508.2.PRDM1	chr9	116332715	116332724	-	0.000	0.000	Merged-chr9-116332830-24
NR175--MA0508.2.PRDM1	chr10	12607463	12607472	+	0.000	0.000	Merged-chr10-12607451-15
NR50--MA0508.2.PRDM1	chr1	86005800	86005809	+	0.000	0.000	Merged-chr1-86005917-70
